panel,char,K,flavour,level,seed,arm,gross,cadence,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b,keep4b
cvol~BONLY~L0.247206~3~k20,cvol,20,BONLY,0.247206,3,MA-RS,1.0,W,0.1576631015103671,1.056079561967914,-0.3224970327414233,1.1905402862539076,0.9650365773698365,0.16120389020886572,1.0241817018341357,-0.3224970327414236,False,DD,False
cvol~BONLY~L0.247206~3~k20,cvol,20,BONLY,0.247206,3,EWall,1.0,M,0.1817951113730727,1.1600715540553328,-0.3042605498130395,1.2721581987804644,1.0902677307327677,0.19190840778614127,1.1629622114644893,-0.30426054981303974,False,DD,False
cvol~BONLY~L0.247206~3~k20,cvol,20,BONLY,0.247206,3,MA-RS,1.0,M,0.1708370255517,1.0946366671574876,-0.2929973028647974,1.1522910867643708,1.066254445324856,0.18263288749984108,1.100654802397471,-0.2929973028647973,False,DD,False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,EWall,0.5,W,0.08728491664756999,1.016307937691686,-0.19184643301773074,1.063281235965107,0.9918994239394605,0.09131238757136484,1.0185313272286443,-0.19184643301773052,False,CAGR,False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,MA-RS,0.5,W,0.08249930243839554,0.9140666470362626,-0.20017910188120436,0.9013749189455992,0.9506464861218291,0.09399477987736926,0.9487729144479922,-0.2001791018812047,False,CAGR,False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,EWall,0.5,M,0.08684976328592353,1.0229129154637329,-0.18876306949895694,1.067985486517557,0.9988151128404592,0.09056553008230517,1.0246826989341604,-0.18876306949895727,False,CAGR,False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,MA-RS,0.5,M,0.08344137120858997,0.9453599360490692,-0.18519846630252712,0.8795791758322269,1.0132307667517544,0.09475444637166319,0.9959009430298991,-0.1851984663025269,False,"H1,CAGR",False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,EWall,0.75,W,0.1308068733807426,1.016108061201441,-0.2774093556973217,1.0652529097449854,0.9902527344385049,0.13665103393092037,1.0167207389526614,-0.27740935569732206,False,DD,False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,MA-RS,0.75,W,0.12297759031161015,0.9135580881168802,-0.2907405136422401,0.9038340767861706,0.9484369481399423,0.14004210035025166,0.9466479139613942,-0.2907405136422402,False,DD,False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,EWall,0.75,M,0.1305965245470393,1.021657685149241,-0.2754758796700748,1.0705157938426206,0.9951585123140496,0.13601323061523218,1.0212961910212135,-0.2754758796700745,False,DD,False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,MA-RS,0.75,M,0.12476347256029441,0.94548264542376,-0.26990197503646984,0.8847519843591669,1.0096360523548553,0.1414592977055209,0.9931508970443178,-0.2699019750364703,False,"H1,DD",False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,EWall,1.0,W,0.1739575567375493,1.0154915869949728,-0.35650720191036966,1.06688231857672,0.9881807442954094,0.1814283138950541,1.014471413476539,-0.35650720191036966,False,DD,False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,MA-RS,1.0,W,0.1627038993059322,0.9128986618714947,-0.3751667394089123,0.9062141948851536,0.946142655274387,0.18512771024211006,0.9443846011802853,-0.37516673940891243,False,DD,False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,EWall,1.0,M,0.17438823506761425,1.0199805871421976,-0.357386562897829,1.0729411511861797,0.9910215307803671,0.18135548095877096,1.0173737949081794,-0.3573865628978291,False,DD,False
cvol~BONLY~L0.247206~4~k20,cvol,20,BONLY,0.247206,4,MA-RS,1.0,M,0.1657110319167967,0.9454571464556347,-0.3497078559592437,0.8900116571285207,1.0058330943052585,0.18755585564582744,0.9901595668349497,-0.3497078559592437,False,"H1,DD",False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,EWall,0.5,W,0.08152788708234526,1.0613881609295608,-0.16966472431962187,1.1061106916522025,1.0329365367146182,0.0874649768681397,1.1041172171507045,-0.1696647243196221,False,CAGR,False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,MA-RS,0.5,W,0.0731463860015229,1.0418977244898104,-0.10954445030513416,1.0909207242175223,1.0067057025739212,0.07712000497208282,1.054786350460695,-0.10954445030513416,False,CAGR,False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,EWall,0.5,M,0.08048922130365188,1.061905652427141,-0.16468850187478634,1.0993207852657838,1.0386042198297931,0.08670761185358988,1.1109070257135767,-0.16468850187478645,False,CAGR,False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,MA-RS,0.5,M,0.0785511590545176,1.0806296441047472,-0.14027520385580095,1.1284812068208736,1.0450762252803687,0.08203834629748252,1.091911009069352,-0.14027520385580117,False,CAGR,False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,EWall,0.75,W,0.122461322623022,1.0609704743309694,-0.2463795244506528,1.107358489210922,1.0314170628805819,0.13146348121003704,1.1020499600756966,-0.2463795244506527,False,DD,False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,MA-RS,0.75,W,0.10972732060771717,1.0414617467907463,-0.16201595979160355,1.0919427130253512,1.0051593476272023,0.1156143564753025,1.053067315971398,-0.16201595979160355,False,-,True
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,EWall,0.75,M,0.12123687899303781,1.06116201846283,-0.24103388509085721,1.1013395286775425,1.03598928988484,0.1306633783632165,1.107764041206344,-0.24103388509085755,False,DD,False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,MA-RS,0.75,M,0.11833744046904138,1.0822828388505124,-0.20754612048397358,1.131727573253661,1.0454075506274954,0.12346523356501926,1.0921304545591572,-0.20754612048397436,False,DD,False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,EWall,1.0,W,0.16330748638247128,1.0602125802187918,-0.31799119669913567,1.1083385379839368,1.0295414240547625,0.17540714106924682,1.0995994749615008,-0.3179911966991359,False,DD,False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,MA-RS,1.0,W,0.14618285141595289,1.0409327874435514,-0.21291323014301955,1.0929190365293815,1.0034995135337208,0.1539047651984662,1.0512348943636842,-0.21291323014301955,False,DD,False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,EWall,1.0,M,0.1622121043899465,1.0601530047922043,-0.3135626937386641,1.1032718121318725,1.0330674407694618,0.17488941339291775,1.104243357329064,-0.3135626937386642,False,DD,False
cvol~BONLY~L0.247206~5~k20,cvol,20,BONLY,0.247206,5,MA-RS,1.0,M,0.15838783805045442,1.083883051513525,-0.27264277712463036,1.134937297205383,1.045703389415231,0.165068525566902,1.0922886065449855,-0.2726427771246317,False,DD,False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,EWall,0.5,W,0.08029276545319997,0.8831888466077887,-0.2284128252681097,0.9232471974134605,0.862001290975802,0.08560517654212041,0.9048430690606108,-0.22841282526811002,False,"DD,CAGR",False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,MA-RS,0.5,W,0.06705933929250407,0.8084598560600935,-0.20247806423850678,0.9288524006420433,0.7120143837912135,0.06871402878937416,0.808795750148268,-0.20247806423850645,False,"H2,OOS,DD,CAGR",False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,EWall,0.5,M,0.07897005952237612,0.8850633787585584,-0.21911283909336632,0.9225225337342741,0.8640465076567827,0.0838245109033553,0.9071205277886603,-0.21911283909336654,False,"DD,CAGR",False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,MA-RS,0.5,M,0.07066285409592399,0.8422409015587238,-0.21383389597923186,0.9280869848987653,0.7767506048342825,0.07600370084537844,0.8771973088369989,-0.21383389597923164,False,"H2,OOS,DD,CAGR",False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,EWall,0.75,W,0.11941892937611498,0.8828137155343827,-0.32695002294334086,0.9248666301468809,0.8603038280103369,0.1272668656282474,0.9030766798401971,-0.3269500229433405,False,DD,False
