panel,book,cadence,cost_bps,DDC_pp
U56,TOP10,M,0.0,1.7860791374320728
U56,TOP10,M,10.0,1.773591178606293
U56,TOP10,M,25.0,1.7549390444971946
U56,TOP10,Q,0.0,0.47025365692404675
U56,TOP10,Q,10.0,0.4468028368867283
U56,TOP10,Q,25.0,0.4116394930797296
U56,TOP10,W,0.0,-0.48723774231728134
U56,TOP10,W,10.0,-0.5308515431637018
U56,TOP10,W,25.0,-0.596077268174966
U56,TOP20,D,0.0,0.0
U56,TOP20,D,10.0,0.0
U56,TOP20,D,25.0,0.0
U56,TOP20,M,0.0,-0.568284338566416
U56,TOP20,M,10.0,-0.5476240688536582
U56,TOP20,M,25.0,-0.5166002770293554
U56,TOP20,Q,0.0,2.9085721545907384
U56,TOP20,Q,10.0,2.886806999922542
U56,TOP20,Q,25.0,2.854170452146998
U56,TOP20,W,0.0,1.9669903216954832
U56,TOP20,W,10.0,1.9694583273944355
U56,TOP20,W,25.0,1.973206629124824
U56,TOP30,D,0.0,0.0
U56,TOP30,D,10.0,0.0
U56,TOP30,D,25.0,0.0
U56,TOP30,M,0.0,-2.655204037717951
U56,TOP30,M,10.0,-2.646674436900498
U56,TOP30,M,25.0,-2.6338312237640604
U56,TOP30,Q,0.0,3.5762031360020874
U56,TOP30,Q,10.0,3.556278946349445
U56,TOP30,Q,25.0,3.526401941026258
U56,TOP30,W,0.0,2.153813254786252
U56,TOP30,W,10.0,2.1511312176731523
U56,TOP30,W,25.0,2.1471626612635353
U56,TOP40,D,0.0,0.0
U56,TOP40,D,10.0,0.0
U56,TOP40,D,25.0,0.0
U56,TOP40,M,0.0,-3.625817063512482
U56,TOP40,M,10.0,-3.618245243849838
U56,TOP40,M,25.0,-3.606855120968022
U56,TOP40,Q,0.0,4.117894513941511
U56,TOP40,Q,10.0,4.101662187802335
U56,TOP40,Q,25.0,4.0773197342520495
U56,TOP40,W,0.0,1.836807808360863
U56,TOP40,W,10.0,1.8359244756072868
U56,TOP40,W,25.0,1.8346429536873932
U56,TOP5,D,0.0,0.0
U56,TOP5,D,10.0,0.0
U56,TOP5,D,25.0,0.0
U56,TOP5,M,0.0,5.520766636893648
U56,TOP5,M,10.0,5.53270925394772
U56,TOP5,M,25.0,5.550688177687624
U56,TOP5,Q,0.0,4.223941907711859
U56,TOP5,Q,10.0,4.637435646183974
U56,TOP5,Q,25.0,5.253620073137666
U56,TOP5,W,0.0,0.04460947621670597
U56,TOP5,W,10.0,0.6856017399327619
U56,TOP5,W,25.0,1.2943601108412084
U56,TOP60,D,0.0,0.0
U56,TOP60,D,10.0,0.0
U56,TOP60,D,25.0,0.0
U56,TOP60,M,0.0,-2.8396458612458986
U56,TOP60,M,10.0,-2.83478258297023
U56,TOP60,M,25.0,-2.827473747677256
U56,TOP60,Q,0.0,2.5230753988398247
U56,TOP60,Q,10.0,2.512290242335402
U56,TOP60,Q,25.0,2.4961149803871097
U56,TOP60,W,0.0,1.387826820129201
U56,TOP60,W,10.0,1.3875350791187624
U56,TOP60,W,25.0,1.3871158313724208
