universe,cost_bps,book,full_4b,full_bad,n_years,n_surv,n_surv_rel,best_year,excess_best,surv_best,bad_best,worst_dSharpe,fails
u56,25,frac085,False,"H1,CAGR",18,0,4,2022,0.09947202428249646,False,"H1,CAGR",-0.07559109659316443,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
u56,25,ew-band3,False,CAGR,18,3,18,2022,0.11641754079767552,False,CAGR,-0.07265210721347781,"2010,2011,2013,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024,2025,2026"
u56,25,ew-band3-g085,True,-,18,17,18,2022,0.10697514807929664,True,-,-0.07264516661072162,2020
u56,25,EWall,False,"H1,CAGR",18,0,2,2022,0.06619574662043337,False,"H1,CAGR",-0.073694364661673,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
u56,25,EWall+vol60dg,True,-,18,17,18,2022,0.0808856141960328,True,-,-0.06225047726941946,2020
u56,25,top20+50S4,False,"H1,CAGR",18,0,1,2022,0.12687879339148822,False,"H1,CAGR",-0.04765980481319565,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
u56,25,top20+50S3,False,CAGR,18,0,5,2022,0.11056411945936417,False,"H1,CAGR",-0.05668860524789854,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
broad,25,v1,False,"H1,H2,OOS,DD,CAGR",18,0,0,2022,0.10015979910060246,False,"H1,H2,OOS,CAGR",-0.06533589041419818,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
broad,25,top20,False,"H2,OOS",18,0,0,2022,0.05379433060467276,False,"H1,H2,OOS",-0.08280144128758449,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
broad,25,frac085,False,"H2,CAGR",18,0,5,2022,0.0895845882981482,False,"H2,OOS,CAGR",-0.09469148257375537,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
broad,25,ew-band3,False,CAGR,18,1,18,2022,0.08320007777197569,False,CAGR,-0.09194629098943963,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
broad,25,ew-band3-g085,True,-,18,16,18,2022,0.06982502811697955,True,-,-0.0919296035563778,"2019,2020"
broad,25,EWall,False,"H2,CAGR",18,0,4,2022,0.07632338248288195,False,"H2,OOS,CAGR",-0.09193254066949519,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
broad,25,EWall+vol60dg,True,-,18,18,18,2022,0.11557167095929721,True,-,-0.07090428616190003,
broad,25,top20+50S4,False,"H2,OOS,CAGR",18,0,0,2022,0.12821640476505003,False,"H1,H2,OOS,CAGR",-0.06166851292000819,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
broad,25,top20+50S3,False,"H2,OOS,CAGR",18,0,2,2022,0.11146005588643804,False,"H2,OOS,CAGR",-0.06415214681578418,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
