window,char,k,n_min,n_common_rungs,resid,sd,obs
IS,tpers,12,64,3,0.001767865615186474,0.001320785020344877,18
IS,tpers,12,84,3,0.0011959017599664284,0.0008212509601483663,18
IS,tpers,12,110,3,0.0019278844645090147,0.0009952730808566825,18
IS,tpers,12,134,3,0.0019091042688734554,0.0011504089607540587,18
IS,tpers,24,36,2,0.0018139461203835027,0.0014061092126695224,10
IS,tpers,24,48,2,0.0015621973603104306,0.0010262867841694166,11
IS,tpers,24,64,2,0.0011008456722709874,0.0007294592540198437,12
IS,tpers,24,84,2,0.001265748136162444,0.001009540603969564,12
IS,tpers,24,110,2,0.0011015792087369265,0.00065426162280836,12
IS,tpers,24,134,2,0.0012408411822670644,0.0007871867637931121,12
IS,tpers,36,48,1,0.002044003413714135,0.0010519189764278567,5
IS,tpers,36,64,1,0.0015997113880584224,0.001135363433299946,6
IS,tpers,36,84,1,0.001089358812012516,0.0007107799714886775,6
IS,tpers,36,110,1,0.001414703778836864,0.0006606256448723677,6
IS,tpers,36,134,1,0.002002615921930684,0.0008211039279328693,6
OOS,momac,12,36,3,0.013511745234552492,0.008295623261758246,17
OOS,momac,12,48,3,0.0164935580582063,0.011091148012548633,18
OOS,momac,12,64,3,0.016574021230970865,0.010578949659567731,18
OOS,momac,12,84,3,0.01207029024080449,0.009193567491678331,18
OOS,momac,12,110,3,0.009742145235103824,0.009035365870601423,18
OOS,momac,12,134,3,0.01259432387921686,0.009259887262717323,18
OOS,momac,24,36,3,0.011533019783016574,0.005866072417663715,8
OOS,momac,24,48,3,0.016556972295864145,0.00790626072347997,18
OOS,momac,24,64,3,0.009941472768056545,0.00545975329330137,18
OOS,momac,24,84,3,0.007535128156223913,0.005330433468618967,18
OOS,momac,24,110,3,0.01007291269700334,0.0056026454756138485,18
OOS,momac,24,134,3,0.012159121004657924,0.007067169746553751,18
OOS,momac,36,48,2,0.015422910672440893,0.008518784860251889,8
OOS,momac,36,64,2,0.009343474893126674,0.007163350730180924,8
OOS,momac,36,84,2,0.005475484284433933,0.004154020023242443,12
OOS,momac,36,110,2,0.006872248870506396,0.006073474267924086,12
OOS,momac,36,134,2,0.010035898739778393,0.005658133991659353,12
OOS,tpers,12,36,3,0.0013114430361230599,0.0010405095021555608,18
OOS,tpers,12,48,3,0.0011561978075082093,0.0006728038135234317,18
OOS,tpers,12,64,3,0.0009250797259945499,0.000740053115251931,18
OOS,tpers,12,84,3,0.0013551713329905,0.0006389666915562855,18
OOS,tpers,12,110,3,0.0011412693680163276,0.0011031692540843959,18
OOS,tpers,12,134,3,0.0010684250740342442,0.0006921570499852846,18
OOS,tpers,24,36,2,0.0011470036584439027,0.0009266292357394066,9
OOS,tpers,24,48,2,0.0012108213562608272,0.000759174263309394,12
OOS,tpers,24,64,2,0.001081856251600316,0.0008106688026669976,12
OOS,tpers,24,84,2,0.0008028928401362471,0.0005947802765236396,12
OOS,tpers,24,110,2,0.0010772415300335607,0.0007106135802288611,12
OOS,tpers,24,134,2,0.0008883846871839407,0.0007720932775729576,12
OOS,tpers,36,48,1,0.0012414420396380892,0.0009674106228043568,6
OOS,tpers,36,64,1,0.0012425610622816736,0.0009216400786374077,6
OOS,tpers,36,84,1,0.0014111906927237923,0.0006370247726498595,6
OOS,tpers,36,110,1,0.0009120086463730118,0.0004961314415543432,6
OOS,tpers,36,134,1,0.0011339833733344795,0.0005796915291949241,6
