universe,book,sleeve,conv,f,Sharpe,lin,dSharpe,dCAGR_pp,rate
broad,v1,S9,matched,0.75,0.8554456972172915,0.8115858821546207,0.04385981506267078,-0.42594824034787315,0.10296982334485134
broad,v1,S4,natural,0.25,0.7004824924990712,0.6307755153872425,0.06970697711182872,-0.833211185486249,0.0836606352939787
broad,v1,S4,natural,0.5,0.7865545576921653,0.6265599225746012,0.15999463511756407,-1.7352203429157331,0.09220421819670531
broad,v1,S4,natural,0.75,0.8285685936399709,0.62234432976196,0.20622426387801096,-2.7049271606561565,0.07624022815756172
broad,v1,S4,matched,0.25,0.6829376032635623,0.598924434001637,0.08401316926192537,-0.5867286551531015,0.14318913610926826
broad,v1,S4,matched,0.5,0.7359322891161348,0.5628577598033903,0.17307452931274458,-1.320107056778852,0.13110643445468567
broad,v1,S4,matched,0.75,0.7433653649032094,0.5267910856051435,0.21657427929806583,-2.2733195148779917,0.09526785736922216
broad,top20,S9,natural,0.25,0.9721849859897319,0.9346945479140392,0.037490438075692745,-1.9781411937902282,0.018952356987146597
broad,top20,S9,natural,0.5,0.9828532670324361,0.9124616325162345,0.07039163451620167,-3.981423967834141,0.017680014759767996
broad,top20,S9,natural,0.75,0.968972445533433,0.8902287171184295,0.07874372841500343,-6.006669973354528,0.01310938153158224
broad,top20,S9,matched,0.25,0.9740751158167016,0.938876264573377,0.03519885124332456,-1.5842218668978836,0.02221838492372825
broad,top20,S9,matched,0.5,0.9869048927676716,0.92082506583491,0.0660798269327616,-3.306489517797262,0.019984889284265166
broad,top20,S9,matched,0.75,0.9826078334370714,0.9027738670964429,0.07983396634062845,-5.188419267411515,0.01538695356446345
broad,top20,S4,natural,0.25,1.0103552765592498,0.8722277817212127,0.1381274948380371,-2.525416665608282,0.05469493280815392
broad,top20,S4,natural,0.5,1.0832744472012856,0.7875281001305814,0.29574634707070424,-5.112753798395131,0.05784482467423673
broad,top20,S4,natural,0.75,1.095393014191386,0.70282841853995,0.39256459565143587,-7.75405173785122,0.05062702815550496
broad,top20,S4,matched,0.25,1.0110101389017836,0.8421011074091672,0.16890903149261638,-1.8293945161869773,0.09233056620541037
broad,top20,S4,matched,0.5,1.0683589736206984,0.7272747515064905,0.34108422211420797,-4.00848974295267,0.08509045650269369
broad,top20,S4,matched,0.75,1.057874485241721,0.6124483956038136,0.4454260896379074,-6.662499023859891,0.06685570805229951
broad,ewall,S9,natural,0.25,1.0366199577039563,0.985945054632851,0.05067490307110534,-1.3845372898857233,0.03660060544507829
broad,ewall,S9,natural,0.5,1.0309732211254934,0.9466286369954422,0.08434458413005119,-2.797715204479445,0.03014766620812811
broad,ewall,S9,natural,0.75,0.9868651744299779,0.9073122193580335,0.07955295507194438,-4.2261493031140684,0.018823981209874722
broad,ewall,S9,matched,0.25,1.030936936098845,0.98800333331173,0.042933602787115,-1.0030774273447118,0.04280188310165282
broad,ewall,S9,matched,0.5,1.0279447738034972,0.9507451943532003,0.07719957945029698,-2.1105988510615514,0.036577097259135015
broad,ewall,S9,matched,0.75,0.9987905125306574,0.9134870553946706,0.08530345713598686,-3.364063159041031,0.02535726979641598
broad,ewall,S4,natural,0.25,1.102772052433978,0.9234782884400246,0.17929376399395336,-1.9466069560905686,0.09210578613878716
broad,ewall,S4,natural,0.5,1.188967225309679,0.8216951046097892,0.3672721206998898,-3.9451180055534385,0.09309534472299448
broad,ewall,S4,natural,0.75,1.1273142231669486,0.7199119207795539,0.4074023023873947,-5.983963063572784,0.06808235579986203
broad,ewall,S4,matched,0.25,1.1085568881877932,0.8921534619967932,0.21640342619099995,-1.297026968815218,0.1668457413716507
broad,ewall,S4,matched,0.5,1.184768233767817,0.7590454517233266,0.4257227820444903,-2.8938556586139974,0.1471126525530955
broad,ewall,S4,matched,0.75,1.1053991609769076,0.62593744144986,0.47946171952704764,-4.936256868241484,0.09713062596312039
