draw,selector,k,n,r,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,anchor_OOS_S,anchor_OOS_CAGR,anchor_OOS_DD,best_OOS_S,v2_OOS_S,spy_OOS_S,beats_anchor,beats_v2,beats_spy
1,PICK-r @k=40.0,40,20,0.5,0.271493996886221,0.023397542416292882,0.2668389362493827,-0.2957551079574221,0.2911287485381585,0.03611987616568929,-0.426317028139547,0.32179443063571367,0.42458506081762704,0.8820239235972316,False,False,False
1,PICK-n @k=40.0,40,20,0.5,0.271493996886221,0.023397542416292882,0.2668389362493827,-0.2957551079574221,0.32184923999902465,0.034520899113429725,-0.35571872388525205,0.36845729632878477,0.42458506081762704,0.8820239235972316,False,False,False
1,PICK-r @k=60.0,60,30,0.5,0.2843102452058302,0.030593818727926214,0.36006873691832936,-0.22525957532537177,0.32912270103060964,0.03979351496950223,-0.4049562788511416,0.45595149167430943,0.47462628870835005,0.8820239235972316,True,False,False
1,PICK-n @k=60.0,60,20,0.3333333333333333,0.31380092863686165,0.0634066283570962,0.5398169568922137,-0.3061961256526198,0.3828534610921289,0.04366850997462866,-0.3653479916391616,0.5398169568922137,0.47462628870835005,0.8820239235972316,True,True,False
1,PICK-r @k=80.0,80,20,0.25,0.5466110958552354,-0.007466709819575423,0.017926392188519127,-0.3983239169855626,0.11225342345964782,0.010624772267147364,-0.40271157459986806,0.35213015170649875,0.3365430213925767,0.8820239235972316,False,False,False
1,PICK-n @k=80.0,80,15,0.1875,0.5731234059107749,0.006885763049683469,0.12180721713567268,-0.4395626308948324,0.1063617677800794,0.008718507181906343,-0.40911305124310016,0.3785976867100838,0.3365430213925767,0.8820239235972316,True,False,False
1,PICK-r @k=100.0,100,25,0.25,0.5448467094654242,0.02698162684116623,0.26573376248810393,-0.26432690800882097,0.4174437615757799,0.06456610759471682,-0.26229992052484874,0.6961826747846356,0.5472960382537307,0.8820239235972316,False,False,False
1,PICK-n @k=100.0,100,20,0.2,0.5270003889397559,0.04486870603230941,0.3809767557317823,-0.2654108832556308,0.4401241211582752,0.06604592235263648,-0.2726336912731463,0.6961826747846356,0.5472960382537307,0.8820239235972316,False,False,False
1,PICK-r @k=200.0,200,50,0.25,0.5694021343425906,0.0431647702712743,0.38878254000817775,-0.2584210185107063,0.40225244734942833,0.050766845749505796,-0.27207112702137415,0.47894846731888224,0.6417795132273685,0.8820239235972316,False,False,False
1,PICK-n @k=200.0,200,30,0.15,0.4127150644048665,0.06531719759788324,0.4983011096369649,-0.2291661884620625,0.4721314833603584,0.07192003232884789,-0.33902866597336745,0.4983011096369649,0.6417795132273685,0.8820239235972316,True,False,False
1,PICK-r @k=400.0,400,200,0.5,0.47900807441673215,0.01637387365254095,0.22708569953728003,-0.1878884494439329,0.3747192194106757,0.04595396718317368,-0.2349563328935876,0.5391751535787913,0.5880594577596354,0.8820239235972316,False,False,False
1,PICK-n @k=400.0,400,10,0.025,0.38422681999316155,0.0904527351545128,0.5240205539020696,-0.301473504153581,0.5072462860881075,0.08262001166651026,-0.28583087034982013,0.5391751535787913,0.5880594577596354,0.8820239235972316,True,False,False
1,"PICK-(k,r) joint",200,50,0.25,0.5694021343425906,0.0431647702712743,0.38878254000817775,-0.2584210185107063,0.32115338356071665,0.04130418065495586,-0.3338853770050612,0.6961826747846356,0.6417795132273685,0.8820239235972316,True,False,False
1,"PICK-(k,n) joint",80,15,0.1875,0.5731234059107749,0.006885763049683469,0.12180721713567268,-0.4395626308948324,0.3717610599129957,0.05124898043632656,-0.3379454990606413,0.6961826747846356,0.3365430213925767,0.8820239235972316,False,False,False
2,PICK-r @k=40.0,40,20,0.5,0.6456020869416423,0.01976891737386155,0.23860134308410708,-0.31481370119318675,0.3537916955761543,0.054817307453342456,-0.5898984408314023,0.4772726071297072,0.6680319593768097,0.8820239235972316,False,False,False
2,PICK-n @k=40.0,40,30,0.75,0.652308730246311,0.013396989216014177,0.21938369176391748,-0.22918255083106343,0.23017180824847547,0.02071481069689498,-0.41890814965184353,0.34674611491219137,0.6680319593768097,0.8820239235972316,False,False,False
2,PICK-r @k=60.0,60,30,0.5,0.5113895743567499,0.027970734016986354,0.3127024735018821,-0.17733270467100826,0.3702770548002531,0.050777043352589535,-0.28571988495730094,0.4229874636046119,0.5622039462773781,0.8820239235972316,False,False,False
2,PICK-n @k=60.0,60,10,0.16666666666666666,0.5768453601495345,0.05690652884940506,0.42032098656662187,-0.28257372320535645,0.35464689182289205,0.04312528473769719,-0.26495729843771226,0.42032098656662187,0.5622039462773781,0.8820239235972316,True,False,False
2,PICK-r @k=80.0,80,20,0.25,0.7478062604820108,0.06206948853897609,0.5102530009802105,-0.26215899585816693,0.5610437827488631,0.0860525957667157,-0.30259505538702514,0.6808447055703969,0.6024368542818375,0.8820239235972316,False,False,False
2,PICK-n @k=80.0,80,20,0.25,0.7478062604820108,0.06206948853897609,0.5102530009802105,-0.26215899585816693,0.5465500376418161,0.07981401115320344,-0.29543388523728253,0.699142470979482,0.6024368542818375,0.8820239235972316,False,False,False
2,PICK-r @k=100.0,100,50,0.5,0.4413544744981392,0.020431339220864597,0.258868573445929,-0.22542868131353833,0.4427215095351805,0.06572380028723429,-0.29326060645152685,0.6277836973681657,0.5133647389903344,0.8820239235972316,False,False,False
2,PICK-n @k=100.0,100,30,0.3,0.445158119062205,0.04430101637146855,0.4067883706175042,-0.23120611491940313,0.495487206124196,0.0732079722436576,-0.29370632020765786,0.6277836973681657,0.5133647389903344,0.8820239235972316,False,False,False
2,PICK-r @k=200.0,200,100,0.5,0.4092604545519239,0.01974360546196019,0.2597437557858795,-0.19330391567869487,0.4137085009336994,0.05419443616592412,-0.2520646366606274,0.5073479268029134,0.629315651178276,0.8820239235972316,False,False,False
2,PICK-n @k=200.0,200,10,0.05,0.32599839105072403,0.08371922039766888,0.5073479268029134,-0.2809326970751672,0.4563013985994786,0.06804681000622881,-0.3111209795781472,0.5073479268029134,0.629315651178276,0.8820239235972316,True,False,False
2,PICK-r @k=400.0,400,200,0.5,0.44701200660868484,0.017141395443776686,0.2342087040474794,-0.19111960009601636,0.42190810840187837,0.05391092425682481,-0.23587078583828036,0.6265575533612125,0.5736375029098739,0.8820239235972316,False,False,False
2,PICK-n @k=400.0,400,10,0.025,0.4560272809642937,0.12438970695566032,0.6736211363003225,-0.2709235467376335,0.5847331530218209,0.09922375567185426,-0.28084965683666735,0.6736211363003225,0.5736375029098739,0.8820239235972316,True,True,False
2,"PICK-(k,r) joint",80,20,0.25,0.7478062604820108,0.06206948853897609,0.5102530009802105,-0.26215899585816693,0.42724177533267155,0.060912684547105155,-0.32656823502102716,0.6808447055703969,0.6024368542818375,0.8820239235972316,True,False,False
2,"PICK-(k,n) joint",80,20,0.25,0.7478062604820108,0.06206948853897609,0.5102530009802105,-0.26215899585816693,0.44464841590977994,0.06402210741825605,-0.3108293816582185,0.699142470979482,0.6024368542818375,0.8820239235972316,True,False,False
3,PICK-r @k=40.0,40,4,0.1,0.39792589011642693,0.03475730271584698,0.26558642446558567,-0.4444450686410054,0.21903750649939477,0.030949977819854424,-0.4247564661144657,0.4120062955391132,0.3720100164084282,0.8820239235972316,True,False,False
3,PICK-n @k=40.0,40,5,0.125,0.46589052405226944,0.02859086161708224,0.24201690173052004,-0.3796399649926433,0.11505176452018037,0.008011537823269155,-0.27513969497966845,0.24201690173052004,0.3720100164084282,0.8820239235972316,True,False,False
3,PICK-r @k=60.0,60,30,0.5,0.5282142259659037,0.03180719351485184,0.37052535030337325,-0.20026004499045358,0.4187346368244589,0.06542074438229356,-0.2942109784358994,0.6774150427405381,0.4631361964216975,0.8820239235972316,False,False,False
3,PICK-n @k=60.0,60,30,0.5,0.5282142259659037,0.03180719351485184,0.37052535030337325,-0.20026004499045358,0.336971447549218,0.037752521225118095,-0.2972170938104277,0.38033823450349274,0.4631361964216975,0.8820239235972316,True,False,False
3,PICK-r @k=80.0,80,40,0.5,0.3847918945523211,0.026771832122369776,0.33704628234959955,-0.16515627258400256,0.6357233868365575,0.10879416262150648,-0.22280889634494766,0.8687571448024084,0.6458412282812667,0.8820239235972316,False,False,False
3,PICK-n @k=80.0,80,30,0.375,0.42405192480234744,0.03521472469565823,0.36490501262388275,-0.19768270549176126,0.6383104155398314,0.09875509201546077,-0.21202692194577288,0.8317030043701615,0.6458412282812667,0.8820239235972316,False,False,False
3,PICK-r @k=100.0,100,50,0.5,0.5883458874261974,-0.0015828278954526098,0.030038430805460335,-0.2269275500107617,0.19692009876745378,0.02329384587533828,-0.30848055937534746,0.33112890913799703,0.3094540616387492,0.8820239235972316,False,False,False
3,PICK-n @k=100.0,100,15,0.15,0.566429660704434,0.032199986895319554,0.27982076762002794,-0.3000576356630239,0.24309582091604692,0.028695964269743256,-0.3266023552830784,0.33112890913799703,0.3094540616387492,0.8820239235972316,True,False,False
3,PICK-r @k=200.0,200,100,0.5,0.5274841996528208,0.024227755330505918,0.29796280861656393,-0.1982053676886345,0.35408790723213734,0.04306579432694069,-0.2703379023117074,0.4213120338469929,0.6184695879104118,0.8820239235972316,False,False,False
3,PICK-n @k=200.0,200,30,0.15,0.2400918318287301,0.054406456877814646,0.4291431154336548,-0.2598810947679595,0.43441176291939165,0.06544127385935679,-0.29388463087714817,0.4920666264882503,0.6184695879104118,0.8820239235972316,False,False,False
3,PICK-r @k=400.0,400,200,0.5,0.4956888694039942,0.013562326063390584,0.1978412869954316,-0.19929859726094634,0.367077435092337,0.044687812790377146,-0.2435926175439661,0.4957550718704153,0.570777373158267,0.8820239235972316,False,False,False
3,PICK-n @k=400.0,400,10,0.025,0.512797833815601,0.10591634445752329,0.5942424531548911,-0.2805054200515512,0.5225863961872789,0.08655236748828635,-0.2962957293784674,0.5942424531548911,0.570777373158267,0.8820239235972316,True,True,False
3,"PICK-(k,r) joint",100,50,0.5,0.5883458874261974,-0.0015828278954526098,0.030038430805460335,-0.2269275500107617,0.3652634952087232,0.05270205630271843,-0.2940312366877223,0.8687571448024084,0.3094540616387492,0.8820239235972316,False,False,False
3,"PICK-(k,n) joint",100,15,0.15,0.566429660704434,0.032199986895319554,0.27982076762002794,-0.3000576356630239,0.3817379346053245,0.0542014594468724,-0.2835277377124272,0.8317030043701615,0.3094540616387492,0.8820239235972316,False,False,False
4,PICK-r @k=40.0,40,4,0.1,0.5362770727551803,0.04617498228368677,0.3176803925724285,-0.4748333487223855,0.29610039824303636,0.039407746248835196,-0.3935586522758189,0.3367188233234496,0.5286916803729645,0.8820239235972316,True,False,False
4,PICK-n @k=40.0,40,5,0.125,0.6014943885851547,0.06960502536697133,0.441351711431616,-0.4272635355037171,0.2823047954783232,0.03157506423692937,-0.2850101771995424,0.441351711431616,0.5286916803729645,0.8820239235972316,True,False,False
4,PICK-r @k=60.0,60,3,0.05,0.3809707354876143,0.129723522116596,0.6022835657442135,-0.31540734137818704,0.3570448903747198,0.05530890254571558,-0.3354128173182475,0.6022835657442135,0.588489874847753,0.8820239235972316,True,True,False
4,PICK-n @k=60.0,60,30,0.5,0.3773474689608501,0.017787267632715098,0.22810191643270916,-0.2570428772936115,0.26393072009513646,0.028877686006920554,-0.357957386886444,0.3362552385711864,0.588489874847753,0.8820239235972316,False,False,False
4,PICK-r @k=80.0,80,4,0.05,0.2369092825227992,0.03289435674964358,0.25459543205965735,-0.3844896590506073,0.32283745973294875,0.0388372180867545,-0.30252736737003255,0.3930527687886247,0.5938944258865118,0.8820239235972316,False,False,False
4,PICK-n @k=80.0,80,30,0.375,0.20868919493492555,0.030677962569899853,0.3108793122637215,-0.2595847200827228,0.2887030991879068,0.03167142939234544,-0.32198061200497985,0.39275037724984835,0.5938944258865118,0.8820239235972316,True,False,False
4,PICK-r @k=100.0,100,50,0.5,0.5096546380282407,0.02157144825905344,0.26936534935361595,-0.1920588186508908,0.4123839654379665,0.05847821501219802,-0.2743171496088398,0.5554828192119458,0.4313907347283537,0.8820239235972316,False,False,False
4,PICK-n @k=100.0,100,5,0.05,0.45589031362802707,0.08286453422512441,0.4609938684879022,-0.3565129684237671,0.45948297209921785,0.06699467027524512,-0.2917086582590081,0.5902397861375928,0.4313907347283537,0.8820239235972316,True,True,False
4,PICK-r @k=200.0,200,10,0.05,0.5268656809576857,0.07311233955166307,0.46667570379192974,-0.27449766972123935,0.3326089397945862,0.04216261240748598,-0.2556078779562815,0.46667570379192974,0.43447233070284885,0.8820239235972316,True,True,False
4,PICK-n @k=200.0,200,10,0.05,0.5268656809576857,0.07311233955166307,0.46667570379192974,-0.27449766972123935,0.4362876619796536,0.06515134339028061,-0.27056641342482546,0.4730086032620526,0.43447233070284885,0.8820239235972316,True,True,False
4,PICK-r @k=400.0,400,200,0.5,0.5053843412073796,0.020075215252038925,0.26930705372356073,-0.1845276001342092,0.41491760835656566,0.05069234031892933,-0.24295691205553493,0.54330153457101,0.5903350826739407,0.8820239235972316,False,False,False
4,PICK-n @k=400.0,400,10,0.025,0.561336105304554,0.12200278278152821,0.6653533364720314,-0.2870224790265934,0.5553659414606554,0.09174180922777561,-0.280494275285756,0.6653533364720314,0.5903350826739407,0.8820239235972316,True,True,False
4,"PICK-(k,r) joint",40,4,0.1,0.5362770727551803,0.04617498228368677,0.3176803925724285,-0.4748333487223855,0.3559822103233039,0.0474811724366531,-0.3007301294307925,0.6022835657442135,0.5286916803729645,0.8820239235972316,False,False,False
4,"PICK-(k,n) joint",40,5,0.125,0.6014943885851547,0.06960502536697133,0.441351711431616,-0.4272635355037171,0.3810125317168155,0.05266866708824946,-0.30128625384342606,0.6653533364720314,0.5286916803729645,0.8820239235972316,True,False,False
5,PICK-r @k=40.0,40,20,0.5,0.47175906294267267,0.02163391024582695,0.24643284980936098,-0.2479609416687335,0.21561820781557525,0.0158078859330891,-0.3706715307550893,0.30903894395422504,0.5309865293887819,0.8820239235972316,True,False,False
5,PICK-n @k=40.0,40,15,0.375,0.49516210234698604,0.05234133655831963,0.44707942833668063,-0.28500528818935056,0.29090958764250247,0.028856165294266357,-0.2791161967364838,0.44707942833668063,0.5309865293887819,0.8820239235972316,True,False,False
5,PICK-r @k=60.0,60,3,0.05,0.5001384385378916,0.04857986114406421,0.31317090728078584,-0.5757450848096151,0.3075115841773106,0.0358001104158327,-0.37384044598719907,0.3736909934334253,0.6007491775144614,0.8820239235972316,True,False,False
5,PICK-n @k=60.0,60,30,0.5,0.422832976863472,0.03185336227025859,0.3736909934334253,-0.2169235026251688,0.3035224484273188,0.03247381244420731,-0.30798815823345965,0.3736909934334253,0.6007491775144614,0.8820239235972316,True,False,False
5,PICK-r @k=80.0,80,40,0.5,0.4900001184203275,0.021554693350700482,0.269299036607174,-0.23403764358920587,0.38519915035437025,0.05524402801017414,-0.34245360304294914,0.5674656516802437,0.5073208901321477,0.8820239235972316,False,False,False
5,PICK-n @k=80.0,80,30,0.375,0.4630787272403048,0.034377607866354465,0.3450459540981876,-0.30190252180395794,0.35937383130634415,0.045833430025758126,-0.3534794557321776,0.42396060694913795,0.5073208901321477,0.8820239235972316,False,False,False
5,PICK-r @k=100.0,100,5,0.05,0.6602934674671292,-0.010751532250808937,0.06769899106848765,-0.49627128406125065,0.16276360399163897,0.010064685703577825,-0.3407697786165732,0.21999999755841437,0.4969037115534154,0.8820239235972316,False,False,False
5,PICK-n @k=100.0,100,5,0.05,0.6602934674671292,-0.010751532250808937,0.06769899106848765,-0.49627128406125065,0.19729209066790215,0.017324613659590905,-0.36188222691165095,0.31323358093853837,0.4969037115534154,0.8820239235972316,False,False,False
5,PICK-r @k=200.0,200,100,0.5,0.3589810249602047,0.016191072478675794,0.22320950202365736,-0.1867402448827754,0.3981693774222929,0.05105435054683144,-0.26344341710060615,0.5447842644939014,0.6376966259808673,0.8820239235972316,False,False,False
5,PICK-n @k=200.0,200,30,0.15,0.26255714428978255,0.06727719592363468,0.5144212273948411,-0.2709457714472717,0.499594099904468,0.07647652855164737,-0.33090206735956446,0.5447842644939014,0.6376966259808673,0.8820239235972316,True,False,False
5,PICK-r @k=400.0,400,200,0.5,0.49910034724774005,0.01575927894309359,0.2214852839284727,-0.18688518953869548,0.3690563783558183,0.04437455362479209,-0.25317828443053475,0.4799339994457328,0.5531132686261653,0.8820239235972316,False,False,False
5,PICK-n @k=400.0,400,15,0.0375,0.5069011414280837,0.08190380376391282,0.520799186984556,-0.294786341167643,0.5045067806717647,0.0808866826793861,-0.3217837718329172,0.630314459480756,0.5531132686261653,0.8820239235972316,True,False,False
5,"PICK-(k,r) joint",100,5,0.05,0.6602934674671292,-0.010751532250808937,0.06769899106848765,-0.49627128406125065,0.3063863836861677,0.03539093570571621,-0.32405950998882527,0.5674656516802437,0.4969037115534154,0.8820239235972316,False,False,False
5,"PICK-(k,n) joint",100,5,0.05,0.6602934674671292,-0.010751532250808937,0.06769899106848765,-0.49627128406125065,0.3591998064367167,0.04697520544247603,-0.3258586461343756,0.630314459480756,0.4969037115534154,0.8820239235972316,False,False,False
6,PICK-r @k=40.0,40,4,0.1,0.38927018336518726,-0.014192074901415497,0.045404269510579236,-0.38521722935858604,0.08288737114914868,6.509085488795585e-05,-0.3883270057613055,0.1979871700997405,0.262067408709064,0.8820239235972316,False,False,False
6,PICK-n @k=40.0,40,5,0.125,0.39799529089274843,-0.0045753367176756266,0.07683816734673907,-0.36224457988868675,0.035708652925708406,-0.001971851254490753,-0.316468515623577,0.14711415614246018,0.262067408709064,0.8820239235972316,True,False,False
6,PICK-r @k=60.0,60,15,0.25,0.4150393175600021,0.03825063558627151,0.3319000753492859,-0.3132574540582892,0.20191673588670386,0.016574398298783655,-0.39717330179805677,0.3319000753492859,0.5451707763182968,0.8820239235972316,True,False,False
6,PICK-n @k=60.0,60,20,0.3333333333333333,0.4465754190866758,0.034118919673261194,0.3219175656408747,-0.3327499570285394,0.2660051754570516,0.028680824282303296,-0.3484183577035059,0.3319000753492859,0.5451707763182968,0.8820239235972316,True,False,False
6,PICK-r @k=80.0,80,8,0.1,0.345920653220504,0.07558691537663154,0.48598708609978936,-0.2499801437886784,0.45187741247821855,0.06923444535570977,-0.2737515521472385,0.675749728118342,0.46036270987852035,0.8820239235972316,True,True,False
6,PICK-n @k=80.0,80,30,0.375,0.38557293420020655,0.027630016199888585,0.28806716750797673,-0.27421550545100337,0.43914501685626445,0.06200728783727052,-0.2802797255522603,0.5638537420808698,0.46036270987852035,0.8820239235972316,False,False,False
6,PICK-r @k=100.0,100,5,0.05,0.6088001138752327,0.05393778419185136,0.35199163380329096,-0.39042943371223837,0.19828704956652698,0.023891262391869755,-0.3100059087931232,0.35199163380329096,0.4877893374944994,0.8820239235972316,True,False,False
6,PICK-n @k=100.0,100,5,0.05,0.6088001138752327,0.05393778419185136,0.35199163380329096,-0.39042943371223837,0.18662922410887398,0.020252583761454536,-0.34425065231878405,0.35199163380329096,0.4877893374944994,0.8820239235972316,True,False,False
6,PICK-r @k=200.0,200,100,0.5,0.4492918680195321,0.0099284038387355,0.15349475040711566,-0.22970604741518408,0.3463856450786899,0.04479527966515856,-0.30075121455914744,0.4855127016122702,0.5785767395578442,0.8820239235972316,False,False,False
6,PICK-n @k=200.0,200,5,0.025,0.5313707604211988,0.0973635269885329,0.5022516526988826,-0.32092081494511127,0.45761849598524107,0.07027490977403143,-0.33051661410540256,0.5022516526988826,0.5785767395578442,0.8820239235972316,True,False,False
6,PICK-r @k=400.0,400,200,0.5,0.4525473208211804,0.015652079173698485,0.21824052917766235,-0.19087152975112798,0.3887231219304498,0.047819693934026075,-0.23022272177874084,0.5267432123819674,0.5615243989685856,0.8820239235972316,False,False,False
6,PICK-n @k=400.0,400,20,0.05,0.33954030415277153,0.07888070287928284,0.5267432123819674,-0.24221613798042074,0.5169735839321927,0.0838142390354788,-0.29072717950422433,0.5654232371564435,0.5615243989685856,0.8820239235972316,True,False,False
6,"PICK-(k,r) joint",100,5,0.05,0.6088001138752327,0.05393778419185136,0.35199163380329096,-0.39042943371223837,0.27834622268162296,0.0337300284167393,-0.3167052841396021,0.675749728118342,0.4877893374944994,0.8820239235972316,True,False,False
6,"PICK-(k,n) joint",100,5,0.05,0.6088001138752327,0.05393778419185136,0.35199163380329096,-0.39042943371223837,0.31701335821088866,0.04384299890600797,-0.3184435074679589,0.5654232371564435,0.4877893374944994,0.8820239235972316,True,False,False
7,PICK-r @k=40.0,40,20,0.5,0.3657070032722135,0.013094697111326603,0.179067038677124,-0.3768206485923279,0.31125165883644856,0.048075636379812436,-0.5449649511422469,0.5084556596469786,0.25098195165767084,0.8820239235972316,False,False,False
7,PICK-n @k=40.0,40,5,0.125,0.4313584800361597,0.08384451471806131,0.4929112790577957,-0.4658083449498458,0.2486696058361221,0.028770743233730255,-0.41858479536699367,0.4929112790577957,0.25098195165767084,0.8820239235972316,True,True,False
7,PICK-r @k=60.0,60,15,0.25,0.34516339508498267,0.00471526293349811,0.10415117384651529,-0.32929583175259736,0.14123344130432,0.01580910778130193,-0.35251123668170536,0.35890162919508956,0.39942967925755624,0.8820239235972316,False,False,False
7,PICK-n @k=60.0,60,15,0.25,0.34516339508498267,0.00471526293349811,0.10415117384651529,-0.32929583175259736,0.11071118383967274,0.011289075251702974,-0.3277634914232574,0.32906744299295626,0.39942967925755624,0.8820239235972316,False,False,False
7,PICK-r @k=80.0,80,4,0.05,0.4795728548597893,0.05429703727909496,0.340645330167102,-0.37095166793073264,0.29191226688129834,0.03705643586055385,-0.30499500742028285,0.36510683364792756,0.6755869459902987,0.8820239235972316,True,False,False
7,PICK-n @k=80.0,80,5,0.0625,0.5453727330352487,0.06609971480043186,0.4011619962435108,-0.3449545839833067,0.3079478917134087,0.03929935615184377,-0.31397326824426475,0.4011619962435108,0.6755869459902987,0.8820239235972316,True,False,False
7,PICK-r @k=100.0,100,50,0.5,0.3579996625181018,0.047589459974027415,0.5236099440136374,-0.177312158551567,0.6184367039145412,0.09186791065435929,-0.24446523087236835,0.713895163705207,0.6298816538401721,0.8820239235972316,False,False,False
7,PICK-n @k=100.0,100,30,0.3,0.27919421889447565,0.07505214774776037,0.61578186783009,-0.24528566098001103,0.6714511008199117,0.10422355939050339,-0.2448078100750079,0.736109463094589,0.6298816538401721,0.8820239235972316,False,False,False
7,PICK-r @k=200.0,200,100,0.5,0.4691443751941003,0.020857923831379077,0.2721724995097175,-0.1989861187997286,0.4083083182556201,0.05166226930766399,-0.27721651461437236,0.5208214652947215,0.5643559884907305,0.8820239235972316,False,False,False
7,PICK-n @k=200.0,200,15,0.075,0.4580220755545818,0.061150555269166906,0.4362443002754388,-0.30555904113434773,0.43461869933316405,0.06198881360566353,-0.31183264582961234,0.5208214652947215,0.5643559884907305,0.8820239235972316,True,False,False
7,PICK-r @k=400.0,400,200,0.5,0.48254524057934356,0.016761962537862996,0.23158574027750684,-0.19607401382786105,0.4115396102545432,0.05158849899241569,-0.23844276877324358,0.5740609514608092,0.5952786503971715,0.8820239235972316,False,False,False
7,PICK-n @k=400.0,400,10,0.025,0.4259539361291317,0.1252751177082274,0.6801547628313587,-0.2828728390575359,0.5802308899402924,0.09731190527144858,-0.30130622777129606,0.6801547628313587,0.5952786503971715,0.8820239235972316,True,True,False
7,"PICK-(k,r) joint",400,200,0.5,0.48254524057934356,0.016761962537862996,0.23158574027750684,-0.19607401382786105,0.36378033324112863,0.0493433098293512,-0.3270992849173699,0.713895163705207,0.5952786503971715,0.8820239235972316,False,False,False
7,"PICK-(k,n) joint",80,5,0.0625,0.5453727330352487,0.06609971480043186,0.4011619962435108,-0.3449545839833067,0.39227156191376195,0.05714724215081542,-0.31971137311840536,0.736109463094589,0.6755869459902987,0.8820239235972316,True,False,False
