form,w,param,ord_CAGR,d_ord,y2020,d2020,y2022,d2022,payoff,cost,eff
SIZE,252,0.9,0.16170331564677531,-0.0019668378459034574,0.11160822536693149,0.016464975671125703,-0.11066536139470873,0.0029345872949394503,0.019399562966065154,0.0019668378459034574,9.863326052257277
GATE,504,0.5,0.15886024764145001,-0.004809905851228757,0.1175937481443059,0.02245049844850011,-0.08676848431627271,0.02683146437337547,0.04928196282187558,0.004809905851228757,10.245930865629276
SIZE,504,0.1,0.15253187601114093,-0.01113827748153784,0.21576214612732958,0.12061889643152379,-0.0764908963319707,0.037109052357677474,0.15772794878920127,0.01113827748153784,14.160892386694616
SIZE,504,0.25,0.15450866271579566,-0.009161490776883108,0.19634481252280733,0.10120156282700155,-0.0823513533562179,0.031248595333430274,0.13245015816043182,0.009161490776883108,14.457271353111985
SIZE,504,0.4,0.15643770154090308,-0.007232451951775687,0.176626078262482,0.08148282856667621,-0.08834567787731729,0.025254270812330892,0.1067370993790071,0.007232451951775687,14.758079291878515
SIZE,504,0.5,0.15769704669489415,-0.005973106797784622,0.16332284271395725,0.06817959301815146,-0.09241476116382419,0.02118518752582399,0.08936478054397545,0.005973106797784622,14.96118913814167
SIZE,504,0.6,0.15893493968391792,-0.004735213808760852,0.1499006993382377,0.0547574496424319,-0.09654107117064148,0.0170588775190067,0.0718163271614386,0.004735213808760852,15.166438108574459
SIZE,504,0.75,0.16075135521280348,-0.00291879827987529,0.1295576893732906,0.03441443967748481,-0.10283581065626146,0.010764138033386716,0.045178577710871526,0.00291879827987529,15.478485794092578
SIZE,504,0.9,0.16251898690584343,-0.0011511665868353393,0.10898094385201529,0.013837694156209501,-0.10925406835674534,0.004345880332902841,0.018183574489112342,0.0011511665868353393,15.795780295448486
GATE,756,0.5,0.14905365750552946,-0.014616495987149314,0.13958419258991972,0.04444094289411393,-0.07592652147291024,0.03767342721673794,0.08211437011085188,0.014616495987149314,5.617924445301122
SIZE,756,0.1,0.1482596412844739,-0.015410512208204885,0.2024896450555591,0.10734639535975332,-0.10316723259992666,0.010432716089721517,0.11777911144947484,0.015410512208204885,7.642777206767127
SIZE,756,0.25,0.15089916086187594,-0.012770992630802835,0.18550404385892572,0.09036079416311993,-0.1047746260560325,0.008825322633615684,0.09918611679673561,0.012770992630802835,7.7665158585641105
SIZE,756,0.4,0.15351050448320502,-0.010159649009473748,0.16813031093800235,0.07298706124219656,-0.1064349964275011,0.007164952262147084,0.08015201350434364,0.010159649009473748,7.889250251618228
SIZE,756,0.5,0.15523564875964735,-0.008434504733031423,0.15634173583418343,0.06119848613837764,-0.10757118961250745,0.006028759077140733,0.06722724521551837,0.008434504733031423,7.970502992575405
SIZE,756,0.6,0.15694812331067332,-0.006722030182005456,0.14439502172749719,0.0492517720316914,-0.10873069760601317,0.004869251083635007,0.054121023115326405,0.006722030182005456,8.0512912989004
SIZE,756,0.75,0.1594929511885783,-0.004177202304100458,0.12619114332863712,0.031047893632831336,-0.11051346614451918,0.003086482545128999,0.034134376177960335,0.004177202304100458,8.171587989514677
SIZE,756,0.9,0.16200894293219803,-0.0016612105604807414,0.10766421902686618,0.012520969331060394,-0.11234815008049248,0.0012517986091556965,0.01377276794021609,0.0016612105604807414,8.290802061979644
GATE,1008,0.5,0.15653819804392555,-0.007131955448753224,0.13151251998564106,0.036369270289835276,-0.07496189930826713,0.038638049381381045,0.07500731967121632,0.007131955448753224,10.517076306797284
SIZE,1008,0.1,0.15316823423574522,-0.010501919256933556,0.18360290789141875,0.08845965819561297,-0.10198300989934572,0.011616938790302456,0.10007659698591542,0.010501919256933556,9.529362637200153
SIZE,1008,0.25,0.1549696340019333,-0.008700519490745462,0.17002270952421616,0.07487945982841038,-0.10378573427225979,0.00981421441738839,0.08469367424579877,0.008700519490745462,9.734323833868245
SIZE,1008,0.4,0.15675072070804297,-0.006919432784635804,0.15595466935017344,0.06081141965436765,-0.10564230554440956,0.007957643145238613,0.06876906279960626,0.006919432784635804,9.93854047578928
SIZE,1008,0.5,0.15792678259182802,-0.005743370900850753,0.14631316400275396,0.05116991430694817,-0.10690976270531938,0.0066901859843288,0.05786010029127697,0.005743370900850753,10.074240596703634
SIZE,1008,0.6,0.15909375024721784,-0.004576403245460936,0.13646727459359353,0.04132402489778775,-0.1082008913288447,0.005399057360803483,0.04672308225859123,0.004576403245460936,10.209564094888949
SIZE,1008,0.75,0.16082709249742377,-0.002843060995254998,0.12132642801651183,0.026183178320706046,-0.1101817330545608,0.003418215635087374,0.02960139395579342,0.002843060995254998,10.411804039799868
SIZE,1008,0.9,0.16253982507220632,-0.0011303284204724484,0.10575481027753875,0.01061156058173296,-0.1122152243531287,0.0013847243365194828,0.011996284918252442,0.0011303284204724484,10.61309677875595
