panel,cost,selector,book,gross,band,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,V2_CAGR,V2_Sharpe,V2_MaxDD,beats_SPY,beats_V2,OOS_4b,OOS_4a
U56,50.0,S2_OWNpanel,EWALL,0.75,0.0,0.1336554295990784,1.1029922606968043,-0.22583815653911088,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.08701349791686863,1.1804580613683542,-0.12155433986760933,True,False,False,False
U56,50.0,S3_MISstamped,EWALL,0.75,0.0,0.1336554295990784,1.1029922606968043,-0.22583815653911088,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.08701349791686863,1.1804580613683542,-0.12155433986760933,True,False,False,False
B136,0.0,S0_ISsharpe,LOWVOL20,1.0,0.0,0.0756936879563006,0.8615680945681017,-0.2035598339872009,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08210528304142994,1.1481353293632484,-0.12211398589281497,False,False,False,False
B136,0.0,S1_RAWbind,EWALL,1.0,0.06,0.11064335113497847,1.1216366331419143,-0.1801444731713049,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08210528304142994,1.1481353293632484,-0.12211398589281497,True,False,True,False
B136,0.0,S2_OWNpanel,EWALL,1.0,0.06,0.11064335113497847,1.1216366331419143,-0.1801444731713049,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08210528304142994,1.1481353293632484,-0.12211398589281497,True,False,True,False
B136,0.0,S3_MISstamped,EWALL,1.0,0.06,0.11064335113497847,1.1216366331419143,-0.1801444731713049,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08210528304142994,1.1481353293632484,-0.12211398589281497,True,False,True,False
B136,5.0,S0_ISsharpe,LOWVOL20,1.0,0.0,0.07166352616624638,0.8192220728685536,-0.2045749019932508,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08096874887198946,1.1333248961415148,-0.12226096695787714,False,False,False,False
B136,5.0,S1_RAWbind,EWALL,1.0,0.06,0.10951961720214332,1.1112688197953149,-0.18027359725028647,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08096874887198946,1.1333248961415148,-0.12226096695787714,True,False,True,False
B136,5.0,S2_OWNpanel,EWALL,1.0,0.06,0.10951961720214332,1.1112688197953149,-0.18027359725028647,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08096874887198946,1.1333248961415148,-0.12226096695787714,True,False,True,False
B136,5.0,S3_MISstamped,EWALL,1.0,0.06,0.10951961720214332,1.1112688197953149,-0.18027359725028647,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08096874887198946,1.1333248961415148,-0.12226096695787714,True,False,True,False
B136,10.0,S0_ISsharpe,LOWVOL20,1.0,0.0,0.06764801068759163,0.7768788825095504,-0.20564123830348469,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07983337481604291,1.1185082795688415,-0.12240793860207921,False,False,False,False
B136,10.0,S1_RAWbind,EWALL,1.0,0.06,0.10839698228536188,1.1008979515718442,-0.18040271115669282,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07983337481604291,1.1185082795688415,-0.12240793860207921,True,False,True,False
B136,10.0,S2_OWNpanel,EWALL,1.0,0.06,0.10839698228536188,1.1008979515718442,-0.18040271115669282,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07983337481604291,1.1185082795688415,-0.12240793860207921,True,False,True,False
B136,10.0,S3_MISstamped,EWALL,1.0,0.06,0.10839698228536188,1.1008979515718442,-0.18040271115669282,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07983337481604291,1.1185082795688415,-0.12240793860207921,True,False,True,False
B136,25.0,S0_ISsharpe,EWALL,1.0,0.0,0.18380555262327358,1.0898873739634778,-0.32744194874295796,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07643420182382177,1.0740236940215915,-0.12284879701088924,True,True,False,False
B136,25.0,S1_RAWbind,EWALL,1.0,0.06,0.10503566122795682,1.0697679994726494,-0.18078999184240752,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07643420182382177,1.0740236940215915,-0.12284879701088924,True,False,False,False
B136,25.0,S2_OWNpanel,EWALL,1.0,0.06,0.10503566122795682,1.0697679994726494,-0.18078999184240752,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07643420182382177,1.0740236940215915,-0.12284879701088924,True,False,False,False
B136,25.0,S3_MISstamped,EWALL,1.0,0.06,0.10503566122795682,1.0697679994726494,-0.18078999184240752,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07643420182382177,1.0740236940215915,-0.12284879701088924,True,False,False,False
B136,50.0,S0_ISsharpe,EWALL,1.0,0.0,0.18028122695431792,1.072064140522766,-0.32782042570726444,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07079200855638135,0.9997811558197238,-0.1235833726210791,True,True,False,False
B136,50.0,S1_RAWbind,EWALL,1.0,0.06,0.09945534283153079,1.017832821493093,-0.1814352562186088,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07079200855638135,0.9997811558197238,-0.1235833726210791,True,True,False,False
B136,50.0,S2_OWNpanel,EWALL,1.0,0.06,0.09945534283153079,1.017832821493093,-0.1814352562186088,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07079200855638135,0.9997811558197238,-0.1235833726210791,True,True,False,False
B136,50.0,S3_MISstamped,EWALL,1.0,0.06,0.09945534283153079,1.017832821493093,-0.1814352562186088,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07079200855638135,0.9997811558197238,-0.1235833726210791,True,True,False,False
SMALL439,0.0,S0_ISsharpe,LOWVOL20,1.0,0.0,0.042271341920218974,0.3739747756129961,-0.28869418296748184,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.04137059832439505,0.6070527207999389,-0.1432604612837829,False,False,False,False
SMALL439,0.0,S1_RAWbind,LOWVOL20,1.0,0.06,0.019237757423196555,0.26844127175805627,-0.1956615753714629,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.04137059832439505,0.6070527207999389,-0.1432604612837829,False,False,False,False
SMALL439,0.0,S2_OWNpanel,LOWVOL20,1.0,0.06,0.019237757423196555,0.26844127175805627,-0.1956615753714629,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.04137059832439505,0.6070527207999389,-0.1432604612837829,False,False,False,False
SMALL439,0.0,S3_MISstamped,LOWVOL20,1.0,0.06,0.019237757423196555,0.26844127175805627,-0.1956615753714629,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.04137059832439505,0.6070527207999389,-0.1432604612837829,False,False,False,False
SMALL439,5.0,S0_ISsharpe,LOWVOL20,1.0,0.0,0.03448298342765055,0.3184615105027578,-0.29039319417612053,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03987218581424745,0.5867725240158804,-0.1451504148078958,False,False,False,False
SMALL439,5.0,S1_RAWbind,LOWVOL20,1.0,0.06,0.013951035129164069,0.20659987831016488,-0.20574695798701625,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03987218581424745,0.5867725240158804,-0.1451504148078958,False,False,False,False
SMALL439,5.0,S2_OWNpanel,LOWVOL20,1.0,0.06,0.013951035129164069,0.20659987831016488,-0.20574695798701625,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03987218581424745,0.5867725240158804,-0.1451504148078958,False,False,False,False
SMALL439,5.0,S3_MISstamped,LOWVOL20,1.0,0.06,0.013951035129164069,0.20659987831016488,-0.20574695798701625,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03987218581424745,0.5867725240158804,-0.1451504148078958,False,False,False,False
SMALL439,10.0,S0_ISsharpe,LOWVOL20,1.0,0.0,0.02675145285268843,0.2629886354626314,-0.29208870222124095,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03837588361212907,0.5664863714962118,-0.14703625800008668,False,False,False,False
SMALL439,10.0,S1_RAWbind,LOWVOL20,0.75,0.0,0.021767113930647675,0.2633715511441316,-0.22522809113372788,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03837588361212907,0.5664863714962118,-0.14703625800008668,False,False,False,False
SMALL439,10.0,S2_OWNpanel,LOWVOL20,1.0,0.06,0.008691031752322997,0.14482640602770397,-0.21570710360269862,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03837588361212907,0.5664863714962118,-0.14703625800008668,False,False,False,False
SMALL439,10.0,S3_MISstamped,LOWVOL20,0.75,0.0,0.021767113930647675,0.2633715511441316,-0.22522809113372788,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.03837588361212907,0.5664863714962118,-0.14703625800008668,False,False,False,False
SMALL439,25.0,S0_ISsharpe,LOWVOL20,1.0,0.0,0.003893795279765966,0.09691120209180899,-0.29715426899178987,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.033899609793537566,0.5055965085013997,-0.15266921361149632,False,False,False,False
SMALL439,25.0,S1_RAWbind,LOWVOL20,0.75,0.0,0.004690843133582812,0.09707028905009182,-0.22931464594151152,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.033899609793537566,0.5055965085013997,-0.15266921361149632,False,False,False,False
SMALL439,25.0,S2_OWNpanel,LOWVOL20,0.75,0.0,0.004690843133582812,0.09707028905009182,-0.22931464594151152,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.033899609793537566,0.5055965085013997,-0.15266921361149632,False,False,False,False
SMALL439,25.0,S3_MISstamped,LOWVOL20,0.75,0.0,0.004690843133582812,0.09707028905009182,-0.22931464594151152,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.033899609793537566,0.5055965085013997,-0.15266921361149632,False,False,False,False
SMALL439,50.0,S0_ISsharpe,EWALL,1.0,0.0,0.11760146463962107,0.5926475411096525,-0.4681071610477331,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.026481088946001208,0.40403474889846214,-0.16197608512106554,False,True,False,False
SMALL439,50.0,S1_RAWbind,LOWVOL20,1.0,0.0,-0.033102969598373555,-0.17816549673515375,-0.3503311655988708,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.026481088946001208,0.40403474889846214,-0.16197608512106554,False,False,False,False
SMALL439,50.0,S2_OWNpanel,LOWVOL20,1.0,0.0,-0.033102969598373555,-0.17816549673515375,-0.3503311655988708,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.026481088946001208,0.40403474889846214,-0.16197608512106554,False,False,False,False
SMALL439,50.0,S3_MISstamped,LOWVOL20,1.0,0.0,-0.033102969598373555,-0.17816549673515375,-0.3503311655988708,0.15450723909089614,0.8820107009842559,-0.33717235283398284,0.026481088946001208,0.40403474889846214,-0.16197608512106554,False,False,False,False
BSTK100,0.0,S0_ISsharpe,EWALL,1.0,0.0,0.21410064356930625,1.1542032499588888,-0.34085796479277264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09140209953931344,1.170101480806372,-0.12852647282830376,True,False,False,False
BSTK100,0.0,S1_RAWbind,EWALL,1.0,0.04,0.12344218674245444,1.1664623250763135,-0.17649994614897635,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09140209953931344,1.170101480806372,-0.12852647282830376,True,False,True,False
BSTK100,0.0,S2_OWNpanel,EWALL,1.0,0.02,0.12504824637770784,1.198197817318988,-0.1716881795007188,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09140209953931344,1.170101480806372,-0.12852647282830376,True,True,True,False
BSTK100,0.0,S3_MISstamped,TOP20,0.5,0.02,0.11314156850733892,1.0852057617233548,-0.15361213644637328,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09140209953931344,1.170101480806372,-0.12852647282830376,True,False,True,False
BSTK100,5.0,S0_ISsharpe,EWALL,1.0,0.0,0.21331422699406977,1.1506449348133192,-0.3409325004358693,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.0901470195296612,1.1552268286637977,-0.12867431059670698,True,False,False,False
BSTK100,5.0,S1_RAWbind,EWALL,1.0,0.04,0.12193103127512983,1.1535739620643197,-0.1766754362879167,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.0901470195296612,1.1552268286637977,-0.12867431059670698,True,False,True,False
BSTK100,5.0,S2_OWNpanel,EWALL,1.0,0.02,0.1230464177437216,1.1808741772115574,-0.17191699553854523,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.0901470195296612,1.1552268286637977,-0.12867431059670698,True,True,True,False
BSTK100,5.0,S3_MISstamped,EWALL,1.0,0.04,0.12193103127512983,1.1535739620643197,-0.1766754362879167,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.0901470195296612,1.1552268286637977,-0.12867431059670698,True,False,True,False
BSTK100,10.0,S0_ISsharpe,EWALL,1.0,0.0,0.2125283089764991,1.147086432850721,-0.3410070296123563,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08889334353179223,1.1403459736163954,-0.1288221389277302,True,True,False,False
BSTK100,10.0,S1_RAWbind,EWALL,1.0,0.02,0.12104805845153344,1.163542455778234,-0.17214578582709938,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08889334353179223,1.1403459736163954,-0.1288221389277302,True,True,True,False
BSTK100,10.0,S2_OWNpanel,EWALL,1.0,0.02,0.12104805845153344,1.163542455778234,-0.17214578582709938,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08889334353179223,1.1403459736163954,-0.1288221389277302,True,True,True,False
BSTK100,10.0,S3_MISstamped,EWALL,1.0,0.04,0.12042184861013627,1.140680840308989,-0.17685091161673383,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.08889334353179223,1.1403459736163954,-0.1288221389277302,True,True,True,False
BSTK100,25.0,S0_ISsharpe,EWALL,1.0,0.0,0.21017354317838421,1.1364098294137448,-0.34123057834617054,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.0851407243381308,1.0956684961745184,-0.1292655672979517,True,True,False,False
BSTK100,25.0,S1_RAWbind,EWALL,1.0,0.06,0.1192186199800811,1.1105688854388944,-0.1887092464853557,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.0851407243381308,1.0956684961745184,-0.1292655672979517,True,True,True,False
BSTK100,25.0,S2_OWNpanel,EWALL,1.0,0.02,0.11507373811462052,1.1115022554070935,-0.17283200220263706,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.0851407243381308,1.0956684961745184,-0.1292655672979517,True,True,True,False
BSTK100,25.0,S3_MISstamped,EWALL,1.0,0.02,0.11507373811462052,1.1115022554070935,-0.17283200220263706,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.0851407243381308,1.0956684961745184,-0.1292655672979517,True,True,True,False
BSTK100,50.0,S0_ISsharpe,EWALL,1.0,0.0,0.20625887584321978,1.1186119720058942,-0.3416030302743913,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07891429696617824,1.0211035281402105,-0.13000442584740424,True,True,False,False
BSTK100,50.0,S1_RAWbind,EWALL,1.0,0.06,0.11298710507766518,1.0579162870395789,-0.18944324492056297,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07891429696617824,1.0211035281402105,-0.13000442584740424,True,True,True,False
BSTK100,50.0,S2_OWNpanel,EWALL,1.0,0.04,0.10841910877887617,1.0373842711018988,-0.1782541811189189,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07891429696617824,1.0211035281402105,-0.13000442584740424,True,True,True,False
BSTK100,50.0,S3_MISstamped,EWALL,0.5,0.0,0.10247978789285694,1.1195483393290502,-0.18334401603983197,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.07891429696617824,1.0211035281402105,-0.13000442584740424,True,True,False,False
