panel,ladder,stat,argmax_rung,argmax_index,argmin_rung,is_max,is_min,spread,se_pair,flat_ratio,boundary,p_bound,mono,pick_N,pick_H,pick_gross,pick_cadence,pick_oos_CAGR,pick_oos_Sharpe,pick_oos_MaxDD,anchor_oos_CAGR,anchor_oos_Sharpe,anchor_oos_MaxDD,live_oos_Sharpe,spy_oos_Sharpe,spy_oos_CAGR,spy_oos_MaxDD,d_oos_Sharpe,d_oos_MaxDD,d_oos_CAGR,best_rung_oos,worst_rung_oos,mean_rung_oos,rank_is_oos,pick_keep4a,pick_keep4b,pick_fail4b,pw_full_CAGR,pw_full_Sharpe,pw_full_MaxDD,pw_h1_CAGR,pw_h1_Sharpe,pw_h1_MaxDD,pw_h2_CAGR,pw_h2_Sharpe,pw_h2_MaxDD,pw_is__CAGR,pw_is__Sharpe,pw_is__MaxDD,pw_oos_CAGR,pw_oos_Sharpe,pw_oos_MaxDD
B135,GROSS,MaxDD,0.25,0,1.0,-0.04967021919035264,-0.19320089419784126,0.14353067500748862,0.03717152465784013,3.861307178779267,1,1.0,1.0,20,126,0.25,W,0.05341158029574555,1.0051552694308088,-0.07262085812399,0.16023726571201902,1.0102419886913445,-0.20740302267849475,1.1061149281164175,0.8769078511614361,0.15331427255204866,-0.3371595330739301,-0.005086719260535721,0.13478216455450476,-0.10682568541627346,1.0123692007023095,1.0051552694308088,1.0087596059943398,1.0,False,False,CAGR,0.05319446705542474,1.059072029926249,-0.07262085812399,0.058803306654798826,1.2857472683590476,-0.04967021919035264,0.04761784357774501,0.8797391952898692,-0.07262085812399022,0.0529310055712775,1.1406710562784983,-0.04967021919035264,0.05341158029574555,1.0051552694308088,-0.07262085812399
B135,CADENCE,Sharpe,2M,4,Q,1.2416320063191426,1.05087338904807,0.19075861727107268,0.10578514382350078,1.803264715406045,0,0.184,0.11904761904761904,20,126,0.75,2M,0.17999840542592405,1.0716310816829844,-0.2590646574329979,0.16023726571201902,1.0102419886913445,-0.20740302267849475,1.1061149281164175,0.8769078511614361,0.15331427255204866,-0.3371595330739301,0.06138909299163986,-0.05166163475450314,0.01976113971390503,1.1353988517245248,0.8284950410005733,1.0124808438464448,-0.19047619047619047,False,False,DD,0.17850600188842947,1.1357265562828376,-0.2590646574329978,0.19375424659321694,1.369925770498782,-0.17996497933729239,0.16345925970647346,0.9649388943646142,-0.25906465743299756,0.17669712990679454,1.2416320063191426,-0.17996497933729239,0.17999840542592405,1.0716310816829844,-0.2590646574329979
B135,CADENCE,CAGR,2M,4,Q,0.17669712990679454,0.1399030077260588,0.036794122180735744,0.015837942880857044,2.3231629547804435,0,0.201,0.42857142857142855,20,126,0.75,2M,0.17999840542592405,1.0716310816829844,-0.2590646574329979,0.16023726571201902,1.0102419886913445,-0.20740302267849475,1.1061149281164175,0.8769078511614361,0.15331427255204866,-0.3371595330739301,0.06138909299163986,-0.05166163475450314,0.01976113971390503,1.1353988517245248,0.8284950410005733,1.0124808438464448,-0.19047619047619047,False,False,DD,0.17850600188842947,1.1357265562828376,-0.2590646574329978,0.19375424659321694,1.369925770498782,-0.17996497933729239,0.16345925970647346,0.9649388943646142,-0.25906465743299756,0.17669712990679454,1.2416320063191426,-0.17996497933729239,0.17999840542592405,1.0716310816829844,-0.2590646574329979
B135,CADENCE,MaxDD,D,0,2M,-0.1387144071101475,-0.17996497933729239,0.0412505722271449,0.03142516258886689,1.3126605824390831,1,0.442,0.8571428571428571,20,126,0.75,D,0.17050660867462075,0.9524145858482902,-0.283637731649679,0.16023726571201902,1.0102419886913445,-0.20740302267849475,1.1061149281164175,0.8769078511614361,0.15331427255204866,-0.3371595330739301,-0.05782740284305432,-0.07623470897118423,0.010269342962601735,1.1353988517245248,0.8284950410005733,1.0124808438464448,-0.19047619047619047,False,False,DD,0.1658275110791685,1.0109437543582858,-0.283637731649679,0.1765122553493248,1.2464031207278732,-0.1387144071101475,0.15524454582072766,0.859513591699188,-0.28363773164967887,0.1601733696976615,1.123999026682161,-0.1387144071101475,0.17050660867462075,0.9524145858482902,-0.283637731649679
SMALL663,N,Sharpe,25,6,5,0.7423823191510684,0.41317104524941817,0.3292112739016503,0.25154150556103844,1.3087751588644472,0,0.031,0.9285714285714286,25,126,0.75,W,0.06169800421238092,0.4164436733590105,-0.35587150982337046,0.070860770065448,0.45343025806528664,-0.3581405418032817,0.5601459252058709,0.8768941923019906,0.15331706161492242,-0.3371726770846233,-0.03698658470627614,0.00226903197991124,-0.009162765853067079,0.5055573913359058,0.19725934745551643,0.4092759828801551,0.23809523809523808,False,False,"H1,H2,OOS,DD,CAGR",0.0805624823500366,0.5285664144981738,-0.355871509823371,0.11262466431244289,0.7793501041985288,-0.22641009734959505,0.04942422697775828,0.3436882615183368,-0.355871509823371,0.11187286412458697,0.7423823191510684,-0.22641009734959505,0.06169800421238092,0.4164436733590105,-0.35587150982337046
SMALL663,N,CAGR,25,6,5,0.11187286412458697,0.0715495465080338,0.04032331761655317,0.05576051596297993,0.7231518023133843,0,0.084,0.6190476190476191,25,126,0.75,W,0.06169800421238092,0.4164436733590105,-0.35587150982337046,0.070860770065448,0.45343025806528664,-0.3581405418032817,0.5601459252058709,0.8768941923019906,0.15331706161492242,-0.3371726770846233,-0.03698658470627614,0.00226903197991124,-0.009162765853067079,0.5055573913359058,0.19725934745551643,0.4092759828801551,0.23809523809523808,False,False,"H1,H2,OOS,DD,CAGR",0.0805624823500366,0.5285664144981738,-0.355871509823371,0.11262466431244289,0.7793501041985288,-0.22641009734959505,0.04942422697775828,0.3436882615183368,-0.355871509823371,0.11187286412458697,0.7423823191510684,-0.22641009734959505,0.06169800421238092,0.4164436733590105,-0.35587150982337046
SMALL663,N,MaxDD,30,7,5,-0.22197997228945232,-0.3622835445842786,0.14030357229482626,0.08381571344894624,1.6739530873323396,1,0.365,0.9047619047619048,30,126,0.75,W,0.06525859201760897,0.4387970702339974,-0.3738802934052946,0.070860770065448,0.45343025806528664,-0.3581405418032817,0.5601459252058709,0.8768941923019906,0.15331706161492242,-0.3371726770846233,-0.014633187831289252,-0.015739751602012908,-0.005602178047839024,0.5055573913359058,0.19725934745551643,0.4092759828801551,0.23809523809523808,False,False,"H1,H2,OOS,DD,CAGR",0.07690343535047206,0.5153225613031447,-0.37388029340529416,0.10673524347544827,0.7567296674748524,-0.22197997228945232,0.0478757371345746,0.33853486168848196,-0.3738802934052945,0.0960607342592541,0.662942265917095,-0.22197997228945232,0.06525859201760897,0.4387970702339974,-0.3738802934052946
SMALL663,H,Sharpe,42,3,90,0.8564618889362903,0.5083184186931508,0.3481434702431395,0.20389961158202968,1.7074258628642847,0,0.095,0.16666666666666666,20,42,0.75,W,0.057362321350493684,0.3926425228579467,-0.4122523748341623,0.070860770065448,0.45343025806528664,-0.3581405418032817,0.5601459252058709,0.8768941923019906,0.15331706161492242,-0.3371726770846233,-0.06078773520733993,-0.05411183303088063,-0.013498448714954314,0.6447311616245422,0.3926425228579467,0.5026818660737302,-0.47619047619047616,False,False,"H2,OOS,DD,CAGR",0.0850043626730228,0.5506113595658382,-0.4122523748341622,0.14388154151754118,0.9433054025971963,-0.17436552551377182,0.029157674366965702,0.24542289308824777,-0.3612496889505017,0.13137995127175683,0.8564618889362903,-0.17436552551377182,0.057362321350493684,0.3926425228579467,-0.4122523748341623
SMALL663,H,CAGR,42,3,90,0.13137995127175683,0.07085371471265467,0.060526236559102164,0.036423483645288225,1.6617366188401888,0,0.117,0.16666666666666666,20,42,0.75,W,0.057362321350493684,0.3926425228579467,-0.4122523748341623,0.070860770065448,0.45343025806528664,-0.3581405418032817,0.5601459252058709,0.8768941923019906,0.15331706161492242,-0.3371726770846233,-0.06078773520733993,-0.05411183303088063,-0.013498448714954314,0.6447311616245422,0.3926425228579467,0.5026818660737302,-0.47619047619047616,False,False,"H2,OOS,DD,CAGR",0.0850043626730228,0.5506113595658382,-0.4122523748341622,0.14388154151754118,0.9433054025971963,-0.17436552551377182,0.029157674366965702,0.24542289308824777,-0.3612496889505017,0.13137995127175683,0.8564618889362903,-0.17436552551377182,0.057362321350493684,0.3926425228579467,-0.4122523748341623
SMALL663,H,MaxDD,10,1,189,-0.1676341350172177,-0.30978044126058046,0.14214630624336277,0.07104429450012097,2.000812412080758,0,0.104,0.8095238095238095,20,10,0.75,W,0.08482325609089925,0.5482539936731646,-0.34563611546475115,0.070860770065448,0.45343025806528664,-0.3581405418032817,0.5601459252058709,0.8768941923019906,0.15331706161492242,-0.3371726770846233,0.09482373560787799,0.01250442633853055,0.013962486025451248,0.6447311616245422,0.3926425228579467,0.5026818660737302,-0.47619047619047616,False,False,"H1,H2,OOS,DD,CAGR",0.09472015579549531,0.6238090738480946,-0.3456361154647498,0.11544400965747315,0.813001336461145,-0.1676341350172177,0.07438133077868936,0.4802151884732042,-0.3403369334722237,0.11096364725319052,0.7734019906236804,-0.1676341350172177,0.08482325609089925,0.5482539936731646,-0.34563611546475115
SMALL663,GROSS,Sharpe,1.0,7,0.25,0.6128419545642222,0.6090483803908999,0.003793574173322267,0.005459911009037402,0.6948051290658462,1,0.932,1.0,20,126,1.0,W,0.08692558096183145,0.4545066463826424,-0.4541705486618577,0.070860770065448,0.45343025806528664,-0.3581405418032817,0.5601459252058709,0.8768941923019906,0.15331706161492242,-0.3371726770846233,0.0010763883173557365,-0.09603000685857599,0.016064810896383452,0.4545066463826424,0.45114586804116835,0.4527724486523214,1.0,False,False,"H1,H2,OOS,DD",0.09848992582468252,0.508364339318077,-0.454170548661858,0.12475001980957945,0.6648218986718764,-0.32541413355263804,0.07284293921826945,0.39530073586891723,-0.4541705486618577,0.11750758345069334,0.6128419545642222,-0.32541413355263804,0.08692558096183145,0.4545066463826424,-0.4541705486618577
