panel,theta,x,cad,qfam,window,ident_max,ADD_pp,DROP_pp,BOTH_pp,arith_pp,sel_geo_pp,jensen_pp,COST_pp,net10_pp,both_share,both_over_sel,majority_BOTH,dominant,dominant_BOTH,n_add,n_drop,n_both,n_ma,overlap,w_add,w_drop,rbar_add,rbar_drop,sign_sel,turn_ma,turn_q
U56,0.2,0.10223652894330977,W,QUANTILE-M,OOS,1.3877787807814457e-17,1.7381668123036416,-7.121081596786065,1.309017206771039,-4.073897577711384,-5.8115614806967475,-1.7376639029853633,-0.7235351275518462,-4.797432705263231,0.12873554411572385,0.22524363049740997,False,DROP,False,1.8487464036169339,1.5939169749280724,4.406083025071927,6.254829428688861,0.7044289656985149,0.11218041352916171,0.19936703948032533,15.494387635251487,35.71844982675189,-1,20.34447262010542,13.109121344586958
U56,0.2,0.10223652894330977,W,QUANTILE-F,FULL,4.163336342344337e-17,1.1608583590755364,-6.611291536793534,4.065425232012599,-1.3850079457053983,-2.607028841987069,-1.2220208962816708,-0.6846101592503274,-2.0696181049557256,0.3434339540060943,1.5594093807239757,True,DROP,False,1.4504504504504505,1.9984234234234235,4.001576576576577,5.452027027027027,0.7339612508778453,0.08417678826178755,0.2259126940123189,13.79071811893438,29.264807653672722,-1,20.309388603998983,13.463287011495709
U56,0.2,0.10223652894330977,W,QUANTILE-F,IS,4.163336342344337e-17,0.46101208767345364,-6.887678473689983,8.942641787932976,2.515975401916446,2.012125534237641,-0.503849867678805,-0.6791361945940765,1.8368392073223694,0.5489202231098791,4.444375679234738,True,BOTH,True,0.9676133532635774,2.4887892376681613,3.5112107623318387,4.478824115595416,0.7839581710980087,0.050229194701487914,0.27608703398765,9.178169994825684,24.94748983394159,1,20.266857756372197,13.47549581043143
U56,0.2,0.10223652894330977,W,QUANTILE-F,OOS,1.3877787807814457e-17,1.7381668123036416,-6.383297873681663,0.042172610667678315,-4.602958450710343,-6.3002156925195285,-1.6972572418091856,-0.6891256738681224,-5.292084124578466,0.0051659094022916355,0.00669383600909908,False,DROP,False,1.8487464036169339,1.5939169749280724,4.406083025071927,6.254829428688861,0.7044289656985149,0.11218041352916171,0.18452350357644157,15.494387635251487,34.59341357583365,-1,20.34447262010542,13.453215881424196
U56,0.2,0.10223652894330977,M,QUANTILE-M,FULL,1.3877787807814457e-17,1.3703874552564312,-6.367753475631387,9.310019249567905,4.312653229192948,4.189322718893185,-0.1233305102997635,-0.23785721739290416,4.074796011800044,0.5461011130245629,2.222320855727153,True,BOTH,True,1.2781531531531531,2.0849099099099098,3.9150900900900902,5.193243243243243,0.7538815161765982,0.07658602909055226,0.26058469744906027,17.893439202026517,24.43640604366713,1,8.148696586133665,5.7701244122046225
U56,0.2,0.10223652894330977,M,QUANTILE-M,IS,1.3877787807814457e-17,1.0205447876091396,-5.3939406294650585,15.615830176531318,11.2424343346754,12.599177123328298,1.3567427886528982,-0.2774278795287204,10.965006455146678,0.708833702821032,1.2394325457666173,True,BOTH,True,0.8146487294469357,2.5774788241155955,3.4225211758844045,4.23716990533134,0.8077375352775165,0.04403003061382089,0.32184952732562533,23.178380150587355,16.759200096658333,1,8.129399299461769,5.3551205041745655
U56,0.2,0.10223652894330977,M,QUANTILE-M,OOS,1.0408340855860843e-17,1.6589753031676988,-7.171059017043563,4.108308386265165,-1.403775327610699,-2.408654640438468,-1.0048793128277689,-0.2052150805632358,-1.6089904081739348,0.3175297238191648,1.7056444362307144,True,DROP,False,1.6605014385532264,1.6785861076859845,4.321413892314015,5.981915330867242,0.7224130823141404,0.10344171710649962,0.21004687847566691,16.037778079995345,34.140278918138264,-1,8.164615063055365,6.112464257423006
U56,0.2,0.10223652894330977,M,QUANTILE-F,FULL,1.9081958235744878e-17,1.3703874552564312,-6.0917460977476745,7.875063503589645,3.1537048610984018,2.9105491493844893,-0.24315571171391248,-0.222942925618726,2.930761935479676,0.5134617149750974,2.7056967944537305,True,BOTH,True,1.2781531531531531,2.0849099099099098,3.9150900900900902,5.193243243243243,0.7538815161765982,0.07658602909055226,0.23633983472578346,17.893439202026517,25.775367511853034,1,8.148696586133665,5.919267329946405
U56,0.2,0.10223652894330977,M,QUANTILE-F,IS,1.3877787807814457e-17,1.0205447876091396,-5.178189011038763,13.688212161854848,9.530567938425225,10.614691705732039,1.0841237673068136,-0.24799629174645085,9.282571646678774,0.6883013706096883,1.2895534360609906,True,BOTH,True,0.8146487294469357,2.5774788241155955,3.4225211758844045,4.23716990533134,0.8077375352775165,0.04403003061382089,0.2863241432576503,23.178380150587355,18.085058954945136,1,8.129399299461769,5.64943638199726
U56,0.2,0.10223652894330977,M,QUANTILE-F,OOS,1.9081958235744878e-17,1.6589753031676988,-6.845346209965012,3.079753451333888,-2.106617455463425,-3.103816000235171,-0.997198544771746,-0.20227621545911073,-2.308893670922536,0.26586097386116997,0.9922474306146176,False,DROP,False,1.6605014385532264,1.6785861076859845,4.321413892314015,5.981915330867242,0.7224130823141404,0.10344171710649962,0.19510740265695617,16.037778079995345,35.085015313338516,-1,8.164615063055365,6.141852908464257
