panel,c,B,draw,Sharpe,MaxDD
U56,0.25,20,10,1.1305029933442288,-0.19071417481516495
U56,0.25,20,11,1.105067048595201,-0.19175365460403848
U56,0.25,63,0,1.1134785863312289,-0.19090998321645436
U56,0.25,63,1,1.1348672361040781,-0.1955064402923795
U56,0.25,63,2,1.118338367346892,-0.19301241102789402
U56,0.25,63,3,1.0957863302391386,-0.19472931904352864
U56,0.25,63,4,1.1248103289450886,-0.19055788723809564
U56,0.25,63,5,1.1256513400963195,-0.1906630913248245
U56,0.25,63,6,1.1156667833393203,-0.18863924843040625
U56,0.25,63,7,1.1141018310833966,-0.19291589061812253
U56,0.25,63,8,1.1121132262475897,-0.19278951491817709
U56,0.25,63,9,1.1211184638675586,-0.19110781648008313
U56,0.25,63,10,1.1003023155478604,-0.19047211258792396
U56,0.25,63,11,1.1208708604639455,-0.19493521065294295
U56,0.25,126,0,1.1088571157420624,-0.19049563798071767
U56,0.25,126,1,1.1291839444424447,-0.19040680542833743
U56,0.25,126,2,1.1026353242802942,-0.19172228308740968
U56,0.25,126,3,1.1260867176601792,-0.19716397685574327
U56,0.25,126,4,1.1118701508097062,-0.19665076958238914
U56,0.25,126,5,1.1189904740756307,-0.19054774543944986
U56,0.25,126,6,1.1212863276071714,-0.1909237330458199
U56,0.25,126,7,1.1291856038258363,-0.1919901498501536
U56,0.25,126,8,1.1100928452560386,-0.1969855939792554
U56,0.25,126,9,1.1232562348456163,-0.1950628068757021
U56,0.25,126,10,1.1294595486659014,-0.19192977300786362
U56,0.25,126,11,1.1111660363045694,-0.19453664485912592
U56,0.25,252,0,1.1107284101377535,-0.19317762693479068
U56,0.25,252,1,1.1080532536856544,-0.1960142590236238
U56,0.25,252,2,1.1083066427072463,-0.19488897257016446
U56,0.25,252,3,1.1162195072817853,-0.19453037187117228
U56,0.25,252,4,1.1215890465333342,-0.19060023658208747
U56,0.25,252,5,1.104087017022322,-0.1938205654591426
U56,0.25,252,6,1.1058940877886407,-0.19195078610303196
U56,0.25,252,7,1.1044620816805735,-0.19312425388514076
U56,0.25,252,8,1.1174472389746615,-0.19385858281818802
U56,0.25,252,9,1.1317657331289983,-0.1931703063047353
U56,0.25,252,10,1.1060099491246616,-0.1942407182471163
U56,0.25,252,11,1.1160097479651419,-0.19420235340994374
U56,0.5,20,0,1.0612420155747742,-0.1978772181332129
U56,0.5,20,1,1.0484017470447757,-0.19478220412320024
U56,0.5,20,2,1.0792077664138682,-0.1897029668311353
U56,0.5,20,3,1.0141760583079413,-0.20167040458220364
U56,0.5,20,4,1.0856158345095372,-0.19129364709405616
U56,0.5,20,5,1.0504684507803812,-0.20014641134022837
U56,0.5,20,6,1.0325319117456035,-0.20098393095229217
U56,0.5,20,7,1.058886028345566,-0.201603199856784
U56,0.5,20,8,1.1097238113674932,-0.19009625626226645
U56,0.5,20,9,1.0332950486541472,-0.19559564999140067
U56,0.5,20,10,1.0734231368095004,-0.19935712059087995
U56,0.5,20,11,1.0614991796626883,-0.19476125940822497
U56,0.5,63,0,1.050603338498892,-0.19671402184246733
U56,0.5,63,1,1.0502384883742433,-0.19248562866427243
U56,0.5,63,2,1.043902395036552,-0.19499787028589743
U56,0.5,63,3,1.0402399249679986,-0.19713538018848942
U56,0.5,63,4,1.056742848157088,-0.1985891188619966
U56,0.5,63,5,1.0814530796441066,-0.19456800981148392
U56,0.5,63,6,1.0824743405971797,-0.19564019618130435
U56,0.5,63,7,1.1116490771239427,-0.20070192731039782
U56,0.5,63,8,1.024842753086662,-0.19697484811389432
U56,0.5,63,9,1.092760442710976,-0.1960050256232263
U56,0.5,63,10,1.031048047060755,-0.20321998496305138
U56,0.5,63,11,1.0634099733684554,-0.1975331702673646
U56,0.5,126,0,1.062622537033384,-0.20392632168234037
U56,0.5,126,1,1.050370296671589,-0.20000575896102823
U56,0.5,126,2,1.0596869904256179,-0.19491460794239712
U56,0.5,126,3,1.0485653554292937,-0.20248516029331431
U56,0.5,126,4,1.0523220009258913,-0.1968851635458846
U56,0.5,126,5,1.0382411588241351,-0.19717062024455967
U56,0.5,126,6,1.0895008714542935,-0.19816844514869525
U56,0.5,126,7,1.071897240798487,-0.18676421228496398
U56,0.5,126,8,1.041401697636562,-0.19553837963850873
U56,0.5,126,9,1.072626620004711,-0.18882500517625667
U56,0.5,126,10,1.0783423354998416,-0.19564023385689433
U56,0.5,126,11,1.0797426726368566,-0.18923021693604747
U56,0.5,252,0,1.0318111883298802,-0.20304811223717767
U56,0.5,252,1,1.0211495794766887,-0.1926384049489066
U56,0.5,252,2,1.0753999554591378,-0.19179186520604485
U56,0.5,252,3,1.0599699523441528,-0.19632588159319564
U56,0.5,252,4,1.0655685768090406,-0.20104733551258536
U56,0.5,252,5,1.055996748800734,-0.1885211131377642
U56,0.5,252,6,1.0439283392432788,-0.20232629152434145
U56,0.5,252,7,1.0817881549252024,-0.19615956957315117
U56,0.5,252,8,1.063210145370029,-0.19191508054156314
U56,0.5,252,9,1.0828037826932773,-0.19005135249650185
U56,0.5,252,10,1.0839847664499926,-0.1964882904002324
U56,0.5,252,11,1.0520641979826462,-0.197200319177664
U56,0.75,20,0,0.9110733540931953,-0.21123631592237002
U56,0.75,20,1,0.9912827275880113,-0.19661962434910552
U56,0.75,20,2,1.0164682429599394,-0.19550538592301037
U56,0.75,20,3,0.9925705493962939,-0.2008158987437194
U56,0.75,20,4,0.9556067223236444,-0.19914072635693425
U56,0.75,20,5,0.9677122122616238,-0.19937149059455472
U56,0.75,20,6,1.0449658352127593,-0.20418220522127928
U56,0.75,20,7,0.9741860677551054,-0.18833067214856214
U56,0.75,20,8,1.0186685547577836,-0.1990655847825914
U56,0.75,20,9,1.027116133942255,-0.20633773654808674
U56,0.75,20,10,1.039725847033768,-0.20643847483908473
U56,0.75,20,11,0.9930225417287215,-0.2072184890634382
U56,0.75,63,0,0.9631719333529586,-0.19244567148031066
U56,0.75,63,1,1.0268127701476928,-0.19748560583366215
U56,0.75,63,2,1.0208120934533114,-0.2007541987463789
U56,0.75,63,3,1.0428312840187528,-0.19770274417312417
U56,0.75,63,4,1.0332350074918117,-0.19275984707589766
U56,0.75,63,5,1.037352216182147,-0.18684879436972424
U56,0.75,63,6,1.0300088278885562,-0.1992984847803303
U56,0.75,63,7,0.9950206300432436,-0.1891553940812033
U56,0.75,63,8,0.9933992206905966,-0.2035604086663061
U56,0.75,63,9,0.9992627172136378,-0.21379186684867446
U56,0.75,63,10,0.9935409743225962,-0.18912145554047832
U56,0.75,63,11,1.013021387648573,-0.20900068401943894
U56,0.75,126,0,1.027087868174753,-0.19534222750566632
U56,0.75,126,1,1.0724362075894909,-0.19630257673021512
U56,0.75,126,2,0.988075141648299,-0.20723825729608747
U56,0.75,126,3,0.9993031330952158,-0.19223566788576096
U56,0.75,126,4,1.0625305893685693,-0.19783353411808136
U56,0.75,126,5,0.9499174165642401,-0.19661268572746682
U56,0.75,126,6,1.043325613053275,-0.19748789982686366
U56,0.75,126,7,1.0078292023670652,-0.2059766640791676
U56,0.75,126,8,0.9609299988500415,-0.20825427810229602
U56,0.75,126,9,1.0403981555769244,-0.18682304188447552
U56,0.75,126,10,0.9703907436291583,-0.20063329262317298
U56,0.75,126,11,1.0323464145735208,-0.1972295823531528
U56,0.75,252,0,1.0282286622487882,-0.2025172956308129
U56,0.75,252,1,0.961732253620246,-0.19703764442119154
U56,0.75,252,2,0.9892002792611786,-0.19250774934208026
U56,0.75,252,3,0.9708419817421773,-0.20831020339121242
U56,0.75,252,4,0.99049203082513,-0.19708099361613107
U56,0.75,252,5,1.068614795622308,-0.1984077024091302
U56,0.75,252,6,0.9798002471670467,-0.20524455122453744
U56,0.75,252,7,0.9376530344667544,-0.20470079245684458
U56,0.75,252,8,0.9866722897312475,-0.19963036990733118
U56,0.75,252,9,0.9690031160384195,-0.19030775273155776
U56,0.75,252,10,1.0405041459934945,-0.19495255012917367
U56,0.75,252,11,0.947360838852165,-0.20484845735874957
U56,1.0,20,0,0.9181832117136036,-0.2112632888432059
U56,1.0,20,1,0.9693321194704192,-0.21169813292414885
U56,1.0,20,2,0.929488636584008,-0.20387653251972937
U56,1.0,20,3,1.003610618841913,-0.19062208379993062
U56,1.0,20,4,0.9377054224800594,-0.20674956302257863
U56,1.0,20,5,0.932748567554258,-0.2102646112268146
U56,1.0,20,6,0.9645840257873206,-0.20863116551320016
U56,1.0,20,7,0.9848675862369171,-0.21020821351947128
U56,1.0,20,8,0.8933098173348593,-0.20565711254425711
U56,1.0,20,9,0.791160685109553,-0.2131832585165292
U56,1.0,20,10,0.9347161394652014,-0.1937725830061866
U56,1.0,20,11,0.9399298538872238,-0.1956779380242898
U56,1.0,63,0,1.052199916840173,-0.20091944525358496
U56,1.0,63,1,0.9915109630958258,-0.2038416109151583
U56,1.0,63,2,1.0172829321107302,-0.1804118598715062
U56,1.0,63,3,0.9344018469413974,-0.20356693922550473
U56,1.0,63,4,0.8877164844602309,-0.20070881090924986
U56,1.0,63,5,1.0059646828910636,-0.2037553492396651
U56,1.0,63,6,1.0461867469773214,-0.18864661949770856
U56,1.0,63,7,0.9622645813712514,-0.18921737650117976
U56,1.0,63,8,0.9664158335576102,-0.19267400459193407
U56,1.0,63,9,0.972450191367985,-0.1916216235685032
U56,1.0,63,10,0.9026640173900123,-0.21167068796536126
U56,1.0,63,11,0.9870267923988928,-0.18451808349450316
U56,1.0,126,0,0.9375954387597611,-0.20910504523885665
U56,1.0,126,1,1.0022390987738887,-0.19572727520694766
U56,1.0,126,2,0.9997490777645271,-0.19871130577163898
U56,1.0,126,3,0.9739518533221105,-0.2174624353561283
U56,1.0,126,4,0.9598569912691097,-0.20700984114160026
U56,1.0,126,5,1.026250692905083,-0.1868815552075681
U56,1.0,126,6,0.9480153967909495,-0.19120804287968718
U56,1.0,126,7,1.0561551589837208,-0.1975599775617939
U56,1.0,126,8,0.9950443344099669,-0.21172841776589013
U56,1.0,126,9,1.0380971055987709,-0.19189639505350709
U56,1.0,126,10,0.9005146790978156,-0.19913174833480374
U56,1.0,126,11,0.9457961268435576,-0.18744421899625618
U56,1.0,252,0,0.9581169835856562,-0.18452639326406683
U56,1.0,252,1,0.9632639341025018,-0.18535946729373431
U56,1.0,252,2,0.9163598130411064,-0.20665801124310113
U56,1.0,252,3,0.92037541597439,-0.18221454878205678
U56,1.0,252,4,0.9817299940696564,-0.1939468779021114
U56,1.0,252,5,0.9954971694909625,-0.19166522793349183
U56,1.0,252,6,0.9807121874905524,-0.18840733021706213
U56,1.0,252,7,1.0343931595503884,-0.20719236670417673
U56,1.0,252,8,0.886384189947094,-0.18841641679568943
U56,1.0,252,9,0.9717070249592458,-0.19032548918617276
U56,1.0,252,10,0.9641243230368686,-0.2089625229114923
U56,1.0,252,11,0.9839345353204842,-0.21113611896587936
B136,0.0,20,0,1.0653720113403455,-0.2074018763117902
B136,0.0,20,1,1.0653720113403455,-0.2074018763117902
B136,0.0,20,2,1.0653720113403455,-0.2074018763117902
B136,0.0,20,3,1.0653720113403455,-0.2074018763117902
B136,0.0,20,4,1.0653720113403455,-0.2074018763117902
B136,0.0,20,5,1.0653720113403455,-0.2074018763117902
B136,0.0,20,6,1.0653720113403455,-0.2074018763117902
B136,0.0,20,7,1.0653720113403455,-0.2074018763117902
B136,0.0,20,8,1.0653720113403455,-0.2074018763117902
B136,0.0,20,9,1.0653720113403455,-0.2074018763117902
B136,0.0,20,10,1.0653720113403455,-0.2074018763117902
B136,0.0,20,11,1.0653720113403455,-0.2074018763117902
B136,0.0,63,0,1.0653720113403455,-0.2074018763117902
B136,0.0,63,1,1.0653720113403455,-0.2074018763117902
B136,0.0,63,2,1.0653720113403455,-0.2074018763117902
B136,0.0,63,3,1.0653720113403455,-0.2074018763117902
B136,0.0,63,4,1.0653720113403455,-0.2074018763117902
B136,0.0,63,5,1.0653720113403455,-0.2074018763117902
B136,0.0,63,6,1.0653720113403455,-0.2074018763117902
B136,0.0,63,7,1.0653720113403455,-0.2074018763117902
B136,0.0,63,8,1.0653720113403455,-0.2074018763117902
B136,0.0,63,9,1.0653720113403455,-0.2074018763117902
B136,0.0,63,10,1.0653720113403455,-0.2074018763117902
B136,0.0,63,11,1.0653720113403455,-0.2074018763117902
B136,0.0,126,0,1.0653720113403455,-0.2074018763117902
B136,0.0,126,1,1.0653720113403455,-0.2074018763117902
B136,0.0,126,2,1.0653720113403455,-0.2074018763117902
B136,0.0,126,3,1.0653720113403455,-0.2074018763117902
B136,0.0,126,4,1.0653720113403455,-0.2074018763117902
B136,0.0,126,5,1.0653720113403455,-0.2074018763117902
B136,0.0,126,6,1.0653720113403455,-0.2074018763117902
B136,0.0,126,7,1.0653720113403455,-0.2074018763117902
B136,0.0,126,8,1.0653720113403455,-0.2074018763117902
B136,0.0,126,9,1.0653720113403455,-0.2074018763117902
B136,0.0,126,10,1.0653720113403455,-0.2074018763117902
B136,0.0,126,11,1.0653720113403455,-0.2074018763117902
B136,0.0,252,0,1.0653720113403455,-0.2074018763117902
B136,0.0,252,1,1.0653720113403455,-0.2074018763117902
B136,0.0,252,2,1.0653720113403455,-0.2074018763117902
B136,0.0,252,3,1.0653720113403455,-0.2074018763117902
B136,0.0,252,4,1.0653720113403455,-0.2074018763117902
B136,0.0,252,5,1.0653720113403455,-0.2074018763117902
B136,0.0,252,6,1.0653720113403455,-0.2074018763117902
B136,0.0,252,7,1.0653720113403455,-0.2074018763117902
B136,0.0,252,8,1.0653720113403455,-0.2074018763117902
B136,0.0,252,9,1.0653720113403455,-0.2074018763117902
B136,0.0,252,10,1.0653720113403455,-0.2074018763117902
B136,0.0,252,11,1.0653720113403455,-0.2074018763117902
B136,0.25,20,0,1.0389102859554358,-0.21326224053754506
B136,0.25,20,1,1.0270006322671388,-0.20641630755864393
B136,0.25,20,2,1.041814308810054,-0.20285597987278203
B136,0.25,20,3,1.0162932075469455,-0.20701797712273728
B136,0.25,20,4,1.033269752696057,-0.20787830364781945
B136,0.25,20,5,1.0161335088436574,-0.20367591588782608
B136,0.25,20,6,1.0193688916388417,-0.21013259935106032
B136,0.25,20,7,1.043412328646756,-0.20743681642857748
B136,0.25,20,8,1.0497764593404266,-0.20376385282132392
B136,0.25,20,9,1.0392410114773836,-0.21084130259011413
B136,0.25,20,10,1.0138338334635777,-0.205563387172497
B136,0.25,20,11,1.0357576795578614,-0.2089129052407217
B136,0.25,63,0,1.042512250669944,-0.2107496999601035
B136,0.25,63,1,1.0150314718881035,-0.21301349992365637
B136,0.25,63,2,1.0360675770812064,-0.2072831900158526
B136,0.25,63,3,1.0261721954308716,-0.21015657362385176
B136,0.25,63,4,1.040101297834472,-0.2033421871832598
B136,0.25,63,5,1.038773638855154,-0.20706589718854973
B136,0.25,63,6,1.0247894885906301,-0.20419617528121037
B136,0.25,63,7,1.0293148154938403,-0.2062042454191061
B136,0.25,63,8,1.0320929605831526,-0.20970667786425568
B136,0.25,63,9,1.0306897793035108,-0.2100204260825307
B136,0.25,63,10,1.0404443046935892,-0.20532434728900173
B136,0.25,63,11,1.0419345488546448,-0.20965550689608448
B136,0.25,126,0,1.0169885244830854,-0.20507645424439336
B136,0.25,126,1,1.030804332815495,-0.20676144569203736
B136,0.25,126,2,1.0190914460438658,-0.20926828979548595
B136,0.25,126,3,1.0125386762369704,-0.20831764155764387
B136,0.25,126,4,1.0257086409787173,-0.20734460247296382
B136,0.25,126,5,1.032342759782228,-0.202130472270604
B136,0.25,126,6,1.012960919543823,-0.2127983261141645
B136,0.25,126,7,1.037801847345233,-0.20722733361113854
B136,0.25,126,8,1.039261864957426,-0.2090888629425085
B136,0.25,126,9,1.0285053516198235,-0.20624637379898658
B136,0.25,126,10,1.0176786409680811,-0.2075547320333455
B136,0.25,126,11,1.0097398019192425,-0.2035002737723114
B136,0.25,252,0,1.0324949432357873,-0.20979497247480772
B136,0.25,252,1,1.014645748968564,-0.2033123221020856
B136,0.25,252,2,1.0256997508936625,-0.21083936912578782
B136,0.25,252,3,1.0241888665077692,-0.20856702925517134
B136,0.25,252,4,1.0380586421985192,-0.20920696275446016
B136,0.25,252,5,1.0265161456949283,-0.201973608344429
B136,0.25,252,6,1.0365703798810906,-0.20887115671520584
B136,0.25,252,7,1.0295490593296932,-0.21462662987169812
B136,0.25,252,8,1.03412231970291,-0.20667184544707073
B136,0.25,252,9,1.0259470402507544,-0.21827053095375581
B136,0.25,252,10,1.0224938653956919,-0.20816733411572408
B136,0.25,252,11,1.0323860192574577,-0.21137118537570576
B136,0.5,20,0,0.9795621086238636,-0.21578189872533815
B136,0.5,20,1,0.9975376430298669,-0.2120128845472009
B136,0.5,20,2,0.9733052384273521,-0.21042501375388079
B136,0.5,20,3,0.9637636912678044,-0.2031465579053383
B136,0.5,20,4,0.9997881781709562,-0.20972013385416677
B136,0.5,20,5,0.9463362843031184,-0.207173223105227
B136,0.5,20,6,0.988115684354548,-0.21449829030562073
B136,0.5,20,7,0.9946047044626182,-0.2056248888788167
B136,0.5,20,8,0.9716818662232062,-0.2173056702883247
B136,0.5,20,9,0.9673175414307026,-0.20864034782582142
B136,0.5,20,10,1.0060209667286604,-0.2126323178329922
B136,0.5,20,11,0.9813264746083764,-0.20732881603191944
B136,0.5,63,0,0.9870918762785394,-0.20857317338064008
B136,0.5,63,1,0.9859069611846766,-0.21233041119313933
B136,0.5,63,2,0.969037276106796,-0.2110708604157534
B136,0.5,63,3,0.9765708932293561,-0.20849677730707505
B136,0.5,63,4,0.9934063533998796,-0.2107118752564695
B136,0.5,63,5,0.98692381209222,-0.20942359754769613
B136,0.5,63,6,0.9943860088036364,-0.21472317751930625
B136,0.5,63,7,0.9719591852909834,-0.20089246400217498
B136,0.5,63,8,0.9697366030511498,-0.1986578724037551
B136,0.5,63,9,0.9595131526295837,-0.21387849525268576
B136,0.5,63,10,1.020426611437546,-0.2064169825829847
B136,0.5,63,11,0.9847925039970494,-0.20870396536786318
B136,0.5,126,0,0.9734581527707331,-0.21145190498404842
B136,0.5,126,1,0.9897266798808997,-0.20729836252412814
B136,0.5,126,2,0.99764155852849,-0.21685490563907628
B136,0.5,126,3,0.9551540139628102,-0.20870244927671033
B136,0.5,126,4,0.9889407337978027,-0.2111473936865641
B136,0.5,126,5,0.9801469962359611,-0.19975339439116913
B136,0.5,126,6,0.9807401120456771,-0.20303285171912755
B136,0.5,126,7,0.9685362337434918,-0.19649569342218154
B136,0.5,126,8,0.9676929716335928,-0.19046211778066025
B136,0.5,126,9,0.9622448954294123,-0.22126051238753408
B136,0.5,126,10,0.9548614416147426,-0.21212992281586407
B136,0.5,126,11,0.9763054376202255,-0.20499583215397554
B136,0.5,252,0,0.9799232974621566,-0.20138523591440138
B136,0.5,252,1,0.998952505902867,-0.19464729672493963
B136,0.5,252,2,0.9947951715416832,-0.21609559342275964
B136,0.5,252,3,0.9971933948692695,-0.20574865903993977
B136,0.5,252,4,1.0104981748767363,-0.2001961611305545
B136,0.5,252,5,0.9665843349043992,-0.21895197114608878
B136,0.5,252,6,0.9769155141803616,-0.21733451163225714
B136,0.5,252,7,0.9796517054061,-0.20779366127168541
B136,0.5,252,8,0.9851635234794754,-0.20095698290349762
B136,0.5,252,9,0.9766000663806306,-0.20719493008345335
B136,0.5,252,10,0.9741231356697112,-0.20739648306095582
B136,0.5,252,11,0.974980996883471,-0.21181465166661573
B136,0.75,20,0,0.9222712763874726,-0.21388010653563772
B136,0.75,20,1,0.9565105617404503,-0.21469267753454746
B136,0.75,20,2,0.9297096690301092,-0.21555257327570365
B136,0.75,20,3,0.9358931946766217,-0.20679983545019665
B136,0.75,20,4,0.9307013286215636,-0.21705147846964867
B136,0.75,20,5,0.9497379725544323,-0.21123696916977175
B136,0.75,20,6,0.924177369247279,-0.20376596842051398
B136,0.75,20,7,0.9401582829960293,-0.21844041117936852
B136,0.75,20,8,0.9702269022854683,-0.20337692890327475
B136,0.75,20,9,0.958562469288916,-0.21685168843600489
B136,0.75,20,10,0.950674000344711,-0.20659771187495046
B136,0.75,20,11,0.9537455349044461,-0.19712948920152085
B136,0.75,63,0,0.9490175301617112,-0.21358517488055817
B136,0.75,63,1,0.9221976225608449,-0.20506653952672593
B136,0.75,63,2,0.9386822429708298,-0.19595506583357314
B136,0.75,63,3,0.9679996378841361,-0.22170599016718884
B136,0.75,63,4,0.9705830160904577,-0.20953347799829392
B136,0.75,63,5,0.9572877872818836,-0.21320975477895077
B136,0.75,63,6,0.9693310128752431,-0.19073992623635816
B136,0.75,63,7,0.9463361902970748,-0.20456865975966287
B136,0.75,63,8,0.8743612823540514,-0.2007255250252229
B136,0.75,63,9,0.8902117993200205,-0.22411467749969605
B136,0.75,63,10,0.9476830692626128,-0.20789067138986383
B136,0.75,63,11,0.8798391441710468,-0.20948351750899386
B136,0.75,126,0,0.9704438180232406,-0.20146023029977123
B136,0.75,126,1,0.8977579644877736,-0.2103177981273836
B136,0.75,126,2,0.8938600307536342,-0.21448149899719127
B136,0.75,126,3,0.9451395126245083,-0.20755187678206322
B136,0.75,126,4,0.938972799506947,-0.22303610732623835
B136,0.75,126,5,0.920761295431118,-0.23259241070033354
B136,0.75,126,6,0.840516414569024,-0.20887092138485586
B136,0.75,126,7,0.9573326487371541,-0.22155541400368972
B136,0.75,126,8,0.9250713836835583,-0.2032522873627861
B136,0.75,126,9,0.9523284256327965,-0.1914580050855358
B136,0.75,126,10,0.9659110133408993,-0.1850621480142043
B136,0.75,126,11,0.9213954411594243,-0.20843425564200013
B136,0.75,252,0,0.9347874791598473,-0.21805813335457291
B136,0.75,252,1,1.0309555945795144,-0.2091539198519119
B136,0.75,252,2,0.9549280355495494,-0.21188203413811413
B136,0.75,252,3,0.9298881653671724,-0.20311553382809566
B136,0.75,252,4,0.9459547862206454,-0.23197606057424502
B136,0.75,252,5,1.006473963368238,-0.199471099480099
B136,0.75,252,6,0.9437819314288409,-0.20469777763539343
B136,0.75,252,7,0.932897012240891,-0.21129886907252926
B136,0.75,252,8,0.9509744592134085,-0.2092181000038953
B136,0.75,252,9,0.9082534246746263,-0.206239681481731
B136,0.75,252,10,0.8691582133174898,-0.2105593558200135
B136,0.75,252,11,0.9222122263408641,-0.2095737464813311
B136,1.0,20,0,0.9196536795174408,-0.19801241706495143
B136,1.0,20,1,0.9531699059133905,-0.1934799083759512
B136,1.0,20,2,0.8427613780044484,-0.2034370393983238
B136,1.0,20,3,0.8837169043847819,-0.19452907423655796
B136,1.0,20,4,0.8864545004739487,-0.22895239062335682
B136,1.0,20,5,0.9063786645858166,-0.20021544380591905
B136,1.0,20,6,0.9328198393853503,-0.2057933051937102
B136,1.0,20,7,0.9734361166886091,-0.22493711424830387
B136,1.0,20,8,0.8968486128640013,-0.217264373733686
B136,1.0,20,9,0.9120968984767044,-0.21698427074222992
B136,1.0,20,10,0.8647021484036166,-0.22480006920876294
B136,1.0,20,11,0.9008482163279298,-0.22759309022461394
B136,1.0,63,0,0.9231330541276739,-0.20286064146248783
B136,1.0,63,1,0.8686972056064114,-0.20390437384376792
B136,1.0,63,2,0.8465333392804112,-0.20732012303434777
B136,1.0,63,3,0.8384559193552418,-0.2015818114842084
B136,1.0,63,4,0.9112555459029567,-0.19347755593338434
B136,1.0,63,5,0.8600776486996892,-0.20608196568262593
B136,1.0,63,6,0.8189606672373526,-0.20478331598262556
B136,1.0,63,7,0.9137661832532713,-0.21403138522357468
B136,1.0,63,8,0.9036551110851154,-0.20893219790827455
B136,1.0,63,9,0.9423606262331627,-0.21417919328765378
B136,1.0,63,10,0.8750912175963707,-0.2140069432172682
B136,1.0,63,11,0.8586173999167693,-0.239014862682706
B136,1.0,126,0,0.8802619408668114,-0.20685816581126037
B136,1.0,126,1,0.9094611810052198,-0.2106917358525363
B136,1.0,126,2,0.952697850143261,-0.1998243385220173
B136,1.0,126,3,0.9360298206900379,-0.20823621211060983
B136,1.0,126,4,0.909508209850791,-0.22747060735699398
B136,1.0,126,5,0.8016443943829236,-0.2041622760592462
B136,1.0,126,6,0.9080981474341938,-0.2043455904576107
B136,1.0,126,7,0.8669978867655731,-0.20164697644457186
B136,1.0,126,8,0.9629731259513726,-0.1998252989673297
B136,1.0,126,9,0.8815198487455311,-0.20234829894398632
B136,1.0,126,10,0.8875882202206473,-0.21383598300612494
