,NAMED@1,NAMED@2,NAMED@3,NAMED@FWD,NAMED@ALL,vintage,topic,exposure_days,CTRL,n_head,OVERTURN@1,LATENAMED@1,SURVIVE@1,OVERTURN@2,LATENAMED@2,SURVIVE@2,OVERTURN@3,LATENAMED@3,SURVIVE@3,OVERTURN@FWD,LATENAMED@FWD,SURVIVE@FWD,KEEP4B_TXT,KEEP4B_DATA,KEEP4B_COV,KEEP4B,REPRO,REPRO_ANY
2026-09-04_gross-exposure-is-the-error_B,20,38,40,43,56,2026-09-04,GROSS,8,3,8,3,34,0.0,0,7,1.0,0,4,1.0,11,64,0.0,0.0,0.0,0,0.0,0.0,1.0
2026-09-04_gross-matched-turnover-constraints_B,0,0,0,0,0,2026-09-04,MATCH,8,2,30,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-04_insider-cluster-buying,0,0,0,0,1,2026-09-04,OTHER,8,1,6,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0,1.0
2026-09-04_insider-cluster-smallcap,0,0,0,1,3,2026-09-04,OTHER,8,3,0,1,1,0.0,1,1,0.0,1,1,0.0,1,1,0.0,0.0,0.0,0,0.0,,
2026-09-04_interior-4b-selection_cloud,0,0,0,0,0,2026-09-04,KEEP,8,1,5,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_is-window-has-no-crash_C,0,0,0,0,0,2026-09-04,OTHER,8,2,1,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_lookback-blend_C,0,0,0,0,1,2026-09-04,OTHER,8,2,19,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.0,1.0
2026-09-04_lookback-candidate-cost-and-lag_cloud,1,2,2,2,5,2026-09-04,GROSS,8,3,16,0,2,1.0,0,0,1.0,0,0,1.0,0,3,1.0,0.0,0.0,0,0.0,0.0,0.4375
2026-09-04_momentum-plus-quality-proxy_cloud,0,0,0,0,0,2026-09-04,VOL,8,2,11,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.9090909090909091,1.0
2026-09-04_monthly-seasonality_cloud,0,0,0,0,0,2026-09-04,OTHER,8,1,9,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_no-vol-scaling,0,0,0,0,0,2026-09-04,VOL,8,1,2,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0,1.0
2026-09-04_one-year-leverage-audit_cloud,0,1,1,1,2,2026-09-04,CENSUS,8,3,3,0,1,1.0,0,0,1.0,0,0,1.0,0,1,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-04_position-count,0,0,1,1,2,2026-09-04,OTHER,8,2,12,0,1,1.0,0,1,1.0,0,0,1.0,0,1,1.0,1.0,0.0,0,1.0,0.0,1.0
2026-09-04_prox-inverted-signal_cloud,3,3,3,3,3,2026-09-04,OTHER,8,2,5,0,0,1.0,0,0,1.0,0,0,1.0,3,3,0.0,0.0,0.0,0,0.0,0.0,1.0
2026-09-04_rebalance-freq_cloud,0,2,2,2,2,2026-09-04,OTHER,8,1,27,1,3,0.0,0,0,1.0,0,0,1.0,1,3,0.0,1.0,0.0,0,1.0,0.0,1.0
2026-09-04_sector-only-universe_C,6,15,18,19,35,2026-09-04,OTHER,8,3,18,2,15,0.0,1,4,0.0,1,1,0.0,2,23,0.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_selectability-pre-test_cloud,0,0,0,0,1,2026-09-04,OTHER,8,3,7,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_sharpe-bound-book-change_cloud,1,1,1,1,1,2026-09-04,KEEP,8,2,16,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,0.9375,1.0
2026-09-04_small-cap-momentum-clean_cloud,75,93,109,137,154,2026-09-04,VOL,8,3,0,5,100,0.0,3,69,0.0,1,42,0.0,31,241,0.0,0.0,0.0,0,0.0,,
2026-09-04_small-cap-pead,0,0,0,0,0,2026-09-04,OTHER,8,1,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-04_smallcap-eligible-equal-weight_C,0,0,0,0,1,2026-09-04,GROSS,8,2,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,,
2026-09-04_spinoff-calendar,0,0,0,0,1,2026-09-04,OTHER,8,1,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,,
2026-09-04_spy-tlt-gld-riskparity_C,0,0,0,0,0,2026-09-04,VOL,8,2,7,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_third-universe-portability_B,8,17,17,17,20,2026-09-04,OTHER,8,3,3,3,14,0.0,0,0,1.0,0,0,1.0,13,25,0.0,1.0,0.0,0,1.0,0.0,1.0
2026-09-04_trend-gate-as-drawdown-insurance_B,10,27,27,28,44,2026-09-04,MATCH,8,3,26,5,28,0.0,1,1,0.0,1,1,0.0,7,45,0.0,1.0,0.0,0,1.0,0.0,1.0
2026-09-04_trend-gate-lookback-primary_cloud,0,0,1,1,6,2026-09-04,OTHER,8,2,17,1,1,0.0,1,1,0.0,0,0,1.0,1,1,0.0,1.0,0.0,0,1.0,0.0,1.0
2026-09-04_turnover-budget_B,0,0,0,0,0,2026-09-04,GROSS,8,1,15,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_vol-cap-as-a-satellite-clause_B,0,0,0,0,0,2026-09-04,VOL,8,2,11,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_vol-scaler-replacement_B,0,0,0,0,0,2026-09-04,VOL,8,1,7,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-04_which-4b-bar-binds_B,1,1,1,2,2,2026-09-04,KEEP,8,2,25,0,1,1.0,0,1,1.0,0,1,1.0,0,2,1.0,1.0,0.0,0,1.0,0.96,1.0
2026-09-05_2011-the-opposite-outlier_C,0,0,0,0,1,2026-09-05,OTHER,7,3,7,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,1.0,1,1.0,1.0,1.0
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C,0,0,0,0,2,2026-09-05,OTHER,7,2,4,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,1.0,1,1.0,1.0,1.0
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud,0,0,0,0,1,2026-09-05,VOL,7,2,4,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,1.0,1,1.0,1.0,1.0
2026-09-05_V1u-small-negative-price_cloud,0,0,0,0,1,2026-09-05,OTHER,7,3,6,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.8333333333333334,1.0
2026-09-05_absorbing-state-audit_B,0,0,0,0,1,2026-09-05,CENSUS,7,2,17,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud,0,0,1,2,5,2026-09-05,OTHER,7,3,17,0,2,1.0,0,2,1.0,0,1,1.0,0,2,1.0,1.0,0.0,0,1.0,0.7058823529411765,0.9411764705882353
2026-09-05_audit-every-committed-null-for-a-salted-seed_C,0,0,0,1,2,2026-09-05,CENSUS,7,1,4,0,1,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_back-fill-the-swapped-coefficient-audit_B,0,0,0,0,2,2026-09-05,CENSUS,7,3,19,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.8947368421052632,1.0
2026-09-05_band-width-at-g085_cloud,0,0,0,1,2,2026-09-05,VOL,7,2,6,0,1,1.0,0,1,1.0,0,1,1.0,0,1,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_cagr-floor-calibration_B,2,2,11,11,27,2026-09-05,OTHER,7,3,13,0,10,1.0,0,10,1.0,0,0,1.0,0,12,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_cagr-floor-constrained-selector_cloud,0,0,0,0,0,2026-09-05,OTHER,7,2,9,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_candidate-count-vs-dispersion_B,6,6,6,10,13,2026-09-05,KEEP,7,2,25,0,4,1.0,0,4,1.0,0,4,1.0,0,10,1.0,0.0,0.0,0,0.0,0.96,0.96
2026-09-05_clause-11b-draw-count-by-enumeration_cloud,0,0,1,1,2,2026-09-05,MATCH,7,3,37,0,1,1.0,0,1,1.0,0,0,1.0,0,1,1.0,1.0,0.0,0,1.0,0.8648648648648649,1.0
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C,0,0,0,0,0,2026-09-05,OTHER,7,2,10,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_crisis-depth-as-the-price-denominator_B,0,0,0,1,2,2026-09-05,OTHER,7,3,32,0,1,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0.0,0.0,0,0.0,0.96875,1.0
2026-09-05_cross-universe-breakeven-as-a-KEEP-bar_cloud,0,1,1,1,2,2026-09-05,KEEP,7,3,4,0,1,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,0.0,1.0
2026-09-05_de-gross-vs-reweight-across-gates_cloud,0,0,0,0,0,2026-09-05,GROSS,7,1,1,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_defensive-class-census_B,0,3,4,4,5,2026-09-05,CENSUS,7,3,43,0,4,1.0,0,1,1.0,0,0,1.0,0,4,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_defensive-overlays-are-rule-8-invisible_B,0,0,0,0,0,2026-09-05,OTHER,7,2,26,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_delete-the-scaler-on-small_cloud,0,0,0,0,0,2026-09-05,OTHER,7,1,6,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C,7,8,9,9,13,2026-09-05,GROSS,7,1,26,0,2,1.0,0,1,1.0,0,0,1.0,1,9,0.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_does-a-harmful-instrument-clear-more-often-than-a-helpful-one_B,3,3,5,5,8,2026-09-05,OTHER,7,3,30,1,3,0.0,1,3,0.0,0,0,1.0,3,8,0.0,0.0,0.0,0,0.0,0.9,1.0
2026-09-05_does-a-null-column-change-any-published-verdict_cloud,3,3,5,5,7,2026-09-05,CENSUS,7,1,18,1,2,0.0,1,2,0.0,0,0,1.0,2,5,0.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B,1,1,1,2,3,2026-09-05,OTHER,7,2,21,0,1,1.0,0,1,1.0,0,1,1.0,0,2,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_does-any-fitted-dial-beat-its-own-modal-pick_B,0,0,0,0,2,2026-09-05,OTHER,7,3,27,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.9629629629629629,0.9629629629629629
2026-09-05_does-any-fitted-dial-beat-its-own-modal-pick_cloud,1,2,4,4,10,2026-09-05,OTHER,7,3,50,1,4,0.0,1,3,0.0,0,0,1.0,2,6,0.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_does-book-share-price-a-tilt_C,1,1,1,3,5,2026-09-05,KEEP,7,2,19,0,2,1.0,0,2,1.0,0,2,1.0,0,3,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_does-cadence-skill-survive-a-second-corpus_cloud,4,4,4,6,9,2026-09-05,GROSS,7,2,3,0,2,1.0,0,2,1.0,0,2,1.0,0,6,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_does-share-price-any-key-or-only-vol_B,3,3,4,4,8,2026-09-05,VOL,7,3,41,1,1,0.0,1,1,0.0,0,0,1.0,3,6,0.0,1.0,0.0,0,1.0,0.9512195121951219,0.975609756097561
2026-09-05_does-the-ceiling-beat-a-chosen-gross_C,0,0,0,0,2,2026-09-05,GROSS,7,2,44,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_does-the-leak-free-selector-edge-survive-a-third-corpus_cloud,0,0,0,0,1,2026-09-05,OTHER,7,2,26,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.9615384615384616,0.9615384615384616
2026-09-05_does-the-modal-constant-result-survive-a-cost-ladder_cloud,1,1,1,1,1,2026-09-05,MATCH,7,2,69,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_execution-lag-sensitivity-of-the-price-list_C,0,0,0,0,0,2026-09-05,OTHER,7,1,6,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_extend-the-three-degenerate-ladders-past-their-endpoints_C,1,1,2,3,5,2026-09-05,MATCH,7,3,37,2,2,0.0,2,2,0.0,1,1,0.0,4,4,0.0,1.0,0.0,0,1.0,0.972972972972973,0.972972972972973
2026-09-05_fixed-gross-S4-blend_cloud,1,1,1,1,1,2026-09-05,GROSS,7,2,15,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_four-way-gate-spread-is-a-weighting-convention_cloud,0,0,0,0,0,2026-09-05,GROSS,7,1,2,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_gross-as-the-missing-third-bar_B,0,0,1,1,3,2026-09-05,GROSS,7,3,7,0,2,1.0,0,2,1.0,0,0,1.0,0,2,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_gross-dispersion-not-gross-level_cloud,0,0,0,0,0,2026-09-05,GROSS,7,1,16,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_gross-interval-as-a-keep-bar_B,0,0,1,1,1,2026-09-05,GROSS,7,1,43,0,1,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,0.7441860465116279,0.9767441860465116
2026-09-05_gross-interval-as-a-pre-registered-KEEP-bar_B,0,0,0,0,3,2026-09-05,GROSS,7,3,14,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.8571428571428571,1.0
2026-09-05_how-many-draws-does-clause-11b-need_cloud,1,1,5,5,7,2026-09-05,MATCH,7,3,46,2,6,0.0,2,6,0.0,0,0,1.0,3,8,0.0,1.0,0.0,0,1.0,0.9130434782608695,0.9782608695652174
2026-09-05_is-075-the-argmax-on-every-corpus_cloud,1,1,1,1,3,2026-09-05,OTHER,7,3,15,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,0.8666666666666667,1.0
2026-09-05_is-4b-internally-consistent-at-any-vol_cloud,0,0,0,0,0,2026-09-05,KEEP,7,1,41,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.9512195121951219,1.0
2026-09-05_is-Calmar-immunity-general_C,0,0,0,0,2,2026-09-05,OTHER,7,2,2,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_is-PRICE-NEG-the-only-arm-that-is-both-large-and-helpful_B,1,1,4,9,11,2026-09-05,OTHER,7,3,39,4,10,0.0,4,10,0.0,1,6,0.0,6,12,0.0,1.0,0.0,0,1.0,0.9230769230769231,1.0
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C,0,0,0,0,2,2026-09-05,KEEP,7,2,31,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.9032258064516129,1.0
2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C,1,1,1,3,4,2026-09-05,KEEP,7,2,51,0,2,1.0,0,2,1.0,0,2,1.0,0,3,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_is-the-conditional-sleeve-anything-at-all_B,3,3,3,3,4,2026-09-05,OTHER,7,2,32,0,0,1.0,0,0,1.0,0,0,1.0,0,3,1.0,1.0,0.0,0,1.0,0.90625,1.0
2026-09-05_is-the-defensive-class-one-book_cloud,0,0,12,12,13,2026-09-05,KEEP,7,1,15,0,12,1.0,0,12,1.0,0,0,1.0,0,12,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_is-the-gross-ladder-worth-running-at-all_B,0,0,0,0,3,2026-09-05,MATCH,7,3,33,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_is-the-inert-cell-a-leaderboard-defect_C,0,0,0,0,1,2026-09-05,OTHER,7,2,23,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.782608695652174,0.9565217391304348
2026-09-05_is-the-ladder-endpoint-a-general-selector-artefact_cloud,4,4,4,4,4,2026-09-05,MATCH,7,1,39,0,0,1.0,0,0,1.0,0,0,1.0,0,4,1.0,0.0,0.0,0,0.0,0.9487179487179487,1.0
2026-09-05_is-the-ladder-even-a-candidate_C,0,0,0,0,4,2026-09-05,MATCH,7,3,13,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_is-the-value-cost-parallelism-general_cloud,0,0,2,2,3,2026-09-05,GROSS,7,3,52,0,2,1.0,0,2,1.0,0,0,1.0,0,2,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_liquidity-screened-small-panel_cloud,0,0,0,0,1,2026-09-05,MATCH,7,2,7,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.8571428571428571,1.0
2026-09-05_no-leverage-ceiling-is-load-bearing_cloud,0,0,0,0,1,2026-09-05,OTHER,7,3,5,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_one-year-dependence-as-a-KEEP-bar_cloud,0,0,0,0,1,2026-09-05,KEEP,7,2,19,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_pin-m-or-let-the-screen-choose_cloud,0,0,0,0,1,2026-09-05,OTHER,7,2,6,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.5,0.8333333333333334
2026-09-05_post-trigger-short-term-reversal_cloud,0,0,0,0,0,2026-09-05,OTHER,7,1,5,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_price-denominator-sign-test_C,0,4,4,4,4,2026-09-05,OTHER,7,2,2,0,4,1.0,0,0,1.0,0,0,1.0,0,4,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_price-list-tier-bar_B,0,0,0,0,4,2026-09-05,OTHER,7,3,5,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_price-the-broad-POS-near-miss_cloud,0,0,0,0,1,2026-09-05,OTHER,7,3,40,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_publish-the-failing-bar-not-the-required-gross_cloud,0,0,0,0,3,2026-09-05,CENSUS,7,3,30,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_quote-the-lift-not-the-rate_cloud,0,0,0,0,1,2026-09-05,OTHER,7,2,6,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_relative-priceability-floor_C,0,0,0,0,1,2026-09-05,OTHER,7,2,7,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_required-gross-as-a-leaderboard-column_cloud,0,0,0,1,5,2026-09-05,GROSS,7,1,21,1,1,0.0,1,1,0.0,1,1,0.0,1,1,0.0,1.0,0.0,0,1.0,0.8571428571428571,1.0
2026-09-05_scale-free-as-a-corpus-eligibility-rule_C,0,0,0,0,0,2026-09-05,OTHER,7,2,15,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_selectivity-as-the-book-parameter_B,1,1,2,2,3,2026-09-05,KEEP,7,3,47,0,2,1.0,0,2,1.0,0,0,1.0,1,3,0.0,0.0,0.0,0,0.0,0.6382978723404256,0.9574468085106383
2026-09-05_shallow-window-prices-are-not-prices_C,0,0,0,0,1,2026-09-05,OTHER,7,3,6,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_sleeve-G-is-2013_cloud,1,1,1,1,2,2026-09-05,OTHER,7,3,21,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_sleeve-f-that-clears-the-floor_cloud,2,4,4,4,5,2026-09-05,OTHER,7,2,21,0,2,1.0,0,0,1.0,0,0,1.0,0,4,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_sleeve-with-a-real-diversifier_B,1,1,1,1,1,2026-09-05,OTHER,7,2,37,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,1.0,1.0
