panel,theta,peak,trough,recov,depth,dur_pt,dur_pr,speed,bin,window,recovered,eid
u56,0.15,2022-01-03,2022-10-12,2023-12-13,24.496403005741783,195,489,SLOW,DEEP,OOS,True,E6
u56,0.15,2025-02-19,2025-04-08,2025-06-26,18.755228269936953,34,88,FAST,SHALLOW,OOS,True,E7
broad,0.08,2009-01-28,2009-03-09,2009-04-17,22.058362096015106,27,55,FAST,DEEP,IS,True,E1
broad,0.08,2010-04-23,2010-07-02,2010-11-04,15.698948290972748,49,136,FAST,SHALLOW,IS,True,E2
broad,0.08,2011-04-29,2011-10-03,2012-02-03,18.6055433010453,108,193,SLOW,SHALLOW,IS,True,E3
broad,0.08,2012-04-02,2012-06-04,2012-08-16,9.685580050596299,43,95,FAST,SHALLOW,IS,True,E4
broad,0.08,2015-07-20,2016-02-11,2016-04-18,13.021891220943305,143,188,SLOW,SHALLOW,IS,True,E5
broad,0.08,2018-01-26,2018-02-08,2018-08-06,10.1037402122501,9,132,FAST,SHALLOW,OOS,True,E6
broad,0.08,2018-09-20,2018-12-24,2019-04-12,19.34751663909505,65,140,SLOW,SHALLOW,OOS,True,E7
broad,0.08,2020-02-19,2020-03-23,2020-08-10,33.71595330739301,23,120,FAST,DEEP,OOS,True,E8
broad,0.08,2020-09-02,2020-09-23,2020-11-11,9.441122006010726,14,49,FAST,SHALLOW,OOS,True,E9
broad,0.08,2022-01-03,2022-10-12,2023-12-13,24.496651760884536,195,489,SLOW,DEEP,OOS,True,E10
broad,0.08,2024-07-16,2024-08-05,2024-09-19,8.405219282348686,14,46,FAST,SHALLOW,OOS,True,E11
broad,0.08,2025-02-19,2025-04-08,2025-06-26,18.75508205970692,34,88,FAST,SHALLOW,OOS,True,E12
broad,0.08,2026-01-27,2026-03-30,2026-04-14,8.88394212283714,43,53,FAST,SHALLOW,OOS,True,E13
broad,0.1,2009-01-28,2009-03-09,2009-04-17,22.058362096015106,27,55,FAST,DEEP,IS,True,E1
broad,0.1,2010-04-23,2010-07-02,2010-11-04,15.698948290972748,49,136,FAST,SHALLOW,IS,True,E2
broad,0.1,2011-04-29,2011-10-03,2012-02-03,18.6055433010453,108,193,SLOW,SHALLOW,IS,True,E3
broad,0.1,2015-07-20,2016-02-11,2016-04-18,13.021891220943305,143,188,SLOW,SHALLOW,IS,True,E4
broad,0.1,2018-01-26,2018-02-08,2018-08-06,10.1037402122501,9,132,FAST,SHALLOW,OOS,True,E5
broad,0.1,2018-09-20,2018-12-24,2019-04-12,19.34751663909505,65,140,SLOW,SHALLOW,OOS,True,E6
broad,0.1,2020-02-19,2020-03-23,2020-08-10,33.71595330739301,23,120,FAST,DEEP,OOS,True,E7
broad,0.1,2022-01-03,2022-10-12,2023-12-13,24.496651760884536,195,489,SLOW,DEEP,OOS,True,E8
broad,0.1,2025-02-19,2025-04-08,2025-06-26,18.75508205970692,34,88,FAST,SHALLOW,OOS,True,E9
broad,0.15,2009-01-28,2009-03-09,2009-04-17,22.058362096015106,27,55,FAST,DEEP,IS,True,E1
broad,0.15,2010-04-23,2010-07-02,2010-11-04,15.698948290972748,49,136,FAST,SHALLOW,IS,True,E2
broad,0.15,2011-04-29,2011-10-03,2012-02-03,18.6055433010453,108,193,SLOW,SHALLOW,IS,True,E3
broad,0.15,2018-09-20,2018-12-24,2019-04-12,19.34751663909505,65,140,SLOW,SHALLOW,OOS,True,E4
broad,0.15,2020-02-19,2020-03-23,2020-08-10,33.71595330739301,23,120,FAST,DEEP,OOS,True,E5
broad,0.15,2022-01-03,2022-10-12,2023-12-13,24.496651760884536,195,489,SLOW,DEEP,OOS,True,E6
broad,0.15,2025-02-19,2025-04-08,2025-06-26,18.75508205970692,34,88,FAST,SHALLOW,OOS,True,E7
small,0.08,2011-04-29,2011-10-03,2012-02-03,18.60545633455396,108,193,SLOW,SHALLOW,IS,True,E1
small,0.08,2012-04-02,2012-06-04,2012-08-16,9.687028487274274,43,95,FAST,SHALLOW,IS,True,E2
small,0.08,2015-07-20,2016-02-11,2016-04-18,13.022845920226356,143,188,SLOW,SHALLOW,IS,True,E3
small,0.08,2018-01-26,2018-02-08,2018-08-06,10.10184439188091,9,132,FAST,SHALLOW,OOS,True,E4
small,0.08,2018-09-20,2018-12-24,2019-04-12,19.34891526272726,65,140,SLOW,SHALLOW,OOS,True,E5
small,0.08,2020-02-19,2020-03-23,2020-08-10,33.71723528339826,23,120,FAST,DEEP,OOS,True,E6
small,0.08,2020-09-02,2020-09-23,2020-11-11,9.440425486702008,14,49,FAST,SHALLOW,OOS,True,E7
small,0.08,2022-01-03,2022-10-12,2023-12-13,24.49640300574172,195,489,SLOW,DEEP,OOS,True,E8
small,0.08,2024-07-16,2024-08-05,2024-09-19,8.405644031112136,14,46,FAST,SHALLOW,OOS,True,E9
small,0.08,2025-02-19,2025-04-08,2025-06-26,18.755228269936996,34,88,FAST,SHALLOW,OOS,True,E10
small,0.08,2026-01-27,2026-03-30,2026-04-14,8.884966829933195,43,53,FAST,SHALLOW,OOS,True,E11
small,0.1,2011-04-29,2011-10-03,2012-02-03,18.60545633455396,108,193,SLOW,SHALLOW,IS,True,E1
small,0.1,2015-07-20,2016-02-11,2016-04-18,13.022845920226356,143,188,SLOW,SHALLOW,IS,True,E2
small,0.1,2018-01-26,2018-02-08,2018-08-06,10.10184439188091,9,132,FAST,SHALLOW,OOS,True,E3
small,0.1,2018-09-20,2018-12-24,2019-04-12,19.34891526272726,65,140,SLOW,SHALLOW,OOS,True,E4
small,0.1,2020-02-19,2020-03-23,2020-08-10,33.71723528339826,23,120,FAST,DEEP,OOS,True,E5
small,0.1,2022-01-03,2022-10-12,2023-12-13,24.49640300574172,195,489,SLOW,DEEP,OOS,True,E6
small,0.1,2025-02-19,2025-04-08,2025-06-26,18.755228269936996,34,88,FAST,SHALLOW,OOS,True,E7
small,0.15,2011-04-29,2011-10-03,2012-02-03,18.60545633455396,108,193,SLOW,SHALLOW,IS,True,E1
small,0.15,2018-09-20,2018-12-24,2019-04-12,19.34891526272726,65,140,SLOW,SHALLOW,OOS,True,E2
small,0.15,2020-02-19,2020-03-23,2020-08-10,33.71723528339826,23,120,FAST,DEEP,OOS,True,E3
small,0.15,2022-01-03,2022-10-12,2023-12-13,24.49640300574172,195,489,SLOW,DEEP,OOS,True,E4
small,0.15,2025-02-19,2025-04-08,2025-06-26,18.755228269936996,34,88,FAST,SHALLOW,OOS,True,E5
