set,panel,form,IS_pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctrl_OOS_Sharpe,best_cell,best_OOS_Sharpe,regret,regret_vs_best,live_OOS_Sharpe,spy_OOS_Sharpe,picked_gate
IN,SMALL439,EWALL,B0.40_d1.00,0.9180917183328905,0.05028922426515714,0.4736212790771961,-0.2217117303350583,0.6366624355474834,B0.30_d0.50,0.6633810426961017,0.16304115647028727,0.18975976361890556,0.5664863714962136,0.8820107671822842,True
IN,SMALL439,TOP3,B0.40_d1.00,0.07890322438024215,0.021566409551133425,0.21432424650004075,-0.5102662609556115,0.26726987344104225,B0.30_d1.00,0.37069341243568565,0.052945626941001495,0.1563691659356449,0.5664863714962136,0.8820107671822842,True
IN,SMALL439,TOP10,B0.40_d1.00,0.3835363863667521,0.04734223018852979,0.355659844908577,-0.2952428628469036,0.5518955496684371,B0.30_d0.50,0.5591216192051992,0.19623570475986013,0.2034617742966222,0.5664863714962136,0.8820107671822842,True
IN,SMALL439,TOP20,B0.40_d0.25,0.4281695043575951,0.06533430183042799,0.4713399423434818,-0.26343404881755883,0.5010245055239898,B0.30_d0.25,0.5026713887728438,0.029684563180507995,0.031331446429361975,0.5664863714962136,0.8820107671822842,True
IN,SMALL439,MAEW,B0.40_d1.00,0.6142259621734262,0.022055053724480356,0.36574085100090237,-0.13841022677372883,0.5504275280301449,OFF,0.5504275280301449,0.18468667702924257,0.18468667702924257,0.5664863714962136,0.8820107671822842,True
IN,SMALL439,RULESV2,B0.40_d1.00,0.6491542693966228,0.02309411738961442,0.38136073169620094,-0.13936495578716057,0.5664863714962136,OFF,0.5664863714962136,0.18512563980001268,0.18512563980001268,0.5664863714962136,0.8820107671822842,True
OUT,U56,TOP5,B0.50_d0.25,0.8993769492889383,0.17586238972890245,0.9831098092954759,-0.18989600933657969,0.9938232266964573,B0.30_d1.00,1.0263740987767465,0.010713417400981418,0.04326428948127059,1.285072363206482,0.8820107671822842,True
OUT,U56,TOP40,OFF,0.9417846228682315,0.11325660646213853,1.2662442817436643,-0.13972400558977793,1.2662442817436643,B0.30_d1.00,1.302831643625252,0.0,0.03658736188158773,1.285072363206482,0.8820107671822842,False
OUT,U56,IVOL,B0.40_d0.25,1.1100442559952353,0.09650707378435497,1.1850468323717467,-0.15720424594224514,1.1325653771996833,B0.30_d1.00,1.232980890362102,-0.052481455172063374,0.04793405799035533,1.285072363206482,0.8820107671822842,True
OUT,U56,LOWVOL20,B0.40_d0.50,1.0199261224403582,0.06563942719697535,0.9429841286109671,-0.11823294756251701,0.8694873115489702,B0.30_d1.00,1.0092127060524698,-0.07349681706199696,0.06622857744150268,1.285072363206482,0.8820107671822842,True
OUT,U56,MOM20,B0.40_d0.50,1.1869716507205652,0.15318312267250356,1.104267004536728,-0.20804375052559998,1.0650624683455132,B0.30_d0.50,1.1210919711332226,-0.03920453619121478,0.016824966596494573,1.285072363206482,0.8820107671822842,True
OUT,U56,MAEW_RS,B0.40_d0.50,1.1032187976388352,0.11923061191205542,1.207383660111529,-0.1587378718957253,1.1117793930546764,B0.30_d1.00,1.2833786590765777,-0.09560426705685265,0.07599499896504858,1.285072363206482,0.8820107671822842,True
