gamma,phi,n_gross,n_floor,n_both,adm_gross_OOS_Sharpe,adm_gross_OOS_MaxDD,adm_gross_OOS_CAGR,adm_floor_OOS_Sharpe,adm_floor_OOS_MaxDD,adm_floor_OOS_CAGR
0.55,0.5,44,51,44,1.0994669462693667,-0.17793865999082625,0.1206347764204295,1.1115101506503051,-0.17025697896731726,0.11583575482564924
0.55,0.6,44,35,35,1.0994669462693667,-0.17793865999082625,0.1206347764204295,1.110193501067114,-0.18255482834917297,0.12834784011597003
0.55,0.7,44,29,29,1.0994669462693667,-0.17793865999082625,0.1206347764204295,1.1139716256013832,-0.18527454254252332,0.13242907358990852
0.55,0.8,44,14,14,1.0994669462693667,-0.17793865999082625,0.1206347764204295,1.1428574422708397,-0.19012605544413422,0.1443945961539242
0.55,0.9,44,5,5,1.0994669462693667,-0.17793865999082625,0.1206347764204295,1.17522940868083,-0.19423580041467545,0.15661033844609012
0.55,1.0,44,0,0,1.0994669462693667,-0.17793865999082625,0.1206347764204295,,,
0.6,0.0,35,56,35,1.112205745381946,-0.18229364171761026,0.1282029634872526,1.111705607062836,-0.1655479522371301,0.11214191403481048
0.6,0.5,35,51,35,1.112205745381946,-0.18229364171761026,0.1282029634872526,1.1115101506503051,-0.17025697896731726,0.11583575482564924
0.6,0.6,35,35,34,1.112205745381946,-0.18229364171761026,0.1282029634872526,1.110193501067114,-0.18255482834917297,0.12834784011597003
0.6,0.7,35,29,29,1.112205745381946,-0.18229364171761026,0.1282029634872526,1.1139716256013832,-0.18527454254252332,0.13242907358990852
0.6,0.8,35,14,14,1.112205745381946,-0.18229364171761026,0.1282029634872526,1.1428574422708397,-0.19012605544413422,0.1443945961539242
0.6,0.9,35,5,5,1.112205745381946,-0.18229364171761026,0.1282029634872526,1.17522940868083,-0.19423580041467545,0.15661033844609012
0.6,1.0,35,0,0,1.112205745381946,-0.18229364171761026,0.1282029634872526,,,
0.65,0.0,32,56,32,1.1123346167851356,-0.18444584942976436,0.12991884827348876,1.111705607062836,-0.1655479522371301,0.11214191403481048
0.65,0.5,32,51,32,1.1123346167851356,-0.18444584942976436,0.12991884827348876,1.1115101506503051,-0.17025697896731726,0.11583575482564924
0.65,0.6,32,35,32,1.1123346167851356,-0.18444584942976436,0.12991884827348876,1.110193501067114,-0.18255482834917297,0.12834784011597003
0.65,0.7,32,29,28,1.1123346167851356,-0.18444584942976436,0.12991884827348876,1.1139716256013832,-0.18527454254252332,0.13242907358990852
0.65,0.8,32,14,14,1.1123346167851356,-0.18444584942976436,0.12991884827348876,1.1428574422708397,-0.19012605544413422,0.1443945961539242
0.65,0.9,32,5,5,1.1123346167851356,-0.18444584942976436,0.12991884827348876,1.17522940868083,-0.19423580041467545,0.15661033844609012
0.65,1.0,32,0,0,1.1123346167851356,-0.18444584942976436,0.12991884827348876,,,
0.7,0.0,29,56,29,1.111718986692488,-0.18586136676745046,0.13150237229147274,1.111705607062836,-0.1655479522371301,0.11214191403481048
0.7,0.5,29,51,29,1.111718986692488,-0.18586136676745046,0.13150237229147274,1.1115101506503051,-0.17025697896731726,0.11583575482564924
0.7,0.6,29,35,29,1.111718986692488,-0.18586136676745046,0.13150237229147274,1.110193501067114,-0.18255482834917297,0.12834784011597003
0.7,0.7,29,29,27,1.111718986692488,-0.18586136676745046,0.13150237229147274,1.1139716256013832,-0.18527454254252332,0.13242907358990852
0.7,0.8,29,14,14,1.111718986692488,-0.18586136676745046,0.13150237229147274,1.1428574422708397,-0.19012605544413422,0.1443945961539242
0.7,0.9,29,5,5,1.111718986692488,-0.18586136676745046,0.13150237229147274,1.17522940868083,-0.19423580041467545,0.15661033844609012
0.7,1.0,29,0,0,1.111718986692488,-0.18586136676745046,0.13150237229147274,,,
0.75,0.0,12,56,12,1.0921839286954402,-0.1840957710453999,0.12017208097092243,1.111705607062836,-0.1655479522371301,0.11214191403481048
0.75,0.5,12,51,12,1.0921839286954402,-0.1840957710453999,0.12017208097092243,1.1115101506503051,-0.17025697896731726,0.11583575482564924
0.75,0.6,12,35,12,1.0921839286954402,-0.1840957710453999,0.12017208097092243,1.110193501067114,-0.18255482834917297,0.12834784011597003
0.75,0.7,12,29,10,1.0921839286954402,-0.1840957710453999,0.12017208097092243,1.1139716256013832,-0.18527454254252332,0.13242907358990852
0.75,0.8,12,14,2,1.0921839286954402,-0.1840957710453999,0.12017208097092243,1.1428574422708397,-0.19012605544413422,0.1443945961539242
0.75,0.9,12,5,0,1.0921839286954402,-0.1840957710453999,0.12017208097092243,1.17522940868083,-0.19423580041467545,0.15661033844609012
0.75,1.0,12,0,0,1.0921839286954402,-0.1840957710453999,0.12017208097092243,,,
