window,leg_split,eps,population,n_pred,n_tie,P_pred_given_tie,P_tie_given_pred,accuracy,false_neg,false_pos,exact
BEAR22c,DECLINE,1e-06,all,0,0,,,1.0,0,0,False
BEAR22c,DECLINE,0.0001,all,0,0,,,1.0,0,0,False
BEAR22c,DECLINE,0.001,all,0,0,,,1.0,0,0,False
BEAR22c,RECOVERY,0.0,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22c,RECOVERY,1e-12,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22c,RECOVERY,1e-06,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22c,RECOVERY,0.0001,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22c,RECOVERY,0.001,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22c,DECLINE+COST,0.0,all,0,0,,,1.0,0,0,False
BEAR22c,DECLINE+COST,1e-12,all,0,0,,,1.0,0,0,False
BEAR22c,DECLINE+COST,1e-06,all,0,0,,,1.0,0,0,False
BEAR22c,DECLINE+COST,0.0001,all,0,0,,,1.0,0,0,False
BEAR22c,DECLINE+COST,0.001,all,0,0,,,1.0,0,0,False
FULL,EPISODE,0.0,no-SPYDD,0,30,0.0,,0.7222222222222222,30,0,False
FULL,EPISODE,1e-12,no-SPYDD,0,30,0.0,,0.7222222222222222,30,0,False
FULL,EPISODE,1e-06,no-SPYDD,0,30,0.0,,0.7222222222222222,30,0,False
FULL,EPISODE,0.0001,no-SPYDD,0,30,0.0,,0.7222222222222222,30,0,False
FULL,EPISODE,0.001,no-SPYDD,0,30,0.0,,0.7222222222222222,30,0,False
FULL,DECLINE,0.0,no-SPYDD,30,30,1.0,1.0,1.0,0,0,True
FULL,DECLINE,1e-12,no-SPYDD,30,30,1.0,1.0,1.0,0,0,True
FULL,DECLINE,1e-06,no-SPYDD,30,30,1.0,1.0,1.0,0,0,True
FULL,DECLINE,0.0001,no-SPYDD,30,30,1.0,1.0,1.0,0,0,True
FULL,DECLINE,0.001,no-SPYDD,30,30,1.0,1.0,1.0,0,0,True
FULL,RECOVERY,0.0,no-SPYDD,0,30,0.0,,0.7222222222222222,30,0,False
FULL,RECOVERY,1e-12,no-SPYDD,0,30,0.0,,0.7222222222222222,30,0,False
FULL,RECOVERY,1e-06,no-SPYDD,0,30,0.0,,0.7222222222222222,30,0,False
FULL,RECOVERY,0.0001,no-SPYDD,0,30,0.0,,0.7222222222222222,30,0,False
FULL,RECOVERY,0.001,no-SPYDD,0,30,0.0,,0.7222222222222222,30,0,False
FULL,DECLINE+COST,0.0,no-SPYDD,30,30,1.0,1.0,1.0,0,0,True
FULL,DECLINE+COST,1e-12,no-SPYDD,30,30,1.0,1.0,1.0,0,0,True
FULL,DECLINE+COST,1e-06,no-SPYDD,30,30,1.0,1.0,1.0,0,0,True
FULL,DECLINE+COST,0.0001,no-SPYDD,30,30,1.0,1.0,1.0,0,0,True
FULL,DECLINE+COST,0.001,no-SPYDD,30,30,1.0,1.0,1.0,0,0,True
POST20,EPISODE,0.0,no-SPYDD,7,12,0.5833333333333334,1.0,0.9494949494949495,5,0,False
POST20,EPISODE,1e-12,no-SPYDD,7,12,0.5833333333333334,1.0,0.9494949494949495,5,0,False
POST20,EPISODE,1e-06,no-SPYDD,7,12,0.5833333333333334,1.0,0.9494949494949495,5,0,False
POST20,EPISODE,0.0001,no-SPYDD,7,12,0.5833333333333334,1.0,0.9494949494949495,5,0,False
POST20,EPISODE,0.001,no-SPYDD,7,12,0.5833333333333334,1.0,0.9494949494949495,5,0,False
POST20,DECLINE,0.0,no-SPYDD,12,12,1.0,1.0,1.0,0,0,True
POST20,DECLINE,1e-12,no-SPYDD,12,12,1.0,1.0,1.0,0,0,True
POST20,DECLINE,1e-06,no-SPYDD,12,12,1.0,1.0,1.0,0,0,True
POST20,DECLINE,0.0001,no-SPYDD,12,12,1.0,1.0,1.0,0,0,True
POST20,DECLINE,0.001,no-SPYDD,12,12,1.0,1.0,1.0,0,0,True
POST20,RECOVERY,0.0,no-SPYDD,17,12,0.5833333333333334,0.4117647058823529,0.8484848484848485,5,10,False
POST20,RECOVERY,1e-12,no-SPYDD,17,12,0.5833333333333334,0.4117647058823529,0.8484848484848485,5,10,False
POST20,RECOVERY,1e-06,no-SPYDD,17,12,0.5833333333333334,0.4117647058823529,0.8484848484848485,5,10,False
POST20,RECOVERY,0.0001,no-SPYDD,17,12,0.5833333333333334,0.4117647058823529,0.8484848484848485,5,10,False
POST20,RECOVERY,0.001,no-SPYDD,17,12,0.5833333333333334,0.4117647058823529,0.8484848484848485,5,10,False
POST20,DECLINE+COST,0.0,no-SPYDD,12,12,1.0,1.0,1.0,0,0,True
POST20,DECLINE+COST,1e-12,no-SPYDD,12,12,1.0,1.0,1.0,0,0,True
POST20,DECLINE+COST,1e-06,no-SPYDD,12,12,1.0,1.0,1.0,0,0,True
POST20,DECLINE+COST,0.0001,no-SPYDD,12,12,1.0,1.0,1.0,0,0,True
POST20,DECLINE+COST,0.001,no-SPYDD,12,12,1.0,1.0,1.0,0,0,True
BEAR22a,EPISODE,0.0,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,EPISODE,1e-12,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,EPISODE,1e-06,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,EPISODE,0.0001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,EPISODE,0.001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,DECLINE,0.0,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,DECLINE,1e-12,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,DECLINE,1e-06,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,DECLINE,0.0001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,DECLINE,0.001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,RECOVERY,0.0,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22a,RECOVERY,1e-12,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22a,RECOVERY,1e-06,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22a,RECOVERY,0.0001,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22a,RECOVERY,0.001,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22a,DECLINE+COST,0.0,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,DECLINE+COST,1e-12,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,DECLINE+COST,1e-06,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,DECLINE+COST,0.0001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22a,DECLINE+COST,0.001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,EPISODE,0.0,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,EPISODE,1e-12,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,EPISODE,1e-06,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,EPISODE,0.0001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,EPISODE,0.001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,DECLINE,0.0,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,DECLINE,1e-12,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,DECLINE,1e-06,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,DECLINE,0.0001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,DECLINE,0.001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,RECOVERY,0.0,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22b,RECOVERY,1e-12,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22b,RECOVERY,1e-06,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22b,RECOVERY,0.0001,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22b,RECOVERY,0.001,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22b,DECLINE+COST,0.0,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,DECLINE+COST,1e-12,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,DECLINE+COST,1e-06,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,DECLINE+COST,0.0001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22b,DECLINE+COST,0.001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,EPISODE,0.0,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,EPISODE,1e-12,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,EPISODE,1e-06,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,EPISODE,0.0001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,EPISODE,0.001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,DECLINE,0.0,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,DECLINE,1e-12,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,DECLINE,1e-06,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,DECLINE,0.0001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,DECLINE,0.001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,RECOVERY,0.0,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22c,RECOVERY,1e-12,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22c,RECOVERY,1e-06,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22c,RECOVERY,0.0001,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22c,RECOVERY,0.001,no-SPYDD,21,0,,0.0,0.7666666666666667,0,21,False
BEAR22c,DECLINE+COST,0.0,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,DECLINE+COST,1e-12,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,DECLINE+COST,1e-06,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,DECLINE+COST,0.0001,no-SPYDD,0,0,,,1.0,0,0,False
BEAR22c,DECLINE+COST,0.001,no-SPYDD,0,0,,,1.0,0,0,False
