panel,book,gross,denom,lookback,v,vtag,turnover_yr,heldset_fidelity_vs_INF,mean_N_in,mean_N_elig,reject_rate,mean_names_held,capped_share,max_name_w,med_name_w,mean_risk_gross,mean_sweep_w,max_row_sum
U56,CAND,1.0,DEGROSS,20,0.3,0.30,8.376065138139616,0.8794443309499489,38.450337078651685,31.82943820224719,0.1721935197306901,30.926067415730337,0.0,0.2070921054488884,0.022746740286958205,0.7771789819597484,0.22282101804025142,1.0000000000000013
U56,CAND,1.0,DEGROSS,20,0.4,0.40,7.501596542131956,0.9433503575076608,38.450337078651685,35.31438202247191,0.08155858425285206,34.440898876404496,0.0,0.22359759179457506,0.022784509324872665,0.876669392211201,0.12333060778879901,1.0000000000000013
U56,CAND,1.0,DEGROSS,20,0.6,0.60,6.511855212275092,0.9827129724208375,38.450337078651685,37.50247191011236,0.024651673835795772,36.60584269662921,0.0,0.22359759179457506,0.022826483274670045,0.942274567339118,0.05772543266088196,1.0000000000000013
U56,CAND,1.0,DEGROSS,20,inf,INF,5.679032812388824,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.0,0.22277389017616123,0.02285753659022946,0.9740067395142837,0.025993260485716384,1.0000000000000013
U56,CAND,1.0,DEGROSS,60,0.3,0.30,5.967436411795671,0.866173646578141,38.450337078651685,31.1,0.1911644380026183,30.1961797752809,0.0,0.2070921054488884,0.022727640785651506,0.7572414656376053,0.24275853436239445,1.0000000000000013
U56,CAND,1.0,DEGROSS,60,0.4,0.40,6.041444498742605,0.9363391215526047,38.450337078651685,34.949438202247194,0.09104988778754441,34.055280898876404,0.0,0.22359759179457506,0.022775389289801218,0.8664877803349674,0.13351221966503252,1.0000000000000013
U56,CAND,1.0,DEGROSS,60,0.6,0.60,5.914502845272709,0.980126659856997,38.450337078651685,37.35820224719101,0.028403777819337946,36.46359550561798,0.0,0.22359759179457506,0.02281127494718043,0.9373436295408618,0.06265637045913826,1.0000000000000013
U56,CAND,1.0,DEGROSS,60,inf,INF,5.679032812388824,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.0,0.22277389017616123,0.02285753659022946,0.9740067395142837,0.025993260485716384,1.0000000000000013
U56,CAND,1.0,RESPREAD,20,0.3,0.30,9.707469283277042,0.8794443309499489,38.450337078651685,31.82943820224719,0.1721935197306901,30.926067415730337,0.0,1.0,0.026650054165952806,0.9634297781290455,0.03657022187095477,1.0000000000000013
U56,CAND,1.0,RESPREAD,20,0.4,0.40,7.686046196024173,0.9433503575076608,38.450337078651685,35.31438202247191,0.08155858425285206,34.440898876404496,0.0,0.3377881595201644,0.02462654407136643,0.9691395741359659,0.030860425864034452,1.0000000000000016
U56,CAND,1.0,RESPREAD,20,0.6,0.60,6.399279430261559,0.9827129724208375,38.450337078651685,37.50247191011236,0.024651673835795772,36.60584269662921,0.0,0.27650675550842757,0.02349604355484776,0.972373034650395,0.027626965349605275,1.0000000000000013
U56,CAND,1.0,RESPREAD,20,inf,INF,5.679032812388824,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.0,0.22277389017616123,0.02285753659022946,0.9740067395142837,0.025993260485716384,1.0000000000000013
