panel,chooser,picked_book,picked_phase,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,oos_rank,n_grid,spy_oos_CAGR,spy_oos_Sharpe,beats_spy_oos,pass4b,pass4a
B136,CH_CANON_TOP20,TOP20_g075,DOM00,1.2342405889547707,0.17034458257656926,0.15548074428192016,1.000411926222563,-0.2610525610883291,92,270,0.15331427255204866,0.8769078511614361,True,False,False
B136,CH_CANON_RULESV2_W,RULESV2,DOW0,1.0919754546493738,0.08090803114345646,0.07884939392053303,1.1061149281164175,-0.12240985403190019,12,270,0.15331427255204866,0.8769078511614361,True,False,False
B136,CH_IS_SHARPE_ANY,TOP05_g075,4W0,1.3695066012307842,0.26586260077628787,0.20996309844741678,0.9819732975613861,-0.21654235722097903,108,270,0.15331427255204866,0.8769078511614361,True,False,False
B136,CH_IS_SHARPE_MONTHLY,TOP05_g075,4W0,1.3695066012307842,0.26586260077628787,0.20996309844741678,0.9819732975613861,-0.21654235722097903,108,270,0.15331427255204866,0.8769078511614361,True,False,False
B136,CH_IS_CAGR_ANY,TOP05_g075,4W0,1.3695066012307842,0.26586260077628787,0.20996309844741678,0.9819732975613861,-0.21654235722097903,108,270,0.15331427255204866,0.8769078511614361,True,False,False
B136,CH_IS_MINDD_ANY,RULESV2,DOW3,1.0773435895895822,0.07993266410127431,0.08106819002837828,1.133976900727611,-0.11327282939218686,6,270,0.15331427255204866,0.8769078511614361,True,False,False
B136,MEAN_DOM_TOP05_g075,TOP05_g075,(mean of 21),1.2018057999582992,0.2242262314295594,0.1864656705161563,0.8837860797944795,-0.2750467973250701,-1,21,0.15331427255204866,0.8769078511614361,True,False,False
B136,MEAN_DOM_TOP10_g075,TOP10_g075,(mean of 21),1.2338727104370049,0.19469883260222545,0.15131341799429646,0.8579269222917579,-0.257240767185203,-1,21,0.15331427255204866,0.8769078511614361,False,False,False
B136,MEAN_DOM_TOP20_g075,TOP20_g075,(mean of 21),1.1451473713225586,0.15590530469268132,0.13747735413956771,0.911397064971623,-0.24568374181269875,-1,21,0.15331427255204866,0.8769078511614361,True,False,False
B136,MEAN_DOM_TOP40_g075,TOP40_g075,(mean of 21),1.08828475099746,0.13042127505546217,0.12691041378317086,0.9761496950312591,-0.23465521850748652,-1,21,0.15331427255204866,0.8769078511614361,True,False,False
B136,MEAN_DOM_TOP20_g100,TOP20_g100,(mean of 21),1.14752678386725,0.20929954100414405,0.1824807512459544,0.9120623517818991,-0.3216853400720757,-1,21,0.15331427255204866,0.8769078511614361,True,False,False
B136,MEAN_DOM_BAND03_g075,BAND03_g075,(mean of 21),1.0679950939051468,0.08241695173759722,0.08014678921675865,1.0163381758891137,-0.1741856371233629,-1,21,0.15331427255204866,0.8769078511614361,True,False,False
B136,MEAN_DOM_BAND03_g100,BAND03_g100,(mean of 21),1.0686430812252112,0.11019794043755131,0.10678624533198904,1.0098179321418275,-0.23015934071306635,-1,21,0.15331427255204866,0.8769078511614361,True,False,False
B136,MEAN_DOM_BAND06_g075,BAND06_g075,(mean of 21),1.075227499918803,0.08407858208317587,0.08159710947776974,1.0055827524765502,-0.18957176165680312,-1,21,0.15331427255204866,0.8769078511614361,True,False,False
B136,MEAN_DOM_RULESV2,RULESV2,(mean of 21),1.0679950939051468,0.08241695173759722,0.08014678921675865,1.0163381758891137,-0.1741856371233629,-1,21,0.15331427255204866,0.8769078511614361,True,False,False
