panel,kind,q,breadth,gross,D_size,D_share,reversal,n_pairs,sel_argmax,sel_premium
MIX q=0.25 d3,mix,0.25,0.5932530120481927,0.75,0.20959219794097916,-0.2920754091890494,1.0,6,1.0,0.0
MIX q=0.25 d3,mix,0.25,0.5932530120481927,1.0,0.20831744729636836,-0.29050146614775296,1.0,6,,
MIX q=0.25 d4,mix,0.25,0.6217168674698795,0.75,0.16409403623260532,-0.17562702794884577,0.5,6,1.0,0.0
MIX q=0.25 d4,mix,0.25,0.6217168674698795,1.0,0.16178185428922642,-0.1754971430862191,0.5,6,,
MIX q=0.25 d5,mix,0.25,0.6343975903614457,0.75,0.17271785814927976,-0.1798389821298798,0.8333333333333334,6,1.0,0.0
MIX q=0.25 d5,mix,0.25,0.6343975903614457,1.0,0.171410807767703,-0.17820301229314695,0.8333333333333334,6,,
MIX q=0.25 d6,mix,0.25,0.613644578313253,0.75,0.05846843941591717,-0.07194258637208151,0.6666666666666666,6,1.0,0.0
MIX q=0.25 d6,mix,0.25,0.613644578313253,1.0,0.05724069621721295,-0.07136752157996895,0.6666666666666666,6,,
MIX q=0.25 d7,mix,0.25,0.5755421686746988,0.75,-0.05509338448160728,0.07090908840975407,0.16666666666666666,6,0.5,0.047332517038318755
MIX q=0.25 d7,mix,0.25,0.5755421686746988,1.0,-0.05736990137514164,0.07228990981865135,0.16666666666666666,6,,
MIX q=0.50 d0,mix,0.5,0.45686746987951804,0.75,0.13186747724324543,-0.12798066852504142,0.3333333333333333,6,1.0,0.0
MIX q=0.50 d0,mix,0.5,0.45686746987951804,1.0,0.13099692021906917,-0.12602213284785857,0.3333333333333333,6,,
MIX q=0.50 d1,mix,0.5,0.4503915662650603,0.75,-0.05493855278443238,-0.08486185494460985,0.16666666666666666,6,0.9,0.015368428420045155
MIX q=0.50 d1,mix,0.5,0.4503915662650603,1.0,-0.05478586564764609,-0.08442654479851441,0.16666666666666666,6,,
MIX q=0.50 d2,mix,0.5,0.5299698795180723,0.75,0.05692630870833437,-0.17806127008776168,0.3333333333333333,6,0.9,0.03941135948357555
MIX q=0.50 d2,mix,0.5,0.5299698795180723,1.0,0.056816060162814264,-0.17632622094806,0.3333333333333333,6,,
MIX q=0.50 d3,mix,0.5,0.45984939759036153,0.75,0.09520215709162438,-0.1491070860915622,0.5,6,0.9,0.05151386739984154
MIX q=0.50 d3,mix,0.5,0.45984939759036153,1.0,0.09419353833604338,-0.1470816976641236,0.5,6,,
MIX q=0.50 d4,mix,0.5,0.5075000000000001,0.75,0.09830859137907155,-0.22642101302560957,0.6666666666666666,6,0.75,0.0037116065538320697
MIX q=0.50 d4,mix,0.5,0.5075000000000001,1.0,0.09689602000197561,-0.22643218999955972,0.6666666666666666,6,,
MIX q=0.50 d5,mix,0.5,0.5111746987951807,0.75,0.15549345529533998,-0.16808997305202267,0.5,6,0.9,0.07930410886882377
MIX q=0.50 d5,mix,0.5,0.5111746987951807,1.0,0.15517153250550364,-0.16845324433133746,0.5,6,,
MIX q=0.50 d6,mix,0.5,0.5207530120481928,0.75,-0.11739067040877726,0.0905224647824493,0.16666666666666666,6,0.5,0.046037442518339966
MIX q=0.50 d6,mix,0.5,0.5207530120481928,1.0,-0.11729690265533954,0.08986611893392149,0.16666666666666666,6,,
MIX q=0.50 d7,mix,0.5,0.5183734939759036,0.75,-0.01411972574658793,-0.21465399650195216,0.3333333333333333,6,0.75,0.05313807679922955
MIX q=0.50 d7,mix,0.5,0.5183734939759036,1.0,-0.014891791855307979,-0.21435570539478555,0.3333333333333333,6,,
MIX q=0.75 d0,mix,0.75,0.4376807228915663,0.75,0.11982910274501668,-0.1613250743646737,0.16666666666666666,6,1.0,0.0
MIX q=0.75 d0,mix,0.75,0.4376807228915663,1.0,0.11932468974507715,-0.16022635405483454,0.16666666666666666,6,,
MIX q=0.75 d1,mix,0.75,0.38765060240963856,0.75,0.026431052099525232,-0.21336980963301216,0.5,6,1.0,0.0
MIX q=0.75 d1,mix,0.75,0.38765060240963856,1.0,0.02606643684970472,-0.21317396927129412,0.5,6,,
MIX q=0.75 d2,mix,0.75,0.43475903614457834,0.75,-0.05766754904082977,0.0790341857932611,0.3333333333333333,6,0.25,0.2710290752351057
MIX q=0.75 d2,mix,0.75,0.43475903614457834,1.0,-0.0573344146465386,0.07911954621456985,0.3333333333333333,6,,
MIX q=0.75 d3,mix,0.75,0.426566265060241,0.75,-0.04581411848041139,-0.1388040702989662,0.5,6,0.75,0.015326426031704088
MIX q=0.75 d3,mix,0.75,0.426566265060241,1.0,-0.0445763610197637,-0.13822248225871925,0.5,6,,
MIX q=0.75 d4,mix,0.75,0.3947891566265061,0.75,-0.01965656730299059,-0.03752977015575437,0.5,6,0.9,0.017914314545799837
MIX q=0.75 d4,mix,0.75,0.3947891566265061,1.0,-0.019518335004137632,-0.03589501713126003,0.5,6,,
MIX q=0.75 d5,mix,0.75,0.44289156626506027,0.75,0.009045853579508822,-0.08487007638296579,0.3333333333333333,6,1.0,0.0
MIX q=0.75 d5,mix,0.75,0.44289156626506027,1.0,0.009657969642216713,-0.08355259080538996,0.3333333333333333,6,,
MIX q=0.75 d6,mix,0.75,0.3988855421686748,0.75,0.11878705488934932,-0.025005662363477232,0.5,6,0.9,0.038928371720616584
