h_grid,c_set,base,panel,eta2_lad,eta2_stat,inf_total,row_N,row_H,row_GROSS,row_CADENCE,k_H,k_C
H9,C9,11191119,B136,0.2,0.2,5,2,2,0,1,9,9
H9,C9,11091109,U56,0.05454545454545454,0.05454545454545454,5,1,2,1,1,9,9
H9,C9,11091109,B136,0.2,0.2,5,2,2,0,1,9,9
H9,C9,10821082,U56,0.16666666666666666,0.16666666666666666,4,0,2,1,1,9,9
H9,C9,10821082,B136,0.2,0.2,5,2,2,0,1,9,9
H9,C9,10981098,U56,0.05454545454545454,0.05454545454545454,5,1,2,1,1,9,9
H9,C9,10981098,B136,0.2,0.2,5,2,2,0,1,9,9
H9,C9,11021102,U56,0.2,0.2,5,0,2,2,1,9,9
H9,C9,11021102,B136,0.2,0.2,5,2,2,0,1,9,9
H9,C9,11081108,U56,0.05454545454545454,0.05454545454545454,5,1,2,1,1,9,9
H9,C9,11081108,B136,0.2,0.2,5,2,2,0,1,9,9
H9_LOG,C4,11181118,U56,0.375,0.125,8,1,2,1,4,9,4
H9_LOG,C4,11181118,B136,0.5555555555555556,0.047619047619047616,7,2,1,0,4,9,4
H9_LOG,C4,11161116,U56,0.5555555555555556,0.1746031746031746,7,0,2,1,4,9,4
H9_LOG,C4,11161116,B136,0.5555555555555556,0.047619047619047616,7,2,1,0,4,9,4
H9_LOG,C4,11191119,U56,0.375,0.125,8,1,2,1,4,9,4
H9_LOG,C4,11191119,B136,0.5555555555555556,0.047619047619047616,7,2,1,0,4,9,4
H9_LOG,C4,11091109,U56,0.375,0.125,8,1,2,1,4,9,4
H9_LOG,C4,11091109,B136,0.5555555555555556,0.047619047619047616,7,2,1,0,4,9,4
H9_LOG,C4,10821082,U56,0.5555555555555556,0.1746031746031746,7,0,2,1,4,9,4
H9_LOG,C4,10821082,B136,0.3333333333333333,0.06666666666666667,6,2,1,0,3,9,4
H9_LOG,C4,10981098,U56,0.375,0.125,8,1,2,1,4,9,4
H9_LOG,C4,10981098,B136,0.5555555555555556,0.047619047619047616,7,2,1,0,4,9,4
H9_LOG,C4,11021102,U56,0.5,0.125,8,0,2,2,4,9,4
H9_LOG,C4,11021102,B136,0.5555555555555556,0.047619047619047616,7,2,1,0,4,9,4
H9_LOG,C4,11081108,U56,0.375,0.125,8,1,2,1,4,9,4
H9_LOG,C4,11081108,B136,0.5555555555555556,0.047619047619047616,7,2,1,0,4,9,4
H9_LOG,C9,11181118,U56,0.05454545454545454,0.2,5,1,2,1,1,9,9
H9_LOG,C9,11181118,B136,0.16666666666666666,0.16666666666666666,4,2,1,0,1,9,9
H9_LOG,C9,11161116,U56,0.16666666666666666,0.3333333333333333,4,0,2,1,1,9,9
H9_LOG,C9,11161116,B136,0.16666666666666666,0.16666666666666666,4,2,1,0,1,9,9
H9_LOG,C9,11191119,U56,0.05454545454545454,0.2,5,1,2,1,1,9,9
H9_LOG,C9,11191119,B136,0.16666666666666666,0.16666666666666666,4,2,1,0,1,9,9
H9_LOG,C9,11091109,U56,0.05454545454545454,0.2,5,1,2,1,1,9,9
H9_LOG,C9,11091109,B136,0.16666666666666666,0.16666666666666666,4,2,1,0,1,9,9
H9_LOG,C9,10821082,U56,0.16666666666666666,0.3333333333333333,4,0,2,1,1,9,9
H9_LOG,C9,10821082,B136,0.16666666666666666,0.16666666666666666,4,2,1,0,1,9,9
H9_LOG,C9,10981098,U56,0.05454545454545454,0.2,5,1,2,1,1,9,9
H9_LOG,C9,10981098,B136,0.16666666666666666,0.16666666666666666,4,2,1,0,1,9,9
H9_LOG,C9,11021102,U56,0.2,0.2,5,0,2,2,1,9,9
H9_LOG,C9,11021102,B136,0.16666666666666666,0.16666666666666666,4,2,1,0,1,9,9
H9_LOG,C9,11081108,U56,0.05454545454545454,0.2,5,1,2,1,1,9,9
H9_LOG,C9,11081108,B136,0.16666666666666666,0.16666666666666666,4,2,1,0,1,9,9
