gamma,delta,ratio,books_band_nonempty,books_pass4b,books_pass4b_levered_ok,n_books
0.55,0.6,1.0909090909090908,15,9,9,24
0.55,0.65,1.1818181818181817,15,9,9,24
0.55,0.7,1.2727272727272725,15,9,9,24
0.55,0.75,1.3636363636363635,15,9,9,24
0.55,0.8,1.4545454545454546,15,9,9,24
0.55,0.85,1.5454545454545452,15,9,9,24
0.55,0.9,1.6363636363636362,15,9,9,24
0.55,0.95,1.727272727272727,16,9,9,24
0.55,1.0,1.8181818181818181,17,9,9,24
0.55,1.05,1.909090909090909,17,9,9,24
0.55,1.1,2.0,18,9,9,24
0.55,1.15,2.0909090909090904,18,9,9,24
0.55,1.2,2.1818181818181817,18,9,9,24
0.6,0.4,0.6666666666666667,0,0,0,24
0.6,0.45,0.75,7,4,4,24
0.6,0.5,0.8333333333333334,12,7,7,24
0.6,0.55,0.9166666666666667,13,8,8,24
0.6,0.6,1.0,13,8,8,24
0.6,0.65,1.0833333333333335,14,9,9,24
0.6,0.7,1.1666666666666667,14,9,9,24
0.6,0.75,1.25,14,9,9,24
0.6,0.8,1.3333333333333335,14,9,9,24
0.6,0.85,1.4166666666666667,14,9,9,24
0.6,0.9,1.5,14,9,9,24
0.6,0.95,1.5833333333333333,14,9,9,24
0.6,1.0,1.6666666666666667,15,9,9,24
0.6,1.05,1.7500000000000002,16,9,9,24
0.6,1.1,1.8333333333333335,16,9,9,24
0.6,1.15,1.9166666666666665,16,9,9,24
0.6,1.2,2.0,16,9,9,24
0.65,0.4,0.6153846153846154,0,0,0,24
0.65,0.45,0.6923076923076923,5,3,3,24
0.65,0.5,0.7692307692307692,10,6,6,24
0.65,0.55,0.8461538461538461,13,8,8,24
0.65,0.6,0.923076923076923,13,8,8,24
0.65,0.65,1.0,14,9,9,24
0.65,0.7,1.0769230769230769,14,9,9,24
0.65,0.75,1.1538461538461537,14,9,9,24
0.65,0.8,1.2307692307692308,14,9,9,24
0.65,0.85,1.3076923076923077,14,9,9,24
0.65,0.9,1.3846153846153846,14,9,9,24
0.65,0.95,1.4615384615384615,14,9,9,24
0.65,1.0,1.5384615384615383,14,9,9,24
0.65,1.05,1.6153846153846154,14,9,9,24
0.65,1.1,1.6923076923076923,15,9,9,24
0.65,1.15,1.769230769230769,16,9,9,24
0.65,1.2,1.846153846153846,16,9,9,24
0.7,0.4,0.5714285714285715,0,0,0,24
0.7,0.45,0.6428571428571429,1,0,0,24
0.7,0.5,0.7142857142857143,6,3,3,24
0.7,0.55,0.7857142857142858,10,6,6,24
0.7,0.6,0.8571428571428572,12,7,7,24
0.7,0.65,0.9285714285714287,14,9,9,24
0.7,0.7,1.0,14,9,9,24
0.7,0.75,1.0714285714285714,14,9,9,24
0.7,0.8,1.142857142857143,14,9,9,24
0.7,0.85,1.2142857142857144,14,9,9,24
0.7,0.9,1.2857142857142858,14,9,9,24
0.7,0.95,1.3571428571428572,14,9,9,24
0.7,1.0,1.4285714285714286,14,9,9,24
0.7,1.05,1.5000000000000002,14,9,9,24
0.7,1.1,1.5714285714285716,14,9,9,24
0.7,1.15,1.6428571428571428,14,9,9,24
0.7,1.2,1.7142857142857144,15,9,9,24
0.75,0.4,0.5333333333333333,0,0,0,24
0.75,0.45,0.6,0,0,0,24
0.75,0.5,0.6666666666666666,3,2,2,24
0.75,0.55,0.7333333333333334,6,4,4,24
0.75,0.6,0.7999999999999999,11,6,6,24
0.75,0.65,0.8666666666666667,13,8,8,24
0.75,0.7,0.9333333333333332,14,9,9,24
0.75,0.75,1.0,14,9,9,24
0.75,0.8,1.0666666666666667,14,9,9,24
0.75,0.85,1.1333333333333333,14,9,9,24
0.75,0.9,1.2,14,9,9,24
0.75,0.95,1.2666666666666666,14,9,9,24
0.75,1.0,1.3333333333333333,14,9,9,24
0.75,1.05,1.4000000000000001,14,9,9,24
0.75,1.1,1.4666666666666668,14,9,9,24
0.75,1.15,1.5333333333333332,14,9,9,24
0.75,1.2,1.5999999999999999,14,9,9,24
0.8,0.4,0.5,0,0,0,24
0.8,0.45,0.5625,0,0,0,24
0.8,0.5,0.625,0,0,0,24
0.8,0.55,0.6875,3,2,2,24
0.8,0.6,0.7499999999999999,10,5,5,24
0.8,0.65,0.8125,12,7,7,24
0.8,0.7,0.8749999999999999,14,9,9,24
0.8,0.75,0.9375,14,9,9,24
0.8,0.8,1.0,14,9,9,24
0.8,0.85,1.0625,14,9,9,24
0.8,0.9,1.125,14,9,9,24
0.8,0.95,1.1874999999999998,14,9,9,24
0.8,1.0,1.25,14,9,9,24
0.8,1.05,1.3125,14,9,9,24
0.8,1.1,1.375,14,9,9,24
0.8,1.15,1.4374999999999998,14,9,9,24
0.8,1.2,1.4999999999999998,14,9,9,24
0.85,0.4,0.4705882352941177,0,0,0,24
0.85,0.45,0.5294117647058824,0,0,0,24
0.85,0.5,0.5882352941176471,0,0,0,24
0.85,0.55,0.6470588235294118,2,1,1,24
0.85,0.6,0.7058823529411765,7,3,4,24
0.85,0.65,0.7647058823529412,9,4,5,24
0.85,0.7,0.8235294117647058,12,7,8,24
0.85,0.75,0.8823529411764706,12,7,8,24
0.85,0.8,0.9411764705882354,13,8,9,24
0.85,0.85,1.0,13,8,9,24
0.85,0.9,1.0588235294117647,13,8,9,24
0.85,0.95,1.1176470588235294,13,8,9,24
0.85,1.0,1.1764705882352942,13,8,9,24
0.85,1.05,1.2352941176470589,13,8,9,24
0.85,1.1,1.2941176470588236,13,8,9,24
0.85,1.15,1.352941176470588,13,8,9,24
0.85,1.2,1.411764705882353,13,8,9,24
0.9,0.4,0.4444444444444445,0,0,0,24
0.9,0.45,0.5,0,0,0,24
0.9,0.5,0.5555555555555556,0,0,0,24
0.9,0.55,0.6111111111111112,0,0,0,24
0.9,0.6,0.6666666666666666,2,2,3,24
0.9,0.65,0.7222222222222222,6,3,4,24
0.9,0.7,0.7777777777777777,11,6,7,24
0.9,0.75,0.8333333333333333,11,6,7,24
0.9,0.8,0.888888888888889,13,8,9,24
0.9,0.85,0.9444444444444444,13,8,9,24
0.9,0.9,1.0,13,8,9,24
0.9,0.95,1.0555555555555556,13,8,9,24
0.9,1.0,1.1111111111111112,13,8,9,24
0.9,1.05,1.1666666666666667,13,8,9,24
0.9,1.1,1.2222222222222223,13,8,9,24
0.9,1.15,1.2777777777777777,13,8,9,24
0.9,1.2,1.3333333333333333,13,8,9,24
0.95,0.4,0.4210526315789474,0,0,0,24
0.95,0.45,0.4736842105263158,0,0,0,24
0.95,0.5,0.5263157894736842,0,0,0,24
0.95,0.55,0.5789473684210527,0,0,0,24
0.95,0.6,0.631578947368421,1,1,1,24
0.95,0.65,0.6842105263157895,4,2,3,24
0.95,0.7,0.7368421052631579,7,3,5,24
0.95,0.75,0.7894736842105263,9,4,7,24
0.95,0.8,0.8421052631578948,11,6,9,24
0.95,0.85,0.8947368421052632,11,6,9,24
0.95,0.9,0.9473684210526316,11,6,9,24
0.95,0.95,1.0,11,6,9,24
0.95,1.0,1.0526315789473684,11,6,9,24
0.95,1.05,1.105263157894737,11,6,9,24
0.95,1.1,1.1578947368421053,11,6,9,24
0.95,1.15,1.2105263157894737,11,6,9,24
0.95,1.2,1.263157894736842,11,6,9,24
1.0,0.4,0.4,0,0,0,24
1.0,0.45,0.45,0,0,0,24
1.0,0.5,0.5,0,0,0,24
1.0,0.55,0.55,0,0,0,24
1.0,0.6,0.6,0,0,0,24
1.0,0.65,0.65,3,1,3,24
1.0,0.7,0.7,4,1,4,24
1.0,0.75,0.75,6,2,7,24
1.0,0.8,0.8,8,3,8,24
1.0,0.85,0.85,8,3,8,24
1.0,0.9,0.9,9,4,9,24
1.0,0.95,0.95,9,4,9,24
1.0,1.0,1.0,9,4,9,24
1.0,1.05,1.05,9,4,9,24
1.0,1.1,1.1,9,4,9,24
1.0,1.15,1.15,9,4,9,24
1.0,1.2,1.2,9,4,9,24
1.05,0.4,0.38095238095238093,0,0,0,24
1.05,0.45,0.42857142857142855,0,0,0,24
1.05,0.5,0.47619047619047616,0,0,0,24
1.05,0.55,0.5238095238095238,0,0,0,24
1.05,0.6,0.5714285714285714,0,0,0,24
1.05,0.65,0.6190476190476191,0,0,1,24
1.05,0.7,0.6666666666666666,2,0,2,24
1.05,0.75,0.7142857142857143,4,1,5,24
1.05,0.8,0.7619047619047619,6,1,5,24
1.05,0.85,0.8095238095238094,7,2,8,24
1.05,0.9,0.8571428571428571,8,3,9,24
1.05,0.95,0.9047619047619047,8,3,9,24
1.05,1.0,0.9523809523809523,8,3,9,24
1.05,1.05,1.0,8,3,9,24
1.05,1.1,1.0476190476190477,8,3,9,24
1.05,1.15,1.0952380952380951,8,3,9,24
1.05,1.2,1.1428571428571428,8,3,9,24
1.1,0.4,0.36363636363636365,0,0,0,24
1.1,0.45,0.40909090909090906,0,0,0,24
1.1,0.5,0.45454545454545453,0,0,0,24
1.1,0.55,0.5,0,0,0,24
1.1,0.6,0.5454545454545454,0,0,0,24
1.1,0.65,0.5909090909090908,0,0,0,24
1.1,0.7,0.6363636363636362,2,0,1,24
1.1,0.75,0.6818181818181818,4,1,3,24
1.1,0.8,0.7272727272727273,6,1,5,24
1.1,0.85,0.7727272727272726,7,2,8,24
1.1,0.9,0.8181818181818181,7,2,8,24
1.1,0.95,0.8636363636363635,7,2,8,24
1.1,1.0,0.9090909090909091,8,3,9,24
1.1,1.05,0.9545454545454545,8,3,9,24
1.1,1.1,1.0,8,3,9,24
1.1,1.15,1.0454545454545452,8,3,9,24
1.1,1.2,1.0909090909090908,8,3,9,24
