arm,panel,cost_bps,chooser,imposed_lag,pick_lag,pick_gross,pick_turnover_yr,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,full4b,pick_is_t1,beats_spy_oos,beats_base_oos
WF-B,B136,10.0,C_ISSHARPE,2.0,2,0.75,4.701075275223242,0.11204880439592713,1.0307980023563652,-0.19728800711754868,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-B,B136,10.0,C_ISCALMAR,2.0,2,0.75,4.701075275223242,0.11204880439592713,1.0307980023563652,-0.19728800711754868,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-B,B136,10.0,C_ISSHARPE,3.0,3,0.75,4.696602082703884,0.11751376896623333,1.0695533707558382,-0.19647069158654562,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-B,B136,10.0,C_ISCALMAR,3.0,3,0.75,4.696602082703884,0.11751376896623333,1.0695533707558382,-0.19647069158654562,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-B,B136,10.0,C_ISSHARPE,5.0,5,0.75,4.729077987583691,0.11675135474331366,1.0478587414571503,-0.20484950989229345,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,True,False
WF-B,B136,10.0,C_ISCALMAR,5.0,5,0.75,4.729077987583691,0.11675135474331366,1.0478587414571503,-0.20484950989229345,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,True,False
WF-B,B136,25.0,C_ISSHARPE,1.0,1,0.75,4.675125426436814,0.10849512786676252,1.0250054022590873,-0.1793470044898402,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,True,False
WF-B,B136,25.0,C_ISCALMAR,1.0,1,0.75,4.675125426436814,0.10849512786676252,1.0250054022590873,-0.1793470044898402,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,True,False
WF-B,B136,25.0,C_ISSHARPE,2.0,2,0.75,4.701075275223242,0.10404312522322745,0.9646324533155449,-0.19934704461853636,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-B,B136,25.0,C_ISCALMAR,2.0,2,0.75,4.701075275223242,0.10404312522322745,0.9646324533155449,-0.19934704461853636,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
