panel,K,lam,key,n,pn,R2_oof
U56,5,100.0,yS,1200,0.04583333333333333,0.8841815513144643
U56,10,0.001,sd,1200,0.04583333333333333,0.9686823166109588
U56,10,0.001,mu,1200,0.04583333333333333,0.9999999999810545
U56,10,0.001,yS,1200,0.04583333333333333,0.9841609074989136
U56,10,0.01,sd,1200,0.04583333333333333,0.9686825493886398
U56,10,0.01,mu,1200,0.04583333333333333,0.9999999981056132
U56,10,0.01,yS,1200,0.04583333333333333,0.9841609154595781
U56,10,0.1,sd,1200,0.04583333333333333,0.9686847113714265
U56,10,0.1,mu,1200,0.04583333333333333,0.999999810720157
U56,10,0.1,yS,1200,0.04583333333333333,0.9841608341352373
U56,10,1.0,sd,1200,0.04583333333333333,0.9686899046287881
U56,10,1.0,mu,1200,0.04583333333333333,0.999981229715191
U56,10,1.0,yS,1200,0.04583333333333333,0.9841440778915256
U56,10,10.0,sd,1200,0.04583333333333333,0.9672415912631253
U56,10,10.0,mu,1200,0.04583333333333333,0.9982700165127729
U56,10,10.0,yS,1200,0.04583333333333333,0.982521871406153
U56,10,100.0,sd,1200,0.04583333333333333,0.8832712697547148
U56,10,100.0,mu,1200,0.04583333333333333,0.9107407721625993
U56,10,100.0,yS,1200,0.04583333333333333,0.8991743462247653
B136,2,0.001,sd,1200,0.1125,0.9619969509598818
B136,2,0.001,mu,1200,0.1125,0.9994807122837429
B136,2,0.001,yS,1200,0.1125,0.9801749001706108
B136,2,0.01,sd,1200,0.1125,0.9620020169019162
B136,2,0.01,mu,1200,0.1125,0.999481111738585
B136,2,0.01,yS,1200,0.1125,0.9801795152211731
B136,2,0.1,sd,1200,0.1125,0.9620490585915513
B136,2,0.1,mu,1200,0.1125,0.9994815415835504
B136,2,0.1,yS,1200,0.1125,0.980222337017212
B136,2,1.0,sd,1200,0.1125,0.9621763478730665
B136,2,1.0,mu,1200,0.1125,0.9991489318447522
B136,2,1.0,yS,1200,0.1125,0.9803348218226969
B136,2,10.0,sd,1200,0.1125,0.9417880212475265
B136,2,10.0,mu,1200,0.1125,0.9751088038894935
B136,2,10.0,yS,1200,0.1125,0.961449887938279
B136,2,100.0,sd,1200,0.1125,0.6079715464038049
B136,2,100.0,mu,1200,0.1125,0.6341465764580201
B136,2,100.0,yS,1200,0.1125,0.6391239499360095
B136,3,0.001,sd,1200,0.1125,0.9657075927887379
B136,3,0.001,mu,1200,0.1125,0.9995280391871374
B136,3,0.001,yS,1200,0.1125,0.9819597406965255
B136,3,0.01,sd,1200,0.1125,0.9657087862288988
B136,3,0.01,mu,1200,0.1125,0.9995280445629731
B136,3,0.01,yS,1200,0.1125,0.9819603589987432
B136,3,0.1,sd,1200,0.1125,0.9657191312080098
B136,3,0.1,mu,1200,0.1125,0.9995264569522619
B136,3,0.1,yS,1200,0.1125,0.9819651110910995
B136,3,1.0,sd,1200,0.1125,0.9656687640035703
B136,3,1.0,mu,1200,0.1125,0.999352103561069
B136,3,1.0,yS,1200,0.1125,0.981874168526966
B136,3,10.0,sd,1200,0.1125,0.9537892758542987
B136,3,10.0,mu,1200,0.1125,0.9861037405539222
B136,3,10.0,yS,1200,0.1125,0.9707147214301304
B136,3,100.0,sd,1200,0.1125,0.6857523708217337
B136,3,100.0,mu,1200,0.1125,0.7139071517295281
B136,3,100.0,yS,1200,0.1125,0.7168144271236014
B136,5,0.001,sd,1200,0.1125,0.9657661988718271
B136,5,0.001,mu,1200,0.1125,0.9995471454390561
B136,5,0.001,yS,1200,0.1125,0.9827282982286992
B136,5,0.01,sd,1200,0.1125,0.9657673309699699
B136,5,0.01,mu,1200,0.1125,0.9995471977797432
B136,5,0.01,yS,1200,0.1125,0.9827290071253872
B136,5,0.1,sd,1200,0.1125,0.9657776715443738
B136,5,0.1,mu,1200,0.1125,0.999546713372551
B136,5,0.1,yS,1200,0.1125,0.982735165686465
B136,5,1.0,sd,1200,0.1125,0.9657854425802475
B136,5,1.0,mu,1200,0.1125,0.99944369306445
B136,5,1.0,yS,1200,0.1125,0.9827060455724159
B136,5,10.0,sd,1200,0.1125,0.9582899104591079
B136,5,10.0,mu,1200,0.1125,0.9907278144560389
B136,5,10.0,yS,1200,0.1125,0.97526133428098
B136,5,100.0,sd,1200,0.1125,0.7378262374131467
B136,5,100.0,mu,1200,0.1125,0.7639687896683496
B136,5,100.0,yS,1200,0.1125,0.762514402511718
B136,10,0.001,sd,1200,0.1125,0.9664085978887117
B136,10,0.001,mu,1200,0.1125,0.9995579117799446
B136,10,0.001,yS,1200,0.1125,0.9827804416157736
B136,10,0.01,sd,1200,0.1125,0.9664090725169656
B136,10,0.01,mu,1200,0.1125,0.9995579485967777
B136,10,0.01,yS,1200,0.1125,0.9827810806535661
B136,10,0.1,sd,1200,0.1125,0.9664130958498173
B136,10,0.1,mu,1200,0.1125,0.9995575656000067
B136,10,0.1,yS,1200,0.1125,0.9827867709542126
B136,10,1.0,sd,1200,0.1125,0.9663825483734815
B136,10,1.0,mu,1200,0.1125,0.9994802591628704
B136,10,1.0,yS,1200,0.1125,0.9827751438492113
B136,10,10.0,sd,1200,0.1125,0.9602867699286636
B136,10,10.0,mu,1200,0.1125,0.992743571954711
B136,10,10.0,yS,1200,0.1125,0.9770579797528594
B136,10,100.0,sd,1200,0.1125,0.7662012968747749
B136,10,100.0,mu,1200,0.1125,0.7931854299732415
B136,10,100.0,yS,1200,0.1125,0.7891416168382586
SMALL439,2,0.001,sd,1200,0.36583333333333334,0.9159840833920715
SMALL439,2,0.001,mu,1200,0.36583333333333334,0.9999999340188516
SMALL439,2,0.001,yS,1200,0.36583333333333334,0.9368781296884483
SMALL439,2,0.01,sd,1200,0.36583333333333334,0.916620416529031
SMALL439,2,0.01,mu,1200,0.36583333333333334,0.9999935041678718
SMALL439,2,0.01,yS,1200,0.36583333333333334,0.9373695776446418
SMALL439,2,0.1,sd,1200,0.36583333333333334,0.9217606082461964
SMALL439,2,0.1,mu,1200,0.36583333333333334,0.9994378773802903
SMALL439,2,0.1,yS,1200,0.36583333333333334,0.9408723390259227
SMALL439,2,1.0,sd,1200,0.36583333333333334,0.9263328502567773
SMALL439,2,1.0,mu,1200,0.36583333333333334,0.9767638898055121
SMALL439,2,1.0,yS,1200,0.36583333333333334,0.9308234168926137
SMALL439,2,10.0,sd,1200,0.36583333333333334,0.76954194219535
SMALL439,2,10.0,mu,1200,0.36583333333333334,0.7771127209926282
SMALL439,2,10.0,yS,1200,0.36583333333333334,0.749972821777818
SMALL439,2,100.0,sd,1200,0.36583333333333334,0.31505608160101695
SMALL439,2,100.0,mu,1200,0.36583333333333334,0.31336294686285593
SMALL439,2,100.0,yS,1200,0.36583333333333334,0.3009251825530964
SMALL439,3,0.001,sd,1200,0.36583333333333334,0.9500442603382199
SMALL439,3,0.001,mu,1200,0.36583333333333334,0.9999999902633212
SMALL439,3,0.001,yS,1200,0.36583333333333334,0.9584008867535484
SMALL439,3,0.01,sd,1200,0.36583333333333334,0.9501142412502381
SMALL439,3,0.01,mu,1200,0.36583333333333334,0.9999990301391601
SMALL439,3,0.01,yS,1200,0.36583333333333334,0.9584232931776282
SMALL439,3,0.1,sd,1200,0.36583333333333334,0.9507184508203101
SMALL439,3,0.1,mu,1200,0.36583333333333334,0.9999066749433195
SMALL439,3,0.1,yS,1200,0.36583333333333334,0.9585743975587024
SMALL439,3,1.0,sd,1200,0.36583333333333334,0.9501027634775219
SMALL439,3,1.0,mu,1200,0.36583333333333334,0.9932880876535858
SMALL439,3,1.0,yS,1200,0.36583333333333334,0.9549132580820346
SMALL439,3,10.0,sd,1200,0.36583333333333334,0.8433089872528183
SMALL439,3,10.0,mu,1200,0.36583333333333334,0.8576349875428501
SMALL439,3,10.0,yS,1200,0.36583333333333334,0.8394524922953466
SMALL439,3,100.0,sd,1200,0.36583333333333334,0.3867273356524611
SMALL439,3,100.0,mu,1200,0.36583333333333334,0.38448327325040776
SMALL439,3,100.0,yS,1200,0.36583333333333334,0.37775332254508087
SMALL439,5,0.001,sd,1200,0.36583333333333334,0.9567736672692443
SMALL439,5,0.001,mu,1200,0.36583333333333334,0.9999999961384527
SMALL439,5,0.001,yS,1200,0.36583333333333334,0.9663533071551383
SMALL439,5,0.01,sd,1200,0.36583333333333334,0.9568043899308303
SMALL439,5,0.01,mu,1200,0.36583333333333334,0.9999996146901372
SMALL439,5,0.01,yS,1200,0.36583333333333334,0.9663715935912457
SMALL439,5,0.1,sd,1200,0.36583333333333334,0.9570773823485635
SMALL439,5,0.1,mu,1200,0.36583333333333334,0.999962295882126
SMALL439,5,0.1,yS,1200,0.36583333333333334,0.9665232490232973
SMALL439,5,1.0,sd,1200,0.36583333333333334,0.9570335787227396
SMALL439,5,1.0,mu,1200,0.36583333333333334,0.9969084284617433
SMALL439,5,1.0,yS,1200,0.36583333333333334,0.9654952456371291
SMALL439,5,10.0,sd,1200,0.36583333333333334,0.88203730358772
SMALL439,5,10.0,mu,1200,0.36583333333333334,0.902662252161183
SMALL439,5,10.0,yS,1200,0.36583333333333334,0.8860618888482419
SMALL439,5,100.0,sd,1200,0.36583333333333334,0.4368356956207914
SMALL439,5,100.0,mu,1200,0.36583333333333334,0.4396199395851901
SMALL439,5,100.0,yS,1200,0.36583333333333334,0.4339505630372398
SMALL439,10,0.001,sd,1200,0.36583333333333334,0.9590855136428614
SMALL439,10,0.001,mu,1200,0.36583333333333334,0.9999999976217461
SMALL439,10,0.001,yS,1200,0.36583333333333334,0.9701520270390337
SMALL439,10,0.01,sd,1200,0.36583333333333334,0.9591000482668093
SMALL439,10,0.01,mu,1200,0.36583333333333334,0.9999997625526964
SMALL439,10,0.01,yS,1200,0.36583333333333334,0.9701649853531108
SMALL439,10,0.1,sd,1200,0.36583333333333334,0.9592256627797161
SMALL439,10,0.1,mu,1200,0.36583333333333334,0.9999766275378864
SMALL439,10,0.1,yS,1200,0.36583333333333334,0.9702747479394431
SMALL439,10,1.0,sd,1200,0.36583333333333334,0.9587945442935611
SMALL439,10,1.0,mu,1200,0.36583333333333334,0.9979845582222774
SMALL439,10,1.0,yS,1200,0.36583333333333334,0.9696718759610191
SMALL439,10,10.0,sd,1200,0.36583333333333334,0.8967001238042636
SMALL439,10,10.0,mu,1200,0.36583333333333334,0.9227394393753877
SMALL439,10,10.0,yS,1200,0.36583333333333334,0.9050843828551377
SMALL439,10,100.0,sd,1200,0.36583333333333334,0.46387264933433026
SMALL439,10,100.0,mu,1200,0.36583333333333334,0.4721905583477506
SMALL439,10,100.0,yS,1200,0.36583333333333334,0.4638680755418303
