book,instr,rung,chooser,floor,IS,OOS,OOS_CAGR,OOS_DD,CAGR,Sharpe,MaxDD,pass4a,pass4b,v2_OOS,spy_OOS
EWALL,VOLSH,25.0,B IS-Sharpe,0.0,0.7571055453583596,0.6206770724346838,0.09782050310343715,-0.36426007858274967,0.09894356898141088,0.6620350100338488,-0.36426007858275133,0,0,0.5055965085014015,0.8820107009842559
EWALL,VOLSH,25.0,C no floor,0.0,0.7571055453583596,0.6206770724346838,0.09782050310343715,-0.36426007858274967,0.09894356898141088,0.6620350100338488,-0.36426007858275133,0,0,0.5055965085014015,0.8820107009842559
EWGATE,DV,10.0,A capacity (IS),500000.0,0.3256256697491861,0.1856699589235193,0.01655378259939133,-0.41306674284303657,0.024243974538775914,0.23810247045985872,-0.41306674284303757,0,0,0.5664863714962137,0.8820107009842559
EWGATE,DV,10.0,B IS-Sharpe,0.0,0.4210587848758904,0.29095981782086194,0.03139636424374004,-0.39980691311185357,0.03666279912702519,0.3361134342060475,-0.39980691311185323,0,0,0.5664863714962137,0.8820107009842559
EWGATE,DV,10.0,C no floor,0.0,0.4210587848758904,0.29095981782086194,0.03139636424374004,-0.39980691311185357,0.03666279912702519,0.3361134342060475,-0.39980691311185323,0,0,0.5664863714962137,0.8820107009842559
EWGATE,DV,25.0,A capacity (IS),500000.0,0.19741421989588423,0.03215961397643423,-0.006082466794190222,-0.43340598867685387,0.003083160816860442,0.0940615075134835,-0.43340598867685354,0,0,0.5055965085014015,0.8820107009842559
EWGATE,DV,25.0,B IS-Sharpe,0.0,0.281061082145709,0.13528981693967163,0.009127886131771623,-0.41964145710116674,0.016069110282892707,0.18622878506092036,-0.41964145710116685,0,0,0.5055965085014015,0.8820107009842559
EWGATE,DV,25.0,C no floor,0.0,0.281061082145709,0.13528981693967163,0.009127886131771623,-0.41964145710116674,0.016069110282892707,0.18622878506092036,-0.41964145710116685,0,0,0.5055965085014015,0.8820107009842559
EWGATE,VOLSH,10.0,A capacity (IS),500000.0,0.3483845727498815,0.1873672356500448,0.016860079020145857,-0.42932691643418364,0.025805592159472646,0.24768076322172747,-0.4293269164341832,0,0,0.5664863714962137,0.8820107009842559
EWGATE,VOLSH,10.0,B IS-Sharpe,250000.0,0.4318198547095916,0.24137975232365294,0.024779203007222916,-0.4086375647748468,0.03501950928357522,0.31223189441480254,-0.40863756477484603,0,0,0.5664863714962137,0.8820107009842559
