it,scheme,family,resid,cells,claims,survive,defined
1,FAM5,MaxDD,partial,36,14,8,36
1,FAM5,MaxDD,logx,36,14,7,36
1,FAM5,MaxDD,loglog,36,14,0,36
1,FAM5,Sharpe,partial,36,13,10,36
1,FAM5,Sharpe,logx,36,13,10,36
1,FAM5,Sharpe,loglog,36,13,0,0
2,FAM2,DD,partial,72,36,27,72
2,FAM2,DD,logx,72,36,22,72
2,FAM2,DD,loglog,72,36,0,72
2,FAM2,RET,partial,108,48,45,108
2,FAM2,RET,logx,108,48,41,108
2,FAM2,RET,loglog,108,48,0,0
2,FAM3,DD,partial,72,36,27,72
2,FAM3,DD,logx,72,36,22,72
2,FAM3,DD,loglog,72,36,0,72
2,FAM3,LEVEL,partial,72,32,30,72
2,FAM3,LEVEL,logx,72,32,27,72
2,FAM3,LEVEL,loglog,72,32,0,0
2,FAM3,RATIO,partial,36,16,15,36
2,FAM3,RATIO,logx,36,16,14,36
2,FAM3,RATIO,loglog,36,16,0,0
2,FAM5,CAGR,partial,36,16,15,36
2,FAM5,CAGR,logx,36,16,13,36
2,FAM5,CAGR,loglog,36,16,0,0
2,FAM5,CAGRnorm,partial,36,16,15,36
2,FAM5,CAGRnorm,logx,36,16,14,36
2,FAM5,CAGRnorm,loglog,36,16,0,0
2,FAM5,DDnorm,partial,36,16,14,36
2,FAM5,DDnorm,logx,36,16,11,36
2,FAM5,DDnorm,loglog,36,16,0,36
2,FAM5,MaxDD,partial,36,20,13,36
2,FAM5,MaxDD,logx,36,20,11,36
2,FAM5,MaxDD,loglog,36,20,0,36
2,FAM5,Sharpe,partial,36,16,15,36
2,FAM5,Sharpe,logx,36,16,14,36
2,FAM5,Sharpe,loglog,36,16,0,0
3,FAM2,DD,partial,72,17,11,72
3,FAM2,DD,logx,72,17,8,72
3,FAM2,DD,loglog,72,17,0,72
3,FAM2,RET,partial,108,52,45,108
3,FAM2,RET,logx,108,52,40,108
3,FAM2,RET,loglog,108,52,0,0
3,FAM3,DD,partial,72,17,11,72
3,FAM3,DD,logx,72,17,8,72
3,FAM3,DD,loglog,72,17,0,72
3,FAM3,LEVEL,partial,72,35,30,72
3,FAM3,LEVEL,logx,72,35,27,72
3,FAM3,LEVEL,loglog,72,35,0,0
3,FAM3,RATIO,partial,36,17,15,36
3,FAM3,RATIO,logx,36,17,13,36
3,FAM3,RATIO,loglog,36,17,0,0
3,FAM5,CAGR,partial,36,18,15,36
3,FAM5,CAGR,logx,36,18,14,36
3,FAM5,CAGR,loglog,36,18,0,0
3,FAM5,CAGRnorm,partial,36,17,15,36
3,FAM5,CAGRnorm,logx,36,17,13,36
3,FAM5,CAGRnorm,loglog,36,17,0,0
3,FAM5,DDnorm,partial,36,7,6,36
3,FAM5,DDnorm,logx,36,7,5,36
3,FAM5,DDnorm,loglog,36,7,0,36
3,FAM5,MaxDD,partial,36,10,5,36
3,FAM5,MaxDD,logx,36,10,3,36
3,FAM5,MaxDD,loglog,36,10,0,36
3,FAM5,Sharpe,partial,36,17,15,36
3,FAM5,Sharpe,logx,36,17,13,36
3,FAM5,Sharpe,loglog,36,17,0,0
4,FAM2,DD,partial,72,29,20,72
4,FAM2,DD,logx,72,29,17,72
4,FAM2,DD,loglog,72,29,0,72
4,FAM2,RET,partial,108,52,36,108
4,FAM2,RET,logx,108,52,34,108
4,FAM2,RET,loglog,108,52,0,0
4,FAM3,DD,partial,72,29,20,72
4,FAM3,DD,logx,72,29,17,72
4,FAM3,DD,loglog,72,29,0,72
4,FAM3,LEVEL,partial,72,34,24,72
4,FAM3,LEVEL,logx,72,34,23,72
4,FAM3,LEVEL,loglog,72,34,0,0
4,FAM3,RATIO,partial,36,18,12,36
4,FAM3,RATIO,logx,36,18,11,36
4,FAM3,RATIO,loglog,36,18,0,0
4,FAM5,CAGR,partial,36,16,12,36
4,FAM5,CAGR,logx,36,16,12,36
4,FAM5,CAGR,loglog,36,16,0,0
4,FAM5,CAGRnorm,partial,36,18,12,36
4,FAM5,CAGRnorm,logx,36,18,11,36
4,FAM5,CAGRnorm,loglog,36,18,0,0
4,FAM5,DDnorm,partial,36,11,10,36
4,FAM5,DDnorm,logx,36,11,9,36
4,FAM5,DDnorm,loglog,36,11,0,36
4,FAM5,MaxDD,partial,36,18,10,36
4,FAM5,MaxDD,logx,36,18,8,36
4,FAM5,MaxDD,loglog,36,18,0,36
4,FAM5,Sharpe,partial,36,18,12,36
4,FAM5,Sharpe,logx,36,18,11,36
4,FAM5,Sharpe,loglog,36,18,0,0
5,FAM2,DD,partial,72,18,11,72
5,FAM2,DD,logx,72,18,10,72
5,FAM2,DD,loglog,72,18,0,72
5,FAM2,RET,partial,108,42,36,108
5,FAM2,RET,logx,108,42,33,108
5,FAM2,RET,loglog,108,42,0,0
5,FAM3,DD,partial,72,18,11,72
5,FAM3,DD,logx,72,18,10,72
5,FAM3,DD,loglog,72,18,0,72
5,FAM3,LEVEL,partial,72,28,24,72
5,FAM3,LEVEL,logx,72,28,22,72
5,FAM3,LEVEL,loglog,72,28,0,0
5,FAM3,RATIO,partial,36,14,12,36
5,FAM3,RATIO,logx,36,14,11,36
5,FAM3,RATIO,loglog,36,14,0,0
5,FAM5,CAGR,partial,36,14,12,36
5,FAM5,CAGR,logx,36,14,11,36
5,FAM5,CAGR,loglog,36,14,0,0
5,FAM5,CAGRnorm,partial,36,14,12,36
5,FAM5,CAGRnorm,logx,36,14,11,36
5,FAM5,CAGRnorm,loglog,36,14,0,0
5,FAM5,DDnorm,partial,36,8,6,36
5,FAM5,DDnorm,logx,36,8,5,36
5,FAM5,DDnorm,loglog,36,8,0,36
5,FAM5,MaxDD,partial,36,10,5,36
5,FAM5,MaxDD,logx,36,10,5,36
5,FAM5,MaxDD,loglog,36,10,0,36
5,FAM5,Sharpe,partial,36,14,12,36
5,FAM5,Sharpe,logx,36,14,11,36
5,FAM5,Sharpe,loglog,36,14,0,0
6,FAM2,DD,partial,72,22,16,72
6,FAM2,DD,logx,72,22,15,72
6,FAM2,DD,loglog,72,22,0,72
6,FAM2,RET,partial,108,41,34,108
6,FAM2,RET,logx,108,41,32,108
6,FAM2,RET,loglog,108,41,0,0
6,FAM3,DD,partial,72,22,16,72
6,FAM3,DD,logx,72,22,15,72
6,FAM3,DD,loglog,72,22,0,72
6,FAM3,LEVEL,partial,72,26,22,72
6,FAM3,LEVEL,logx,72,26,21,72
6,FAM3,LEVEL,loglog,72,26,0,0
6,FAM3,RATIO,partial,36,15,12,36
6,FAM3,RATIO,logx,36,15,11,36
6,FAM3,RATIO,loglog,36,15,0,0
6,FAM5,CAGR,partial,36,12,11,36
6,FAM5,CAGR,logx,36,12,10,36
6,FAM5,CAGR,loglog,36,12,0,0
6,FAM5,CAGRnorm,partial,36,14,11,36
6,FAM5,CAGRnorm,logx,36,14,11,36
6,FAM5,CAGRnorm,loglog,36,14,0,0
6,FAM5,DDnorm,partial,36,9,8,36
6,FAM5,DDnorm,logx,36,9,8,36
6,FAM5,DDnorm,loglog,36,9,0,36
6,FAM5,MaxDD,partial,36,13,8,36
6,FAM5,MaxDD,logx,36,13,7,36
6,FAM5,MaxDD,loglog,36,13,0,36
6,FAM5,Sharpe,partial,36,15,12,36
6,FAM5,Sharpe,logx,36,15,11,36
6,FAM5,Sharpe,loglog,36,15,0,0
7,FAM2,DD,partial,72,27,16,72
7,FAM2,DD,logx,72,27,10,72
7,FAM2,DD,loglog,72,27,0,72
7,FAM2,RET,partial,108,52,50,108
7,FAM2,RET,logx,108,52,50,108
7,FAM2,RET,loglog,108,52,0,0
7,FAM3,DD,partial,72,27,16,72
7,FAM3,DD,logx,72,27,10,72
7,FAM3,DD,loglog,72,27,0,72
7,FAM3,LEVEL,partial,72,34,33,72
7,FAM3,LEVEL,logx,72,34,33,72
7,FAM3,LEVEL,loglog,72,34,0,0
7,FAM3,RATIO,partial,36,18,17,36
7,FAM3,RATIO,logx,36,18,17,36
7,FAM3,RATIO,loglog,36,18,0,0
7,FAM5,CAGR,partial,36,16,16,36
7,FAM5,CAGR,logx,36,16,16,36
7,FAM5,CAGR,loglog,36,16,0,0
7,FAM5,CAGRnorm,partial,36,18,17,36
7,FAM5,CAGRnorm,logx,36,18,17,36
7,FAM5,CAGRnorm,loglog,36,18,0,0
7,FAM5,DDnorm,partial,36,13,9,36
7,FAM5,DDnorm,logx,36,13,5,36
7,FAM5,DDnorm,loglog,36,13,0,36
7,FAM5,MaxDD,partial,36,14,7,36
7,FAM5,MaxDD,logx,36,14,5,36
7,FAM5,MaxDD,loglog,36,14,0,36
7,FAM5,Sharpe,partial,36,18,17,36
7,FAM5,Sharpe,logx,36,18,17,36
7,FAM5,Sharpe,loglog,36,18,0,0
8,FAM2,DD,partial,72,27,18,72
8,FAM2,DD,logx,72,27,11,72
8,FAM2,DD,loglog,72,27,0,72
8,FAM2,RET,partial,108,36,27,108
8,FAM2,RET,logx,108,36,27,108
8,FAM2,RET,loglog,108,36,0,0
8,FAM3,DD,partial,72,27,18,72
8,FAM3,DD,logx,72,27,11,72
8,FAM3,DD,loglog,72,27,0,72
8,FAM3,LEVEL,partial,72,24,18,72
8,FAM3,LEVEL,logx,72,24,18,72
8,FAM3,LEVEL,loglog,72,24,0,0
8,FAM3,RATIO,partial,36,12,9,36
8,FAM3,RATIO,logx,36,12,9,36
8,FAM3,RATIO,loglog,36,12,0,0
8,FAM5,CAGR,partial,36,12,9,36
8,FAM5,CAGR,logx,36,12,9,36
8,FAM5,CAGR,loglog,36,12,0,0
8,FAM5,CAGRnorm,partial,36,12,9,36
8,FAM5,CAGRnorm,logx,36,12,9,36
8,FAM5,CAGRnorm,loglog,36,12,0,0
8,FAM5,DDnorm,partial,36,12,9,36
8,FAM5,DDnorm,logx,36,12,6,36
8,FAM5,DDnorm,loglog,36,12,0,36
8,FAM5,MaxDD,partial,36,15,9,36
8,FAM5,MaxDD,logx,36,15,5,36
8,FAM5,MaxDD,loglog,36,15,0,36
8,FAM5,Sharpe,partial,36,12,9,36
8,FAM5,Sharpe,logx,36,12,9,36
8,FAM5,Sharpe,loglog,36,12,0,0
9,FAM2,DD,partial,72,18,10,72
9,FAM2,DD,logx,72,18,8,72
9,FAM2,DD,loglog,72,18,2,72
9,FAM2,RET,partial,108,41,26,108
9,FAM2,RET,logx,108,41,26,108
9,FAM2,RET,loglog,108,41,0,0
9,FAM3,DD,partial,72,18,10,72
9,FAM3,DD,logx,72,18,8,72
9,FAM3,DD,loglog,72,18,2,72
9,FAM3,LEVEL,partial,72,27,17,72
9,FAM3,LEVEL,logx,72,27,17,72
9,FAM3,LEVEL,loglog,72,27,0,0
9,FAM3,RATIO,partial,36,14,9,36
9,FAM3,RATIO,logx,36,14,9,36
9,FAM3,RATIO,loglog,36,14,0,0
9,FAM5,CAGR,partial,36,13,8,36
9,FAM5,CAGR,logx,36,13,8,36
9,FAM5,CAGR,loglog,36,13,0,0
9,FAM5,CAGRnorm,partial,36,14,9,36
9,FAM5,CAGRnorm,logx,36,14,9,36
9,FAM5,CAGRnorm,loglog,36,14,0,0
9,FAM5,DDnorm,partial,36,7,5,36
9,FAM5,DDnorm,logx,36,7,4,36
9,FAM5,DDnorm,loglog,36,7,0,36
9,FAM5,MaxDD,partial,36,11,5,36
9,FAM5,MaxDD,logx,36,11,4,36
9,FAM5,MaxDD,loglog,36,11,2,36
9,FAM5,Sharpe,partial,36,14,9,36
9,FAM5,Sharpe,logx,36,14,9,36
9,FAM5,Sharpe,loglog,36,14,0,0
10,FAM2,DD,partial,72,21,14,72
10,FAM2,DD,logx,72,21,12,72
10,FAM2,DD,loglog,72,21,0,72
10,FAM2,RET,partial,108,44,32,108
10,FAM2,RET,logx,108,44,30,108
10,FAM2,RET,loglog,108,44,0,0
10,FAM3,DD,partial,72,21,14,72
10,FAM3,DD,logx,72,21,12,72
10,FAM3,DD,loglog,72,21,0,72
10,FAM3,LEVEL,partial,72,29,21,72
10,FAM3,LEVEL,logx,72,29,20,72
10,FAM3,LEVEL,loglog,72,29,0,0
10,FAM3,RATIO,partial,36,15,11,36
10,FAM3,RATIO,logx,36,15,10,36
10,FAM3,RATIO,loglog,36,15,0,0
10,FAM5,CAGR,partial,36,14,10,36
10,FAM5,CAGR,logx,36,14,10,36
10,FAM5,CAGR,loglog,36,14,0,0
10,FAM5,CAGRnorm,partial,36,15,11,36
10,FAM5,CAGRnorm,logx,36,15,10,36
10,FAM5,CAGRnorm,loglog,36,15,0,0
10,FAM5,DDnorm,partial,36,10,7,36
10,FAM5,DDnorm,logx,36,10,6,36
10,FAM5,DDnorm,loglog,36,10,0,36
10,FAM5,MaxDD,partial,36,11,7,36
10,FAM5,MaxDD,logx,36,11,6,36
10,FAM5,MaxDD,loglog,36,11,0,36
10,FAM5,Sharpe,partial,36,15,11,36
10,FAM5,Sharpe,logx,36,15,10,36
10,FAM5,Sharpe,loglog,36,15,0,0
11,FAM2,DD,partial,72,21,13,72
11,FAM2,DD,logx,72,21,6,72
11,FAM2,DD,loglog,72,21,0,72
11,FAM2,RET,partial,108,35,27,108
11,FAM2,RET,logx,108,35,28,108
11,FAM2,RET,loglog,108,35,0,0
11,FAM3,DD,partial,72,21,13,72
11,FAM3,DD,logx,72,21,6,72
11,FAM3,DD,loglog,72,21,0,72
11,FAM3,LEVEL,partial,72,23,17,72
11,FAM3,LEVEL,logx,72,23,18,72
11,FAM3,LEVEL,loglog,72,23,0,0
11,FAM3,RATIO,partial,36,12,10,36
11,FAM3,RATIO,logx,36,12,10,36
11,FAM3,RATIO,loglog,36,12,0,0
11,FAM5,CAGR,partial,36,11,8,36
11,FAM5,CAGR,logx,36,11,8,36
11,FAM5,CAGR,loglog,36,11,0,0
11,FAM5,CAGRnorm,partial,36,12,9,36
11,FAM5,CAGRnorm,logx,36,12,10,36
11,FAM5,CAGRnorm,loglog,36,12,0,0
11,FAM5,DDnorm,partial,36,9,7,36
11,FAM5,DDnorm,logx,36,9,4,36
11,FAM5,DDnorm,loglog,36,9,0,36
11,FAM5,MaxDD,partial,36,12,6,36
11,FAM5,MaxDD,logx,36,12,2,36
11,FAM5,MaxDD,loglog,36,12,0,36
11,FAM5,Sharpe,partial,36,12,10,36
11,FAM5,Sharpe,logx,36,12,10,36
11,FAM5,Sharpe,loglog,36,12,0,0
12,FAM2,DD,partial,72,21,15,72
12,FAM2,DD,logx,72,21,10,72
12,FAM2,DD,loglog,72,21,1,72
12,FAM2,RET,partial,108,34,27,108
12,FAM2,RET,logx,108,34,27,108
12,FAM2,RET,loglog,108,34,0,0
12,FAM3,DD,partial,72,21,15,72
12,FAM3,DD,logx,72,21,10,72
12,FAM3,DD,loglog,72,21,1,72
12,FAM3,LEVEL,partial,72,23,18,72
12,FAM3,LEVEL,logx,72,23,18,72
12,FAM3,LEVEL,loglog,72,23,0,0
12,FAM3,RATIO,partial,36,11,9,36
12,FAM3,RATIO,logx,36,11,9,36
12,FAM3,RATIO,loglog,36,11,0,0
12,FAM5,CAGR,partial,36,12,9,36
12,FAM5,CAGR,logx,36,12,9,36
12,FAM5,CAGR,loglog,36,12,0,0
12,FAM5,CAGRnorm,partial,36,11,9,36
12,FAM5,CAGRnorm,logx,36,11,9,36
12,FAM5,CAGRnorm,loglog,36,11,0,0
12,FAM5,DDnorm,partial,36,10,9,36
12,FAM5,DDnorm,logx,36,10,5,36
12,FAM5,DDnorm,loglog,36,10,0,36
12,FAM5,MaxDD,partial,36,11,6,36
12,FAM5,MaxDD,logx,36,11,5,36
12,FAM5,MaxDD,loglog,36,11,1,36
12,FAM5,Sharpe,partial,36,11,9,36
12,FAM5,Sharpe,logx,36,11,9,36
12,FAM5,Sharpe,loglog,36,11,0,0
13,FAM2,DD,partial,72,23,18,72
13,FAM2,DD,logx,72,23,16,72
13,FAM2,DD,loglog,72,23,0,72
13,FAM2,RET,partial,108,54,41,108
13,FAM2,RET,logx,108,54,41,108
13,FAM2,RET,loglog,108,54,0,0
13,FAM3,DD,partial,72,23,18,72
13,FAM3,DD,logx,72,23,16,72
13,FAM3,DD,loglog,72,23,0,72
13,FAM3,LEVEL,partial,72,36,27,72
13,FAM3,LEVEL,logx,72,36,27,72
13,FAM3,LEVEL,loglog,72,36,0,0
13,FAM3,RATIO,partial,36,18,14,36
13,FAM3,RATIO,logx,36,18,14,36
13,FAM3,RATIO,loglog,36,18,0,0
13,FAM5,CAGR,partial,36,18,13,36
13,FAM5,CAGR,logx,36,18,13,36
13,FAM5,CAGR,loglog,36,18,0,0
13,FAM5,CAGRnorm,partial,36,18,14,36
13,FAM5,CAGRnorm,logx,36,18,14,36
13,FAM5,CAGRnorm,loglog,36,18,0,0
13,FAM5,DDnorm,partial,36,11,10,36
13,FAM5,DDnorm,logx,36,11,8,36
13,FAM5,DDnorm,loglog,36,11,0,36
13,FAM5,MaxDD,partial,36,12,8,36
13,FAM5,MaxDD,logx,36,12,8,36
13,FAM5,MaxDD,loglog,36,12,0,36
13,FAM5,Sharpe,partial,36,18,14,36
13,FAM5,Sharpe,logx,36,18,14,36
13,FAM5,Sharpe,loglog,36,18,0,0
14,FAM2,DD,partial,72,25,13,72
14,FAM2,DD,logx,72,25,10,72
14,FAM2,DD,loglog,72,25,0,72
14,FAM2,RET,partial,108,48,39,108
14,FAM2,RET,logx,108,48,41,108
14,FAM2,RET,loglog,108,48,0,0
14,FAM3,DD,partial,72,25,13,72
14,FAM3,DD,logx,72,25,10,72
14,FAM3,DD,loglog,72,25,0,72
14,FAM3,LEVEL,partial,72,32,26,72
14,FAM3,LEVEL,logx,72,32,27,72
14,FAM3,LEVEL,loglog,72,32,0,0
14,FAM3,RATIO,partial,36,16,13,36
14,FAM3,RATIO,logx,36,16,14,36
14,FAM3,RATIO,loglog,36,16,0,0
14,FAM5,CAGR,partial,36,16,13,36
14,FAM5,CAGR,logx,36,16,13,36
14,FAM5,CAGR,loglog,36,16,0,0
14,FAM5,CAGRnorm,partial,36,16,13,36
14,FAM5,CAGRnorm,logx,36,16,14,36
14,FAM5,CAGRnorm,loglog,36,16,0,0
14,FAM5,DDnorm,partial,36,12,7,36
14,FAM5,DDnorm,logx,36,12,5,36
14,FAM5,DDnorm,loglog,36,12,0,36
14,FAM5,MaxDD,partial,36,13,6,36
14,FAM5,MaxDD,logx,36,13,5,36
14,FAM5,MaxDD,loglog,36,13,0,36
14,FAM5,Sharpe,partial,36,16,13,36
14,FAM5,Sharpe,logx,36,16,14,36
14,FAM5,Sharpe,loglog,36,16,0,0
15,FAM2,DD,partial,72,21,11,72
15,FAM2,DD,logx,72,21,11,72
15,FAM2,DD,loglog,72,21,0,72
15,FAM2,RET,partial,108,46,40,108
15,FAM2,RET,logx,108,46,38,108
15,FAM2,RET,loglog,108,46,0,0
15,FAM3,DD,partial,72,21,11,72
15,FAM3,DD,logx,72,21,11,72
15,FAM3,DD,loglog,72,21,0,72
15,FAM3,LEVEL,partial,72,30,26,72
15,FAM3,LEVEL,logx,72,30,25,72
15,FAM3,LEVEL,loglog,72,30,0,0
15,FAM3,RATIO,partial,36,16,14,36
15,FAM3,RATIO,logx,36,16,13,36
15,FAM3,RATIO,loglog,36,16,0,0
15,FAM5,CAGR,partial,36,14,12,36
15,FAM5,CAGR,logx,36,14,12,36
15,FAM5,CAGR,loglog,36,14,0,0
15,FAM5,CAGRnorm,partial,36,16,14,36
15,FAM5,CAGRnorm,logx,36,16,13,36
15,FAM5,CAGRnorm,loglog,36,16,0,0
15,FAM5,DDnorm,partial,36,10,6,36
15,FAM5,DDnorm,logx,36,10,6,36
15,FAM5,DDnorm,loglog,36,10,0,36
15,FAM5,MaxDD,partial,36,11,5,36
15,FAM5,MaxDD,logx,36,11,5,36
15,FAM5,MaxDD,loglog,36,11,0,36
15,FAM5,Sharpe,partial,36,16,14,36
15,FAM5,Sharpe,logx,36,16,13,36
15,FAM5,Sharpe,loglog,36,16,0,0
16,FAM2,DD,partial,72,28,12,72
16,FAM2,DD,logx,72,28,7,72
16,FAM2,DD,loglog,72,28,1,72
16,FAM2,RET,partial,108,56,46,108
16,FAM2,RET,logx,108,56,45,108
16,FAM2,RET,loglog,108,56,0,0
16,FAM3,DD,partial,72,28,12,72
16,FAM3,DD,logx,72,28,7,72
16,FAM3,DD,loglog,72,28,1,72
16,FAM3,LEVEL,partial,72,38,31,72
16,FAM3,LEVEL,logx,72,38,30,72
16,FAM3,LEVEL,loglog,72,38,0,0
16,FAM3,RATIO,partial,36,18,15,36
16,FAM3,RATIO,logx,36,18,15,36
16,FAM3,RATIO,loglog,36,18,0,0
16,FAM5,CAGR,partial,36,20,16,36
16,FAM5,CAGR,logx,36,20,15,36
16,FAM5,CAGR,loglog,36,20,0,0
16,FAM5,CAGRnorm,partial,36,18,15,36
16,FAM5,CAGRnorm,logx,36,18,15,36
16,FAM5,CAGRnorm,loglog,36,18,0,0
16,FAM5,DDnorm,partial,36,12,6,36
16,FAM5,DDnorm,logx,36,12,3,36
16,FAM5,DDnorm,loglog,36,12,0,36
16,FAM5,MaxDD,partial,36,16,6,36
16,FAM5,MaxDD,logx,36,16,4,36
16,FAM5,MaxDD,loglog,36,16,1,36
16,FAM5,Sharpe,partial,36,18,15,36
16,FAM5,Sharpe,logx,36,18,15,36
16,FAM5,Sharpe,loglog,36,18,0,0
17,FAM2,DD,partial,72,25,17,72
17,FAM2,DD,logx,72,25,16,72
17,FAM2,DD,loglog,72,25,0,72
17,FAM2,RET,partial,108,56,42,108
17,FAM2,RET,logx,108,56,36,108
17,FAM2,RET,loglog,108,56,0,0
17,FAM3,DD,partial,72,25,17,72
17,FAM3,DD,logx,72,25,16,72
17,FAM3,DD,loglog,72,25,0,72
17,FAM3,LEVEL,partial,72,37,28,72
17,FAM3,LEVEL,logx,72,37,24,72
17,FAM3,LEVEL,loglog,72,37,0,0
17,FAM3,RATIO,partial,36,19,14,36
17,FAM3,RATIO,logx,36,19,12,36
17,FAM3,RATIO,loglog,36,19,0,0
17,FAM5,CAGR,partial,36,18,14,36
17,FAM5,CAGR,logx,36,18,12,36
17,FAM5,CAGR,loglog,36,18,0,0
17,FAM5,CAGRnorm,partial,36,19,14,36
17,FAM5,CAGRnorm,logx,36,19,12,36
17,FAM5,CAGRnorm,loglog,36,19,0,0
17,FAM5,DDnorm,partial,36,12,9,36
17,FAM5,DDnorm,logx,36,12,9,36
17,FAM5,DDnorm,loglog,36,12,0,36
17,FAM5,MaxDD,partial,36,13,8,36
17,FAM5,MaxDD,logx,36,13,7,36
17,FAM5,MaxDD,loglog,36,13,0,36
17,FAM5,Sharpe,partial,36,19,14,36
17,FAM5,Sharpe,logx,36,19,12,36
17,FAM5,Sharpe,loglog,36,19,0,0
18,FAM2,DD,partial,72,29,18,72
18,FAM2,DD,logx,72,29,14,72
18,FAM2,DD,loglog,72,29,0,72
18,FAM2,RET,partial,108,43,36,108
18,FAM2,RET,logx,108,43,36,108
18,FAM2,RET,loglog,108,43,0,0
18,FAM3,DD,partial,72,29,18,72
18,FAM3,DD,logx,72,29,14,72
18,FAM3,DD,loglog,72,29,0,72
18,FAM3,LEVEL,partial,72,29,24,72
18,FAM3,LEVEL,logx,72,29,24,72
18,FAM3,LEVEL,loglog,72,29,0,0
18,FAM3,RATIO,partial,36,14,12,36
18,FAM3,RATIO,logx,36,14,12,36
18,FAM3,RATIO,loglog,36,14,0,0
18,FAM5,CAGR,partial,36,15,12,36
18,FAM5,CAGR,logx,36,15,12,36
18,FAM5,CAGR,loglog,36,15,0,0
18,FAM5,CAGRnorm,partial,36,14,12,36
18,FAM5,CAGRnorm,logx,36,14,12,36
18,FAM5,CAGRnorm,loglog,36,14,0,0
18,FAM5,DDnorm,partial,36,15,8,36
18,FAM5,DDnorm,logx,36,15,7,36
18,FAM5,DDnorm,loglog,36,15,0,36
18,FAM5,MaxDD,partial,36,14,10,36
18,FAM5,MaxDD,logx,36,14,7,36
18,FAM5,MaxDD,loglog,36,14,0,36
18,FAM5,Sharpe,partial,36,14,12,36
18,FAM5,Sharpe,logx,36,14,12,36
18,FAM5,Sharpe,loglog,36,14,0,0
19,FAM2,DD,partial,72,22,15,72
19,FAM2,DD,logx,72,22,14,72
19,FAM2,DD,loglog,72,22,0,72
19,FAM2,RET,partial,108,43,35,108
19,FAM2,RET,logx,108,43,34,108
19,FAM2,RET,loglog,108,43,0,0
19,FAM3,DD,partial,72,22,15,72
19,FAM3,DD,logx,72,22,14,72
19,FAM3,DD,loglog,72,22,0,72
19,FAM3,LEVEL,partial,72,29,23,72
19,FAM3,LEVEL,logx,72,29,22,72
19,FAM3,LEVEL,loglog,72,29,0,0
19,FAM3,RATIO,partial,36,14,12,36
19,FAM3,RATIO,logx,36,14,12,36
19,FAM3,RATIO,loglog,36,14,0,0
19,FAM5,CAGR,partial,36,15,11,36
19,FAM5,CAGR,logx,36,15,10,36
19,FAM5,CAGR,loglog,36,15,0,0
19,FAM5,CAGRnorm,partial,36,14,12,36
19,FAM5,CAGRnorm,logx,36,14,12,36
19,FAM5,CAGRnorm,loglog,36,14,0,0
19,FAM5,DDnorm,partial,36,12,8,36
19,FAM5,DDnorm,logx,36,12,7,36
19,FAM5,DDnorm,loglog,36,12,0,36
19,FAM5,MaxDD,partial,36,10,7,36
