ticker,year,day,action,kind,scheme,d,seed
UUP,2010,2010-09-29,DROP,RANDOM,SHRINK,0.05,4
XLB,2010,2010-08-10,DROP,RANDOM,SHRINK,0.05,4
NFLX,2011,2011-03-25,DROP,RANDOM,SHRINK,0.05,4
XLK,2011,2011-12-01,DROP,RANDOM,SHRINK,0.05,4
DBC,2012,2012-05-25,DROP,RANDOM,SHRINK,0.05,4
PLTR,2012,2012-01-27,DROP,RANDOM,SHRINK,0.05,4
BRK-B,2013,2013-11-21,DROP,RANDOM,SHRINK,0.05,4
XLP,2013,2013-07-10,DROP,RANDOM,SHRINK,0.05,4
TLT,2014,2014-12-26,DROP,RANDOM,SHRINK,0.05,4
XLY,2014,2014-06-05,DROP,RANDOM,SHRINK,0.05,4
HYG,2015,2015-06-24,DROP,RANDOM,SHRINK,0.05,4
QQQ,2015,2015-01-23,DROP,RANDOM,SHRINK,0.05,4
XBI,2016,2016-08-16,DROP,RANDOM,SHRINK,0.05,4
IEF,2016,2016-10-28,DROP,RANDOM,SHRINK,0.05,4
XLV,2017,2017-01-31,DROP,RANDOM,SHRINK,0.05,4
XLF,2018,2018-02-20,DROP,RANDOM,SHRINK,0.05,4
TSLA,2019,2019-07-18,DROP,RANDOM,SHRINK,0.05,4
MSFT,2020,2020-08-04,DROP,RANDOM,SHRINK,0.05,4
GDX,2021,2021-09-27,DROP,RANDOM,SHRINK,0.05,4
VTI,2022,2022-11-14,DROP,RANDOM,SHRINK,0.05,4
IWM,2023,2023-09-21,DROP,RANDOM,SHRINK,0.05,4
AMZN,2024,2024-02-28,DROP,RANDOM,SHRINK,0.05,4
JPM,2025,2025-06-03,DROP,RANDOM,SHRINK,0.05,4
ORCL,2026,2026-08-20,DROP,RANDOM,SHRINK,0.05,4
MSFT,2009,2009-06-15,DROP,RANDOM,SHRINK,0.05,5
RSP,2009,2009-08-21,DROP,RANDOM,SHRINK,0.05,5
UNG,2010,2010-10-11,DROP,RANDOM,SHRINK,0.05,5
QQQ,2010,2010-07-15,DROP,RANDOM,SHRINK,0.05,5
JPM,2011,2011-06-29,DROP,RANDOM,SHRINK,0.05,5
XLI,2011,2011-07-06,DROP,RANDOM,SHRINK,0.05,5
KRE,2012,2012-02-28,DROP,RANDOM,SHRINK,0.05,5
XLP,2012,2012-08-13,DROP,RANDOM,SHRINK,0.05,5
TIP,2013,2013-08-14,DROP,RANDOM,SHRINK,0.05,5
AMZN,2013,2013-11-19,DROP,RANDOM,SHRINK,0.05,5
XLE,2014,2014-02-11,DROP,RANDOM,SHRINK,0.05,5
AAPL,2014,2014-06-16,DROP,RANDOM,SHRINK,0.05,5
LLY,2015,2015-09-30,DROP,RANDOM,SHRINK,0.05,5
ITB,2015,2015-03-20,DROP,RANDOM,SHRINK,0.05,5
DIA,2016,2016-12-20,DROP,RANDOM,SHRINK,0.05,5
ORCL,2016,2016-11-07,DROP,RANDOM,SHRINK,0.05,5
GDX,2017,2017-04-07,DROP,RANDOM,SHRINK,0.05,5
EEM,2018,2018-06-05,DROP,RANDOM,SHRINK,0.05,5
UUP,2019,2019-12-10,DROP,RANDOM,SHRINK,0.05,5
SLV,2020,2020-11-03,DROP,RANDOM,SHRINK,0.05,5
VTI,2021,2021-01-21,DROP,RANDOM,SHRINK,0.05,5
USO,2022,2022-04-18,DROP,RANDOM,SHRINK,0.05,5
IEF,2023,2023-09-01,DROP,RANDOM,SHRINK,0.05,5
AMD,2024,2024-02-21,DROP,RANDOM,SHRINK,0.05,5
CRM,2025,2025-09-29,DROP,RANDOM,SHRINK,0.05,5
XLY,2026,2026-04-23,DROP,RANDOM,SHRINK,0.05,5
SMH,2009,2009-04-29,DROP,RANDOM,SHRINK,0.1,1
JPM,2009,2009-06-16,DROP,RANDOM,SHRINK,0.1,1
USO,2009,2009-04-16,DROP,RANDOM,SHRINK,0.1,1
ORCL,2009,2009-05-11,DROP,RANDOM,SHRINK,0.1,1
XLC,2009,2009-01-22,DROP,RANDOM,SHRINK,0.1,1
BRK-B,2010,2010-10-14,DROP,RANDOM,SHRINK,0.1,1
COST,2010,2010-07-29,DROP,RANDOM,SHRINK,0.1,1
UNH,2010,2010-07-26,DROP,RANDOM,SHRINK,0.1,1
QQQ,2010,2010-11-04,DROP,RANDOM,SHRINK,0.1,1
EEM,2010,2010-01-11,DROP,RANDOM,SHRINK,0.1,1
XBI,2011,2011-02-10,DROP,RANDOM,SHRINK,0.1,1
GDX,2011,2011-09-23,DROP,RANDOM,SHRINK,0.1,1
XLP,2011,2011-06-03,DROP,RANDOM,SHRINK,0.1,1
TIP,2011,2011-04-08,DROP,RANDOM,SHRINK,0.1,1
GOOGL,2012,2012-09-14,DROP,RANDOM,SHRINK,0.1,1
TLT,2012,2012-03-22,DROP,RANDOM,SHRINK,0.1,1
META,2012,2012-03-23,DROP,RANDOM,SHRINK,0.1,1
XLB,2012,2012-09-21,DROP,RANDOM,SHRINK,0.1,1
CRM,2013,2013-06-12,DROP,RANDOM,SHRINK,0.1,1
ITB,2013,2013-03-05,DROP,RANDOM,SHRINK,0.1,1
KRE,2013,2013-03-12,DROP,RANDOM,SHRINK,0.1,1
HYG,2014,2014-01-13,DROP,RANDOM,SHRINK,0.1,1
PLTR,2014,2014-03-18,DROP,RANDOM,SHRINK,0.1,1
SLV,2014,2014-05-23,DROP,RANDOM,SHRINK,0.1,1
DIA,2015,2015-05-26,DROP,RANDOM,SHRINK,0.1,1
XOM,2015,2015-03-06,DROP,RANDOM,SHRINK,0.1,1
XLK,2015,2015-11-16,DROP,RANDOM,SHRINK,0.1,1
UNG,2016,2016-08-16,DROP,RANDOM,SHRINK,0.1,1
XLY,2016,2016-10-25,DROP,RANDOM,SHRINK,0.1,1
XLRE,2017,2017-05-04,DROP,RANDOM,SHRINK,0.1,1
LLY,2017,2017-08-30,DROP,RANDOM,SHRINK,0.1,1
SHY,2018,2018-06-13,DROP,RANDOM,SHRINK,0.1,1
MSFT,2018,2018-10-09,DROP,RANDOM,SHRINK,0.1,1
AVGO,2019,2019-12-04,DROP,RANDOM,SHRINK,0.1,1
IWM,2019,2019-04-03,DROP,RANDOM,SHRINK,0.1,1
AAPL,2020,2020-04-29,DROP,RANDOM,SHRINK,0.1,1
V,2020,2020-06-02,DROP,RANDOM,SHRINK,0.1,1
XLV,2021,2021-09-28,DROP,RANDOM,SHRINK,0.1,1
NVDA,2022,2022-10-04,DROP,RANDOM,SHRINK,0.1,1
RSP,2023,2023-01-24,DROP,RANDOM,SHRINK,0.1,1
DBC,2024,2024-08-20,DROP,RANDOM,SHRINK,0.1,1
NFLX,2025,2025-05-22,DROP,RANDOM,SHRINK,0.1,1
UUP,2026,2026-06-12,DROP,RANDOM,SHRINK,0.1,1
XLP,2009,2009-08-04,DROP,RANDOM,SHRINK,0.1,2
XBI,2009,2009-11-19,DROP,RANDOM,SHRINK,0.1,2
IWM,2009,2009-04-01,DROP,RANDOM,SHRINK,0.1,2
TLT,2009,2009-11-23,DROP,RANDOM,SHRINK,0.1,2
XLY,2009,2009-12-09,DROP,RANDOM,SHRINK,0.1,2
DIA,2010,2010-10-06,DROP,RANDOM,SHRINK,0.1,2
ORCL,2010,2010-08-10,DROP,RANDOM,SHRINK,0.1,2
USO,2010,2010-06-04,DROP,RANDOM,SHRINK,0.1,2
SLV,2010,2010-02-16,DROP,RANDOM,SHRINK,0.1,2
VTI,2010,2010-05-20,DROP,RANDOM,SHRINK,0.1,2
XLU,2011,2011-06-27,DROP,RANDOM,SHRINK,0.1,2
NFLX,2011,2011-10-20,DROP,RANDOM,SHRINK,0.1,2
XLE,2011,2011-09-27,DROP,RANDOM,SHRINK,0.1,2
SHY,2011,2011-06-14,DROP,RANDOM,SHRINK,0.1,2
MSFT,2012,2012-11-05,DROP,RANDOM,SHRINK,0.1,2
PLTR,2012,2012-03-26,DROP,RANDOM,SHRINK,0.1,2
DBC,2012,2012-07-19,DROP,RANDOM,SHRINK,0.1,2
GDX,2012,2012-04-30,DROP,RANDOM,SHRINK,0.1,2
V,2013,2013-06-28,DROP,RANDOM,SHRINK,0.1,2
TSLA,2013,2013-05-20,DROP,RANDOM,SHRINK,0.1,2
HYG,2013,2013-03-04,DROP,RANDOM,SHRINK,0.1,2
XLI,2014,2014-02-04,DROP,RANDOM,SHRINK,0.1,2
XOM,2014,2014-08-28,DROP,RANDOM,SHRINK,0.1,2
NVDA,2014,2014-08-26,DROP,RANDOM,SHRINK,0.1,2
XLV,2015,2015-06-04,DROP,RANDOM,SHRINK,0.1,2
GLD,2015,2015-09-08,DROP,RANDOM,SHRINK,0.1,2
TIP,2015,2015-10-09,DROP,RANDOM,SHRINK,0.1,2
EFA,2016,2016-06-20,DROP,RANDOM,SHRINK,0.1,2
COST,2016,2016-10-18,DROP,RANDOM,SHRINK,0.1,2
XLC,2017,2017-06-26,DROP,RANDOM,SHRINK,0.1,2
UNH,2017,2017-06-12,DROP,RANDOM,SHRINK,0.1,2
CRM,2018,2018-09-14,DROP,RANDOM,SHRINK,0.1,2
META,2018,2018-10-12,DROP,RANDOM,SHRINK,0.1,2
AMZN,2019,2019-12-02,DROP,RANDOM,SHRINK,0.1,2
UNG,2019,2019-09-17,DROP,RANDOM,SHRINK,0.1,2
XLF,2020,2020-06-12,DROP,RANDOM,SHRINK,0.1,2
XLK,2020,2020-07-10,DROP,RANDOM,SHRINK,0.1,2
BRK-B,2021,2021-07-09,DROP,RANDOM,SHRINK,0.1,2
AAPL,2022,2022-09-19,DROP,RANDOM,SHRINK,0.1,2
QQQ,2023,2023-01-17,DROP,RANDOM,SHRINK,0.1,2
XLB,2024,2024-03-21,DROP,RANDOM,SHRINK,0.1,2
KRE,2025,2025-06-30,DROP,RANDOM,SHRINK,0.1,2
IEF,2026,2026-04-10,DROP,RANDOM,SHRINK,0.1,2
NVDA,2009,2009-07-29,DROP,RANDOM,SHRINK,0.1,3
TIP,2009,2009-04-30,DROP,RANDOM,SHRINK,0.1,3
XLI,2009,2009-09-14,DROP,RANDOM,SHRINK,0.1,3
XLK,2009,2009-09-29,DROP,RANDOM,SHRINK,0.1,3
NFLX,2009,2009-06-16,DROP,RANDOM,SHRINK,0.1,3
XLY,2010,2010-07-12,DROP,RANDOM,SHRINK,0.1,3
AVGO,2010,2010-05-12,DROP,RANDOM,SHRINK,0.1,3
XLE,2010,2010-03-03,DROP,RANDOM,SHRINK,0.1,3
AMD,2010,2010-07-02,DROP,RANDOM,SHRINK,0.1,3
SHY,2010,2010-06-04,DROP,RANDOM,SHRINK,0.1,3
AMZN,2011,2011-12-06,DROP,RANDOM,SHRINK,0.1,3
XOM,2011,2011-01-10,DROP,RANDOM,SHRINK,0.1,3
IWM,2011,2011-04-26,DROP,RANDOM,SHRINK,0.1,3
MSFT,2011,2011-04-25,DROP,RANDOM,SHRINK,0.1,3
ORCL,2012,2012-04-02,DROP,RANDOM,SHRINK,0.1,3
UNG,2012,2012-01-09,DROP,RANDOM,SHRINK,0.1,3
META,2012,2012-11-28,DROP,RANDOM,SHRINK,0.1,3
LLY,2012,2012-10-25,DROP,RANDOM,SHRINK,0.1,3
XLV,2013,2013-12-16,DROP,RANDOM,SHRINK,0.1,3
BRK-B,2013,2013-09-09,DROP,RANDOM,SHRINK,0.1,3
GLD,2013,2013-08-26,DROP,RANDOM,SHRINK,0.1,3
ITB,2014,2014-03-21,DROP,RANDOM,SHRINK,0.1,3
RSP,2014,2014-02-27,DROP,RANDOM,SHRINK,0.1,3
AAPL,2014,2014-12-22,DROP,RANDOM,SHRINK,0.1,3
DBC,2015,2015-03-24,DROP,RANDOM,SHRINK,0.1,3
XLP,2015,2015-12-11,DROP,RANDOM,SHRINK,0.1,3
VTI,2015,2015-05-07,DROP,RANDOM,SHRINK,0.1,3
TLT,2016,2016-07-14,DROP,RANDOM,SHRINK,0.1,3
SLV,2016,2016-09-15,DROP,RANDOM,SHRINK,0.1,3
SMH,2017,2017-09-21,DROP,RANDOM,SHRINK,0.1,3
LQD,2017,2017-05-12,DROP,RANDOM,SHRINK,0.1,3
XBI,2018,2018-02-08,DROP,RANDOM,SHRINK,0.1,3
XLC,2018,2018-05-25,DROP,RANDOM,SHRINK,0.1,3
V,2019,2019-03-11,DROP,RANDOM,SHRINK,0.1,3
EEM,2019,2019-04-16,DROP,RANDOM,SHRINK,0.1,3
PLTR,2020,2020-03-19,DROP,RANDOM,SHRINK,0.1,3
KRE,2020,2020-10-01,DROP,RANDOM,SHRINK,0.1,3
QQQ,2021,2021-07-20,DROP,RANDOM,SHRINK,0.1,3
USO,2022,2022-07-19,DROP,RANDOM,SHRINK,0.1,3
HYG,2023,2023-03-24,DROP,RANDOM,SHRINK,0.1,3
TSLA,2024,2024-11-20,DROP,RANDOM,SHRINK,0.1,3
XLF,2025,2025-08-07,DROP,RANDOM,SHRINK,0.1,3
GDX,2026,2026-03-13,DROP,RANDOM,SHRINK,0.1,3
SMH,2009,2009-01-15,DROP,RANDOM,SHRINK,0.1,4
COST,2009,2009-09-03,DROP,RANDOM,SHRINK,0.1,4
EEM,2009,2009-04-02,DROP,RANDOM,SHRINK,0.1,4
ORCL,2009,2009-12-18,DROP,RANDOM,SHRINK,0.1,4
EFA,2009,2009-02-02,DROP,RANDOM,SHRINK,0.1,4
META,2010,2010-06-10,DROP,RANDOM,SHRINK,0.1,4
TIP,2010,2010-12-17,DROP,RANDOM,SHRINK,0.1,4
HYG,2010,2010-02-02,DROP,RANDOM,SHRINK,0.1,4
GOOGL,2010,2010-08-30,DROP,RANDOM,SHRINK,0.1,4
AMZN,2010,2010-06-11,DROP,RANDOM,SHRINK,0.1,4
GLD,2011,2011-05-24,DROP,RANDOM,SHRINK,0.1,4
NFLX,2011,2011-09-19,DROP,RANDOM,SHRINK,0.1,4
TLT,2011,2011-11-25,DROP,RANDOM,SHRINK,0.1,4
QQQ,2011,2011-05-02,DROP,RANDOM,SHRINK,0.1,4
XOM,2012,2012-10-03,DROP,RANDOM,SHRINK,0.1,4
XLP,2012,2012-12-14,DROP,RANDOM,SHRINK,0.1,4
SHY,2012,2012-10-23,DROP,RANDOM,SHRINK,0.1,4
SLV,2012,2012-09-07,DROP,RANDOM,SHRINK,0.1,4
IEF,2013,2013-11-01,DROP,RANDOM,SHRINK,0.1,4
CRM,2013,2013-04-17,DROP,RANDOM,SHRINK,0.1,4
DBC,2013,2013-06-11,DROP,RANDOM,SHRINK,0.1,4
LLY,2014,2014-03-14,DROP,RANDOM,SHRINK,0.1,4
XLV,2014,2014-05-30,DROP,RANDOM,SHRINK,0.1,4
XLC,2014,2014-12-23,DROP,RANDOM,SHRINK,0.1,4
AVGO,2015,2015-12-18,DROP,RANDOM,SHRINK,0.1,4
V,2015,2015-08-18,DROP,RANDOM,SHRINK,0.1,4
XLRE,2015,2015-10-05,DROP,RANDOM,SHRINK,0.1,4
UNG,2016,2016-12-02,DROP,RANDOM,SHRINK,0.1,4
LQD,2016,2016-09-02,DROP,RANDOM,SHRINK,0.1,4
XLU,2017,2017-03-24,DROP,RANDOM,SHRINK,0.1,4
VTI,2017,2017-05-23,DROP,RANDOM,SHRINK,0.1,4
XLE,2018,2018-02-05,DROP,RANDOM,SHRINK,0.1,4
UNH,2018,2018-05-07,DROP,RANDOM,SHRINK,0.1,4
UUP,2019,2019-07-26,DROP,RANDOM,SHRINK,0.1,4
ITB,2019,2019-07-05,DROP,RANDOM,SHRINK,0.1,4
TSLA,2020,2020-09-21,DROP,RANDOM,SHRINK,0.1,4
XLI,2020,2020-07-20,DROP,RANDOM,SHRINK,0.1,4
RSP,2021,2021-11-19,DROP,RANDOM,SHRINK,0.1,4
BRK-B,2022,2022-08-15,DROP,RANDOM,SHRINK,0.1,4
XLF,2023,2023-10-19,DROP,RANDOM,SHRINK,0.1,4
NVDA,2024,2024-10-07,DROP,RANDOM,SHRINK,0.1,4
USO,2025,2025-11-14,DROP,RANDOM,SHRINK,0.1,4
XLY,2026,2026-03-18,DROP,RANDOM,SHRINK,0.1,4
AVGO,2009,2009-07-13,DROP,RANDOM,SHRINK,0.1,5
META,2009,2009-09-11,DROP,RANDOM,SHRINK,0.1,5
ORCL,2009,2009-02-18,DROP,RANDOM,SHRINK,0.1,5
SHY,2009,2009-12-28,DROP,RANDOM,SHRINK,0.1,5
DIA,2009,2009-04-29,DROP,RANDOM,SHRINK,0.1,5
XLU,2010,2010-01-08,DROP,RANDOM,SHRINK,0.1,5
LQD,2010,2010-04-14,DROP,RANDOM,SHRINK,0.1,5
TLT,2010,2010-02-25,DROP,RANDOM,SHRINK,0.1,5
DBC,2010,2010-05-17,DROP,RANDOM,SHRINK,0.1,5
UNG,2010,2010-11-29,DROP,RANDOM,SHRINK,0.1,5
GLD,2011,2011-07-13,DROP,RANDOM,SHRINK,0.1,5
AMD,2011,2011-09-26,DROP,RANDOM,SHRINK,0.1,5
LLY,2011,2011-05-24,DROP,RANDOM,SHRINK,0.1,5
GOOGL,2011,2011-12-22,DROP,RANDOM,SHRINK,0.1,5
XLE,2012,2012-11-26,DROP,RANDOM,SHRINK,0.1,5
IEF,2012,2012-03-20,DROP,RANDOM,SHRINK,0.1,5
XLK,2012,2012-09-12,DROP,RANDOM,SHRINK,0.1,5
KRE,2012,2012-07-17,DROP,RANDOM,SHRINK,0.1,5
V,2013,2013-04-19,DROP,RANDOM,SHRINK,0.1,5
AMZN,2013,2013-11-07,DROP,RANDOM,SHRINK,0.1,5
XLI,2013,2013-11-19,DROP,RANDOM,SHRINK,0.1,5
UNH,2014,2014-01-21,DROP,RANDOM,SHRINK,0.1,5
GDX,2014,2014-09-25,DROP,RANDOM,SHRINK,0.1,5
XBI,2014,2014-10-22,DROP,RANDOM,SHRINK,0.1,5
XLF,2015,2015-01-21,DROP,RANDOM,SHRINK,0.1,5
ITB,2015,2015-12-11,DROP,RANDOM,SHRINK,0.1,5
HYG,2015,2015-03-10,DROP,RANDOM,SHRINK,0.1,5
XLV,2016,2016-04-29,DROP,RANDOM,SHRINK,0.1,5
SMH,2016,2016-02-17,DROP,RANDOM,SHRINK,0.1,5
EFA,2017,2017-11-29,DROP,RANDOM,SHRINK,0.1,5
XLRE,2017,2017-05-02,DROP,RANDOM,SHRINK,0.1,5
JPM,2018,2018-08-03,DROP,RANDOM,SHRINK,0.1,5
XLB,2018,2018-08-13,DROP,RANDOM,SHRINK,0.1,5
XLY,2019,2019-02-28,DROP,RANDOM,SHRINK,0.1,5
USO,2019,2019-07-17,DROP,RANDOM,SHRINK,0.1,5
QQQ,2020,2020-11-10,DROP,RANDOM,SHRINK,0.1,5
TSLA,2020,2020-08-19,DROP,RANDOM,SHRINK,0.1,5
MSFT,2021,2021-06-21,DROP,RANDOM,SHRINK,0.1,5
XLP,2022,2022-04-11,DROP,RANDOM,SHRINK,0.1,5
NFLX,2023,2023-01-25,DROP,RANDOM,SHRINK,0.1,5
TIP,2024,2024-12-16,DROP,RANDOM,SHRINK,0.1,5
BRK-B,2025,2025-02-07,DROP,RANDOM,SHRINK,0.1,5
CRM,2026,2026-06-01,DROP,RANDOM,SHRINK,0.1,5
XLI,2009,2009-07-15,DROP,RANDOM,SHRINK,0.2,1
CRM,2009,2009-11-25,DROP,RANDOM,SHRINK,0.2,1
DBC,2009,2009-02-12,DROP,RANDOM,SHRINK,0.2,1
TIP,2009,2009-04-08,DROP,RANDOM,SHRINK,0.2,1
UNG,2009,2009-08-14,DROP,RANDOM,SHRINK,0.2,1
COST,2009,2009-10-14,DROP,RANDOM,SHRINK,0.2,1
UNH,2009,2009-06-01,DROP,RANDOM,SHRINK,0.2,1
DIA,2009,2009-10-14,DROP,RANDOM,SHRINK,0.2,1
LLY,2009,2009-01-07,DROP,RANDOM,SHRINK,0.2,1
BRK-B,2009,2009-03-18,DROP,RANDOM,SHRINK,0.2,1
SMH,2009,2009-02-13,DROP,RANDOM,SHRINK,0.2,1
XLP,2010,2010-02-01,DROP,RANDOM,SHRINK,0.2,1
AMZN,2010,2010-08-12,DROP,RANDOM,SHRINK,0.2,1
AMD,2010,2010-03-31,DROP,RANDOM,SHRINK,0.2,1
TLT,2010,2010-01-07,DROP,RANDOM,SHRINK,0.2,1
XLF,2010,2010-07-23,DROP,RANDOM,SHRINK,0.2,1
HYG,2010,2010-01-28,DROP,RANDOM,SHRINK,0.2,1
AAPL,2010,2010-09-17,DROP,RANDOM,SHRINK,0.2,1
XLU,2010,2010-01-15,DROP,RANDOM,SHRINK,0.2,1
XLK,2011,2011-05-26,DROP,RANDOM,SHRINK,0.2,1
XBI,2011,2011-04-18,DROP,RANDOM,SHRINK,0.2,1
GDX,2011,2011-05-04,DROP,RANDOM,SHRINK,0.2,1
IWM,2011,2011-05-23,DROP,RANDOM,SHRINK,0.2,1
EFA,2011,2011-05-17,DROP,RANDOM,SHRINK,0.2,1
QQQ,2011,2011-04-12,DROP,RANDOM,SHRINK,0.2,1
V,2011,2011-06-20,DROP,RANDOM,SHRINK,0.2,1
XLY,2012,2012-10-10,DROP,RANDOM,SHRINK,0.2,1
XLE,2012,2012-11-23,DROP,RANDOM,SHRINK,0.2,1
NVDA,2012,2012-11-15,DROP,RANDOM,SHRINK,0.2,1
XLC,2012,2012-09-06,DROP,RANDOM,SHRINK,0.2,1
UUP,2012,2012-03-23,DROP,RANDOM,SHRINK,0.2,1
RSP,2013,2013-04-30,DROP,RANDOM,SHRINK,0.2,1
MSFT,2013,2013-10-31,DROP,RANDOM,SHRINK,0.2,1
XLRE,2013,2013-05-17,DROP,RANDOM,SHRINK,0.2,1
AVGO,2013,2013-03-12,DROP,RANDOM,SHRINK,0.2,1
XOM,2014,2014-05-13,DROP,RANDOM,SHRINK,0.2,1
IEF,2014,2014-02-12,DROP,RANDOM,SHRINK,0.2,1
JPM,2014,2014-08-15,DROP,RANDOM,SHRINK,0.2,1
SHY,2014,2014-03-11,DROP,RANDOM,SHRINK,0.2,1
PLTR,2015,2015-06-02,DROP,RANDOM,SHRINK,0.2,1
