file,dial,metric,rung,mode,how,d0,dc,share,maj,flip,uncertain
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.009066469003135902,0.009066469003135902,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.004524276140271802,0.004524276140271802,0.0,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.004551031749408199,0.004551031749408199,0.0,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.009083960546602501,0.009083960546602501,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.004532928797194302,0.004532928797194302,0.0,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.004605759769532397,0.004605759769532397,0.0,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.004488646613498404,0.004488646613498404,0.0,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.005385479944130203,0.005385479944130203,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.007866845409365997,0.007866845409365997,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.015680932401053588,0.015680932401053588,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.007814086991687591,0.007814086991687591,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.007709605224430094,0.007709605224430094,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.005461879734242309,0.005461879734242309,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.010898176180121205,0.010898176180121205,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0054362964458788965,0.0054362964458788965,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0045540104739768585,0.0030165190414813,0.5096906107181588,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.015304142169786143,0.012363038720106106,0.237894866809476,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.010750131695809285,0.009346519678624807,0.1501748314289108,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.05802695295096302,0.05173832880776441,0.12154671958122609,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.02164393884947164,0.017731381890761788,0.2206571931513319,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.007486699546491127,-0.006953476397322203,0.07668439765960365,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.014996621090294291,-0.013915182167405907,0.07771647613938411,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.0021767939416874995,-0.0021270536632792963,0.023384590274755042,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.01758482078424521,-0.016449016811112604,0.0690499612332624,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.0329758656845361,-0.030762740537520802,0.07194174213171896,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.01281982714860679,0.01178812850412661,0.08752013893630518,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.0025881996939509204,-0.0025338346437066978,0.02145564249002968,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.017979244594241814,-0.016847558370114896,0.06717212068749166,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.015408026842557711,-0.014321963147833308,0.07583204086715638,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.030799071742848606,-0.028635686874241506,0.07554855862574462,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.015391044900290893,-0.014313723726408198,0.07526491320319986,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.00412918479427263,-0.004075769143239788,0.013105661571003999,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.018242391248443575,-0.016968721366063894,0.07505986190137583,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.006052962115168073,-0.0032853950735998033,0.8423848516141622,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.01821925957151884,-0.016933499941160307,0.07592993975411037,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.009340317760184005,0.012480284663581698,0.2515941733733306,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.009687242646569939,-0.004718313344026698,1.0531155818283706,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.02861373257734903,-0.02180933690447509,0.3119946150897295,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.027559577331702848,0.029413784604742005,0.06303871800095481,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.008532016924948904,0.01221518659713361,0.3015238156942269,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.010394473005830188,-0.0048758369633147836,1.1318335875536785,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.019027560406753942,-0.017198598007608396,0.10634369140649962,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.03795405033753303,-0.03428962156805679,0.10686699362380596,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.018926489930779094,-0.017091023560448393,0.10739358961380699,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.009121275711939904,-0.008483628234916107,0.07516211924509238,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.0016596817922327747,-0.006447505228024175,0.7425854290092013,True,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0015495125526253004,-0.0022219615123151015,1.6973624628677009,True,True,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0024262729923843363,-0.0024428781280247946,1.9932026344458351,True,True,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.005048270954125311,-0.0006775821904642931,8.450418598909947,True,True,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0008767604397590361,-0.00022091661570969312,4.968739231960662,True,True,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0034987584015000106,0.0015443793218508084,1.2654786631739174,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0026219979617409747,0.0017652959375605015,0.48530221248022987,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.010455843783348922,-0.010559269090726298,0.009794741140578522,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.01525914693974511,0.0133032604444496,0.1470230928322197,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.028618430265645495,0.02481025650466262,0.153491914131045,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0386187882445356,0.032443128608091815,0.19035339381244146,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.010000357978890108,0.007632872103429195,0.31016972947801397,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.006818290819145577,0.005001104239235499,0.36335706935552003,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,is4b,cagr,10,single,estimated,0.0016033771338032953,0.0016606333943563062,0.03447856748370675,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,is4b,cagr,10,single,estimated,-0.0021767939416874995,-0.0021270536632792963,0.023384590274755042,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,is4b,cagr,10,single,estimated,-0.0025881996939509204,-0.0025338346437066978,0.02145564249002968,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,is4b,cagr,10,single,estimated,-0.00412918479427263,-0.004075769143239788,0.013105661571003999,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,is4b,cagr,10,single,estimated,-0.006052962115168073,-0.0032853950735998033,0.8423848516141622,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,is4b,cagr,10,single,estimated,-0.009687242646569939,-0.004718313344026698,1.0531155818283706,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,is4b,cagr,10,single,estimated,-0.010394473005830188,-0.0048758369633147836,1.1318335875536785,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,f4a,cagr,10,single,estimated,0.0027759853973810377,0.0027253682968255977,0.018572572600333268,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,f4a,cagr,10,single,estimated,0.0016033771338032953,0.0016606333943563062,0.03447856748370675,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,f4a,cagr,10,single,estimated,-0.0021767939416874995,-0.0021270536632792963,0.023384590274755042,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,f4a,cagr,10,single,estimated,-0.0025881996939509204,-0.0025338346437066978,0.02145564249002968,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,f4a,cagr,10,single,estimated,-0.002989907719803646,-0.0029327965091996977,0.01947329466084667,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,f4a,cagr,10,single,estimated,-0.00412918479427263,-0.004075769143239788,0.013105661571003999,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,f4a,cagr,10,single,estimated,-0.006052962115168073,-0.0032853950735998033,0.8423848516141622,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,f4a,cagr,10,single,estimated,-0.009687242646569939,-0.004718313344026698,1.0531155818283706,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,f4a,cagr,10,single,estimated,-0.010394473005830188,-0.0048758369633147836,1.1318335875536785,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,0.0016033771338032953,0.0016606333943563062,0.03447856748370675,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,-0.018222092115515242,-0.01625094940273969,0.12129400344100785,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,-0.004249070367927681,-0.0031928171858228993,0.3308216915127099,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,0.037969034680655406,0.03693006252524672,0.028133506535452147,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,0.02017078625448937,0.01974291374528181,0.021672206784057617,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,-0.0021767939416874995,-0.0021270536632792963,0.023384590274755042,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,-0.0025881996939509204,-0.0025338346437066978,0.02145564249002968,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,-0.00412918479427263,-0.004075769143239788,0.013105661571003999,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,-0.006052962115168073,-0.0032853950735998033,0.8423848516141622,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,-0.009687242646569939,-0.004718313344026698,1.0531155818283706,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,oos4b,cagr,10,single,estimated,-0.010394473005830188,-0.0048758369633147836,1.1318335875536785,True,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,0.003342599070957992,0.003482753392834298,0.040242390450231404,False,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,0.005610876931289754,0.005858835458347089,0.04232215238338329,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,0.008467575927722683,0.008419423139797794,0.005719250253295376,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,0.0930933860919904,0.09112254674397513,0.02162844892332402,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,0.008024600618395291,0.007829778235975693,0.024882235045233188,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,0.00018255921784106647,0.0033437389412400986,0.945402670169771,True,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,0.0005147158119348412,0.004178758975504404,0.876825676007621,True,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,0.0020721715241936523,0.006035873342532694,0.6566906880580508,True,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,0.00742300701759041,0.011668298807683108,0.36383125424396434,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,0.005671883700481054,0.010293580662472407,0.4489882688577748,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,0.00018255921784106647,0.0033437389412400986,0.945402670169771,True,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,0.0547458673737522,0.050602984719947175,0.08187032201228918,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,4.1094299758709374e-05,4.4482480836507965e-05,0.07616888748295306,False,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,0.0553160246966374,0.050823720383331716,0.08838991477646707,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,0.0005714725046808977,0.0005213645653916188,0.09610921534654114,False,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,0.055622358767267066,0.05093575517622839,0.09201009339753348,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,0.0010528514880624913,0.0009473572103406991,0.11135638866764226,False,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,0.1411310715825075,0.15149872853986812,0.06843395358682682,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,-0.000506979948838119,0.001742486193493209,1.2909520607573726,True,True,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,0.00018255921784106647,0.0033437389412400986,0.945402670169771,True,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,0.13789127776607846,0.1482799244648524,0.07006104660672664,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,0.0007528485086031695,0.00550166722084211,0.8631599334559652,True,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,0.13626648081818685,0.14664087219083088,0.07074692899496218,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,0.0021900522675958323,0.008265095442185899,0.7350239591405587,True,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,0.05531602469663762,0.05082372038333194,0.08838991477646668,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,0.0005714725046806665,0.0005213645653913968,0.0961092153465644,False,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,6.631703851154325e-05,0.00010650649841650872,0.3773427960029153,False,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,-0.03710237643098554,-0.031801705974457084,0.1666788083880128,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,-0.00019223322278177912,-0.0001301009962271088,0.4775691836072505,False,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,-0.001634129882512066,-0.0019937408747824348,0.1803699752655224,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,-0.00016375174769472692,-0.00018200486560139562,0.10028917549184868,False,False,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,0.1378912777660789,0.1482799244648526,0.07006104660672503,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,0.0007528485086034471,0.00550166722084211,0.8631599334559147,True,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,estimated,-0.0002838620991406837,0.0022755120292638903,1.1247464726576333,True,True,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,0.04241102454941226,0.05341268661606868,0.20597469933943902,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,-0.0006091636489947382,0.0009092016431117983,1.669998403115329,True,True,True
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,sharpe,10,multi,exact,-0.001634129882512066,-0.0019937408747824348,0.1803699752655224,False,False,False
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,universe,cagr,10,multi,exact,-0.00016375174769472692,-0.00018200486560139562,0.10028917549184868,False,False,True
