gross,freq,bps,subset,n_cells,n_files,pooled,file_clustered,n_tied,pair_kept
0.75,M,25.0,ALL,119292,311,0.8576098984005633,0.6863147748874623,159,0.8865391744933268
0.75,M,25.0,no_own_control,78524,165,0.9000560338240537,0.7080347288125741,126,0.8944779766504459
0.75,M,25.0,has_own_control,40768,146,0.7758536106750392,0.6617682516159317,33,0.8788168132783455
0.75,M,25.0,k3,37421,140,0.6637182330776836,0.42686211407612606,40,0.8430347970837747
0.75,M,25.0,headline_u56>broad136>small439,27565,139,0.6407037910393615,0.4322849683644961,1,0.8313602669988028
1.0,W,10.0,ALL,119278,311,0.8779573768842536,0.720189136361164,173,0.9047910852034563
1.0,W,10.0,no_own_control,78517,165,0.9113822484302763,0.7379015052111084,133,0.9099994778340557
1.0,W,10.0,has_own_control,40761,146,0.813571796570251,0.7001717332088294,40,0.8997247026077063
1.0,W,10.0,k3,37407,140,0.7079958296575507,0.47783241619633715,54,0.8677474782546762
1.0,W,10.0,headline_u56>broad136>small439,27551,139,0.7029508910747341,0.49342682891879247,15,0.8643856657353991
1.0,W,25.0,ALL,119276,311,0.8749622723766726,0.7080590635004632,175,0.9006910686331053
1.0,W,25.0,no_own_control,78515,165,0.9091765904604215,0.7276559594863392,135,0.9069063110294194
1.0,W,25.0,has_own_control,40761,146,0.8090576776820981,0.685911886530124,40,0.8946454149270107
1.0,W,25.0,k3,37405,140,0.701483758855768,0.46062038553326334,56,0.8616732400886744
1.0,W,25.0,headline_u56>broad136>small439,27551,139,0.6962360712859788,0.4790131947352146,15,0.8577942261408028
1.0,M,10.0,ALL,119293,311,0.8576697710678749,0.6867655770638699,158,0.8868487042310088
1.0,M,10.0,no_own_control,78524,165,0.9000560338240537,0.7085552790745101,126,0.8946032873164721
1.0,M,10.0,has_own_control,40769,146,0.7760308077215532,0.6621402289011598,32,0.879305616219895
1.0,M,10.0,k3,37422,140,0.6645823312489979,0.4289414155208527,39,0.8437928394666097
1.0,M,10.0,headline_u56>broad136>small439,27566,139,0.641660015961692,0.4345623816818318,0,0.8322329439647875
1.0,M,25.0,ALL,119292,311,0.8565285182577206,0.6831910281660455,159,0.8857359120118635
1.0,M,25.0,no_own_control,78524,165,0.8992919362233203,0.7070197662479827,126,0.8936738998767778
1.0,M,25.0,has_own_control,40768,146,0.7741611067503925,0.6562612899227603,33,0.8780143428884871
1.0,M,25.0,k3,37421,140,0.6615803960343123,0.4215649782409108,40,0.842082305918798
1.0,M,25.0,headline_u56>broad136>small439,27565,139,0.6386722292762561,0.4272784321855209,1,0.8305017110656977
