panel,est,frac,L,obj,se_COMP,se_PAIRED,se_BOOKONLY
U56,BLOCK5,0.5,2222,SPY,0.3207848796682695,,
U56,BLOCK5,0.5,2222,u56-band008-gross100,0.3207848796682695,0.19035078556414123,0.34517401514826623
U56,BLOCK5,0.5,2222,u56-k8-qroll-q017-w1008-d100-g100,0.3207848796682695,0.24054541480244965,0.32315382936622655
U56,BLOCK5,0.5,2222,u56-marsrespread-gross075,0.3207848796682695,0.159183270255884,0.3349155412192186
U56,BLOCK5,0.5,2222,u56-quantile50-respread-M,0.3207848796682695,0.14615902806244582,0.32257581739283286
U56,BLOCK5,0.5,2222,u56-top20-band-m20,0.3207848796682695,0.21283706272358496,0.32539029531278635
U56,BLOCK5,0.5,2222,u56-top20-g065-M,0.3207848796682695,0.20069181660187072,0.3251720272308162
U56,BLOCK5,0.5,2222,u56-v2band-gross100,0.3207848796682695,0.19723503317085556,0.32884754801330696
U56,BLOCK5,0.75,3334,SPY,0.27025867668984604,,
U56,BLOCK5,0.75,3334,u56-band008-gross100,0.27025867668984604,0.1571371330341608,0.2889462599273827
U56,BLOCK5,0.75,3334,u56-k8-qroll-q017-w1008-d100-g100,0.27025867668984604,0.1969941506944541,0.2878331529440529
U56,BLOCK5,0.75,3334,u56-marsrespread-gross075,0.27025867668984604,0.13141969397567732,0.28613458896475513
U56,BLOCK5,0.75,3334,u56-quantile50-respread-M,0.27025867668984604,0.12009745051782886,0.2828052518133378
U56,BLOCK5,0.75,3334,u56-top20-band-m20,0.27025867668984604,0.17456409022712213,0.280884285571083
U56,BLOCK5,0.75,3334,u56-top20-g065-M,0.27025867668984604,0.1620402873274302,0.2798616158171242
U56,BLOCK5,0.75,3334,u56-v2band-gross100,0.27025867668984604,0.16374579544777432,0.286056721968518
U56,BLOCK5,1.0,4445,SPY,0.23392482365613568,,
U56,BLOCK5,1.0,4445,u56-band008-gross100,0.23392482365613568,0.1327016118083393,0.24564234189865286
U56,BLOCK5,1.0,4445,u56-k8-qroll-q017-w1008-d100-g100,0.23392482365613568,0.16903445769050912,0.236737547898131
U56,BLOCK5,1.0,4445,u56-marsrespread-gross075,0.23392482365613568,0.11160239799040801,0.24464913869168425
U56,BLOCK5,1.0,4445,u56-quantile50-respread-M,0.23392482365613568,0.10244913784537905,0.24023599597713247
U56,BLOCK5,1.0,4445,u56-top20-band-m20,0.23392482365613568,0.14966841472242226,0.23732633601901051
U56,BLOCK5,1.0,4445,u56-top20-g065-M,0.23392482365613568,0.1412884293595581,0.23817685608686354
U56,BLOCK5,1.0,4445,u56-v2band-gross100,0.23392482365613568,0.1373531300338672,0.23993426848307603
U56,IID,0.125,556,SPY,0.6609983115771209,,
U56,IID,0.125,556,u56-band008-gross100,0.6609983115771209,0.42405460576263526,0.6861084888859955
U56,IID,0.125,556,u56-k8-qroll-q017-w1008-d100-g100,0.6609983115771209,0.524554988511793,0.6911840376683713
U56,IID,0.125,556,u56-marsrespread-gross075,0.6609983115771209,0.3560728420868295,0.6735265437483745
U56,IID,0.125,556,u56-quantile50-respread-M,0.6609983115771209,0.3253171102732219,0.6789406958658613
U56,IID,0.125,556,u56-top20-band-m20,0.6609983115771209,0.4768171287054843,0.6818148258357631
U56,IID,0.125,556,u56-top20-g065-M,0.6609983115771209,0.423815885270371,0.6799255367405316
U56,IID,0.125,556,u56-v2band-gross100,0.6609983115771209,0.4419299608497898,0.6811510426256057
U56,IID,0.25,1111,SPY,0.49742170377682,,
U56,IID,0.25,1111,u56-band008-gross100,0.49742170377682,0.30226284237902906,0.5009967798504766
U56,IID,0.25,1111,u56-k8-qroll-q017-w1008-d100-g100,0.49742170377682,0.3872467110818845,0.4978019116663396
U56,IID,0.25,1111,u56-marsrespread-gross075,0.49742170377682,0.25750117823546786,0.4964544616544876
U56,IID,0.25,1111,u56-quantile50-respread-M,0.49742170377682,0.22429514175060733,0.5006439108213632
U56,IID,0.25,1111,u56-top20-band-m20,0.49742170377682,0.34034405669445766,0.4941905773473209
U56,IID,0.25,1111,u56-top20-g065-M,0.49742170377682,0.30912907398575623,0.4932266788877895
U56,IID,0.25,1111,u56-v2band-gross100,0.49742170377682,0.3126925729743488,0.498232184116394
U56,IID,0.375,1667,SPY,0.3984070030876893,,
U56,IID,0.375,1667,u56-band008-gross100,0.3984070030876893,0.2406891116179854,0.40338197858540903
U56,IID,0.375,1667,u56-k8-qroll-q017-w1008-d100-g100,0.3984070030876893,0.3099372672312777,0.4019061611279141
U56,IID,0.375,1667,u56-marsrespread-gross075,0.3984070030876893,0.20979731640899185,0.401751481726216
U56,IID,0.375,1667,u56-quantile50-respread-M,0.3984070030876893,0.18759612511954787,0.40492233585307014
U56,IID,0.375,1667,u56-top20-band-m20,0.3984070030876893,0.2759322084546527,0.402243171765181
U56,IID,0.375,1667,u56-top20-g065-M,0.3984070030876893,0.25044879112080004,0.40328463168492346
U56,IID,0.375,1667,u56-v2band-gross100,0.3984070030876893,0.2564919210099902,0.4013156463055292
U56,IID,0.5,2222,SPY,0.3514514792980425,,
U56,IID,0.5,2222,u56-band008-gross100,0.3514514792980425,0.21584299505558108,0.35106712128307693
U56,IID,0.5,2222,u56-k8-qroll-q017-w1008-d100-g100,0.3514514792980425,0.27306897925865,0.35087720112362697
U56,IID,0.5,2222,u56-marsrespread-gross075,0.3514514792980425,0.1808663071860897,0.35335160822945744
U56,IID,0.5,2222,u56-quantile50-respread-M,0.3514514792980425,0.15946335716683888,0.3471018890434659
U56,IID,0.5,2222,u56-top20-band-m20,0.3514514792980425,0.2426926020884879,0.3431504152443646
U56,IID,0.5,2222,u56-top20-g065-M,0.3514514792980425,0.21769047338345604,0.3470856632738959
U56,IID,0.5,2222,u56-v2band-gross100,0.3514514792980425,0.2239628553470045,0.3486293005224899
U56,IID,0.75,3334,SPY,0.26959500830702104,,
U56,IID,0.75,3334,u56-band008-gross100,0.26959500830702104,0.17163054353948926,0.2780128632060615
U56,IID,0.75,3334,u56-k8-qroll-q017-w1008-d100-g100,0.26959500830702104,0.21892774139350693,0.27741183265909913
U56,IID,0.75,3334,u56-marsrespread-gross075,0.26959500830702104,0.15183388463685027,0.2782919877054786
U56,IID,0.75,3334,u56-quantile50-respread-M,0.26959500830702104,0.13298754677877403,0.2772611070915522
U56,IID,0.75,3334,u56-top20-band-m20,0.26959500830702104,0.19654171223328756,0.27763550837199974
U56,IID,0.75,3334,u56-top20-g065-M,0.26959500830702104,0.17646499909197744,0.2764428177737004
U56,IID,0.75,3334,u56-v2band-gross100,0.26959500830702104,0.18118942783547767,0.27706102417712164
U56,IID,1.0,4445,SPY,0.2388768271497019,,
U56,IID,1.0,4445,u56-band008-gross100,0.2388768271497019,0.15115529836974367,0.24305696439515515
U56,IID,1.0,4445,u56-k8-qroll-q017-w1008-d100-g100,0.2388768271497019,0.19151664834684987,0.24461980296749433
U56,IID,1.0,4445,u56-marsrespread-gross075,0.2388768271497019,0.12671828074034477,0.24056312528786347
U56,IID,1.0,4445,u56-quantile50-respread-M,0.2388768271497019,0.11322471462337595,0.23908541775469405
U56,IID,1.0,4445,u56-top20-band-m20,0.2388768271497019,0.16804217551547299,0.23967374316170517
