panel,r_target,n_elig_med,n_elig_p10,n_elig_p90,n_fixed,FIXED_r_mean,FIXED_r_sd,FIXED_r_p10,FIXED_r_p90,FIXED_sat,DYN_r_mean,DYN_r_sd,DYN_r_p10,DYN_r_p90,DYN_sat,DYN_n_min,DYN_n_max
B136,0.35,99.0,48.0,116.0,35,0.5046168538863474,0.664427465649013,0.3017241379310345,0.7291666666666666,0.06297502714440825,0.3498003731984655,0.0063501049611137984,0.34545454545454546,0.3541666666666667,0.0,1.0,44.0
B136,0.5,99.0,48.0,116.0,50,0.7208812198376392,0.9491820937843043,0.43103448275862066,1.0416666666666667,0.10857763300760044,0.5002647531939887,0.009926513380869436,0.4946236559139785,0.5054945054945055,0.0,2.0,64.0
B136,0.75,99.0,48.0,116.0,74,1.066904205359706,1.4047894988007703,0.6379310344827587,1.5416666666666667,0.20629750271444083,0.7499233538707919,0.00673777770936327,0.7450980392156863,0.7547169811320755,0.0,2.0,95.0
B136,1.0,99.0,48.0,116.0,99,1.4273448152785255,1.8793805456929225,0.853448275862069,2.0625,0.511400651465798,1.0,0.0,1.0,1.0,1.0,3.0,127.0
BSTK100,0.05,72.0,38.0,86.0,4,inf,,0.046511627906976744,0.10526315789473684,0.011943539630836048,inf,,0.044444444444444446,0.05660377358490566,0.0054288816503800215,1.0,5.0
BSTK100,0.1,72.0,38.0,86.0,7,inf,,0.08139534883720931,0.18421052631578946,0.01737242128121607,inf,,0.09375,0.10638297872340426,0.0054288816503800215,1.0,10.0
BSTK100,0.2,72.0,38.0,86.0,14,inf,,0.16279069767441862,0.3684210526315789,0.023887079261672096,inf,,0.19402985074626866,0.20588235294117646,0.0054288816503800215,1.0,19.0
BSTK100,0.35,72.0,38.0,86.0,25,inf,,0.29069767441860467,0.6578947368421053,0.05537459283387622,inf,,0.34375,0.3559322033898305,0.0054288816503800215,1.0,33.0
BSTK100,0.5,72.0,38.0,86.0,36,inf,,0.4186046511627907,0.9473684210526315,0.09446254071661238,inf,,0.4927536231884058,0.5074626865671642,0.0054288816503800215,1.0,48.0
BSTK100,0.75,72.0,38.0,86.0,54,inf,,0.627906976744186,1.4210526315789473,0.1976112920738328,inf,,0.7435897435897436,0.7567567567567568,0.009771986970684038,1.0,71.0
BSTK100,1.0,72.0,38.0,86.0,72,inf,,0.8372093023255814,1.894736842105263,0.504885993485342,inf,,1.0,1.0,1.0,1.0,95.0
SMALL439,0.05,148.0,69.60000000000001,194.39999999999998,7,0.09144370679279341,0.44018898561870806,0.036008458895056834,0.1005797101449275,0.004895960832313341,0.054148357825937035,0.059757573555368385,0.04697986577181208,0.05303030303030303,0.0036719706242350062,1.0,14.0
SMALL439,0.1,148.0,69.60000000000001,194.39999999999998,15,0.1959508002702716,0.9432621120400887,0.07716098334655036,0.21552795031055894,0.0073439412484700125,0.10389366459993951,0.05629765617642427,0.09696969696969697,0.1032258064516129,0.0036719706242350062,1.0,28.0
SMALL439,0.2,148.0,69.60000000000001,194.39999999999998,30,0.3919016005405432,1.8865242240801774,0.15432196669310072,0.43105590062111787,0.017135862913096694,0.20341503830586202,0.049658529233733,0.1972405863753952,0.2029421379535796,0.0036719706242350062,1.0,55.0
SMALL439,0.35,148.0,69.60000000000001,194.39999999999998,52,0.6792961076036083,3.269975321738974,0.2674914089347079,0.7471635610766043,0.05752753977968176,0.3524481151353914,0.03980947543485429,0.3468729427254773,0.35294117647058826,0.0036719706242350062,1.0,97.0
SMALL439,0.5,148.0,69.60000000000001,194.39999999999998,74,0.9666906146666732,4.653426419397771,0.3806608511763151,1.0632712215320907,0.10648714810281518,0.501724682820647,0.030489451930652164,0.496,0.5037037037037037,0.0036719706242350062,1.0,138.0
SMALL439,0.75,148.0,69.60000000000001,194.39999999999998,111,1.4500359220000096,6.980139629096656,0.5709912767644726,1.5949068322981361,0.25091799265605874,0.7511547060741103,0.017756539735190417,0.7466666666666667,0.7530864197530864,0.004895960832313341,1.0,207.0
SMALL439,1.0,148.0,69.60000000000001,194.39999999999998,148,1.9333812293333463,9.306852838795542,0.7613217023526302,2.1265424430641815,0.5055079559363526,1.0,0.0,1.0,1.0,1.0,1.0,276.0
ETF36,0.05,27.0,11.0,32.0,1,0.054043627576638456,0.05577392271508093,0.03125,0.09090909090909091,0.0010857763300760044,0.06376215442047975,0.05381687833228782,0.03571428571428571,0.09090909090909091,0.0010857763300760044,1.0,2.0
ETF36,0.1,27.0,11.0,32.0,3,0.16213088272991538,0.1673217681452428,0.09375,0.2727272727272727,0.006514657980456026,0.10590740789405655,0.044723673931704504,0.08333333333333333,0.11764705882352941,0.0010857763300760044,1.0,4.0
ETF36,0.2,27.0,11.0,32.0,5,0.2702181378831923,0.27886961357540463,0.15625,0.45454545454545453,0.026058631921824105,0.2025063660116965,0.03579023359269988,0.18518518518518517,0.21739130434782608,0.0010857763300760044,1.0,7.0
ETF36,0.35,27.0,11.0,32.0,9,0.48639264818974615,0.5019653044357284,0.28125,0.8181818181818182,0.08903365906623235,0.3487826266104555,0.029256905802542626,0.3333333333333333,0.36363636363636365,0.0010857763300760044,1.0,12.0
ETF36,0.5,27.0,11.0,32.0,14,0.7566107860729384,0.780834918011133,0.4375,1.2727272727272727,0.15743756786102062,0.5002042638454925,0.02811606328273848,0.48,0.5185185185185185,0.0010857763300760044,1.0,18.0
ETF36,0.75,27.0,11.0,32.0,20,1.0808725515327693,1.1154784543016185,0.625,1.8181818181818181,0.2280130293159609,0.7485255832119624,0.025868272071572548,0.7272727272727273,0.7692307692307693,0.004343105320304018,1.0,26.0
ETF36,1.0,27.0,11.0,32.0,27,1.4591779445692383,1.505895913307185,0.84375,2.4545454545454546,0.5374592833876222,1.0,0.0,1.0,1.0,1.0,1.0,35.0
