L,step,rung,conv,scope,n_win,share_exact,share_top,share_bottom,share_reverse,share_tied,med_rho,modal,modal_share
504,252,10.0,FULLMATCH,REPRO2,16,0.125,0.625,0.3125,0.0,0.0,0.5,QROLL > ABS > QEXP,0.5
756,21,10.0,FULLMATCH,POOLED3,176,0.3125,0.6534090909090909,0.6136363636363636,0.0,0.017045454545454544,0.5,QROLL > ABS > QEXP,0.3409090909090909
756,21,10.0,FULLMATCH,REPRO2,176,0.2159090909090909,0.6704545454545454,0.4602272727272727,0.0,0.03409090909090909,0.5,QROLL > ABS > QEXP,0.45454545454545453
756,63,10.0,FULLMATCH,POOLED3,59,0.3220338983050847,0.6440677966101694,0.6271186440677966,0.0,0.03389830508474576,0.5,QROLL > QEXP > ABS,0.3220338983050847
756,63,10.0,FULLMATCH,REPRO2,59,0.23728813559322035,0.6779661016949152,0.4745762711864407,0.0,0.03389830508474576,0.5,QROLL > ABS > QEXP,0.4406779661016949
756,126,10.0,FULLMATCH,POOLED3,30,0.3,0.6666666666666666,0.6,0.0,0.0,0.5,QROLL > ABS > QEXP,0.36666666666666664
756,126,10.0,FULLMATCH,REPRO2,30,0.2,0.6666666666666666,0.43333333333333335,0.0,0.03333333333333333,0.5,QROLL > ABS > QEXP,0.4666666666666667
756,252,10.0,FULLMATCH,POOLED3,15,0.26666666666666666,0.6,0.6,0.0,0.0,0.5,QEXP > QROLL > ABS,0.3333333333333333
756,252,10.0,FULLMATCH,REPRO2,15,0.2,0.6,0.4666666666666667,0.0,0.06666666666666667,0.5,QROLL > ABS > QEXP,0.4
1008,21,10.0,FULLMATCH,POOLED3,164,0.2804878048780488,0.6646341463414634,0.5304878048780488,0.0,0.024390243902439025,0.5,QROLL > ABS > QEXP,0.38414634146341464
1008,21,10.0,FULLMATCH,REPRO2,164,0.1524390243902439,0.6707317073170732,0.45121951219512196,0.0,0.03048780487804878,0.5,QROLL > ABS > QEXP,0.5182926829268293
1008,63,10.0,FULLMATCH,POOLED3,55,0.2727272727272727,0.6545454545454545,0.509090909090909,0.0,0.05454545454545454,0.5,QROLL > ABS > QEXP,0.38181818181818183
1008,63,10.0,FULLMATCH,REPRO2,55,0.18181818181818182,0.6909090909090909,0.41818181818181815,0.0,0.07272727272727272,0.5,QROLL > ABS > QEXP,0.509090909090909
1008,126,10.0,FULLMATCH,POOLED3,28,0.2857142857142857,0.6785714285714286,0.5,0.0,0.03571428571428571,0.5,QROLL > ABS > QEXP,0.39285714285714285
1008,126,10.0,FULLMATCH,REPRO2,28,0.17857142857142858,0.7142857142857143,0.39285714285714285,0.0,0.07142857142857142,0.5,QROLL > ABS > QEXP,0.5357142857142857
1008,252,10.0,FULLMATCH,POOLED3,14,0.2857142857142857,0.6428571428571429,0.5714285714285714,0.0,0.0,0.5,QROLL > ABS > QEXP,0.35714285714285715
1008,252,10.0,FULLMATCH,REPRO2,14,0.21428571428571427,0.7142857142857143,0.42857142857142855,0.0,0.07142857142857142,0.5,QROLL > ABS > QEXP,0.5
1260,21,10.0,FULLMATCH,POOLED3,152,0.23684210526315788,0.6710526315789473,0.5394736842105263,0.0,0.013157894736842105,0.5,QROLL > ABS > QEXP,0.4342105263157895
1260,21,10.0,FULLMATCH,REPRO2,152,0.2565789473684211,0.6842105263157895,0.5394736842105263,0.0,0.019736842105263157,0.5,QROLL > ABS > QEXP,0.4276315789473684
1260,63,10.0,FULLMATCH,POOLED3,51,0.23529411764705882,0.6666666666666666,0.5294117647058824,0.0,0.0196078431372549,0.5,QROLL > ABS > QEXP,0.43137254901960786
1260,63,10.0,FULLMATCH,REPRO2,51,0.2549019607843137,0.6666666666666666,0.5294117647058824,0.0,0.0392156862745098,0.5,QROLL > ABS > QEXP,0.4117647058823529
1260,126,10.0,FULLMATCH,POOLED3,26,0.23076923076923078,0.6923076923076923,0.5,0.0,0.038461538461538464,0.5,QROLL > ABS > QEXP,0.46153846153846156
1260,126,10.0,FULLMATCH,REPRO2,26,0.19230769230769232,0.6538461538461539,0.5,0.0,0.038461538461538464,0.5,QROLL > ABS > QEXP,0.46153846153846156
1260,252,10.0,FULLMATCH,POOLED3,13,0.23076923076923078,0.6923076923076923,0.46153846153846156,0.0,0.07692307692307693,0.5,QROLL > ABS > QEXP,0.46153846153846156
1260,252,10.0,FULLMATCH,REPRO2,13,0.15384615384615385,0.6153846153846154,0.46153846153846156,0.0,0.07692307692307693,0.5,QROLL > ABS > QEXP,0.46153846153846156
756,63,0.0,FULLMATCH,POOLED3,59,0.2711864406779661,0.7288135593220338,0.4406779661016949,0.0,0.05084745762711865,0.5,QROLL > ABS > QEXP,0.4576271186440678
756,63,0.0,FULLMATCH,REPRO2,59,0.22033898305084745,0.847457627118644,0.288135593220339,0.0,0.03389830508474576,0.5,QROLL > ABS > QEXP,0.6271186440677966
756,63,0.0,FULLMATCH,U56,59,0.2033898305084746,0.559322033898305,0.3389830508474576,0.0,0.23728813559322035,0.5,QROLL > ABS > QEXP,0.3559322033898305
756,63,0.0,FULLMATCH,B136,59,0.2542372881355932,0.7796610169491526,0.3220338983050847,0.0,0.15254237288135594,0.5,QROLL > ABS > QEXP,0.5254237288135594
756,63,0.0,FULLMATCH,SMALL,53,0.3018867924528302,0.5094339622641509,0.4528301886792453,0.0,0.16981132075471697,0.5,QROLL > QEXP > ABS,0.3018867924528302
756,63,0.0,WINMATCH,POOLED3,59,0.05084745762711865,0.7288135593220338,0.05084745762711865,0.0,0.11864406779661017,0.5,QROLL > ABS > QEXP,0.6779661016949152
756,63,0.0,WINMATCH,REPRO2,59,0.01694915254237288,0.7627118644067796,0.01694915254237288,0.0,0.15254237288135594,0.5,QROLL > ABS > QEXP,0.7457627118644068
756,63,0.0,WINMATCH,U56,59,0.1016949152542373,0.5423728813559322,0.1016949152542373,0.0,0.3220338983050847,0.5,QROLL > ABS > QEXP,0.4406779661016949
756,63,0.0,WINMATCH,B136,59,0.0,0.7457627118644068,0.0,0.0,0.23728813559322035,0.5,QROLL > ABS > QEXP,0.7457627118644068
756,63,0.0,WINMATCH,SMALL,53,0.22641509433962265,0.5471698113207547,0.22641509433962265,0.0,0.2830188679245283,0.5,QROLL > ABS > QEXP,0.32075471698113206
756,63,10.0,FULLMATCH,POOLED3,59,0.3220338983050847,0.6440677966101694,0.6271186440677966,0.0,0.03389830508474576,0.5,QROLL > QEXP > ABS,0.3220338983050847
756,63,10.0,FULLMATCH,REPRO2,59,0.23728813559322035,0.6779661016949152,0.4745762711864407,0.0,0.03389830508474576,0.5,QROLL > ABS > QEXP,0.4406779661016949
756,63,10.0,FULLMATCH,U56,59,0.2542372881355932,0.4406779661016949,0.4915254237288136,0.0,0.15254237288135594,0.5,QROLL > QEXP > ABS,0.2542372881355932
756,63,10.0,FULLMATCH,B136,59,0.2542372881355932,0.7288135593220338,0.3898305084745763,0.0,0.11864406779661017,0.5,QROLL > ABS > QEXP,0.4745762711864407
756,63,10.0,FULLMATCH,SMALL,53,0.2641509433962264,0.3584905660377358,0.5094339622641509,0.0,0.20754716981132076,0.5,QROLL > QEXP > ABS,0.2641509433962264
756,63,10.0,WINMATCH,POOLED3,59,0.1016949152542373,0.6949152542372882,0.1016949152542373,0.0,0.1694915254237288,0.5,QROLL > ABS > QEXP,0.5932203389830508
756,63,10.0,WINMATCH,REPRO2,59,0.1016949152542373,0.7457627118644068,0.1016949152542373,0.0,0.1864406779661017,0.5,QROLL > ABS > QEXP,0.6440677966101694
756,63,10.0,WINMATCH,U56,59,0.11864406779661017,0.4915254237288136,0.11864406779661017,0.0,0.288135593220339,0.5,QROLL > ABS > QEXP,0.3728813559322034
756,63,10.0,WINMATCH,B136,59,0.0,0.711864406779661,0.0,0.0,0.22033898305084745,0.5,QROLL > ABS > QEXP,0.711864406779661
756,63,10.0,WINMATCH,SMALL,53,0.22641509433962265,0.4339622641509434,0.22641509433962265,0.0,0.37735849056603776,0.5,TIED,0.37735849056603776
756,63,25.0,FULLMATCH,POOLED3,59,0.3050847457627119,0.559322033898305,0.6610169491525424,0.0,0.01694915254237288,0.5,QEXP > QROLL > ABS,0.3559322033898305
756,63,25.0,FULLMATCH,REPRO2,59,0.2711864406779661,0.5254237288135594,0.6101694915254238,0.0,0.0847457627118644,0.5,QEXP > QROLL > ABS,0.3389830508474576
756,63,25.0,FULLMATCH,U56,59,0.22033898305084745,0.288135593220339,0.6610169491525424,0.0,0.05084745762711865,0.5,QEXP > QROLL > ABS,0.4406779661016949
756,63,25.0,FULLMATCH,B136,59,0.23728813559322035,0.6271186440677966,0.4406779661016949,0.0,0.15254237288135594,0.5,QROLL > ABS > QEXP,0.3898305084745763
756,63,25.0,FULLMATCH,SMALL,53,0.16981132075471697,0.2641509433962264,0.5660377358490566,0.0,0.1320754716981132,0.5,QEXP > QROLL > ABS,0.39622641509433965
756,63,25.0,WINMATCH,POOLED3,59,0.11864406779661017,0.711864406779661,0.11864406779661017,0.0,0.15254237288135594,0.5,QROLL > ABS > QEXP,0.5932203389830508
756,63,25.0,WINMATCH,REPRO2,59,0.11864406779661017,0.7288135593220338,0.11864406779661017,0.0,0.2033898305084746,0.5,QROLL > ABS > QEXP,0.6101694915254238
756,63,25.0,WINMATCH,U56,59,0.11864406779661017,0.423728813559322,0.13559322033898305,0.0,0.3050847457627119,0.5,QROLL > ABS > QEXP,0.3050847457627119
756,63,25.0,WINMATCH,B136,59,0.01694915254237288,0.5932203389830508,0.01694915254237288,0.0,0.2711864406779661,0.5,QROLL > ABS > QEXP,0.576271186440678
756,63,25.0,WINMATCH,SMALL,53,0.1509433962264151,0.3018867924528302,0.1509433962264151,0.0,0.4716981132075472,0.5,TIED,0.4716981132075472
