panel,conv,q,h,side,daysh,share,trail,fwd,spy_fwd
SMALL439,REL,0.3,126,LOW,408867,0.29873002095443507,0.03152396758520275,0.17588671757276866,0.07108575011518424
SMALL439,REL,0.3,126,HIGH,959817,0.701269979045565,0.09574799456146772,0.028125224272246337,0.07108575011518424
SMALL439,REL,0.4,126,LOW,545757,0.39874580253732783,0.04004223104502728,0.14775555820430222,0.07108575011518424
SMALL439,REL,0.4,126,HIGH,822927,0.6012541974626722,0.1006679005348591,0.022204625002477905,0.07108575011518424
SMALL439,REL,0.5,126,LOW,683308,0.49924452978189265,0.04735819435624782,0.12885645337436352,0.07108575011518424
SMALL439,REL,0.5,126,HIGH,685376,0.5007554702181073,0.10544933069247785,0.015845718825523217,0.07108575011518424
SMALL439,ABS,,252,LOW,606070,0.44281221962118356,0.07247482264637611,0.32153031965174533,0.1512405291804177
SMALL439,ABS,,252,HIGH,762614,0.5571877803788164,0.23353957917202173,0.026760482675462695,0.1512405291804177
SMALL439,REL,0.1,252,LOW,135039,0.09866338760444339,0.004459009864631751,0.6775910858866477,0.1512405291804177
SMALL439,REL,0.1,252,HIGH,1233645,0.9013366123955566,0.179962000238931,0.09918820949170916,0.1512405291804177
SMALL439,REL,0.2,252,LOW,272076,0.19878657162646746,0.04834648333087112,0.46915737060941104,0.1512405291804177
SMALL439,REL,0.2,252,HIGH,1096608,0.8012134283735325,0.19115816739800442,0.07864055507625739,0.1512405291804177
SMALL439,REL,0.3,252,LOW,408867,0.29873002095443507,0.06962629306295082,0.373341599622298,0.1512405291804177
SMALL439,REL,0.3,252,HIGH,959817,0.701269979045565,0.20210268309264312,0.06381753849064943,0.1512405291804177
SMALL439,REL,0.4,252,LOW,545757,0.39874580253732783,0.08691804373485934,0.3149811864767371,0.1512405291804177
SMALL439,REL,0.4,252,HIGH,822927,0.6012541974626722,0.21202887931516215,0.05104300133523537,0.1512405291804177
SMALL439,REL,0.5,252,LOW,683308,0.49924452978189265,0.10054522515848836,0.27573388702767293,0.1512405291804177
SMALL439,REL,0.5,252,HIGH,685376,0.5007554702181073,0.22316522068391786,0.0371878271250288,0.1512405291804177
U56,ABS,,63,LOW,23809,0.10093563334364918,0.06913020928227404,0.10842138496254518,0.039705834518808956
U56,ABS,,63,HIGH,212074,0.8990643666563508,0.04094760317486134,0.03741337696516502,0.039705834518808956
U56,REL,0.1,63,LOW,22063,0.09353365863584913,0.06404940538331638,0.10497471059812802,0.039705834518808956
U56,REL,0.1,63,HIGH,213820,0.9064663413641508,0.041700144524648534,0.03844262780323457,0.039705834518808956
U56,REL,0.2,63,LOW,45759,0.19399024092452613,0.05241763427124585,0.07367610115797456,0.039705834518808956
U56,REL,0.2,63,HIGH,190124,0.8060097590754739,0.0417054521642656,0.03769061035169217,0.039705834518808956
U56,REL,0.3,63,LOW,68539,0.29056354209502167,0.04972903245166222,0.06532131423975669,0.039705834518808956
U56,REL,0.3,63,HIGH,167344,0.7094364579049783,0.04134812168267652,0.036209554018634,0.039705834518808956
U56,REL,0.4,63,LOW,92915,0.39390290949326573,0.045436103506727214,0.05907762424681291,0.039705834518808956
U56,REL,0.4,63,HIGH,142968,0.6060970905067343,0.042704256056133996,0.03530710371788411,0.039705834518808956
U56,REL,0.5,63,LOW,116547,0.4940881708304541,0.04476230539350389,0.05484937863302382,0.039705834518808956
U56,REL,0.5,63,HIGH,119336,0.5059118291695459,0.042819608997766725,0.034723120019284015,0.039705834518808956
U56,ABS,,126,LOW,23809,0.10093563334364918,0.13436527911652732,0.2210355020265079,0.07825546738440593
U56,ABS,,126,HIGH,212074,0.8990643666563508,0.08139576002625051,0.07583139348625602,0.07825546738440593
U56,REL,0.1,126,LOW,22063,0.09353365863584913,0.13647508925009727,0.22746573070234224,0.07825546738440593
U56,REL,0.1,126,HIGH,213820,0.9064663413641508,0.0816205373322669,0.07674161974399701,0.07825546738440593
U56,REL,0.2,126,LOW,45759,0.19399024092452613,0.10468025108975262,0.15460264134844143,0.07825546738440593
U56,REL,0.2,126,HIGH,190124,0.8060097590754739,0.08239448576034729,0.07552557661102595,0.07825546738440593
U56,REL,0.3,126,LOW,68539,0.29056354209502167,0.09785733828172041,0.13738269974007475,0.07825546738440593
U56,REL,0.3,126,HIGH,167344,0.7094364579049783,0.08215334291748226,0.07179452441426194,0.07825546738440593
U56,REL,0.4,126,LOW,92915,0.39390290949326573,0.09009854861854583,0.12316213828805067,0.07825546738440593
U56,REL,0.4,126,HIGH,142968,0.6060970905067343,0.08450097708672627,0.06986880846997917,0.07825546738440593
U56,REL,0.5,126,LOW,116547,0.4940881708304541,0.08887336073824224,0.11386698549566458,0.07825546738440593
U56,REL,0.5,126,HIGH,119336,0.5059118291695459,0.08458208650209724,0.068364999494945,0.07825546738440593
U56,ABS,,252,LOW,23809,0.10093563334364918,0.2781908479472742,0.4581600798924247,0.15550077087451042
U56,ABS,,252,HIGH,212074,0.8990643666563508,0.16847231182102237,0.16054325084068227,0.15550077087451042
U56,REL,0.1,252,LOW,22063,0.09353365863584913,0.30333388976572484,0.5547380674456672,0.15550077087451042
U56,REL,0.1,252,HIGH,213820,0.9064663413641508,0.16686831158728208,0.15466151547004034,0.15550077087451042
U56,REL,0.2,252,LOW,45759,0.19399024092452613,0.21729327412476135,0.36028371251715113,0.15550077087451042
U56,REL,0.2,252,HIGH,190124,0.8060097590754739,0.17032942210759994,0.15177780005126879,0.15550077087451042
U56,REL,0.3,252,LOW,68539,0.29056354209502167,0.197214492165349,0.3116160661609584,0.15550077087451042
U56,REL,0.3,252,HIGH,167344,0.7094364579049783,0.17211695482263262,0.1432222033324157,0.15550077087451042
U56,REL,0.4,252,LOW,92915,0.39390290949326573,0.18033384052908255,0.2754174991100758,0.15550077087451042
U56,REL,0.4,252,HIGH,142968,0.6060970905067343,0.17871892867744063,0.13811680365094692,0.15550077087451042
U56,REL,0.5,252,LOW,116547,0.4940881708304541,0.17644705288404308,0.24995822055864464,0.15550077087451042
U56,REL,0.5,252,HIGH,119336,0.5059118291695459,0.18214883034303536,0.13564340186307797,0.15550077087451042
broad136,ABS,,63,LOW,53496,0.0924386446617443,0.05650947250756057,0.09806401057041426,0.03970674538089767
broad136,ABS,,63,HIGH,525223,0.9075613553382557,0.04460036097364796,0.04163881361905086,0.03970674538089767
broad136,REL,0.1,63,LOW,56325,0.09732702745201038,0.05142086301500123,0.08571829112243456,0.03970674538089767
broad136,REL,0.1,63,HIGH,522394,0.9026729725479896,0.04508104478862247,0.042742784259198405,0.03970674538089767
broad136,REL,0.2,63,LOW,113212,0.1956251652356325,0.04595980040108626,0.06867959677562235,0.03970674538089767
broad136,REL,0.2,63,HIGH,465507,0.8043748347643676,0.045631477304590454,0.04163427736964961,0.03970674538089767
broad136,REL,0.3,63,LOW,171997,0.2972029603313525,0.04452084143910192,0.06155864705261161,0.03970674538089767
broad136,REL,0.3,63,HIGH,406722,0.7027970396686475,0.046191015417482495,0.04073814979141271,0.03970674538089767
broad136,REL,0.4,63,LOW,229337,0.3962838614249748,0.042833377955405774,0.05779358685494558,0.03970674538089767
broad136,REL,0.4,63,HIGH,349382,0.6037161385750252,0.04756965409176646,0.039791535995194825,0.03970674538089767
broad136,REL,0.5,63,LOW,288499,0.498513095301865,0.04356948418153244,0.054639597608291735,0.03970674538089767
broad136,REL,0.5,63,HIGH,290220,0.5014869046981351,0.04780403021131339,0.03925814332932532,0.03970674538089767
broad136,ABS,,126,LOW,53496,0.0924386446617443,0.10170753967450087,0.19443889711108575,0.07822983783585362
broad136,ABS,,126,HIGH,525223,0.9075613553382557,0.08816461068698164,0.08368384429102371,0.07822983783585362
broad136,REL,0.1,126,LOW,56325,0.09732702745201038,0.09971864574062318,0.17766338675434531,0.07822983783585362
broad136,REL,0.1,126,HIGH,522394,0.9026729725479896,0.08830264364612031,0.08520517126128692,0.07822983783585362
broad136,REL,0.2,126,LOW,113212,0.1956251652356325,0.08986533712341783,0.14306553160219646,0.07822983783585362
broad136,REL,0.2,126,HIGH,465507,0.8043748347643676,0.08929283275539662,0.0823180789159413,0.07822983783585362
broad136,REL,0.3,126,LOW,171997,0.2972029603313525,0.08754861099793199,0.12624303451075927,0.07822983783585362
broad136,REL,0.3,126,HIGH,406722,0.7027970396686475,0.09018482266586002,0.0806587136113969,0.07822983783585362
broad136,REL,0.4,126,LOW,229337,0.3962838614249748,0.08507533042920763,0.11724387223953191,0.07822983783585362
broad136,REL,0.4,126,HIGH,349382,0.6037161385750252,0.092230235846416,0.0790802016571694,0.07822983783585362
broad136,REL,0.5,126,LOW,288499,0.498513095301865,0.08550820545829253,0.11093523288783694,0.07822983783585362
broad136,REL,0.5,126,HIGH,290220,0.5014869046981351,0.09325796313615152,0.07757639457085036,0.07822983783585362
broad136,ABS,,252,LOW,53496,0.0924386446617443,0.19340874539173714,0.3893574233800225,0.1554831584132753
broad136,ABS,,252,HIGH,525223,0.9075613553382557,0.18003380145349562,0.17368396764983385,0.1554831584132753
broad136,REL,0.1,252,LOW,56325,0.09732702745201038,0.20224373600304646,0.4056436303718108,0.1554831584132753
broad136,REL,0.1,252,HIGH,522394,0.9026729725479896,0.179029133807495,0.17202137871143341,0.1554831584132753
broad136,REL,0.2,252,LOW,113212,0.1956251652356325,0.18195560379738115,0.31601059916453694,0.1554831584132753
broad136,REL,0.2,252,HIGH,465507,0.8043748347643676,0.18107530966174856,0.1652585680424626,0.1554831584132753
broad136,REL,0.3,252,LOW,171997,0.2972029603313525,0.1741228899666716,0.2742178230332482,0.1554831584132753
broad136,REL,0.3,252,HIGH,406722,0.7027970396686475,0.1842276650226394,0.1611772206871529,0.1554831584132753
broad136,REL,0.4,252,LOW,229337,0.3962838614249748,0.17131383650458826,0.2523459458777208,0.1554831584132753
broad136,REL,0.4,252,HIGH,349382,0.6037161385750252,0.18769085770622093,0.15695945850424464,0.1554831584132753
broad136,REL,0.5,252,LOW,288499,0.498513095301865,0.17172901408125582,0.2356181595330971,0.1554831584132753
broad136,REL,0.5,252,HIGH,290220,0.5014869046981351,0.19060871146445577,0.15416723885318878,0.1554831584132753
