m_min,split,model,n_train,n_test,k_star_train,test_coverage,test_mean_width,z_median,z_p90,z_p90_over_median,rho_sdhat_err
40,corpus A -> corpus B,SHARE,70,70,25.0,0.8857142857142857,0.7439094789729368,0.7321985816360609,35.89172701593053,49.01911573733491,0.5554788007296733
40,corpus A -> corpus B,CONST,70,70,25.0,0.9285714285714286,0.05725203739335185,1.944747955073275,17.903369547060834,9.206010218628185,
40,corpus A -> corpus B,SHARE+CTRL,70,70,15.0,0.8571428571428571,0.3624097989215839,0.7893628707459104,37.024724369884964,46.90456790157657,0.5722495997421926
40,corpus A -> corpus B,CTRL-ONLY,70,70,15.0,0.8714285714285714,0.30557913812014925,0.7716934801364963,27.49928329465961,35.63498202653671,0.5227877922367332
40,corpus B -> corpus A,SHARE,70,70,6.0,0.9285714285714286,0.08953871931719243,0.5837016650130331,3.981496374114703,6.821115327854689,0.8661805666747678
40,corpus B -> corpus A,CONST,70,70,6.0,0.9285714285714286,0.049285665378664405,0.8616029624519967,4.318254951333117,5.01188498591508,
40,corpus B -> corpus A,SHARE+CTRL,70,70,10.0,0.9857142857142858,0.22686771990710258,0.37076125422665795,4.7978026289710956,12.940409965379091,0.5159358407599323
40,corpus B -> corpus A,CTRL-ONLY,70,70,6.0,0.9714285714285714,0.08903074919104399,0.44632746728679973,3.413742927688032,7.648516342585833,0.7329668919141746
40,10 bps -> 5/15/20/25,SHARE,28,112,25.0,0.9642857142857143,0.5052968305164075,0.5094909446498952,10.591371388812561,20.78814451960592,0.7383925947606054
40,10 bps -> 5/15/20/25,CONST,28,112,15.0,0.9553571428571429,0.06629743373713423,1.2283497538544121,9.187187363479861,7.479292713375473,
40,10 bps -> 5/15/20/25,SHARE+CTRL,28,112,15.0,0.9196428571428571,0.3086476377388013,0.5329106859702768,11.949805666377138,22.42365555988052,0.6711400793804773
40,10 bps -> 5/15/20/25,CTRL-ONLY,28,112,15.0,0.9196428571428571,0.27636260667563806,0.6126363769942925,10.79962156541641,17.628110198746853,0.6115588190499424
40,published views -> BAND+/SLEEVE+,SHARE,100,40,25.0,1.0,1.3781762534168758,0.23451850745425928,0.8141132296473724,3.471424232077538,-0.032928373787338885
40,published views -> BAND+/SLEEVE+,CONST,100,40,25.0,1.0,0.06056314699675351,5.2572400290020935,12.415888182826203,2.3616742082029174,
40,published views -> BAND+/SLEEVE+,SHARE+CTRL,100,40,25.0,1.0,0.7814758259328161,0.4634279392806758,1.2394578059728583,2.674542687039373,0.11398283234078845
40,published views -> BAND+/SLEEVE+,CTRL-ONLY,100,40,25.0,1.0,0.40165843308960686,0.7894287963906246,2.280514058218168,2.888815392401427,0.2890557468405579
