panel,target,T_trade,R_refresh,k_is,k_full,gross_is,gross_full,d_is_Sharpe,d_is_MaxDD,d_oos_Sharpe,d_oos_MaxDD
B136,0.16,W,M,0.917581646605031,0.9243139493133088,0.9176654198617585,0.9243922631151882,0.06017771436962516,0.024643275755184546,0.0061735465784480414,0.03872448382241189
B136,0.16,W,Q,0.9127638386604697,0.9155303291512391,0.9128521191638505,0.915617040409586,-0.05675426000460093,0.023685918735097067,-0.11916043856299796,-0.024856464597565298
B136,0.16,M,D,0.9159153448583475,0.9233635935822415,0.9165127791910342,0.9238864617040433,-0.008756242791239321,0.018925273273045273,0.08380177266729838,0.12091616345416123
B136,0.16,M,W,0.9164037938492693,0.9239914255621873,0.9169980373527757,0.9245103172568089,0.039879906217966665,0.03254416516236558,0.0440505945186227,0.11279951557395751
B136,0.16,M,M,0.91761334600446,0.9241971883901192,0.9181996737805571,0.924714775788992,0.0807740564484436,0.026690746508911123,0.02981871428034477,0.04078736326890464
B136,0.16,M,Q,0.9130089351650008,0.9156506764136167,0.9136252874183924,0.916221974731831,-0.03726374147220879,0.02459566600009766,-0.09903870733251274,-0.02501804748676273
B136,0.2,W,D,0.9536200975728248,0.9589262451470508,0.9536687764198,0.9589700563166366,0.005468880884163196,0.01018757382279234,0.05378099760430488,0.12043151248622874
B136,0.2,W,W,0.9550197017258237,0.9595746155087514,0.9550669690259949,0.9596177590855784,0.036153053206647856,0.028202826465181352,0.036991860530365184,0.10877170570713524
B136,0.2,W,M,0.9546009590417817,0.9589587089694482,0.9546486490518624,0.9590024867323521,0.08450630023149341,0.03151648928610684,-0.05615654002537207,0.014478109481297796
B136,0.2,W,Q,0.9579943911989479,0.9544698281424615,0.9580386463762217,0.9545182068643108,-0.0008708414848888069,0.02906815441105537,-0.10747375147254834,-0.013603903796152061
B136,0.2,M,D,0.9533252489130972,0.9586787948437006,0.9536687764198001,0.9589700563166366,0.021564310122555774,0.011341483928227758,0.06857186233067436,0.11843752848581579
B136,0.2,M,W,0.9547326054930019,0.9593247547761912,0.9550662064214053,0.9596116302192396,0.049733071084273384,0.029051217455963507,0.04924852924546985,0.10662585291593785
B136,0.2,M,M,0.9545434219248505,0.9588920068669511,0.9548783588422751,0.9591818212085452,0.10097669676345822,0.033554076505135866,-0.035493178973445616,0.01593851630638754
B136,0.2,M,Q,0.9581200827288934,0.9545646811945976,0.9584296799374299,0.9548837517626955,0.01575907114583508,0.02995459603186812,-0.08827951500674946,-0.0134770076554116
SMALL665,0.08,W,D,0.6222718315811213,0.5435885503433326,0.6223829595307332,0.5437378725855185,-0.5500631459493492,-0.0314032264880203,-0.4236748700122964,0.04083853327899001
SMALL665,0.08,W,W,0.6262677702351265,0.545364898616119,0.6263782510783652,0.5455139787624397,-0.34249964934573673,-0.00210545719674049,-0.36184883274985774,0.02768133018869723
SMALL665,0.08,W,M,0.6346867709429498,0.5509894364467793,0.6347958442179609,0.5511377261247432,-0.1332321896188461,0.012768229588596691,-0.40056106361801724,-0.0684937520387291
SMALL665,0.08,W,Q,0.6309415029001102,0.5487190017528336,0.6310512097426089,0.5488676148665548,-0.15284323376614517,0.00428177004833441,-0.5009218477736985,-0.24718135784044415
SMALL665,0.08,M,D,0.621757036712431,0.5428250147782936,0.6223829595307332,0.5437378725855186,-0.5406394295092525,-0.030557506494412467,-0.40677134014168925,0.02647635020901451
SMALL665,0.08,M,W,0.6257002050966172,0.5445846120958711,0.6263224677138864,0.5454960479777246,-0.35266312767170005,-0.003634102001303652,-0.3624778125575524,0.01164566373626208
SMALL665,0.08,M,M,0.6345604980348232,0.5509565076498808,0.6351742678345041,0.5518626124160739,-0.08942570042406395,0.01797729417263294,-0.35592102814191234,-0.06750933124554026
SMALL665,0.08,M,Q,0.6307741336726553,0.5489252779209957,0.6313915780167607,0.5498331130593261,-0.12024632101676946,0.006497506478550408,-0.47960692364664453,-0.2529925369756737
SMALL665,0.1,W,D,0.7514181760798644,0.6598877845258482,0.751501907407437,0.6600141304638022,-0.4136310208141267,-0.015231024319080855,-0.3905381952237148,0.06209956510712755
SMALL665,0.1,W,W,0.7542759375323163,0.6611025376556761,0.754358920483555,0.6612285728227941,-0.24599809527979377,0.008863950054825542,-0.33247785087089327,0.04843514055940734
SMALL665,0.1,W,M,0.7597406649831069,0.6666211366715058,0.7598222009187102,0.6667457429816797,-0.07278415804353855,0.013420735060297617,-0.3601398891401475,-0.0568089063253836
SMALL665,0.1,W,Q,0.752582152120091,0.6608566075843905,0.752665579345548,0.6609827057675318,-0.16371123293208734,-0.0026619376729896116,-0.3899620698677827,-0.19129312356226869
SMALL665,0.1,M,D,0.7510321191418361,0.6592394453021317,0.7515019074074372,0.6600141304638022,-0.4010634138413188,-0.013595019563536481,-0.3725925162125605,0.04843484801198661
SMALL665,0.1,M,W,0.7538397770745826,0.6604363843619385,0.7543054022391341,0.6612092161317993,-0.25000086822035483,0.010135049106997585,-0.33072771215111696,0.032899231451903876
SMALL665,0.1,M,M,0.7596235235944884,0.6666608045430709,0.7600804772474885,0.6674238673334539,-0.030179856680072392,0.019170464167229118,-0.3173954272259104,-0.05474414989415066
SMALL665,0.1,M,Q,0.7525825129715,0.6611404116301245,0.7530500061149088,0.6619121494312408,-0.13287647039737405,-0.00014424769293375217,-0.36485524082541476,-0.1965634388208236
SMALL665,0.12,W,D,0.8442924641283898,0.7516814451195504,0.8443490760642856,0.7517807637325751,-0.28542247987134883,-0.008706467913552673,-0.37155904777237797,0.07796789023187234
SMALL665,0.12,W,W,0.8460782298081233,0.7526646807579702,0.8461342666780641,0.7527636738630563,-0.17013734420273297,0.012248924939114447,-0.3336246967663624,0.05745108597235482
SMALL665,0.12,W,M,0.847410503453357,0.7544611282796279,0.8474661100105768,0.7545595247765642,-0.020029552833319753,0.013876468682436305,-0.3160869613634199,-0.041141887406226596
SMALL665,0.12,W,Q,0.8359420510880795,0.7492539689400786,0.8360013265853062,0.7493540881854251,-0.16326158060268903,-0.004180573909469132,-0.3079630801309097,-0.1456050151628151
SMALL665,0.12,M,D,0.8440324869847826,0.7511705792242809,0.8443490760642853,0.7517807637325752,-0.26883733047033964,-0.0059911369877179155,-0.3516843657985632,0.06491205173261849
SMALL665,0.12,M,W,0.8457716652343774,0.7521340056335988,0.8460851064941108,0.752742245327048,-0.16668626677303955,0.013584809700243006,-0.3282032982681527,0.04367040433188074
SMALL665,0.12,M,M,0.8472719706768139,0.7545425731992434,0.8475826886503743,0.755145932448889,0.018222486540349636,0.019711497206381545,-0.2755525428963414,-0.03776415038336289
SMALL665,0.12,M,Q,0.8361046127853362,0.7495976676264806,0.8364354271163973,0.7502110181401335,-0.13480327305463824,-0.0016679671523240902,-0.2804680782455375,-0.1496601345078764
SMALL665,0.16,W,D,0.9397357591097157,0.8747755177341139,0.9397591200855562,0.8748292479829056,-0.08514850930291895,0.0025335789606037995,-0.3037627220171775,0.06718961729596384
SMALL665,0.16,W,W,0.93944906982416,0.8751810600662051,0.9394725378579067,0.8752346261135309,-0.028048830946578507,0.013516173710933166,-0.28403269925079794,0.07068186979329272
SMALL665,0.16,W,M,0.9436681582910154,0.8762417750418621,0.9436900465589803,0.8762949112177179,-0.015499347985025835,0.012222287783740238,-0.23327576625966884,-0.014389002062220935
SMALL665,0.16,W,Q,0.9445345029251329,0.8785744866941969,0.9445560657390666,0.8786266757311053,-0.1372995161497702,-0.0031945621528547408,-0.1994498496928528,-0.07412017309800789
SMALL665,0.16,M,D,0.9396289852730844,0.8744984943191607,0.9397591200855562,0.8748292479829056,-0.06497431482568161,0.004538351831639198,-0.2816025759269138,0.05692231093656619
SMALL665,0.16,M,W,0.9393072352572256,0.874883691965221,0.9394380401810616,0.8752134890742257,-0.013758387663836746,0.014593650842954276,-0.27389907202486036,0.06106851358474841
SMALL665,0.16,M,M,0.9437259918299183,0.8764393997974957,0.9438475714277118,0.8767653290768069,0.012890001918863025,0.017726381912457123,-0.19728367285499876,-0.01032256876332538
SMALL665,0.16,M,Q,0.9449852446316771,0.8788841240922949,0.9451041861712816,0.8792039607474075,-0.11324207746912207,-0.0012992050778578568,-0.17024220844991006,-0.07577222000933481
SMALL665,0.2,W,D,0.968206329799266,0.9377917649179262,0.9682188612771309,0.9378191306781434,-0.025512953384133064,0.006853028939769135,-0.16508618107917267,0.09111800344885146
SMALL665,0.2,W,W,0.9687381285101611,0.9385042845330114,0.9687504540558537,0.9385313434246145,-0.0052546630524473725,0.012051809416337544,-0.17274937472071977,0.07282962868922671
SMALL665,0.2,W,M,0.9718144691267545,0.9389146761260199,0.9718256010429788,0.9389415581755737,0.020186498986186074,0.013531744907532062,-0.17739504279869128,-0.022175821327917733
SMALL665,0.2,W,Q,0.9810878030639347,0.9392518782066213,0.9810953110652626,0.9392786149154949,-0.06778200859185413,0.0030629745526392638,-0.1574572439656976,-0.04010431600838249
SMALL665,0.2,M,D,0.9681491420097796,0.9376505753437843,0.9682188612771309,0.9378191306781434,-0.0033869222198735782,0.009929457282698673,-0.13953483323220572,0.08624513528003375
SMALL665,0.2,M,W,0.968659520057225,0.9383480130578303,0.9687281403276038,0.93851472299464,0.014561540020508579,0.013668587860943715,-0.15503324475435515,0.06713458622488155
SMALL665,0.2,M,M,0.9717108545442084,0.9390394327016052,0.9717728914465091,0.939204312200923,0.04359803774587767,0.015633321088350582,-0.14758395276525965,-0.019031677156030935
SMALL665,0.2,M,Q,0.9812488296294555,0.9394621117507023,0.9812901497123722,0.9396258717412405,-0.04500589288269685,0.004573258356350585,-0.12947039333477278,-0.0393817887166944
