panel,n,form,leg,rows,leg_pass,all3,mean_gross,med_MaxDD
SMALL484,15,NOM,DD,3000,19,0,0.5245013667890658,-0.28668009571479847
SMALL484,15,MATCH,H1,3000,28,0,0.7376403941971261,-0.43022713224637865
SMALL484,15,MATCH,H2,3000,161,0,0.7376403941971261,-0.43022713224637865
SMALL484,15,MATCH,DD,3000,0,0,0.7376403941971261,-0.43022713224637865
SMALL484,20,NOM,H1,3000,37,0,0.45144328335373307,-0.24590746916511025
SMALL484,20,NOM,H2,3000,105,0,0.45144328335373307,-0.24590746916511025
SMALL484,20,NOM,DD,3000,143,0,0.45144328335373307,-0.24590746916511025
SMALL484,20,MATCH,H1,3000,27,0,0.7372329805064355,-0.43264382640192833
SMALL484,20,MATCH,H2,3000,128,0,0.7372329805064355,-0.43264382640192833
SMALL484,20,MATCH,DD,3000,0,0,0.7372329805064355,-0.43264382640192833
SMALL484,30,NOM,H1,3000,34,0,0.34389709302325583,-0.181343638314806
SMALL484,30,NOM,H2,3000,80,0,0.34389709302325583,-0.181343638314806
SMALL484,30,NOM,DD,3000,699,0,0.34389709302325583,-0.181343638314806
SMALL484,30,MATCH,H1,3000,26,0,0.7365177189837949,-0.432393915732445
SMALL484,30,MATCH,H2,3000,120,0,0.7365177189837949,-0.432393915732445
SMALL484,30,MATCH,DD,3000,0,0,0.7365177189837949,-0.432393915732445
SMALL484,40,NOM,H1,3000,34,0,0.26611564412484695,-0.1388139718356732
SMALL484,40,NOM,H2,3000,72,0,0.26611564412484695,-0.1388139718356732
SMALL484,40,NOM,DD,3000,1263,0,0.26611564412484695,-0.1388139718356732
SMALL484,40,MATCH,H1,3000,24,0,0.7362004277614863,-0.43234191435472125
SMALL484,40,MATCH,H2,3000,117,0,0.7362004277614863,-0.43234191435472125
SMALL484,40,MATCH,DD,3000,0,0,0.7362004277614863,-0.43234191435472125
