claim_set,rule,form,rerun_units,edit_units,rerun_units_inscope,rungs_paid,mean_B,draws,hours,draws_inscope,hours_inscope
CS_RESAMPLE,R_ANY,CF_IDENTITY,852,222,202,1,1272.3920187793428,1084078.0,0.08845564985970655,195260.0,0.01593229471643766
CS_RESAMPLE,R_ANY,CF_LADDER4,852,222,202,4,1272.3920187793428,4336312.0,0.3538225994388262,781040.0,0.06372917886575064
CS_RESAMPLE,R_ANY,CF_LADDER11,852,222,202,11,1272.3920187793428,11924858.0,0.9730121484567721,2147860.0,0.17525524188081423
CS_RESAMPLE,R_UNION,CF_POINT,827,247,196,1,1250.2442563482466,1033952.0,0.08436560476620991,191134.0,0.015595632583896318
CS_RESAMPLE,R_UNION,CF_IDENTITY,827,247,196,1,1250.2442563482466,1033952.0,0.08436560476620991,191134.0,0.015595632583896318
CS_RESAMPLE,R_UNION,CF_LADDER4,827,247,196,4,1250.2442563482466,4135808.0,0.33746241906483965,764536.0,0.06238253033558527
CS_RESAMPLE,R_UNION,CF_LADDER11,827,247,196,11,1250.2442563482466,11373472.0,0.928021652428309,2102474.0,0.1715519584228595
CS_ALL,R_CONST,CF_POINT,6963,668,698,1,1274.3653597587247,8873406.0,0.7240280627399683,669906.0,0.05466116882264614
CS_ALL,R_CONST,CF_IDENTITY,6963,668,698,1,1274.3653597587247,8873406.0,0.7240280627399683,669906.0,0.05466116882264614
CS_ALL,R_CONST,CF_LADDER4,6963,668,698,4,1274.3653597587247,35493624.0,2.8961122509598733,2679624.0,0.21864467529058457
CS_ALL,R_CONST,CF_LADDER11,6963,668,698,11,1274.3653597587247,97607466.0,7.964308690139651,7368966.0,0.6012728570491075
CS_ALL,R_LADDER,CF_POINT,6864,767,641,1,1268.5614801864801,8707406.0,0.7104832459678252,627906.0,0.05123416698873043
CS_ALL,R_LADDER,CF_IDENTITY,6864,767,641,1,1268.5614801864801,8707406.0,0.7104832459678252,627906.0,0.05123416698873043
CS_ALL,R_LADDER,CF_LADDER4,6864,767,641,4,1268.5614801864801,34829624.0,2.8419329838713008,2511624.0,0.20493666795492171
CS_ALL,R_LADDER,CF_LADDER11,6864,767,641,11,1268.5614801864801,95781466.0,7.815315705646078,6906966.0,0.5635758368760347
CS_ALL,R_ANY,CF_POINT,6845,786,633,1,1269.3069393718042,8688406.0,0.7089329356143872,619906.0,0.050581404734651246
CS_ALL,R_ANY,CF_IDENTITY,6845,786,633,1,1269.3069393718042,8688406.0,0.7089329356143872,619906.0,0.050581404734651246
CS_ALL,R_ANY,CF_LADDER4,6845,786,633,4,1269.3069393718042,34753624.0,2.8357317424575488,2479624.0,0.20232561893860498
CS_ALL,R_ANY,CF_LADDER11,6845,786,633,11,1269.3069393718042,95572466.0,7.798262291758259,6818966.0,0.5563954520811637
CS_ALL,R_UNION,CF_POINT,6669,962,593,1,1269.229869545659,8464494.0,0.6906627728849648,602394.0,0.04915250816047191
CS_ALL,R_UNION,CF_IDENTITY,6669,962,593,1,1269.229869545659,8464494.0,0.6906627728849648,602394.0,0.04915250816047191
CS_ALL,R_UNION,CF_LADDER4,6669,962,593,4,1269.229869545659,33857976.0,2.762651091539859,2409576.0,0.19661003264188764
CS_ALL,R_UNION,CF_LADDER11,6669,962,593,11,1269.229869545659,93109434.0,7.597290501734614,6626334.0,0.5406775897651911
