panel,family,mode,theta,gross,turn_yr,window,CAGR,Sharpe,MaxDD,H1,H2,beta_FULL,beta_DOWN,beta_ROLL,beta_DDWIN,dd_ratio,leg_DDCAP,leg_CAGR,leg_H1,leg_H2,pass4b,pass4a
U56,TREND,AGG,0.4,0.5,1.1724618244467693,OOS,0.07768789009852584,1.202670278643757,-0.12186285103511396,1.3126297683178658,1.082577518874002,0.27101767928897874,0.26745402506696925,0.2909320242267691,,0.36142564127320664,True,False,True,True,False,False
U56,TREND,AGG,0.4,0.75,1.739414070376688,FULL,0.10135172972669682,1.0748957167818003,-0.17986596832459212,1.0420313425716183,1.107501812163576,0.4070679670478446,0.3891800791205231,0.5476377940809989,,0.5334535700810928,True,False,True,True,False,False
U56,TREND,AGG,0.4,0.75,1.739414070376688,IS,0.0824805236749564,0.9139360668478884,-0.16750161862557478,0.7133734938043929,1.2007453700155328,0.4063734631843519,0.3681810184598521,0.5466732357099489,0.3173490487686321,0.7592278377028742,False,False,False,True,False,False
U56,TREND,AGG,0.4,0.75,1.739414070376688,OOS,0.11713996207145594,1.2013629167546511,-0.17986596832459212,1.3097327658062472,1.082949281865715,0.40757111220603487,0.40254540952723344,0.4364139821318921,,0.5334535700810932,True,True,True,True,True,False
U56,TREND,AGG,0.4,1.0,2.3186530133865912,FULL,0.1352501952396321,1.0743474956602714,-0.23592914966897494,1.042533494378079,1.1060764584837384,0.5437780875844986,0.5201613057314008,0.7302381058056068,,0.6997279604888067,False,True,True,True,False,False
U56,TREND,AGG,0.4,1.0,2.3186530133865912,IS,0.10953250544373216,0.9145105029134015,-0.21823703876338296,0.7141278683725425,1.2012030201624744,0.5422172330910981,0.4911573201309123,0.7290576769983795,0.4244081480515822,0.9891942323099626,False,True,False,True,False,False
U56,TREND,AGG,0.4,1.0,2.3186530133865912,OOS,0.156877098453448,1.1997646153154855,-0.23592914966897494,1.3064840056518303,1.0831084019356914,0.5449156471864025,0.5386217837365376,0.5820977736425008,,0.6997279604888071,False,True,True,True,False,False
U56,TREND,AGG,0.6,0.25,0.5930562841887762,FULL,0.029453853215033243,1.0669507639099787,-0.061910078528504275,1.2022429033146613,0.9575243074255289,0.10415338700688165,0.09350815897211093,0.13532898666572113,,0.18361534826550022,True,False,True,True,False,False
U56,TREND,AGG,0.6,0.25,0.5930562841887762,IS,0.027630859678363873,1.0590895961662592,-0.030016891210959407,0.9290400881129973,1.2308326094009197,0.09694231794660454,0.0741066911021053,0.13020843298411425,0.04002161629949816,0.13605635333949845,True,False,True,True,False,False
U56,TREND,AGG,0.6,0.25,0.5930562841887762,OOS,0.030957614121876587,1.0748339681012342,-0.061910078528504386,1.2217849205240323,0.9049359358054787,0.10945381266127881,0.10587368030793826,0.11523157236561174,,0.1836153482655007,True,False,True,True,False,False
U56,TREND,AGG,0.6,0.5,1.1666824426656728,FULL,0.0590203661004185,1.0664662385873085,-0.12186285103511396,1.2031465107005177,0.9563029092362001,0.2086970104812312,0.18755798159631296,0.2706061423629745,,0.3614256412732064,True,False,True,True,False,False
U56,TREND,AGG,0.6,0.5,1.1666824426656728,IS,0.05535836495056845,1.0599752988213555,-0.05971255879168058,0.9291457114158275,1.2327080860396942,0.1939274711344164,0.14830197706814763,0.26063085715579226,0.08019797150283932,0.27065670927308527,True,False,True,True,False,False
U56,TREND,AGG,0.6,0.5,1.1666824426656728,OOS,0.06204575971575954,1.073413952329942,-0.12186285103511396,1.2188480642407262,0.905366479997008,0.2195532469333657,0.21257764999189407,0.23076648822475027,,0.36142564127320664,True,False,True,True,False,False
U56,TREND,AGG,0.6,0.75,1.7340714371807369,FULL,0.0886436073100898,1.0657629185377149,-0.17986596832459223,1.2038808518232327,0.954866058144071,0.3136690578427681,0.28218185531135614,0.4061617072164579,,0.5334535700810932,True,False,True,True,False,False
U56,TREND,AGG,0.6,0.75,1.7340714371807369,IS,0.08313648794624484,1.0606951976199717,-0.08908863439497117,0.929085615545897,1.2344199601824402,0.2909599861638964,0.2225894843686308,0.3912740154577219,0.16604612397863097,0.4038084635276984,True,False,True,True,False,False
U56,TREND,AGG,0.6,0.75,1.7340714371807369,OOS,0.09320003422301437,1.0717501381055927,-0.17986596832459234,1.2156086896606744,0.9056395328489373,0.3303612330356059,0.32016261999350776,0.34661399787513525,,0.5334535700810938,True,False,True,True,False,False
U56,TREND,AGG,0.6,1.0,2.3117125437898434,FULL,0.11826033049867846,1.064807110182881,-0.23592914966897494,1.2044149124550416,0.9531841724486467,0.4191120042967013,0.3774137705832275,0.5412973301173893,,0.6997279604888067,False,True,True,True,False,False
U56,TREND,AGG,0.6,1.0,2.3117125437898434,IS,0.1109125966070661,1.061216202685765,-0.11855753275000824,0.9288305200604731,1.235929361904161,0.3880439487237213,0.296971833640361,0.5221451469976344,0.2216293536650789,0.5373809517291019,True,True,True,True,True,False
U56,TREND,AGG,0.6,1.0,2.3117125437898434,OOS,0.1243480614676804,1.0698108536374085,-0.2359291496689745,1.2120299987021566,0.9057332837592902,0.44194846450927483,0.4286825653265649,0.46278250405949556,,0.6997279604888058,False,True,True,True,False,False
U56,TREND,HYB,0.2,0.25,0.6177836665841892,FULL,0.028510954060108507,1.2034095831460012,-0.040991620882530944,1.223666465455188,1.1883969960746452,0.10316662708886584,0.09562388702999297,0.13732781982533754,,0.1215745630309268,True,False,True,True,False,False
U56,TREND,HYB,0.2,0.25,0.6177836665841892,IS,0.025053673698939072,1.0952184761636774,-0.02660753815103878,0.9035733880576244,1.3447357769807795,0.10161762587612351,0.09001919320601216,0.13724199112838575,0.06312480091119933,0.12060291609579413,True,False,True,True,False,False
U56,TREND,HYB,0.2,0.25,0.6177836665841892,OOS,0.03136696378147419,1.2881905436337606,-0.04099162088253083,1.417633419800356,1.1463861861278501,0.1043039523991561,0.0991956748165857,0.11276950905871969,,0.12157456303092655,True,False,True,True,False,True
U56,TREND,HYB,0.2,0.5,1.2179292607722307,FULL,0.05727168421132767,1.2035031033425223,-0.08117568893512106,1.2244390297784296,1.1879295974507038,0.20647553568215898,0.19145726192164533,0.2746915174066333,,0.24075405408590536,True,False,True,True,False,False
U56,TREND,HYB,0.2,0.5,1.2179292607722307,IS,0.050224916923643725,1.0959257396876774,-0.05290013125112958,0.9033660075290663,1.34658260356144,0.20327624215114207,0.18008471722388028,0.27447843861083354,0.12631547645878172,0.23977829344904653,True,False,True,True,False,False
