panel,family,cost,split,n_rungs,n_FULL,n_IS,n_IS4,full_nonempty,is_nonempty,is4_nonempty,ex_post_only,ex_post_only4,n_both,jaccard,IS_contains_FULL,FULL_contains_IS,full_band,is_band
B136,VOLTGT,50,2016-12-31,50,33,5,5,True,True,True,False,False,5,0.15151515151515152,False,True,t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.00; t=0.16|h=0.01; t=0.16|h=0.02; t=0.16|h=0.03; t=0.16|h=0.05; t=0.16|h=0.08; t=0.16|h=0.12; t=0.16|h=0.16; t=0.16|h=0.20; t=0.16|h=0.25; t=0.20|h=0.00; t=0.20|h=0.01; t=0.20|h=0.02; t=0.20|h=0.03; t=0.20|h=0.05; t=0.20|h=0.12; t=0.20|h=0.16,t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.16; t=0.12|h=0.20; t=0.16|h=0.25
B136,VOLTGT,50,2018-12-31,50,33,11,11,True,True,True,False,False,7,0.1891891891891892,False,False,t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.00; t=0.16|h=0.01; t=0.16|h=0.02; t=0.16|h=0.03; t=0.16|h=0.05; t=0.16|h=0.08; t=0.16|h=0.12; t=0.16|h=0.16; t=0.16|h=0.20; t=0.16|h=0.25; t=0.20|h=0.00; t=0.20|h=0.01; t=0.20|h=0.02; t=0.20|h=0.03; t=0.20|h=0.05; t=0.20|h=0.12; t=0.20|h=0.16,t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.20
SMALL665,BAND,10,2016-12-31,28,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,BAND,10,2018-12-31,28,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,BAND,25,2016-12-31,28,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,BAND,25,2018-12-31,28,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,BAND,50,2016-12-31,28,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,BAND,50,2018-12-31,28,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,VOLTGT,10,2016-12-31,50,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,VOLTGT,10,2018-12-31,50,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,VOLTGT,25,2016-12-31,50,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,VOLTGT,25,2018-12-31,50,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,VOLTGT,50,2016-12-31,50,0,0,0,False,False,False,False,False,0,,False,False,,
SMALL665,VOLTGT,50,2018-12-31,50,0,0,0,False,False,False,False,False,0,,False,False,,
U56,BAND,10,2016-12-31,28,7,2,2,True,True,True,False,False,2,0.2857142857142857,False,True,c=0.00|G=1.00; c=0.01|G=1.00; c=0.02|G=1.00; c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=1.00; c=0.12|G=1.00,c=0.08|G=1.00; c=0.12|G=1.00
U56,BAND,10,2018-12-31,28,7,6,6,True,True,True,False,False,6,0.8571428571428571,False,True,c=0.00|G=1.00; c=0.01|G=1.00; c=0.02|G=1.00; c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=1.00; c=0.12|G=1.00,c=0.01|G=1.00; c=0.02|G=1.00; c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=1.00; c=0.12|G=1.00
U56,BAND,25,2016-12-31,28,6,0,0,True,False,False,True,True,0,0.0,False,False,c=0.01|G=1.00; c=0.02|G=1.00; c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=1.00; c=0.12|G=1.00,
U56,BAND,25,2018-12-31,28,6,3,3,True,True,True,False,False,3,0.5,False,True,c=0.01|G=1.00; c=0.02|G=1.00; c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=1.00; c=0.12|G=1.00,c=0.03|G=1.00; c=0.08|G=1.00; c=0.12|G=1.00
U56,BAND,50,2016-12-31,28,2,0,0,True,False,False,True,True,0,0.0,False,False,c=0.08|G=1.00; c=0.12|G=1.00,
U56,BAND,50,2018-12-31,28,2,2,2,True,True,True,False,False,2,1.0,True,True,c=0.08|G=1.00; c=0.12|G=1.00,c=0.08|G=1.00; c=0.12|G=1.00
U56,VOLTGT,10,2016-12-31,50,35,21,21,True,True,True,False,False,20,0.5555555555555556,False,False,t=0.08|h=0.12; t=0.08|h=0.25; t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.00; t=0.16|h=0.01; t=0.16|h=0.02; t=0.16|h=0.03; t=0.16|h=0.05; t=0.16|h=0.08; t=0.16|h=0.12; t=0.16|h=0.16; t=0.20|h=0.00; t=0.20|h=0.01; t=0.20|h=0.05; t=0.20|h=0.16; t=0.20|h=0.20,t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.25
U56,VOLTGT,10,2018-12-31,50,35,21,21,True,True,True,False,False,19,0.5135135135135135,False,False,t=0.08|h=0.12; t=0.08|h=0.25; t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.00; t=0.16|h=0.01; t=0.16|h=0.02; t=0.16|h=0.03; t=0.16|h=0.05; t=0.16|h=0.08; t=0.16|h=0.12; t=0.16|h=0.16; t=0.20|h=0.00; t=0.20|h=0.01; t=0.20|h=0.05; t=0.20|h=0.16; t=0.20|h=0.20,t=0.08|h=0.08; t=0.08|h=0.12; t=0.08|h=0.16; t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16
U56,VOLTGT,25,2016-12-31,50,29,11,11,True,True,True,False,False,10,0.3333333333333333,False,False,t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.00; t=0.16|h=0.01; t=0.16|h=0.02; t=0.16|h=0.03; t=0.16|h=0.05; t=0.16|h=0.08; t=0.16|h=0.12; t=0.16|h=0.16; t=0.20|h=0.20,t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.05; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.25
U56,VOLTGT,25,2018-12-31,50,29,13,13,True,True,True,False,False,13,0.4482758620689655,False,True,t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.00; t=0.16|h=0.01; t=0.16|h=0.02; t=0.16|h=0.03; t=0.16|h=0.05; t=0.16|h=0.08; t=0.16|h=0.12; t=0.16|h=0.16; t=0.20|h=0.20,t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.05; t=0.12|h=0.12; t=0.12|h=0.16
U56,VOLTGT,50,2016-12-31,50,19,5,5,True,True,True,False,False,4,0.2,False,False,t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.08; t=0.16|h=0.12; t=0.20|h=0.20,t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.25
U56,VOLTGT,50,2018-12-31,50,19,8,8,True,True,True,False,False,8,0.42105263157894735,False,True,t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.08; t=0.16|h=0.12; t=0.20|h=0.20,t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.12; t=0.12|h=0.16
