panel,band,gross,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,turnover_yr,mean_r,Ebar,ubar,cov,mean_c,exposure_leg,timing_leg,cost_leg,ann_mean,breadth,realised_breadth
U56,0.03,0.75,0.08613208348721213,1.199806892667932,-0.12054945176473186,1.2348551724631611,1.1718361428616706,0.07609419114593785,1.1042568982946719,-0.07887447581713658,0.09447597045404721,1.274666072828785,-0.12054945176473164,1.4038182080757842,1.1332562198847367,1.7745436785353772,0.0003379351641164862,0.5327722981318118,0.0006604481425683598,-6.8914706023572055e-06,7.041839994188004e-06,0.08867085562768395,-0.0017366505917940159,-0.0017745436785353771,0.08515966135735453,0.5327722981318118,0.7103630641757491
U56,0.03,0.85,0.09775645723349125,1.1997536045809438,-0.13607142063815636,1.2350840306460458,1.1715551103794528,0.08630270132876938,1.1044628920428943,-0.0891727252830603,0.10728772135276299,1.2744020411265728,-0.13607142063815636,1.4030095567945953,1.133578723197795,2.0054487638577028,0.0003830513487432819,0.6037447346553254,0.0006604481425683598,-7.732609829946643e-06,7.958130015308346e-06,0.10048300632431131,-0.0019486176771465543,-0.002005448763857703,0.09652893988330703,0.6037447346553254,0.7102879231239123
U56,0.03,1.0,0.11523943200801301,1.1996276726447268,-0.15910990855024076,1.2353834127141374,1.1710868450157044,0.10162942839526656,1.1047287296204842,-0.10452268834000311,0.1265835231142587,1.2739575885086263,-0.15910990855024054,1.4017410180325858,1.134022482722777,2.3532700872719805,0.00045073861821663745,0.710177141830891,0.0006604481425683598,-8.9581826378909e-06,9.338373362190397e-06,0.11819686390261308,-0.0022574620247485066,-0.00235327008727198,0.11358613179059264,0.710177141830891,0.710177141830891
U56,0.05,0.5,0.05512190703536879,1.1436569132626802,-0.08466592472893453,1.194740849961317,1.10223959117939,0.04898846932646639,1.0617659986754,-0.052051620390985764,0.06020422200266973,1.2076090535122996,-0.08466592472893453,1.3269530933104063,1.0768022429698103,0.9579170628754321,0.00021750718413630554,0.34300511889146323,0.0006817791259965318,-1.2545287847839127e-05,3.8012581860136195e-06,0.05893114000287989,-0.0031614125376554602,-0.0009579170628754322,0.054811810402349,0.34300511889146323,0.6860102377829265
U56,0.05,0.6,0.06622532101423095,1.1436760012585359,-0.10117519268978648,1.195066671223634,1.1020183674025246,0.05882161383775397,1.062070968098396,-0.06230959858092089,0.07236658259104511,1.2074014690164656,-0.10117519268978648,1.3262832817890244,1.0770933004118508,1.1419590248505045,0.0002610703012770326,0.41156147786477904,0.0006817791259965318,-1.4992139963511025e-05,4.531583431946446e-06,0.07070969421746748,-0.003778019270804778,-0.0011419590248505046,0.06578971592181221,0.41156147786477904,0.6859357964412984
U56,0.05,0.75,0.08291884950762385,1.1436645132692564,-0.12567305561354014,1.195516399955811,1.1016470091598982,0.07358391987894097,1.0624907023341437,-0.07760063795205385,0.0906739690270324,1.2070480480620316,-0.12567305561354025,1.3252263741951913,1.0774996878578047,1.415822656456353,0.00032644593400496617,0.5143695491411929,0.0006817791259965318,-1.8622143772919672e-05,5.618343874826798e-06,0.08837297825648358,-0.004692780230775758,-0.001415822656456353,0.08226437536925148,0.5143695491411929,0.6858260655215905
U56,0.05,0.85,0.09406979286735528,1.1436290787294068,-0.1418273757815991,1.1957888145129785,1.101372430920075,0.08343059210420889,1.0627435589906993,-0.08773074123432101,0.10291744037684625,1.206783982677826,-0.1418273757815991,1.3244860878785636,1.0777506357515612,1.5977891671950644,0.00037004770721122516,0.5828910704430709,0.0006817791259965319,-2.1014824143479524e-05,6.340433203155018e-06,0.10014554706858067,-0.00529573568415684,-0.0015977891671950645,0.09325202221722874,0.5828910704430709,0.6857542005212599
U56,0.05,1.0,0.1108221624755259,1.1435295379426234,-0.16579202432646467,1.1961544256042247,1.100912830417038,0.09820257196643412,1.0630806876941532,-0.10282977966235285,0.12133255412173494,1.2063381795865937,-0.16579202432646445,1.3233188092620083,1.0780858821792938,1.8716852040539194,0.0004354713948232394,0.6856483394681506,0.0006817791259965318,-2.456200856202046e-05,7.427322238309205e-06,0.11780010285713939,-0.0061896261576291555,-0.0018716852040539197,0.10973879149545633,0.6856483394681506,0.6856483394681506
U56,0.08,0.5,0.0565215757192048,1.1446648023938177,-0.09763782626136197,1.2426753291923605,1.0637837355200157,0.05280100566161927,1.1217320135736422,-0.05681331827197178,0.0595980639204039,1.1635410070089536,-0.09763782626136219,1.2459506810426668,1.0745938299489999,0.765635099616649,0.00022299473197625284,0.33878033423475085,0.0007010139461347723,-1.1456772476218632e-05,3.0382345222882894e-06,0.059847414221639465,-0.0028871066640070954,-0.0007656350996166489,0.05619467245801572,0.33878033423475085,0.6775606684695017
U56,0.08,0.6,0.06791204554782371,1.1445627094247084,-0.11659364596926569,1.2429207317787916,1.063458315642121,0.06342894370913599,1.121950043182327,-0.06800316109757043,0.07162135743010034,1.1632066017085432,-0.1165936459692658,1.245087687055244,1.074885502672658,0.9107733829247363,0.0002676726292521573,0.40649100598802046,0.0007010139461347724,-1.3669054832827078e-05,3.6141800909711763e-06,0.07180887777234082,-0.0034446018178724237,-0.0009107733829247364,0.06745350257154364,0.40649100598802046,0.6774850099800341
U56,0.08,0.75,0.08504008749054837,1.1443663826160282,-0.14466921722484838,1.243248977504814,1.062929054695462,0.07940306592814572,1.122238493148958,-0.08467848193791039,0.08970841454328005,1.162659523421502,-0.14466921722484827,1.2437347174130338,1.0752964032561754,1.1259093499520043,0.0003347334780860856,0.5080301620660985,0.0007010139461347724,-1.6934856333516776e-05,4.467894245841286e-06,0.0897463296236918,-0.004267583796046227,-0.001125909349952004,0.08435283647769358,0.5080301620660985,0.6773735494214647
U56,0.08,0.85,0.09648308933524641,1.144204914259626,-0.16314741101519914,1.2434395674853975,1.0625470101534993,0.09007051781068909,1.122403242681062,-0.0957223679219239,0.10179687337933929,1.162262762717635,-0.16314741101519936,1.2427920501953142,1.0755510035618565,1.2685005577120316,0.0003794680081004227,0.575705507752035,0.0007010139461347723,-1.907584932848095e-05,5.033732371873141e-06,0.10170155262979576,-0.0048071140307772,-0.0012685005577120314,0.09562593804130652,0.575705507752035,0.6773005973553353
