legset,wstart,cost,kind,panel,book,gross,cadence,binding,rec_h1,rec_h2,disj_h1,disj_h2,spy_h1,spy_h2
REC5,2012-01-01,0.0,DESTROYED,U56,TOP5,0.65,W,L_H1,1.0101125770072161,1.0918375098571689,1.3449521395812358,1.1850148198270851,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,TOP10,0.5,M,L_H1,1.255783501077386,1.09525343819496,1.4595553972071795,1.3050268520089505,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,TOP10,0.65,W,L_H1,1.0228201966377306,1.0322786519324245,1.2115666159143577,1.265741016582313,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,TOP10,0.75,W,L_H1,1.0233153734422344,1.0328675905828564,1.2130583564517927,1.2659188926136706,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,TOP20,0.65,W,L_H1,1.1834378220121387,1.169277707108451,1.5824070675519482,1.0264428625926871,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.2529232086067303,1.2319688905026052,1.5286904414296654,0.9831862650386508,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,TOP20,0.75,W,L_H1,1.1833851063627507,1.1693528754467222,1.583511674853318,1.025964227212776,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.2542053249887695,1.2327561691439006,1.53001956058898,0.9838910174254846,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,EWELIG,0.75,W,L_H1,1.1554516478548738,1.1060768862325356,1.735957402879096,0.7608728764508945,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,EWELIG,0.75,M,L_H1,1.1797214121402322,1.1716145653350483,1.7202442307744348,0.7312430224224287,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,BAND03,1.0,W,L_H1,1.2578040616370463,1.2000238339692015,1.7491002583510005,0.7818683568901054,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,U56,BAND03,1.0,M,L_H1,1.235527009056482,1.151673645154306,1.682260006445452,0.8716863988924737,1.8067534942921046,0.567150494209081
REC5,2012-01-01,0.0,DESTROYED,B136,TOP5,0.5,W,L_H1,1.1505375767222363,0.8389338711329086,1.5623266794584758,0.9443238887923133,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,0.0,DESTROYED,B136,TOP5,0.65,W,L_H1,1.1515538653449802,0.8430182971179513,1.5644903499914113,0.9445976221249506,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,0.0,DESTROYED,B136,TOP10,0.5,M,L_H1,1.3271311318592616,0.9531382840288668,1.7807703347169428,1.3179327559757503,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,0.0,DESTROYED,B136,TOP20,0.65,W,L_H1,1.241739177924328,0.8925619097821367,1.6990922390381766,0.9841593062549843,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,0.0,DESTROYED,B136,TOP20,0.75,W,L_H1,1.2425938894503068,0.8931763354729311,1.700814865927208,0.9846606831061048,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,0.0,DESTROYED,B136,BAND03,1.0,W,L_H1,1.2613526952994583,0.9945907478508338,1.763966107290399,0.7092625160801397,1.8068237869507007,0.5671795096429402
