file,SEP_n,JC_n,d_OOS_Sharpe
2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud.grid.csv,29,17,0.06699029069500195
2026-09-05_quote-the-lift-not-the-rate_cloud.grid.csv,29,17,0.06699029069500195
2026-09-05_cagr-floor-calibration_B.grid.csv,29,17,0.06699029069500195
2026-09-05_is-Calmar-immunity-general_C.grid.csv,29,17,0.06699029069500195
2026-09-05_weak-dominance-bands-as-the-calibration-output_C.grid.csv,29,17,0.06699029069500195
2026-09-05_crisis-depth-as-the-price-denominator_B.grid.csv,29,17,0.0669902906950024
2026-09-05_price-list-tier-bar_B.grid.csv,29,17,0.0669902906950024
2026-09-04_drawdown-insurance-price-list_B.grid.csv,29,17,0.0669902906950024
2026-09-04_earnings-season-avoidance_cloud.grid.csv,35,11,0.07254727116670923
2026-09-06_does-the-banded-slow-filter-survive-on-the-large-cap-panels_cloud.grid.csv,29,25,0.07652421799182063
2026-09-06_ew-band3-at-085-does-not-hold-on-broad_cloud.grid.csv,578,1021,0.07718422673875014
2026-09-07_position-count-broad-confirm_B.grid.csv,11,5,0.08599104442979222
2026-09-05_sleeve-with-a-real-diversifier_B.grid.csv,14,23,0.08633188980510043
2026-09-05_sleeve-with-a-real-diversifier_cloud.grid.csv,14,23,0.08633188980510043
2026-09-07_retire-the-linear-blend-normalisation-record-wide_C.grid.csv,137,167,0.09365660294691391
2026-09-07_is-the-SLEEVE-S-OWN-SHARPE-the-real-design-variable_cloud.grid.csv,137,167,0.09365660294691391
2026-09-07_correlation-as-the-sleeve-design-variable_cloud.grid.csv,80,126,0.09382700854108328
2026-09-07_does-CONDITIONAL-correlation-beat-unconditional_cloud.grid.csv,80,126,0.09382700854108328
2026-09-07_correlation-as-the-sleeve-design-variable_B.grid.csv,227,368,0.101155184520763
