panel,book,is_sharpe,is_beta,is_dd_all,is_quiet_dd_q040
SMALL,"('MOMVS', 10, 0.75)",1.4033197641955948,0.3476683727313428,-0.11895627311990453,-0.06496784520171883
SMALL,"('MOMVS', 10, 1.0)",1.406271927823296,0.4636736431695931,-0.15782151534613564,-0.0853091613631799
SMALL,"('MOMVS', 20, 0.25)",1.1421322415406665,0.1399902527123323,-0.03524263524325688,-0.014007040384525715
SMALL,"('MOMVS', 20, 0.5)",1.145018058267559,0.2804746031328789,-0.06975361734480356,-0.027559254406552047
SMALL,"('MOMVS', 20, 0.75)",1.1478722889419801,0.4214989342992672,-0.10354560868654561,-0.04068226222333893
SMALL,"('MOMVS', 20, 1.0)",1.1506943770401805,0.5631104444879552,-0.13663040804993964,-0.05340020780594201
SMALL,"('MOMVS', 40, 0.25)",1.1121371807056448,0.16811755608440576,-0.038817559580303085,-0.01165273345493778
SMALL,"('MOMVS', 40, 0.5)",1.1137648574149508,0.3372622049937538,-0.07674154808723965,-0.023109065341643475
SMALL,"('MOMVS', 40, 0.75)",1.115402770441814,0.5075190209044966,-0.11379817318055274,-0.03437384679654831
SMALL,"('MOMVS', 40, 1.0)",1.117057576339474,0.6789783944140575,-0.15001272786472664,-0.04545174401691643
SMALL,"('MOMVS', 'ALL', 0.25)",0.9464365448409516,0.19854069204305916,-0.04657296451978776,-0.008415767562902743
SMALL,"('MOMVS', 'ALL', 0.5)",0.9484123640025468,0.3988418652664174,-0.09145888557840154,-0.016654931640298964
SMALL,"('MOMVS', 'ALL', 0.75)",0.9504568994069846,0.6010486466985637,-0.1347040928773604,-0.02472484986682888
SMALL,"('MOMVS', 'ALL', 1.0)",0.9525739454978093,0.805319767301677,-0.17635377862989976,-0.032632486923531046
SMALL,"('MADIST', 5, 0.25)",0.35103406427544503,0.27029118790600437,-0.09792970065699436,-0.031173577194976154
SMALL,"('MADIST', 5, 0.5)",0.3563308393739191,0.5428283256676317,-0.18919033422777864,-0.06186474285087651
SMALL,"('MADIST', 5, 0.75)",0.36142179576429945,0.8180835726391005,-0.2740860649921376,-0.09207886288813871
SMALL,"('MADIST', 5, 1.0)",0.36634905006049756,1.096562016216085,-0.35291011408596484,-0.12182116798506493
SMALL,"('MADIST', 10, 0.25)",0.7024062278049515,0.27086668456949264,-0.07424458043572035,-0.018714363315950333
SMALL,"('MADIST', 10, 0.5)",0.7039996592822663,0.54459453913112,-0.14409017444758976,-0.03717608242694592
SMALL,"('MADIST', 10, 0.75)",0.7055873974672168,0.8216347629204328,-0.20979793085765508,-0.055400378468786426
SMALL,"('MADIST', 10, 1.0)",0.707196418665321,1.1024904493588943,-0.2716028936903553,-0.07339953944858135
SMALL,"('MADIST', 20, 0.25)",0.6022253669461256,0.2669052644254642,-0.07954914846332184,-0.013730171403537494
SMALL,"('MADIST', 20, 0.5)",0.6071270742153673,0.5371141623905306,-0.15432886353041364,-0.02727799964063027
SMALL,"('MADIST', 20, 0.75)",0.6121249104984349,0.8110435892785626,-0.22542508986819165,-0.04065137532703467
SMALL,"('MADIST', 20, 1.0)",0.6172614571796422,1.08916889863002,-0.29277736504496044,-0.053857650210699104
SMALL,"('MADIST', 40, 0.25)",0.5591504188090002,0.24166662280830883,-0.05405562445497569,-0.011919208926045588
SMALL,"('MADIST', 40, 0.5)",0.5639527587062735,0.4860433095598893,-0.10663390251669924,-0.023726416712354648
SMALL,"('MADIST', 40, 0.75)",0.5689107237617222,0.7334020958506718,-0.157793130624577,-0.03542718065252071
SMALL,"('MADIST', 40, 1.0)",0.5740570717471448,0.9840473954684584,-0.20758857801869035,-0.0470256070905678
SMALL,"('MADIST', 'ALL', 0.25)",0.9176195479371768,0.20005522198982714,-0.04638657760133802,-0.008414102628577114
SMALL,"('MADIST', 'ALL', 0.5)",0.9200487799844924,0.4018601015449926,-0.0910986431397548,-0.016651915383459004
SMALL,"('MADIST', 'ALL', 0.75)",0.9225507812832515,0.6055600888507588,-0.13418256961917063,-0.024720788491353063
SMALL,"('MADIST', 'ALL', 1.0)",0.925129430865493,0.811314206349134,-0.17568338436530706,-0.03262769853531433
SMALL,"('LOWVOL', 5, 0.25)",1.357800485784472,0.04107248841791451,-0.02032583211958605,-0.017267800469823902
SMALL,"('LOWVOL', 5, 0.5)",1.3637632782192066,0.08215891881853368,-0.039291519425681876,-0.03351255798038966
SMALL,"('LOWVOL', 5, 0.75)",1.3694078096171443,0.12326220534004387,-0.057139514067638064,-0.04882577145364797
SMALL,"('LOWVOL', 5, 1.0)",1.3747442351740236,0.16438605143152207,-0.07568671873772737,-0.06328834856389187
SMALL,"('LOWVOL', 10, 0.25)",1.780469898953331,0.05459646904001438,-0.017837897482189113,-0.00620261651585885
SMALL,"('LOWVOL', 10, 0.5)",1.7810582928752379,0.10920015007295372,-0.035425996353048106,-0.0122217908111113
SMALL,"('LOWVOL', 10, 0.75)",1.781577785706616,0.16381574042324212,-0.05276722372455611,-0.018065568293177625
SMALL,"('LOWVOL', 10, 1.0)",1.782030878427787,0.21844815841762444,-0.06986482774519509,-0.02374152925613937
SMALL,"('LOWVOL', 20, 0.25)",1.7423508714764726,0.08525717049872074,-0.02670072405716528,-0.0087420533873519
SMALL,"('LOWVOL', 20, 0.5)",1.7431403727991974,0.17068781808716216,-0.0529616470692057,-0.017322544170209397
SMALL,"('LOWVOL', 20, 0.75)",1.7438664849323178,0.25630545245022396,-0.07878755806369975,-0.025745914092642597
