book,panel,set,seq_REC_FULL,seq_WIN,n_REC_FULL,n_WIN,ddslack_WIN_range,OOS_MaxDD_range
B136-qroll-q0.17-w1008-d0.50,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDD....,16,12,0.04614112356824113,0.04362410391787619
B136-qroll-q0.17-w1008-d1.00,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDD...,16,13,0.05416317078454767,0.03560205670156957
B136-qroll-q0.17-w252-d0.50,B136,GRID,DDDDDDDDDDDDDDDD,DDDD........DDDD,16,8,0.0418229434136449,0.0818138336073233
B136-qroll-q0.17-w252-d1.00,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.055637326231048986,0.03412790125506804
B136-qroll-q0.17-w504-d0.50,B136,GRID,DDDDDDDDDDDDDDDD,DDDD........DDDD,16,8,0.03574338587820983,0.0693085290820834
B136-qroll-q0.17-w504-d1.00,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.05595732990095369,0.03380789758516367
U56-band0.03-g0.50,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.05723108839216147,0.03254108264193967
U56-band0.03-g0.75,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.041464361760588445,0.04830780927351308
U56-band0.03-g1.00,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.034447048414829415,0.06372355524078444
U56-band0.08-g0.50,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.052351885308467364,0.03742028572563372
U56-band0.08-g0.75,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.03444704841482897,0.055394494141479456
U56-band0.08-g1.00,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDD...,16,13,0.034447048414829054,0.07285693119333947
U56-qroll-q0.12-w1008-d0.50,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDD...,16,13,0.05874298797405687,0.03102918306004432
U56-qroll-q0.12-w1008-d1.00,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDD....,16,12,0.08977217103410015,7.771561172376096e-16
U56-qroll-q0.12-w252-d0.50,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.03701341567638175,0.06062175283203697
U56-qroll-q0.12-w252-d1.00,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.08053783176118058,0.03239298258316414
U56-qroll-q0.12-w504-d0.50,U56,GRID,....DDDDDDDDDDDD,....DDDDDDDDDDDD,12,12,0.02516147471935755,0.11493364575345721
U56-qroll-q0.12-w504-d1.00,U56,GRID,....DDDDDDDDDDDD,....DDDDDDDDDDDD,12,12,0.04589857297429292,0.12049344992599698
U56-qroll-q0.17-w1008-d0.50,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDD...,16,13,0.05874298797405665,0.031029183060044097
U56-qroll-q0.17-w1008-d1.00,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDD...,16,13,0.07968545429734154,0.010086716736759205
U56-qroll-q0.17-w252-d0.50,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.04426152472743397,0.06762667570232872
U56-qroll-q0.17-w252-d1.00,U56,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.0608464501300713,0.02960111647282937
U56-qroll-q0.17-w504-d0.50,U56,GRID,....DDDDDDDDDDDD,....DDDDDDDDDDDD,12,12,0.036776639563699504,0.12007765313172092
U56-qroll-q0.17-w504-d1.00,U56,GRID,....DDDDDDDDDDDD,....DDDDDDDDDDDD,12,12,0.059726107064095896,0.13432098401580017
b136-qroll-q012-w1008-d050-g100,B136,SHELF,DDDDDDDDDDDDDDDD,DDDDDDDDDDDD....,16,12,0.050269261349662975,0.03949596613645412
b136-r620-gross065-W,B136,SHELF,DDDDDDDDDDDDDDDD,DDDDDDDDDDDD....,16,12,0.03444941820706594,0.05747637870723932
u56-band008-gross100,U56,SHELF,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDD...,16,13,0.034447048414829054,0.07285693119333947
u56-k8-qroll-q017-w1008-d100-g100,U56,SHELF,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDD...,16,13,0.07968545429734154,0.010086716736759205
u56-marsrespread-gross075,U56,SHELF,DDDDDDDDDDDDDDDD,DDDD.........DDD,16,7,0.02768636774324354,0.07635137395604785
u56-quantile50-respread-M,U56,SHELF,DDDDDDDDDDDDDDDD,DDDDDDDDDDDD....,16,12,0.034447048414827694,0.06363995859026939
u56-top20-band-m20,U56,SHELF,DDDDDDDDDDDDDDDD,DDDDDDDDDDDD....,16,12,0.03680505609680543,0.05296711493729489
u56-top20-g065-M,U56,SHELF,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDD...,16,13,0.04060592376179796,0.049166247272302344
u56-v2band-gross100,U56,SHELF,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.034447048414829415,0.06372355524078444
