panel,family,rung,cadence,pick_level,pick_w,pick_depth,pick_on_share,pick_gap,n_cells,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,nogate_OOS_Sharpe,nogate_OOS_CAGR,nogate_OOS_MaxDD,vs_nogate,grid_mean_OOS,best_OOS,regret,spy_OOS,v2_OOS
B136,QROLL,10,W,0.17,504,0.5,0.19216039648569497,0.09608019824284753,36,1.0958250964177076,0.09728381774055528,1.1184020404415682,-0.1311263191745241,1.0185476662771331,0.10583657394304091,-0.17687931105226462,0.0998543741644351,1.1296835287306282,1.275461698163459,-0.1570596577218908,0.8820239235972316,1.1185082795688426
B136,ABS,25,D,0.4,0,0.25,0.10903356611849516,0.027258391529623838,9,0.8981915115083352,0.08805539876608814,0.9047669709307583,-0.1791885336899901,0.8953399181114371,0.09181456009217115,-0.18217043484345774,0.009427052819321213,0.9099376114100247,0.9561938281804544,-0.05142685724969609,0.8820239235972316,1.0740236940215924
B136,ABS,25,W,0.3,0,0.25,0.061725613876999326,0.015431403469249871,9,0.90811716317131,0.09071229264460468,0.9027003887422737,-0.17653947121242441,0.8953399181114371,0.09181456009217115,-0.18217043484345774,0.0073604706308365575,0.9103709949121845,0.9293594160749836,-0.026659027332709972,0.8820239235972316,1.0740236940215924
B136,QEXP,25,D,0.07,0,0.25,0.0,0.0,9,0.9205282070047853,0.09181456009217115,0.8953399181114371,-0.18217043484345774,0.8953399181114371,0.09181456009217115,-0.18217043484345774,0.0,0.9165011527943892,0.9733010078518013,-0.0779610897403642,0.8820239235972316,1.0740236940215924
B136,QEXP,25,W,0.07,0,0.25,0.0,0.0,9,0.9205282070047853,0.09181456009217115,0.8953399181114371,-0.18217043484345774,0.8953399181114371,0.09181456009217115,-0.18217043484345774,0.0,0.8997862044649284,0.9094473569441038,-0.014107438832666741,0.8820239235972316,1.0740236940215924
B136,QROLL,25,D,0.17,252,0.25,0.21829240820004506,0.05457310205001131,36,0.9267605745078521,0.08792066274771093,0.9595443947680917,-0.1524081662793484,0.8953399181114371,0.09181456009217115,-0.18217043484345774,0.06420447665665463,0.9542892841439607,1.0907186996198495,-0.13117430485175774,0.8820239235972316,1.0740236940215924
B136,QROLL,25,W,0.17,504,0.5,0.19216039648569497,0.09608019824284753,36,0.96892145204759,0.08404501946791543,0.9775630267640416,-0.13440491260017395,0.8953399181114371,0.09181456009217115,-0.18217043484345774,0.08222310865260452,0.9940649529505057,1.1193605972258625,-0.14179757046182084,0.8820239235972316,1.0740236940215924
SMALL439,ABS,0,D,0.4,0,1.0,0.49211997966446364,0.49211997966446364,9,0.714115700355672,0.017255758349321138,0.22638173334098033,-0.20711064116749256,0.396789955324352,0.04672969561846285,-0.385428389005791,-0.1704082219833717,0.30491327866389545,0.40012779045855884,-0.1737460571175785,0.8820107009842559,0.6085605243951482
SMALL439,ABS,0,W,0.4,0,1.0,0.49059481443823083,0.49059481443823083,9,0.7309858700708202,0.021219792691699046,0.2647403183658456,-0.21364403946277688,0.396789955324352,0.04672969561846285,-0.385428389005791,-0.1320496369585064,0.3054734369864353,0.39826945177838835,-0.13352913341254274,0.8820107009842559,0.6085605243951482
SMALL439,QEXP,0,D,0.17,0,1.0,0.04829689883070666,0.04829689883070665,9,0.5307852117288119,0.046183334854933866,0.42926490918965726,-0.26630354534422496,0.396789955324352,0.04672969561846285,-0.385428389005791,0.032474953865305245,0.4028908070237083,0.42926490918965726,0.0,0.8820107009842559,0.6085605243951482
SMALL439,QEXP,0,W,0.07,0,0.25,0.0,0.0,9,0.5144513338845677,0.04672969561846285,0.396789955324352,-0.385428389005791,0.396789955324352,0.04672969561846285,-0.385428389005791,0.0,0.405647217147808,0.43759213336316627,-0.04080217803881425,0.8820107009842559,0.6085605243951482
SMALL439,QROLL,0,D,0.17,1008,1.0,0.11947127605490594,0.11947127605490593,36,0.6195709578524278,0.048254485191950636,0.45857960451088875,-0.20206087156474006,0.396789955324352,0.04672969561846285,-0.385428389005791,0.06178964918653673,0.47075247746958726,0.6364406119280438,-0.17786100741715505,0.8820107009842559,0.6085605243951482
SMALL439,QROLL,0,W,0.17,1008,1.0,0.12023385866802237,0.12023385866802239,36,0.6268194785263628,0.04735066114287578,0.45291812658254527,-0.2240326240963053,0.396789955324352,0.04672969561846285,-0.385428389005791,0.05612817125819325,0.4554967401969096,0.6563932280301137,-0.20347510144756842,0.8820107009842559,0.6085605243951482
SMALL439,ABS,10,D,0.4,0,1.0,0.49211997966446364,0.49211997966446364,9,0.5941609685377973,-0.0006549671505817756,0.04110407064722363,-0.26635228626404694,0.29301897594447707,0.03165868993925125,-0.39903330761274347,-0.25191490529725347,0.16625847130770868,0.2853509098924888,-0.24424683924526516,0.8820107009842559,0.5680478246931872
SMALL439,ABS,10,W,0.4,0,1.0,0.49059481443823083,0.49059481443823083,9,0.6533305784911866,0.009497918023450014,0.14589176978237062,-0.24227006611466217,0.29301897594447707,0.03165868993925125,-0.39903330761274347,-0.14712720616210645,0.19237605684275272,0.2894977540143212,-0.1436059842319506,0.8820107009842559,0.5680478246931872
SMALL439,QEXP,10,D,0.17,0,1.0,0.04829689883070666,0.04829689883070665,9,0.4285885504958195,0.029263972687354034,0.29640123530167417,-0.30207155012567355,0.29301897594447707,0.03165868993925125,-0.39903330761274347,0.003382259357197104,0.28965726401032055,0.30404978205657657,-0.007648546754902397,0.8820107009842559,0.5680478246931872
SMALL439,QEXP,10,W,0.07,0,0.25,0.0,0.0,9,0.42099167959505523,0.03165868993925125,0.29301897594447707,-0.39903330761274347,0.29301897594447707,0.03165868993925125,-0.39903330761274347,0.0,0.2982062196827905,0.3250348771788944,-0.03201590123441733,0.8820107009842559,0.5680478246931872
SMALL439,QROLL,10,D,0.17,1008,1.0,0.11947127605490594,0.11947127605490593,36,0.524394970633036,0.03326680872830634,0.33646550181360924,-0.234025214214155,0.29301897594447707,0.03165868993925125,-0.39903330761274347,0.04344652586913217,0.34816510666065026,0.5147717972202301,-0.1783062954066209,0.8820107009842559,0.5680478246931872
SMALL439,QROLL,10,W,0.17,1008,1.0,0.12023385866802237,0.12023385866802239,36,0.5405516972162816,0.03398577179426976,0.3435369044129332,-0.24080220278975195,0.29301897594447707,0.03165868993925125,-0.39903330761274347,0.05051792846845615,0.34377092588449226,0.5474087922070625,-0.2038718877941293,0.8820107009842559,0.5680478246931872
SMALL439,ABS,25,D,0.4,0,1.0,0.49211997966446364,0.49211997966446364,9,0.4138686762350071,-0.026950225598851518,-0.23628731687576238,-0.34892295585563105,0.13754645351227737,0.009448143255520014,-0.4188875504031122,-0.3738337703880398,-0.04145983564272579,0.1133283817179553,-0.34961569859371766,0.8820107009842559,0.5072384570086395
SMALL439,ABS,25,W,0.4,0,1.0,0.49059481443823083,0.49059481443823083,9,0.5363055033922556,-0.007845180213233993,-0.03236819939149682,-0.2833010741749079,0.13754645351227737,0.009448143255520014,-0.4188875504031122,-0.1699146529037742,0.022831861056564016,0.12643456910904555,-0.15880276850054237,0.8820107009842559,0.5072384570086395
SMALL439,QEXP,25,D,0.07,0,0.25,0.0002541942043721403,6.354855109302893e-05,9,0.28096612878817523,0.008544901655721526,0.13115371576271206,-0.4188875504031122,0.13754645351227737,0.009448143255520014,-0.4188875504031122,-0.006392737749565308,0.11989357673323234,0.1317169530912766,-0.0005632373285645309,0.8820107009842559,0.5072384570086395
SMALL439,QEXP,25,W,0.07,0,0.25,0.0,0.0,9,0.28096612878817523,0.009448143255520014,0.13754645351227737,-0.4188875504031122,0.13754645351227737,0.009448143255520014,-0.4188875504031122,0.0,0.13710090354378388,0.15608637811756448,-0.01853992460528711,0.8820107009842559,0.5072384570086395
SMALL439,QROLL,25,D,0.17,1008,1.0,0.11947127605490594,0.11947127605490593,36,0.3816863018505029,0.011175097887160312,0.15321774300264857,-0.2990126619384611,0.13754645351227737,0.009448143255520014,-0.4188875504031122,0.015671289490371193,0.16423068597991902,0.3341075217743832,-0.18088977877173462,0.8820107009842559,0.5072384570086395
SMALL439,QROLL,25,W,0.17,1008,1.0,0.12023385866802237,0.12023385866802239,36,0.4112005667359124,0.014247745216133145,0.17925995366702333,-0.2663312633886704,0.13754645351227737,0.009448143255520014,-0.4188875504031122,0.04171350015474595,0.17611274062668875,0.3835251682957751,-0.20426521462875177,0.8820107009842559,0.5072384570086395
