obj,panel,est,frac,L,years,se_COMP,se_PAIRED,se_BOOKONLY
u56-band008-gross100,U56,BLOCK21,0.125,556,2.2063492063492065,0.6358627719182703,0.34902185193269897,0.6761777074272927
u56-band008-gross100,U56,BLOCK5,0.125,556,2.2063492063492065,0.6739167545077783,0.38785713691634466,0.6788007346917297
u56-band008-gross100,U56,IID,0.125,556,2.2063492063492065,0.6609983115771209,0.42405460576263526,0.6861084888859955
u56-band008-gross100,U56,BLOCK21,0.25,1111,4.408730158730159,0.44190509663846167,0.24506415088459807,0.47693984418907975
u56-band008-gross100,U56,BLOCK5,0.25,1111,4.408730158730159,0.4500976820960012,0.2744255737803958,0.4887236612193228
u56-band008-gross100,U56,IID,0.25,1111,4.408730158730159,0.49742170377682,0.30226284237902906,0.5009967798504766
u56-band008-gross100,U56,BLOCK21,0.375,1667,6.615079365079365,0.36749464594424336,0.19514010594844072,0.395713246511119
u56-band008-gross100,U56,BLOCK5,0.375,1667,6.615079365079365,0.3792695367868481,0.22346286398501924,0.3982356653858899
u56-band008-gross100,U56,IID,0.375,1667,6.615079365079365,0.3984070030876893,0.2406891116179854,0.40338197858540903
u56-band008-gross100,U56,BLOCK21,0.5,2222,8.817460317460318,0.31765511593705315,0.16881766767578013,0.3333162386092699
u56-band008-gross100,U56,BLOCK5,0.5,2222,8.817460317460318,0.3207848796682695,0.19035078556414123,0.34517401514826623
u56-band008-gross100,U56,IID,0.5,2222,8.817460317460318,0.3514514792980425,0.21584299505558108,0.35106712128307693
u56-band008-gross100,U56,BLOCK21,0.75,3334,13.23015873015873,0.2526808580186124,0.14405944892209688,0.2708385422564372
u56-band008-gross100,U56,BLOCK5,0.75,3334,13.23015873015873,0.27025867668984604,0.1571371330341608,0.2889462599273827
u56-band008-gross100,U56,IID,0.75,3334,13.23015873015873,0.26959500830702104,0.17163054353948926,0.2780128632060615
u56-band008-gross100,U56,BLOCK21,1.0,4445,17.63888888888889,0.21886266611937302,0.11894471279727853,0.23512475192707244
u56-band008-gross100,U56,BLOCK5,1.0,4445,17.63888888888889,0.23392482365613568,0.1327016118083393,0.24564234189865286
u56-band008-gross100,U56,IID,1.0,4445,17.63888888888889,0.2388768271497019,0.15115529836974367,0.24305696439515515
u56-top20-band-m20,U56,BLOCK21,0.125,556,2.2063492063492065,0.6358627719182703,0.37563436296747277,0.6354776201685425
u56-top20-band-m20,U56,BLOCK5,0.125,556,2.2063492063492065,0.6739167545077783,0.441831798699867,0.6554226114453047
u56-top20-band-m20,U56,IID,0.125,556,2.2063492063492065,0.6609983115771209,0.4768171287054843,0.6818148258357631
u56-top20-band-m20,U56,BLOCK21,0.25,1111,4.408730158730159,0.44190509663846167,0.27411475002338986,0.45097642981930325
u56-top20-band-m20,U56,BLOCK5,0.25,1111,4.408730158730159,0.4500976820960012,0.30734554909895173,0.4731090731566623
u56-top20-band-m20,U56,IID,0.25,1111,4.408730158730159,0.49742170377682,0.34034405669445766,0.4941905773473209
u56-top20-band-m20,U56,BLOCK21,0.375,1667,6.615079365079365,0.36749464594424336,0.21479052244573357,0.3689304735107199
u56-top20-band-m20,U56,BLOCK5,0.375,1667,6.615079365079365,0.3792695367868481,0.2534708314454475,0.3813746035104797
u56-top20-band-m20,U56,IID,0.375,1667,6.615079365079365,0.3984070030876893,0.2759322084546527,0.402243171765181
u56-top20-band-m20,U56,BLOCK21,0.5,2222,8.817460317460318,0.31765511593705315,0.19474077439100454,0.3109859369947481
u56-top20-band-m20,U56,BLOCK5,0.5,2222,8.817460317460318,0.3207848796682695,0.21283706272358496,0.32539029531278635
u56-top20-band-m20,U56,IID,0.5,2222,8.817460317460318,0.3514514792980425,0.2426926020884879,0.3431504152443646
u56-top20-band-m20,U56,BLOCK21,0.75,3334,13.23015873015873,0.2526808580186124,0.15571509335566186,0.2557639033690855
u56-top20-band-m20,U56,BLOCK5,0.75,3334,13.23015873015873,0.27025867668984604,0.17456409022712213,0.280884285571083
u56-top20-band-m20,U56,IID,0.75,3334,13.23015873015873,0.26959500830702104,0.19654171223328756,0.27763550837199974
u56-top20-band-m20,U56,BLOCK21,1.0,4445,17.63888888888889,0.21886266611937302,0.13275035597325452,0.2174333810651336
u56-top20-band-m20,U56,BLOCK5,1.0,4445,17.63888888888889,0.23392482365613568,0.14966841472242226,0.23732633601901051
u56-top20-band-m20,U56,IID,1.0,4445,17.63888888888889,0.2388768271497019,0.16804217551547299,0.23967374316170517
u56-marsrespread-gross075,U56,BLOCK21,0.125,556,2.2063492063492065,0.6358627719182703,0.2853298602807131,0.6587941047298609
u56-marsrespread-gross075,U56,BLOCK5,0.125,556,2.2063492063492065,0.6739167545077783,0.3301161190516909,0.6934517846947615
u56-marsrespread-gross075,U56,IID,0.125,556,2.2063492063492065,0.6609983115771209,0.3560728420868295,0.6735265437483745
u56-marsrespread-gross075,U56,BLOCK21,0.25,1111,4.408730158730159,0.44190509663846167,0.20997308704725892,0.46260913071345994
u56-marsrespread-gross075,U56,BLOCK5,0.25,1111,4.408730158730159,0.4500976820960012,0.22345932693083642,0.47723762703848854
u56-marsrespread-gross075,U56,IID,0.25,1111,4.408730158730159,0.49742170377682,0.25750117823546786,0.4964544616544876
u56-marsrespread-gross075,U56,BLOCK21,0.375,1667,6.615079365079365,0.36749464594424336,0.1636952663732011,0.3805598297954973
u56-marsrespread-gross075,U56,BLOCK5,0.375,1667,6.615079365079365,0.3792695367868481,0.18865419212542683,0.38807239309274344
u56-marsrespread-gross075,U56,IID,0.375,1667,6.615079365079365,0.3984070030876893,0.20979731640899185,0.401751481726216
u56-marsrespread-gross075,U56,BLOCK21,0.5,2222,8.817460317460318,0.31765511593705315,0.143585173251467,0.32024874737181536
u56-marsrespread-gross075,U56,BLOCK5,0.5,2222,8.817460317460318,0.3207848796682695,0.159183270255884,0.3349155412192186
u56-marsrespread-gross075,U56,IID,0.5,2222,8.817460317460318,0.3514514792980425,0.1808663071860897,0.35335160822945744
u56-marsrespread-gross075,U56,BLOCK21,0.75,3334,13.23015873015873,0.2526808580186124,0.123748388674081,0.26076180169759294
u56-marsrespread-gross075,U56,BLOCK5,0.75,3334,13.23015873015873,0.27025867668984604,0.13141969397567732,0.28613458896475513
u56-marsrespread-gross075,U56,IID,0.75,3334,13.23015873015873,0.26959500830702104,0.15183388463685027,0.2782919877054786
u56-marsrespread-gross075,U56,BLOCK21,1.0,4445,17.63888888888889,0.21886266611937302,0.10063969179652207,0.22616876486385343
u56-marsrespread-gross075,U56,BLOCK5,1.0,4445,17.63888888888889,0.23392482365613568,0.11160239799040801,0.24464913869168425
u56-marsrespread-gross075,U56,IID,1.0,4445,17.63888888888889,0.2388768271497019,0.12671828074034477,0.24056312528786347
u56-quantile50-respread-M,U56,BLOCK21,0.125,556,2.2063492063492065,0.6358627719182703,0.27183059627688916,0.629478267412426
u56-quantile50-respread-M,U56,BLOCK5,0.125,556,2.2063492063492065,0.6739167545077783,0.3091707929856251,0.672534140589427
u56-quantile50-respread-M,U56,IID,0.125,556,2.2063492063492065,0.6609983115771209,0.3253171102732219,0.6789406958658613
u56-quantile50-respread-M,U56,BLOCK21,0.25,1111,4.408730158730159,0.44190509663846167,0.1965695992627435,0.4438498248300672
u56-quantile50-respread-M,U56,BLOCK5,0.25,1111,4.408730158730159,0.4500976820960012,0.20959117910018857,0.4690094450517726
u56-quantile50-respread-M,U56,IID,0.25,1111,4.408730158730159,0.49742170377682,0.22429514175060733,0.5006439108213632
u56-quantile50-respread-M,U56,BLOCK21,0.375,1667,6.615079365079365,0.36749464594424336,0.15310645788428012,0.36117370559542816
u56-quantile50-respread-M,U56,BLOCK5,0.375,1667,6.615079365079365,0.3792695367868481,0.17453674123661178,0.3808819630069225
u56-quantile50-respread-M,U56,IID,0.375,1667,6.615079365079365,0.3984070030876893,0.18759612511954787,0.40492233585307014
u56-quantile50-respread-M,U56,BLOCK21,0.5,2222,8.817460317460318,0.31765511593705315,0.13504527590867063,0.3071967375745261
u56-quantile50-respread-M,U56,BLOCK5,0.5,2222,8.817460317460318,0.3207848796682695,0.14615902806244582,0.32257581739283286
u56-quantile50-respread-M,U56,IID,0.5,2222,8.817460317460318,0.3514514792980425,0.15946335716683888,0.3471018890434659
u56-quantile50-respread-M,U56,BLOCK21,0.75,3334,13.23015873015873,0.2526808580186124,0.11300435483225178,0.2490380813605766
u56-quantile50-respread-M,U56,BLOCK5,0.75,3334,13.23015873015873,0.27025867668984604,0.12009745051782886,0.2828052518133378
u56-quantile50-respread-M,U56,IID,0.75,3334,13.23015873015873,0.26959500830702104,0.13298754677877403,0.2772611070915522
u56-quantile50-respread-M,U56,BLOCK21,1.0,4445,17.63888888888889,0.21886266611937302,0.09427649146268381,0.2133593012064808
u56-quantile50-respread-M,U56,BLOCK5,1.0,4445,17.63888888888889,0.23392482365613568,0.10244913784537905,0.24023599597713247
u56-quantile50-respread-M,U56,IID,1.0,4445,17.63888888888889,0.2388768271497019,0.11322471462337595,0.23908541775469405
b136-r620-gross065-W,B136,BLOCK21,0.125,555,2.2023809523809526,0.6415444582640731,0.36018677775161106,0.6081636402498006
b136-r620-gross065-W,B136,BLOCK5,0.125,555,2.2023809523809526,0.639383817400558,0.3924194416042914,0.642653984161462
b136-r620-gross065-W,B136,IID,0.125,555,2.2023809523809526,0.6933046956912658,0.4408205903610578,0.71465784470562
b136-r620-gross065-W,B136,BLOCK21,0.25,1111,4.408730158730159,0.432245090743395,0.2658043614941042,0.4266186415809238
b136-r620-gross065-W,B136,BLOCK5,0.25,1111,4.408730158730159,0.4593967219644487,0.2787113264394012,0.465649072633379
b136-r620-gross065-W,B136,IID,0.25,1111,4.408730158730159,0.4702245031618976,0.29928309854365515,0.48698690889131324
b136-r620-gross065-W,B136,BLOCK21,0.375,1666,6.611111111111111,0.367214556763907,0.20201246388469224,0.364603351383802
b136-r620-gross065-W,B136,BLOCK5,0.375,1666,6.611111111111111,0.3797986763699206,0.22413509920479827,0.3777805882150675
b136-r620-gross065-W,B136,IID,0.375,1666,6.611111111111111,0.39850580302754707,0.25300736416918523,0.4078944886677654
b136-r620-gross065-W,B136,BLOCK21,0.5,2222,8.817460317460318,0.29903388791576513,0.17762713720801082,0.2986722135711624
b136-r620-gross065-W,B136,BLOCK5,0.5,2222,8.817460317460318,0.316886437973178,0.19779173202068354,0.32314466935716696
b136-r620-gross065-W,B136,IID,0.5,2222,8.817460317460318,0.3286053561604923,0.21212444102018496,0.340523675646912
b136-r620-gross065-W,B136,BLOCK21,0.75,3332,13.222222222222221,0.253275048956078,0.13907946013494316,0.25327369288651225
b136-r620-gross065-W,B136,BLOCK5,0.75,3332,13.222222222222221,0.264477785407239,0.15837879049914014,0.2643757597683509
b136-r620-gross065-W,B136,IID,0.75,3332,13.222222222222221,0.2859418871261836,0.17710985057485074,0.2948711035135475
b136-r620-gross065-W,B136,BLOCK21,1.0,4443,17.63095238095238,0.22228793610806552,0.1268817543331044,0.21445481344123427
b136-r620-gross065-W,B136,BLOCK5,1.0,4443,17.63095238095238,0.2280260768492014,0.13718949313595583,0.22402944022040944
b136-r620-gross065-W,B136,IID,1.0,4443,17.63095238095238,0.24118880946515459,0.15265927890077727,0.24049339627038033
b136-qroll-q012-w1008-d050-g100,B136,BLOCK21,0.125,555,2.2023809523809526,0.6415444582640731,0.2843363722401309,0.6501356852419816
b136-qroll-q012-w1008-d050-g100,B136,BLOCK5,0.125,555,2.2023809523809526,0.639383817400558,0.3320012459823627,0.6574019467337918
b136-qroll-q012-w1008-d050-g100,B136,IID,0.125,555,2.2023809523809526,0.6933046956912658,0.37280812260469726,0.7241617508963918
b136-qroll-q012-w1008-d050-g100,B136,BLOCK21,0.25,1111,4.408730158730159,0.432245090743395,0.2091600810134832,0.444764253274502
b136-qroll-q012-w1008-d050-g100,B136,BLOCK5,0.25,1111,4.408730158730159,0.4593967219644487,0.2418363190009875,0.47453691720183194
b136-qroll-q012-w1008-d050-g100,B136,IID,0.25,1111,4.408730158730159,0.4702245031618976,0.2677472663784932,0.4785668589556514
b136-qroll-q012-w1008-d050-g100,B136,BLOCK21,0.375,1666,6.611111111111111,0.367214556763907,0.16499845930212456,0.3730127313679696
b136-qroll-q012-w1008-d050-g100,B136,BLOCK5,0.375,1666,6.611111111111111,0.3797986763699206,0.1974952688388579,0.39595041096586714
b136-qroll-q012-w1008-d050-g100,B136,IID,0.375,1666,6.611111111111111,0.39850580302754707,0.2256794124624072,0.39234421201083514
b136-qroll-q012-w1008-d050-g100,B136,BLOCK21,0.5,2222,8.817460317460318,0.29903388791576513,0.1434400711962703,0.3103462580986089
b136-qroll-q012-w1008-d050-g100,B136,BLOCK5,0.5,2222,8.817460317460318,0.316886437973178,0.16988659907689782,0.3416157798831925
b136-qroll-q012-w1008-d050-g100,B136,IID,0.5,2222,8.817460317460318,0.3286053561604923,0.18526740172715192,0.33430048396359097
b136-qroll-q012-w1008-d050-g100,B136,BLOCK21,0.75,3332,13.222222222222221,0.253275048956078,0.12118171759876986,0.2582558487692064
b136-qroll-q012-w1008-d050-g100,B136,BLOCK5,0.75,3332,13.222222222222221,0.264477785407239,0.14510105162937711,0.2719605448425347
b136-qroll-q012-w1008-d050-g100,B136,IID,0.75,3332,13.222222222222221,0.2859418871261836,0.15938639046363606,0.2928072544894212
b136-qroll-q012-w1008-d050-g100,B136,BLOCK21,1.0,4443,17.63095238095238,0.22228793610806552,0.10536704963382332,0.22915294451400323
b136-qroll-q012-w1008-d050-g100,B136,BLOCK5,1.0,4443,17.63095238095238,0.2280260768492014,0.11467207276087357,0.23286833907687401
b136-qroll-q012-w1008-d050-g100,B136,IID,1.0,4443,17.63095238095238,0.24118880946515459,0.13501768004592365,0.24398427630594444
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK21,0.125,556,2.2063492063492065,0.6358627719182703,0.42171120889476577,0.6037046523438632
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK5,0.125,556,2.2063492063492065,0.6739167545077783,0.49927736628705116,0.6679891712794164
u56-k8-qroll-q017-w1008-d100-g100,U56,IID,0.125,556,2.2063492063492065,0.6609983115771209,0.524554988511793,0.6911840376683713
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK21,0.25,1111,4.408730158730159,0.44190509663846167,0.3078311422357014,0.4418885674908703
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK5,0.25,1111,4.408730158730159,0.4500976820960012,0.3483381272930047,0.4741194538098215
u56-k8-qroll-q017-w1008-d100-g100,U56,IID,0.25,1111,4.408730158730159,0.49742170377682,0.3872467110818845,0.4978019116663396
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK21,0.375,1667,6.615079365079365,0.36749464594424336,0.25075353855156457,0.36157544965411587
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK5,0.375,1667,6.615079365079365,0.3792695367868481,0.2851931856834598,0.3883483129857551
u56-k8-qroll-q017-w1008-d100-g100,U56,IID,0.375,1667,6.615079365079365,0.3984070030876893,0.3099372672312777,0.4019061611279141
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK21,0.5,2222,8.817460317460318,0.31765511593705315,0.2277828950284446,0.3014465129256041
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK5,0.5,2222,8.817460317460318,0.3207848796682695,0.24054541480244965,0.32315382936622655
u56-k8-qroll-q017-w1008-d100-g100,U56,IID,0.5,2222,8.817460317460318,0.3514514792980425,0.27306897925865,0.35087720112362697
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK21,0.75,3334,13.23015873015873,0.2526808580186124,0.1790096181385518,0.2435254639956747
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK5,0.75,3334,13.23015873015873,0.27025867668984604,0.1969941506944541,0.2878331529440529
u56-k8-qroll-q017-w1008-d100-g100,U56,IID,0.75,3334,13.23015873015873,0.26959500830702104,0.21892774139350693,0.27741183265909913
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK21,1.0,4445,17.63888888888889,0.21886266611937302,0.15119170932137635,0.21336049043710845
u56-k8-qroll-q017-w1008-d100-g100,U56,BLOCK5,1.0,4445,17.63888888888889,0.23392482365613568,0.16903445769050912,0.236737547898131
u56-k8-qroll-q017-w1008-d100-g100,U56,IID,1.0,4445,17.63888888888889,0.2388768271497019,0.19151664834684987,0.24461980296749433
u56-top20-g065-M,U56,BLOCK21,0.125,556,2.2063492063492065,0.6358627719182703,0.3566697655033777,0.6316028562192577
u56-top20-g065-M,U56,BLOCK5,0.125,556,2.2063492063492065,0.6739167545077783,0.41057271219119923,0.6585041798728966
u56-top20-g065-M,U56,IID,0.125,556,2.2063492063492065,0.6609983115771209,0.423815885270371,0.6799255367405316
u56-top20-g065-M,U56,BLOCK21,0.25,1111,4.408730158730159,0.44190509663846167,0.262415129400812,0.45024846926440376
u56-top20-g065-M,U56,BLOCK5,0.25,1111,4.408730158730159,0.4500976820960012,0.28524979942019346,0.46927247680419637
u56-top20-g065-M,U56,IID,0.25,1111,4.408730158730159,0.49742170377682,0.30912907398575623,0.4932266788877895
u56-top20-g065-M,U56,BLOCK21,0.375,1667,6.615079365079365,0.36749464594424336,0.20290658087154118,0.3630969172842061
u56-top20-g065-M,U56,BLOCK5,0.375,1667,6.615079365079365,0.3792695367868481,0.23377698892005366,0.38233758554602953
u56-top20-g065-M,U56,IID,0.375,1667,6.615079365079365,0.3984070030876893,0.25044879112080004,0.40328463168492346
u56-top20-g065-M,U56,BLOCK21,0.5,2222,8.817460317460318,0.31765511593705315,0.18169995038199507,0.3083978119941832
u56-top20-g065-M,U56,BLOCK5,0.5,2222,8.817460317460318,0.3207848796682695,0.20069181660187072,0.3251720272308162
u56-top20-g065-M,U56,IID,0.5,2222,8.817460317460318,0.3514514792980425,0.21769047338345604,0.3470856632738959
u56-top20-g065-M,U56,BLOCK21,0.75,3334,13.23015873015873,0.2526808580186124,0.15111230756158103,0.2530738289248247
u56-top20-g065-M,U56,BLOCK5,0.75,3334,13.23015873015873,0.27025867668984604,0.1620402873274302,0.2798616158171242
u56-top20-g065-M,U56,IID,0.75,3334,13.23015873015873,0.26959500830702104,0.17646499909197744,0.2764428177737004
u56-top20-g065-M,U56,BLOCK21,1.0,4445,17.63888888888889,0.21886266611937302,0.1264799125226685,0.21534530844513802
u56-top20-g065-M,U56,BLOCK5,1.0,4445,17.63888888888889,0.23392482365613568,0.1412884293595581,0.23817685608686354
u56-top20-g065-M,U56,IID,1.0,4445,17.63888888888889,0.2388768271497019,0.15228190162910274,0.24046861929676885
