panel,cadence,chooser,book,gross,IS_legs,IS_pass4b,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b,OOS_4a,fail_legs,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,v2_Sharpe,v2_MaxDD
B136,Q,C_ISSHARPE,TOP05,EXT,4,False,0.29604587568719,1.0827694437308957,-0.3661121247056144,1.4949431626671068,0.7599537288243536,0.23234027369728372,0.8527858532437701,-0.36611212470561405,False,False,"L2_H2,L3_OOS,L4_DD",0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
B136,Q,C_ISCAGR,TOP05,EXT,4,False,0.29604587568719,1.0827694437308957,-0.3661121247056144,1.4949431626671068,0.7599537288243536,0.23234027369728372,0.8527858532437701,-0.36611212470561405,False,False,"L2_H2,L3_OOS,L4_DD",0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
SMALL,D,C_IS4B,BAND03,CORE,2,False,0.04075295902203235,0.634197491243519,-0.1285221279991453,0.7510604449392906,0.5471092455905808,0.036788244609831544,0.5519380821983866,-0.1285221279991442,False,False,"L1_H1,L2_H2,L3_OOS,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,D,C_ISSHARPE,BAND03,EXT,1,False,0.05369300728249815,0.6344830069858046,-0.16816058600563166,0.7513031477980188,0.5474324892994743,0.04824159612240897,0.5522516027149926,-0.16816058600562944,False,False,"L1_H1,L2_H2,L3_OOS,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,D,C_ISCAGR,BAND03,EXT,1,False,0.05369300728249815,0.6344830069858046,-0.16816058600563166,0.7513031477980188,0.5474324892994743,0.04824159612240897,0.5522516027149926,-0.16816058600562944,False,False,"L1_H1,L2_H2,L3_OOS,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,W,C_IS4B,BAND03,CORE,3,False,0.04302647808406279,0.6637465536986282,-0.13891550852292234,0.8065447512047058,0.5553361770110347,0.03752405306780848,0.56014592359231,-0.13891550852292334,False,False,"L1_H1,L2_H2,L3_OOS,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,W,C_ISSHARPE,BAND03,EXT,2,False,0.05674558592962198,0.6638854945467377,-0.18190591066940798,0.8074617471814893,0.5548607390879415,0.04917529456107328,0.5598756234695916,-0.1819059106694071,False,False,"L1_H1,L2_H2,L3_OOS,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,W,C_ISCAGR,TOP10,EXT,2,False,0.09451990233192031,0.4784710798376917,-0.3905299677442856,0.7135810547248105,0.2905268986014331,0.08287270823889803,0.42812543507424694,-0.39052996774428494,False,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,M,C_IS4B,BAND03,EXT,5,True,0.06577989868328316,0.7348096223850417,-0.21938476996988998,0.9317578008309404,0.5798206954141856,0.05428771776202623,0.5950799227760587,-0.21938476996989065,False,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,M,C_ISSHARPE,BAND03,EXT,5,True,0.06577989868328316,0.7348096223850417,-0.21938476996988998,0.9317578008309404,0.5798206954141856,0.05428771776202623,0.5950799227760587,-0.21938476996989065,False,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,M,C_ISCAGR,TOP10,EXT,2,False,0.12317345518899026,0.5629424907592414,-0.48371164102402875,0.6847068616434991,0.4667125129461059,0.1104275500996319,0.5094003045229151,-0.48371164102402864,False,False,"L1_H1,L2_H2,L3_OOS,L4_DD",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,Q,C_IS4B,BAND03,CORE,4,False,0.044375807532305744,0.6172099609180177,-0.240769671607171,0.9143213621489638,0.40122789834823996,0.034974438420084075,0.47006548140617144,-0.2407696716071731,False,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,Q,C_ISSHARPE,BAND03,CORE,4,False,0.044375807532305744,0.6172099609180177,-0.240769671607171,0.9143213621489638,0.40122789834823996,0.034974438420084075,0.47006548140617144,-0.2407696716071731,False,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
SMALL,Q,C_ISCAGR,TOP20,EXT,2,False,0.05712960057949079,0.3540020780311853,-0.5310731642233026,0.6978654310767279,0.09813465260243409,0.013849673471246327,0.18184325346948355,-0.5310731642233025,False,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR",0.1533169996349668,0.8768942146578922,-0.3371725677562022,0.6637465536986282,-0.13891550852292234
