panel,mech,freq,hold,rule,tax_hard_pp,tax_soft_pp,tax_recovered,rebate_kept,CAGR_soft,CAGR_hard,CAGR_H0,Sharpe_soft,Sharpe_hard,Sharpe_H0,MaxDD_soft,MaxDD_hard,MaxDD_H0,turn_soft,turn_hard,turn_H0,pass4b_soft,pass4b_hard,pass4a_soft
U56,MOMONLY,M,63,R_GATE,0.9548184174478891,-2.2203765138579135,3.325443742269555,0.43669919810455077,0.1319245595189702,0.14496745040556247,0.14232035626329376,1.0795707668291505,1.1123891508711445,1.1415291566072223,-0.17545158516020887,-0.2072035344732669,-0.197655350298788,3.6258840803390298,2.564126178438399,4.449012367714048,True,False,False
U56,MOMONLY,Q,63,R_GATE,1.1102230246251565e-14,0.0,,0.3592868703773466,0.13122489816630845,0.1499344713114159,0.12934073852101236,1.0005515885515712,1.0772512204055638,0.9803441474794823,-0.2534462567990923,-0.2534462567990924,-0.2534462567990923,2.2015030643343088,1.940658290236383,2.3477746142791722,False,False,False
B136,CAND20,D,63,R_GATE,6.905441691483172,-0.8267695691068111,1.1197272536710443,0.9020694915154696,0.13869104283196676,0.16566712616080537,0.09937084554359554,1.0145252714602058,1.0282957257361596,0.7580311530806473,-0.2149638181576533,-0.29228593076355314,-0.22323151384872142,8.698385545339946,6.07313221691746,32.88044047098603,False,False,False
B136,CAND20,W,63,R_GATE,8.642424966854456,0.0369806797459904,0.9957210297008283,0.8315049993717113,0.14485401081320726,0.1695140686096932,0.12935240946833715,1.0344605817526487,1.0823369425839768,0.9398556175281811,-0.2008937407579091,-0.28694818362899377,-0.2005239339604492,6.273894957419963,4.684150079469977,14.119117716623027,False,False,False
B136,CAND20,M,63,R_GATE,1.230178896792422,-0.8380615325169427,1.6812517550919714,0.7250990320802515,0.15605585446985315,0.15771609622309146,0.16636544185546076,1.0497964095069905,1.0193740994284537,1.111419512800059,-0.2526719457631599,-0.2733543500562535,-0.2610525610883293,4.627193786250707,3.92494621035117,6.479493694172848,False,False,False
B136,CAND20,Q,63,R_GATE,-3.3306690738754696e-14,0.0,,0.7825112709207701,0.1523955838721438,0.16142471185024942,0.14017419819061105,0.9917301592717046,1.0027708782075107,0.9257056101091898,-0.27066003473973976,-0.27066003473973943,-0.27066003473973976,3.025873380686731,2.8613185205039824,3.6179317982559622,False,False,False
B136,R3_84,D,63,R_GATE,5.181878055950973,-0.03857472304834575,1.0074441587841005,0.8942955905773347,0.13625203132737806,0.16582865722487483,0.11334882543335101,0.9969566356896825,1.0349871899734155,0.8434431518827351,-0.22194027832338958,-0.27414480611338277,-0.22232602555387304,8.470078075030575,5.926335543245793,29.991013125554357,False,False,False
B136,R3_84,W,63,R_GATE,8.20951666873465,-0.7260720339940407,1.0884427260814553,0.81405850002322,0.1476511149033244,0.1663774048294313,0.13905799476326908,1.0438055192940765,1.0625753961262614,0.9921253692706656,-0.2035581897986446,-0.2929140768259315,-0.210818910138585,6.002078303992319,4.475215937094719,12.686736050077954,False,False,False
B136,R3_84,M,63,R_GATE,-0.9545654315313179,-1.2351999423570015,-0.293991906217983,0.7060707568160564,0.15488632902863642,0.15620197413251224,0.16721149842876248,1.047087951300156,1.0126432576436217,1.1113378540713412,-0.2559137796454516,-0.2587201247537084,-0.2682657790690216,4.418270259744424,3.772674548046627,5.969106943491462,False,False,False
B136,R3_84,Q,63,R_GATE,0.0,-1.1102230246251565e-14,,0.7421432748295925,0.15277976316624842,0.16464143688656252,0.1458695941592809,0.9930417932364509,1.0157802654361423,0.952994446197125,-0.2790326126117787,-0.2790326126117788,-0.2790326126117788,3.052377269947574,2.891187813452967,3.5163002916638146,False,False,False
B136,MOMONLY,D,63,R_GATE,1.3201923464536636,0.02990349772232781,0.9773491356750739,0.8342012602249591,0.13231637127227303,0.1541596676442063,0.12220020110194829,0.9646104251816582,0.9679145621190038,0.8756842656502485,-0.23008062972837995,-0.2429835182156933,-0.22978159475115667,9.457619057519544,5.376050608182895,29.993659010240723,False,False,False
B136,MOMONLY,W,63,R_GATE,6.037285323245268,0.8175070006932184,0.8645902989634127,0.7379085325112191,0.14080086260255276,0.16597501418218896,0.13781161154647714,0.9951177578675966,1.0486073514251602,0.9573010731807862,-0.21862533268432183,-0.2708231159098423,-0.21045026267738964,6.325894515877872,4.054011764546121,12.722293769678556,False,False,False
B136,MOMONLY,M,63,R_GATE,-0.12448637733799561,-0.3793313568689616,-2.0471716261694315,0.6183677311736195,0.14973703098955693,0.1553045828115538,0.16529103506393894,1.0039256996028114,1.0003392102732533,1.0798921454850456,-0.271324732843786,-0.27387318263909566,-0.2751180464124756,4.140494361755634,3.239434393039509,5.600502998393876,False,False,False
B136,MOMONLY,Q,63,R_GATE,0.0,2.220446049250313e-14,,0.5404984521930173,0.1458892808713883,0.15972631633646817,0.1432692887124496,0.9623046746493906,1.0047642004452562,0.9405900666040609,-0.2760053985147135,-0.2760053985147133,-0.2760053985147133,2.620410820230997,2.41355104623545,2.8637340216417484,False,False,False
U56,CAND20,D,126,R_GATE,4.793644570499467,-0.6160653181057296,1.1285171040625441,0.7444931527498226,0.12512434789099336,0.15418245757639903,0.1130695366733796,1.1024970647066226,1.0977079179818106,0.9702146811938596,-0.17721150968724975,-0.2313086085733017,-0.18337216286830704,9.61819884370681,4.059312071238496,25.815624406091022,True,False,False
U56,CAND20,W,126,R_GATE,0.8192170000987042,-1.0419655300579755,2.2719041840347955,0.6481043747645738,0.11478639259002388,0.1557866816870579,0.1272724603341857,0.9983526652754617,1.1397009737484207,1.0606524904455705,-0.17266386372145637,-0.19127568902302317,-0.18308351902203612,5.675475412323388,2.8973943077144946,10.792011078668367,True,True,False
U56,CAND20,M,126,R_GATE,3.570490628749834,-0.6005148010865713,1.1681883145837677,0.5453121219856637,0.1428297234131508,0.14672070496000966,0.152627171790098,1.171826601728758,1.080835817350338,1.2121060493482891,-0.1890635185626185,-0.23077357286098255,-0.1950686665734842,3.338753745924835,2.144338438052346,4.771229027457567,True,False,False
U56,CAND20,Q,126,R_GATE,-7.177704280075692,-7.99987663444689,-0.114545308958107,0.6738164996558146,0.1354857738566404,0.15395158934636943,0.14296023614426545,1.0677222775977218,1.1388335367591271,1.0543557918897755,-0.1912247201904953,-0.19944644373420728,-0.2712234865349642,1.9921573382485305,1.648475866225932,2.7021204302825117,True,True,False
U56,R3_84,D,126,R_GATE,6.106357245604865,-2.2431658317612846,1.3673492626681536,0.7270505986454598,0.12089038586475809,0.15241741180372492,0.11276377450129704,1.071079677207293,1.0658474468952015,0.9647459283009512,-0.16972432733770515,-0.25321955811136665,-0.192155985655318,9.669543995500643,4.031066157438467,24.688659872906005,True,False,False
U56,R3_84,W,126,R_GATE,0.7216815799868992,-2.0787211984868437,3.8803855552535773,0.6254466886455681,0.11737585289147212,0.15731261688281073,0.12881974659888407,1.0183463767885568,1.1357395136567665,1.0690360993862291,-0.16935282664893636,-0.1973568544336738,-0.1901400386338048,5.62466566664466,2.8842395636968927,10.200757719785384,True,True,False
U56,R3_84,M,126,R_GATE,0.5397155247018004,-1.1988031173408298,3.2211759018849486,0.511885751521524,0.13807908287127169,0.14233746574536355,0.15062129210649466,1.139021112001888,1.0784054788940176,1.1960530533355502,-0.18473773967069906,-0.20212292609112537,-0.19672577084410736,3.3353569898828725,2.139426039215808,4.589530608781145,True,True,False
U56,R3_84,Q,126,R_GATE,-6.112549605542417,-8.221103405783891,-0.3449548774752833,0.6520004825305011,0.13464968353087903,0.15767361822375836,0.14379136439485185,1.058547256696127,1.1647026468415103,1.0590851353293107,-0.1981608714084896,-0.21924640941090434,-0.2803719054663285,2.0196621765451526,1.6651455071985626,2.6838729810884145,True,False,False
U56,MOMONLY,D,126,R_GATE,6.755343885519382,-1.1246194858606784,1.1664784953836902,0.6910918164639681,0.11388100582066185,0.14847789058295424,0.11012485585409038,1.0155017111038003,1.0509757447007528,0.9440116503306321,-0.17651645510715308,-0.2553160888209537,-0.18776264996575986,10.248508900794617,3.833756540960728,24.59964330512816,True,False,False
