selector,tau,n,abstain,a,gain,c_choice,identity_err,t_vs_S0,wins,losses,p_null,null_lo,null_hi,null_side,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,pass4a,pass4b,full4b
IS_MAXDD,-inf,54,0,0.0,-0.12584044536833255,-0.12584044536833255,0.0,-6.674230617228676,9,45,,,,,0.5936743833912469,0.06650427026784153,-0.2452435882105977,17,3,4
IS_MAXDD,0.0,54,31,0.5740740740740741,-0.02188963856880824,-0.05139306446589761,0.0,-2.6114651217246694,6,17,0.0,-0.07243534276386389,-0.03527519933381062,above,0.6976251901907714,0.09646417092295015,-0.2577259270054635,19,9,6
IS_MAXDD,0.05,54,38,0.7037037037037037,-0.015152534005547872,-0.05113980226872407,0.0,-1.961697198504657,4,12,0.008,-0.05452563449153788,-0.020959428679064807,above,0.7043622947540317,0.09840317912258485,-0.25914773114059586,19,10,7
IS_MAXDD,0.1,54,43,0.7962962962962963,-0.008712063950625125,-0.04276831393943243,0.0,-1.291781744101491,4,7,0.017,-0.0412927815594712,-0.011578635158156363,above,0.7108027648089544,0.10074829907336458,-0.2598179444548042,18,12,7
IS_MAXDD,0.2,54,45,0.8333333333333334,-0.01007719203846984,-0.060463152230819044,1.734723475976807e-18,-1.5754717830850766,3,6,0.099,-0.03601610991335979,-0.00822255342492542,inside,0.7094376367211097,0.10028237757807427,-0.259159409563211,18,12,7
IS_CAGR,-inf,54,0,0.0,0.01446656232281385,0.01446656232281385,0.0,1.0944033581978228,33,21,,,,,0.7339813910823934,0.1088336499257058,-0.2664911400688427,16,13,10
IS_CAGR,0.0,54,3,0.05555555555555555,0.012917917188191422,0.013677794669849737,3.469446951953614e-18,0.9922640680437654,32,19,0.849,0.008299661610750195,0.019814434073491583,inside,0.732432745947771,0.10818194359097548,-0.2658025798085433,16,14,11
IS_CAGR,0.05,54,16,0.2962962962962963,0.00793713291438509,0.011279083615178811,0.0,0.6260940973828192,21,17,0.72,-0.0012784767590423999,0.022509260713793104,inside,0.7274519616739646,0.10686191056932301,-0.2656697124339569,16,12,9
IS_CAGR,0.1,54,32,0.5925925925925926,0.006364479243122955,0.015621903596756343,0.0,0.6171878465038987,14,8,0.951,-0.006681770460064378,0.018646824510813034,inside,0.7258793080027024,0.10543604303983894,-0.26495765403051824,16,13,9
IS_CAGR,0.2,54,43,0.7962962962962963,-0.011927382871013557,-0.058552606821339274,0.0,-1.5912909519744078,4,7,0.005,-0.007825473028157351,0.013347132215368174,below,0.7075874458885659,0.10018282467602904,-0.25972841668782176,17,13,8
IS_4B,-inf,54,0,0.0,-0.003277586744341642,-0.003277586744341642,0.0,-0.2873892252571324,27,27,,,,,0.7162372420152379,0.09990695299447508,-0.257808446418895,20,9,10
IS_4B,0.0,54,1,0.018518518518518517,-0.0019253276608360574,-0.0019616545978329643,2.168404344971009e-19,-0.1699531274736188,27,26,0.424,-0.005301782288355868,0.00039885737959327773,inside,0.7175895010987434,0.1001050499477113,-0.25749764691777144,20,9,10
IS_4B,0.05,54,13,0.24074074074074073,0.002922001481319125,0.003848489755883727,1.3010426069826053e-18,0.27038045971415403,22,19,0.28,-0.011833391318083763,0.007837410573584695,inside,0.7224368302408986,0.10163447298490914,-0.2586036717766892,20,12,10
IS_4B,0.1,54,36,0.6666666666666666,0.003611737400344194,0.010835212201032582,4.336808689942018e-19,0.461830611759819,12,6,0.402,-0.011823466516182197,0.009894031418323318,inside,0.7231265661599237,0.10399812442112684,-0.26095535425152033,18,14,9
IS_4B,0.2,54,44,0.8148148148148148,-0.00499547140395539,-0.026975545581359107,8.673617379884035e-19,-0.7299210444632274,5,5,0.334,-0.00977084428789651,0.007471790582126687,inside,0.7145193573556241,0.10193356323445696,-0.2591512523677357,18,13,8
S0_DONOTHING,,54,54,1.0,0.0,,,,0,0,,,,,0.7195148287595795,0.10306067259672885,-0.25708266972498145,17,12,7
RANDOM,,54,0,0.0,-0.0383487685292433,,,-1.913430527527209,24,30,,,,,0.6811660602303364,0.09015202500927655,-0.2544594765480332,17,11,7
