panel,q,w,depth,gross,rung,leg,start,days,live_share,CAGR,Sharpe,MaxDD,H1,H2,UNGATED_CAGR,UNGATED_Sharpe,UNGATED_MaxDD,V2_Sharpe,V2_CAGR,V2_MaxDD,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,SPY_H1,SPY_H2,pass4a,pass4b,fail4b
U56,0.12,1008,1.0,1.0,25.0,RAW,2009-01-13,4443,0.8316452847175332,0.12848910359794807,1.096934886343864,-0.1605456726162915,0.9944003750011206,1.1979554764825158,0.11984788631833698,0.9223261899150016,-0.21077670739710552,1.1642615600830166,0.08339513295117529,-0.12092632430399441,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,True,-
U56,0.12,1008,1.0,1.0,25.0,LIVE,2011-12-30,3695,1.0,0.1367125209525606,1.2237231020645662,-0.13731126910445524,1.143766489332167,1.2985698749317525,0.12625442439499657,0.9833980026663517,-0.21077670739710597,1.2295673753981742,0.08608010837340863,-0.12092632430399464,0.15038019121823987,0.930712174829876,-0.33717235283398306,1.1167334016198496,0.8418781177783873,False,True,-
U56,0.12,1008,1.0,1.0,25.0,OOS,2017-01-03,2436,1.0,0.15047246234693468,1.2858331057700847,-0.137311269104455,1.5421460882543776,1.017503420482855,0.13151476216103286,0.9829285925025385,-0.21077670739710586,1.241406438552039,0.09181569023107472,-0.12092632430399464,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,True,-
U56,0.12,2016,0.5,1.0,0.0,RAW,2009-01-13,4443,0.604771550753995,0.15168413735472797,1.1863206682212097,-0.21425376127501816,1.1572302688542584,1.2146909574570592,0.1506609069434668,1.128599914407742,-0.20748563439191448,1.226867660750899,0.08821007359904964,-0.12029813984958915,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,False,DDCAP
U56,0.12,2016,0.5,1.0,0.0,LIVE,2016-01-05,2687,1.0,0.16057419736684175,1.2799086676569367,-0.21425376127501805,1.2423630183032828,1.3249345283838223,0.15886970327962424,1.1764787972628852,-0.2074856343919146,1.2958526131995,0.09430699714007473,-0.1202981398495887,0.1517294309775976,0.8854325741361005,-0.3371723528339833,0.9274881790064916,0.8409928146698945,False,False,DDCAP
U56,0.12,2016,0.5,1.0,0.0,OOS,2017-01-03,2436,1.0,0.16512737956423496,1.3014739510213875,-0.21425376127501805,1.396827461373786,1.1989323075379243,0.16324002497052392,1.1886075896434396,-0.2074856343919146,1.3027736471519475,0.09670513420063886,-0.12029813984958881,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,False,DDCAP
U56,0.12,2016,0.5,1.0,10.0,RAW,2009-01-13,4443,0.604771550753995,0.14020562353197996,1.1064275827735126,-0.2152271140689015,1.076044893697834,1.1360785249386531,0.13823901504957914,1.046219320763306,-0.20880282084818413,1.201840627126638,0.08628162162824915,-0.12054943679771146,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,False,DDCAP
U56,0.12,2016,0.5,1.0,10.0,LIVE,2016-01-05,2687,1.0,0.14926086031255936,1.1996523781874138,-0.2152271140689015,1.169320227991459,1.2364693762851102,0.14598506232492925,1.09220399343745,-0.20880282084818402,1.2704931453582904,0.09232435728146271,-0.12054943679771135,0.1517294309775976,0.8854325741361005,-0.3371723528339833,0.9274881790064916,0.8409928146698945,False,False,DDCAP
U56,0.12,2016,0.5,1.0,10.0,OOS,2017-01-03,2436,1.0,0.1540764878858374,1.224039542917567,-0.2152271140689015,1.3330805691980627,1.1061051304924248,0.15044855171922333,1.1064861009700002,-0.2088028208481839,1.2782424661570655,0.09474682024310699,-0.12054943679771168,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,False,DDCAP
U56,0.12,2016,0.5,1.0,25.0,RAW,2009-01-13,4443,0.604771550753995,0.12319460435383034,0.9862888374509635,-0.21668598511913562,0.9539731121405932,1.0178589473161983,0.11984788631833698,0.9223261899150016,-0.21077670739710552,1.1642615600830166,0.08339513295117529,-0.12092632430399441,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,False,H1+DDCAP
