panel,n,D,arm,k,draw,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
B136,5,300,S0 do-nothing (whole panel),,,0.16050924299153935,0.8138426077132946,-0.23360448342667006
B136,5,300,S1 IS-Sharpe argmax,20.0,253.0,0.1628161368944685,1.0558987026637858,-0.19577738516785814
B136,5,300,S2 max IS sd,20.0,219.0,0.16827743160450792,0.9829512137530264,-0.2934309088929329
B136,5,300,S3 sd-model OOF pred,20.0,219.0,0.16827743160450792,0.9829512137530264,-0.2934309088929329
B136,5,300,S4 M-model OOF pred,40.0,263.0,0.11244403921630464,0.7837004347294358,-0.21654203689759166
B136,5,300,S5 M+sd OOF pred,20.0,253.0,0.1628161368944685,1.0558987026637858,-0.19577738516785814
B136,5,300,S6 random draw,20.0,127.0,0.17143238544813633,1.059382578375236,-0.1973918327864047
B136,5,300,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,5,300,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,5,400,S0 do-nothing (whole panel),,,0.16050924299153935,0.8138426077132946,-0.23360448342667006
B136,5,400,S1 IS-Sharpe argmax,20.0,253.0,0.1628161368944685,1.0558987026637858,-0.19577738516785814
B136,5,400,S2 max IS sd,20.0,366.0,0.1219516727357397,0.814160322865163,-0.23925894392121372
B136,5,400,S3 sd-model OOF pred,20.0,366.0,0.1219516727357397,0.814160322865163,-0.23925894392121372
B136,5,400,S4 M-model OOF pred,40.0,337.0,0.18970590945408783,1.0290525583730823,-0.22751828256566808
B136,5,400,S5 M+sd OOF pred,20.0,253.0,0.1628161368944685,1.0558987026637858,-0.19577738516785814
B136,5,400,S6 random draw,20.0,160.0,0.05596676087172847,0.4629112741487773,-0.20835504988437425
B136,5,400,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,5,400,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,5,500,S0 do-nothing (whole panel),,,0.16050924299153935,0.8138426077132946,-0.23360448342667006
B136,5,500,S1 IS-Sharpe argmax,20.0,253.0,0.1628161368944685,1.0558987026637858,-0.19577738516785814
B136,5,500,S2 max IS sd,20.0,366.0,0.1219516727357397,0.814160322865163,-0.23925894392121372
B136,5,500,S3 sd-model OOF pred,20.0,366.0,0.1219516727357397,0.814160322865163,-0.23925894392121372
B136,5,500,S4 M-model OOF pred,40.0,337.0,0.18970590945408783,1.0290525583730823,-0.22751828256566808
B136,5,500,S5 M+sd OOF pred,20.0,253.0,0.1628161368944685,1.0558987026637858,-0.19577738516785814
B136,5,500,S6 random draw,80.0,33.0,0.09499932807429023,0.591828876083008,-0.26099351455689423
B136,5,500,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,5,500,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,20,50,S0 do-nothing (whole panel),,,0.12486792010130943,0.8919165372280253,-0.2005204833110833
B136,20,50,S1 IS-Sharpe argmax,20.0,19.0,0.08366719289547753,1.1044581300449345,-0.10539828313352739
B136,20,50,S2 max IS sd,20.0,39.0,0.09031437873095216,1.184143200188772,-0.09434014715091654
B136,20,50,S3 sd-model OOF pred,20.0,39.0,0.09031437873095216,1.184143200188772,-0.09434014715091654
B136,20,50,S4 M-model OOF pred,80.0,47.0,0.12887000281871042,0.98603862556354,-0.20988236772705215
B136,20,50,S5 M+sd OOF pred,20.0,19.0,0.08366719289547753,1.1044581300449345,-0.10539828313352739
B136,20,50,S6 random draw,40.0,32.0,0.1055818981539256,0.9974869551828213,-0.1685927561357886
B136,20,50,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,20,50,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,20,100,S0 do-nothing (whole panel),,,0.12486792010130943,0.8919165372280253,-0.2005204833110833
B136,20,100,S1 IS-Sharpe argmax,20.0,19.0,0.08366719289547753,1.1044581300449345,-0.10539828313352739
B136,20,100,S2 max IS sd,20.0,39.0,0.09031437873095216,1.184143200188772,-0.09434014715091654
B136,20,100,S3 sd-model OOF pred,20.0,80.0,0.1327525723409626,1.3608446259860676,-0.1204323213898093
B136,20,100,S4 M-model OOF pred,20.0,19.0,0.08366719289547753,1.1044581300449345,-0.10539828313352739
B136,20,100,S5 M+sd OOF pred,20.0,19.0,0.08366719289547753,1.1044581300449345,-0.10539828313352739
B136,20,100,S6 random draw,20.0,64.0,0.060314431864890494,0.8983676783162196,-0.1369845701633542
B136,20,100,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,20,100,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,20,150,S0 do-nothing (whole panel),,,0.12486792010130943,0.8919165372280253,-0.2005204833110833
B136,20,150,S1 IS-Sharpe argmax,20.0,129.0,0.06498326216404626,1.0135061986343974,-0.10501368552151025
B136,20,150,S2 max IS sd,20.0,103.0,0.10750905306460856,1.256370416937582,-0.13482260686247194
B136,20,150,S3 sd-model OOF pred,20.0,103.0,0.10750905306460856,1.256370416937582,-0.13482260686247194
B136,20,150,S4 M-model OOF pred,80.0,149.0,0.13347477131743624,1.056759769543459,-0.19202537950743226
B136,20,150,S5 M+sd OOF pred,20.0,19.0,0.08366719289547753,1.1044581300449345,-0.10539828313352739
B136,20,150,S6 random draw,20.0,99.0,0.04686670479418442,0.7166672564111448,-0.12996967817252636
B136,20,150,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,20,150,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,20,200,S0 do-nothing (whole panel),,,0.12486792010130943,0.8919165372280253,-0.2005204833110833
B136,20,200,S1 IS-Sharpe argmax,20.0,129.0,0.06498326216404626,1.0135061986343974,-0.10501368552151025
B136,20,200,S2 max IS sd,20.0,103.0,0.10750905306460856,1.256370416937582,-0.13482260686247194
B136,20,200,S3 sd-model OOF pred,20.0,103.0,0.10750905306460856,1.256370416937582,-0.13482260686247194
B136,20,200,S4 M-model OOF pred,80.0,149.0,0.13347477131743624,1.056759769543459,-0.19202537950743226
B136,20,200,S5 M+sd OOF pred,20.0,19.0,0.08366719289547753,1.1044581300449345,-0.10539828313352739
B136,20,200,S6 random draw,80.0,77.0,0.11862207042865314,0.945433468324138,-0.19887669499978033
B136,20,200,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,20,200,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,20,300,S0 do-nothing (whole panel),,,0.12486792010130943,0.8919165372280253,-0.2005204833110833
B136,20,300,S1 IS-Sharpe argmax,20.0,253.0,0.09625805891298111,1.3063014902766252,-0.13857913397467347
B136,20,300,S2 max IS sd,20.0,219.0,0.09249238233684443,1.12195189799766,-0.11603607270353278
B136,20,300,S3 sd-model OOF pred,20.0,219.0,0.09249238233684443,1.12195189799766,-0.11603607270353278
B136,20,300,S4 M-model OOF pred,20.0,253.0,0.09625805891298111,1.3063014902766252,-0.13857913397467347
B136,20,300,S5 M+sd OOF pred,20.0,253.0,0.09625805891298111,1.3063014902766252,-0.13857913397467347
B136,20,300,S6 random draw,20.0,127.0,0.10317883396491911,1.273613145387131,-0.14004879153546668
B136,20,300,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,20,300,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,20,400,S0 do-nothing (whole panel),,,0.12486792010130943,0.8919165372280253,-0.2005204833110833
B136,20,400,S1 IS-Sharpe argmax,20.0,253.0,0.09625805891298111,1.3063014902766252,-0.13857913397467347
B136,20,400,S2 max IS sd,20.0,366.0,0.08346705213039818,1.1386484707104378,-0.12290213874955713
B136,20,400,S3 sd-model OOF pred,20.0,366.0,0.08346705213039818,1.1386484707104378,-0.12290213874955713
B136,20,400,S4 M-model OOF pred,40.0,337.0,0.15084126620106275,1.2483999636504244,-0.18405640117264288
B136,20,400,S5 M+sd OOF pred,20.0,253.0,0.09625805891298111,1.3063014902766252,-0.13857913397467347
B136,20,400,S6 random draw,20.0,160.0,0.04423161777053197,0.6583415208754863,-0.11148182571441934
B136,20,400,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,20,400,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,20,500,S0 do-nothing (whole panel),,,0.12486792010130943,0.8919165372280253,-0.2005204833110833
B136,20,500,S1 IS-Sharpe argmax,20.0,253.0,0.09625805891298111,1.3063014902766252,-0.13857913397467347
B136,20,500,S2 max IS sd,20.0,366.0,0.08346705213039818,1.1386484707104378,-0.12290213874955713
B136,20,500,S3 sd-model OOF pred,20.0,366.0,0.08346705213039818,1.1386484707104378,-0.12290213874955713
B136,20,500,S4 M-model OOF pred,40.0,337.0,0.15084126620106275,1.2483999636504244,-0.18405640117264288
B136,20,500,S5 M+sd OOF pred,20.0,253.0,0.09625805891298111,1.3063014902766252,-0.13857913397467347
B136,20,500,S6 random draw,80.0,33.0,0.10240100147393605,0.840610621321502,-0.2000200561684814
B136,20,500,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,20,500,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
SMALL484,5,50,S0 do-nothing (whole panel),,,0.060545227445817584,0.35435239223254394,-0.5278272251531522
SMALL484,5,50,S1 IS-Sharpe argmax,20.0,16.0,0.10834632431718805,0.6692671991915193,-0.3289402087876221
SMALL484,5,50,S2 max IS sd,20.0,25.0,0.04889954529997853,0.3622723082615683,-0.4430695502305262
SMALL484,5,50,S3 sd-model OOF pred,20.0,25.0,0.04889954529997853,0.3622723082615683,-0.4430695502305262
SMALL484,5,50,S4 M-model OOF pred,80.0,45.0,0.01961752929233418,0.1975188362344106,-0.4690104303635003
SMALL484,5,50,S5 M+sd OOF pred,80.0,45.0,0.01961752929233418,0.1975188362344106,-0.4690104303635003
SMALL484,5,50,S6 random draw,40.0,32.0,0.09224793783542506,0.36778979594915306,-0.36830175413211996
SMALL484,5,50,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,5,50,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,5,100,S0 do-nothing (whole panel),,,0.060545227445817584,0.35435239223254394,-0.5278272251531522
SMALL484,5,100,S1 IS-Sharpe argmax,40.0,99.0,0.15242548454479476,0.5016278069026007,-0.5140364554897257
SMALL484,5,100,S2 max IS sd,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,100,S3 sd-model OOF pred,20.0,25.0,0.04889954529997853,0.3622723082615683,-0.4430695502305262
SMALL484,5,100,S4 M-model OOF pred,80.0,39.0,-0.013019928495268118,0.04952278388924871,-0.6455509254932474
SMALL484,5,100,S5 M+sd OOF pred,80.0,88.0,0.0489688531268655,0.3281917206219821,-0.3913534847507406
SMALL484,5,100,S6 random draw,20.0,64.0,0.0625843611960597,0.4235717316329104,-0.3405691987561832
SMALL484,5,100,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,5,100,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,5,150,S0 do-nothing (whole panel),,,0.060545227445817584,0.35435239223254394,-0.5278272251531522
SMALL484,5,150,S1 IS-Sharpe argmax,40.0,99.0,0.15242548454479476,0.5016278069026007,-0.5140364554897257
SMALL484,5,150,S2 max IS sd,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,150,S3 sd-model OOF pred,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,150,S4 M-model OOF pred,80.0,90.0,0.05005806401863522,0.3350089758762251,-0.4879281005815259
SMALL484,5,150,S5 M+sd OOF pred,80.0,39.0,-0.013019928495268118,0.04952278388924871,-0.6455509254932474
SMALL484,5,150,S6 random draw,20.0,99.0,0.03470675921529098,0.27522171375589066,-0.4935094660964686
SMALL484,5,150,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,5,150,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,5,200,S0 do-nothing (whole panel),,,0.060545227445817584,0.35435239223254394,-0.5278272251531522
SMALL484,5,200,S1 IS-Sharpe argmax,40.0,99.0,0.15242548454479476,0.5016278069026007,-0.5140364554897257
SMALL484,5,200,S2 max IS sd,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,200,S3 sd-model OOF pred,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,200,S4 M-model OOF pred,80.0,90.0,0.05005806401863522,0.3350089758762251,-0.4879281005815259
SMALL484,5,200,S5 M+sd OOF pred,80.0,90.0,0.05005806401863522,0.3350089758762251,-0.4879281005815259
SMALL484,5,200,S6 random draw,80.0,77.0,0.0388750712800936,0.28156691914235454,-0.3952133880538813
SMALL484,5,200,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,5,200,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,5,300,S0 do-nothing (whole panel),,,0.060545227445817584,0.35435239223254394,-0.5278272251531522
SMALL484,5,300,S1 IS-Sharpe argmax,20.0,264.0,0.004988077470687857,0.11859183001844385,-0.3873485703181858
SMALL484,5,300,S2 max IS sd,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,300,S3 sd-model OOF pred,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,300,S4 M-model OOF pred,80.0,39.0,-0.013019928495268118,0.04952278388924871,-0.6455509254932474
SMALL484,5,300,S5 M+sd OOF pred,80.0,39.0,-0.013019928495268118,0.04952278388924871,-0.6455509254932474
SMALL484,5,300,S6 random draw,20.0,127.0,0.01896655274153436,0.19579201076949151,-0.34577536644103823
SMALL484,5,300,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,5,300,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,5,400,S0 do-nothing (whole panel),,,0.060545227445817584,0.35435239223254394,-0.5278272251531522
SMALL484,5,400,S1 IS-Sharpe argmax,20.0,264.0,0.004988077470687857,0.11859183001844385,-0.3873485703181858
SMALL484,5,400,S2 max IS sd,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,400,S3 sd-model OOF pred,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,400,S4 M-model OOF pred,80.0,39.0,-0.013019928495268118,0.04952278388924871,-0.6455509254932474
SMALL484,5,400,S5 M+sd OOF pred,80.0,39.0,-0.013019928495268118,0.04952278388924871,-0.6455509254932474
SMALL484,5,400,S6 random draw,20.0,160.0,-0.022583380267119813,-0.04361333741878807,-0.407782350056197
SMALL484,5,400,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,5,400,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,5,500,S0 do-nothing (whole panel),,,0.060545227445817584,0.35435239223254394,-0.5278272251531522
SMALL484,5,500,S1 IS-Sharpe argmax,20.0,454.0,0.1673424097382321,0.9024974080421796,-0.22690982698088802
SMALL484,5,500,S2 max IS sd,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,500,S3 sd-model OOF pred,20.0,71.0,-0.0057476872495071385,0.05973052389564304,-0.4633656438576149
SMALL484,5,500,S4 M-model OOF pred,80.0,490.0,0.03703286548933549,0.27652228381647587,-0.4196432547397947
SMALL484,5,500,S5 M+sd OOF pred,80.0,490.0,0.03703286548933549,0.27652228381647587,-0.4196432547397947
SMALL484,5,500,S6 random draw,80.0,33.0,0.02068368460609138,0.20285982527091131,-0.5086177728980186
SMALL484,5,500,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,5,500,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,20,50,S0 do-nothing (whole panel),,,0.07733245191648264,0.5103667394938519,-0.26346801916687634
SMALL484,20,50,S1 IS-Sharpe argmax,80.0,39.0,0.0033335152754760955,0.0941566575999206,-0.4251810182304736
SMALL484,20,50,S2 max IS sd,20.0,25.0,0.017833163496618676,0.31840897153771835,-0.16903006710507074
SMALL484,20,50,S3 sd-model OOF pred,20.0,12.0,0.0005749283738767375,0.037634754452881475,-0.12411296546229245
SMALL484,20,50,S4 M-model OOF pred,80.0,11.0,0.05075807434949131,0.42891837345660067,-0.3068892483418336
SMALL484,20,50,S5 M+sd OOF pred,80.0,11.0,0.05075807434949131,0.42891837345660067,-0.3068892483418336
SMALL484,20,50,S6 random draw,40.0,32.0,0.033314609391291494,0.30364698262883627,-0.1931699282504098
SMALL484,20,50,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,20,50,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,20,100,S0 do-nothing (whole panel),,,0.07733245191648264,0.5103667394938519,-0.26346801916687634
SMALL484,20,100,S1 IS-Sharpe argmax,80.0,39.0,0.0033335152754760955,0.0941566575999206,-0.4251810182304736
SMALL484,20,100,S2 max IS sd,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,100,S3 sd-model OOF pred,20.0,25.0,0.017833163496618676,0.31840897153771835,-0.16903006710507074
SMALL484,20,100,S4 M-model OOF pred,80.0,16.0,0.03388876495905735,0.31115026987276445,-0.37693116646774916
SMALL484,20,100,S5 M+sd OOF pred,80.0,16.0,0.03388876495905735,0.31115026987276445,-0.37693116646774916
SMALL484,20,100,S6 random draw,20.0,64.0,0.016697216602126863,0.3222884209656637,-0.12502509287468466
SMALL484,20,100,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,20,100,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,20,150,S0 do-nothing (whole panel),,,0.07733245191648264,0.5103667394938519,-0.26346801916687634
SMALL484,20,150,S1 IS-Sharpe argmax,20.0,102.0,0.00020220282027616499,0.032683266989100165,-0.18529311323566333
SMALL484,20,150,S2 max IS sd,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,150,S3 sd-model OOF pred,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,150,S4 M-model OOF pred,80.0,147.0,0.007366266621098072,0.12216258431802826,-0.27866111122189874
SMALL484,20,150,S5 M+sd OOF pred,80.0,22.0,0.0068255311063765145,0.11902793936713522,-0.2953830747895534
SMALL484,20,150,S6 random draw,20.0,99.0,0.016173125100914065,0.2706226438049643,-0.23499349898016897
SMALL484,20,150,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,20,150,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,20,200,S0 do-nothing (whole panel),,,0.07733245191648264,0.5103667394938519,-0.26346801916687634
SMALL484,20,200,S1 IS-Sharpe argmax,20.0,102.0,0.00020220282027616499,0.032683266989100165,-0.18529311323566333
SMALL484,20,200,S2 max IS sd,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,200,S3 sd-model OOF pred,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,200,S4 M-model OOF pred,80.0,21.0,0.009605790460021746,0.13837216204109834,-0.2959923383587276
SMALL484,20,200,S5 M+sd OOF pred,80.0,21.0,0.009605790460021746,0.13837216204109834,-0.2959923383587276
SMALL484,20,200,S6 random draw,80.0,77.0,0.04644159338376319,0.3982670888021662,-0.34512076419439996
SMALL484,20,200,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,20,200,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,20,300,S0 do-nothing (whole panel),,,0.07733245191648264,0.5103667394938519,-0.26346801916687634
SMALL484,20,300,S1 IS-Sharpe argmax,20.0,102.0,0.00020220282027616499,0.032683266989100165,-0.18529311323566333
SMALL484,20,300,S2 max IS sd,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,300,S3 sd-model OOF pred,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,300,S4 M-model OOF pred,80.0,39.0,0.0033335152754760955,0.0941566575999206,-0.4251810182304736
SMALL484,20,300,S5 M+sd OOF pred,80.0,39.0,0.0033335152754760955,0.0941566575999206,-0.4251810182304736
SMALL484,20,300,S6 random draw,20.0,127.0,0.026941995574721433,0.4867524839324596,-0.11382086118081691
SMALL484,20,300,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,20,300,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,20,400,S0 do-nothing (whole panel),,,0.07733245191648264,0.5103667394938519,-0.26346801916687634
SMALL484,20,400,S1 IS-Sharpe argmax,20.0,102.0,0.00020220282027616499,0.032683266989100165,-0.18529311323566333
SMALL484,20,400,S2 max IS sd,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,400,S3 sd-model OOF pred,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,400,S4 M-model OOF pred,80.0,380.0,0.055454101110001375,0.3893823679634459,-0.34104172979145775
SMALL484,20,400,S5 M+sd OOF pred,80.0,298.0,0.02283161828322422,0.23276540413515912,-0.3530798164107787
SMALL484,20,400,S6 random draw,20.0,160.0,-0.008507497420546017,-0.13344625523128775,-0.17441274886648006
SMALL484,20,400,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,20,400,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
SMALL484,20,500,S0 do-nothing (whole panel),,,0.07733245191648264,0.5103667394938519,-0.26346801916687634
SMALL484,20,500,S1 IS-Sharpe argmax,20.0,454.0,0.02305094952515696,0.3972907825844342,-0.08492911987564844
SMALL484,20,500,S2 max IS sd,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,500,S3 sd-model OOF pred,20.0,71.0,-0.005220099187806859,-0.06000995406280136,-0.14909622218670426
SMALL484,20,500,S4 M-model OOF pred,80.0,403.0,0.024339930950475708,0.24359194075862522,-0.2793358692264625
SMALL484,20,500,S5 M+sd OOF pred,80.0,309.0,0.004756847617383375,0.10356951841816277,-0.39848391276067185
SMALL484,20,500,S6 random draw,80.0,33.0,0.029265225705934483,0.27714514175880334,-0.3086662957361389
SMALL484,20,500,SPY,,,0.15450723909089636,0.882010501050508,-0.3371728920067377
SMALL484,20,500,RULES v2 (live book),,,0.0454819007219327,0.6629120592072875,-0.12087781581436041
