window,phi,panel,published_abs,total_rows,kept,removed,pct_removed,negatives,negatives_removed,med_dd_kept,med_dd_removed,med_pctctl_removed
IS,0.05,small,54,96,41,13,24.074074074074073,10,5,4.814449272934751,0.28858878850338554,1.6921025498615097
IS,0.05,ALL,154,288,117,37,24.025974025974026,16,6,3.244420293190986,0.28858878850338554,1.9350125904600763
IS,0.1,u56,48,96,24,24,50.0,0,0,1.9859182018705734,0.3897010096298392,3.1835483984095974
IS,0.1,broad,52,96,38,14,26.923076923076923,6,1,3.3632959136269456,0.962689496772895,6.276313405801233
IS,0.1,small,54,96,34,20,37.03703703703704,10,7,5.343061290043027,0.9004479993166559,3.8594769318755424
IS,0.1,ALL,154,288,96,58,37.66233766233766,16,8,3.536451651526229,0.41745894177789844,3.4225482088424646
IS,0.2,u56,48,96,11,37,77.08333333333333,0,0,3.7044857159652334,0.6759528612031329,5.395394296523343
IS,0.2,broad,52,96,29,23,44.23076923076923,6,4,4.085826551245953,1.2912157521895895,9.174060601014148
IS,0.2,small,54,96,25,29,53.7037037037037,10,9,7.290152995337895,1.4043926820233477,5.611111229311176
IS,0.2,ALL,154,288,65,89,57.79220779220779,16,13,4.834147155425805,1.2912157521895895,6.463021766642226
OOS,0.0,u56,70,96,70,0,0.0,16,0,3.9574318468876326,,
OOS,0.0,broad,68,96,68,0,0.0,7,0,5.946705923932688,,
OOS,0.0,small,64,96,64,0,0.0,11,0,3.701706274604061,,
OOS,0.0,ALL,202,288,202,0,0.0,34,0,4.734074333138355,,
OOS,0.02,u56,70,96,70,0,0.0,16,0,3.9574318468876326,,
OOS,0.02,broad,68,96,60,8,11.764705882352942,7,1,6.678462673208524,0.21733913649880088,0.7937573829421396
OOS,0.02,small,64,96,54,10,15.625,11,5,10.09429175713592,0.5655037471552937,1.6222386606536925
OOS,0.02,ALL,202,288,184,18,8.910891089108912,34,6,5.64349122275094,0.42158574112543534,1.2523903620071568
OOS,0.05,u56,70,96,70,0,0.0,16,0,3.9574318468876326,,
OOS,0.05,broad,68,96,58,10,14.705882352941176,7,3,6.762295650470179,0.23089853076784794,0.886074167675472
OOS,0.05,small,64,96,43,21,32.8125,11,9,11.985658597614425,0.7161917660781336,2.2130997795053413
OOS,0.05,ALL,202,288,171,31,15.346534653465346,34,12,5.700681764834226,0.646222796026219,1.6620471786035285
OOS,0.1,u56,70,96,64,6,8.571428571428571,16,5,4.734074333138355,1.7431417008675565,7.825248973509032
OOS,0.1,broad,68,96,52,16,23.529411764705884,7,7,7.1961444498838905,0.6867276079952633,2.453246698693169
OOS,0.1,small,64,96,33,31,48.4375,11,11,13.004623706708973,1.0589691065703954,2.905980389202794
OOS,0.1,ALL,202,288,149,53,26.237623762376238,34,23,6.6459987791119834,1.1127651993404153,3.434906606600791
OOS,0.2,u56,70,96,34,36,51.42857142857143,16,13,6.100003835714335,2.4416481776997676,11.901503218850124
OOS,0.2,broad,68,96,38,30,44.11764705882353,7,7,7.6840398159243435,2.273207252648002,9.687869229210426
OOS,0.2,small,64,96,28,36,56.25,11,11,13.86158152326225,1.1887926602786203,3.4644174011509734
OOS,0.2,ALL,202,288,100,102,50.495049504950494,34,31,8.452787980606193,2.1420626276883903,9.687869229210426
