panel,book,episode,start,end,W_dd,M_dd,MW_cash_dd,MW_spread_dd,delta_M_minus_W
broad,ew-all,2025,2025-01-01,2025-12-31,-0.10819257671362881,-0.10727115433931322,-0.10233595382981131,-0.10876433560653587,0.0009214223743155836
broad,ew-band3 (idea 57 / RULES v2 shape),2010 EU/flash,2010-04-01,2010-09-30,-0.10038127094273541,-0.10534698804294695,-0.09441724812563046,-0.100510630239804,-0.004965717100211542
broad,ew-band3 (idea 57 / RULES v2 shape),2011 EU crisis,2011-05-01,2011-10-31,-0.10493570632609162,-0.11030279526865916,-0.10846399469820689,-0.10518575047694756,-0.005367088942567544
broad,ew-band3 (idea 57 / RULES v2 shape),2015-16 China,2015-08-01,2016-02-29,-0.08283398287565968,-0.08451924112785303,-0.0856866454055939,-0.08204521221823136,-0.0016852582521933446
broad,ew-band3 (idea 57 / RULES v2 shape),2018Q4,2018-10-01,2018-12-31,-0.13001008120287305,-0.12598705733985693,-0.1145985113870428,-0.12695257320329267,0.0040230238630161175
broad,ew-band3 (idea 57 / RULES v2 shape),2020 COVID,2020-02-01,2020-04-30,-0.18528570357900875,-0.2247521535409993,-0.16291115245972887,-0.1861986578241066,-0.03946644996199056
broad,ew-band3 (idea 57 / RULES v2 shape),2022 bear,2022-01-01,2022-10-31,-0.15845143560391117,-0.1384992769428952,-0.14303402353295236,-0.15337577953227255,0.019952158661015962
broad,ew-band3 (idea 57 / RULES v2 shape),2025,2025-01-01,2025-12-31,-0.11518348362312414,-0.11297959109719502,-0.11086611733122831,-0.1152316903316849,0.0022038925259291187
u56,top20 (idea 2),2010 EU/flash,2010-04-01,2010-09-30,-0.11653190552192005,-0.1188944103670444,-0.10238891515637227,-0.10652794898925388,-0.002362504845124347
u56,top20 (idea 2),2011 EU crisis,2011-05-01,2011-10-31,-0.1038992565735628,-0.10212938502433067,-0.10387735337375947,-0.10794624351056359,0.0017698715492321382
u56,top20 (idea 2),2015-16 China,2015-08-01,2016-02-29,-0.08595023867022167,-0.09408672712672894,-0.08799656606340722,-0.09240479801416046,-0.008136488456507274
u56,top20 (idea 2),2018Q4,2018-10-01,2018-12-31,-0.12170842806707105,-0.12443838054091605,-0.10756175594896933,-0.13297928625971844,-0.0027299524738449987
u56,top20 (idea 2),2020 COVID,2020-02-01,2020-04-30,-0.18308348697878107,-0.1950684146967383,-0.16774005572560324,-0.17701814402441585,-0.011984927717957228
u56,top20 (idea 2),2022 bear,2022-01-01,2022-10-31,-0.10054628674344723,-0.09675453161748615,-0.08506802478793474,-0.10584285881239708,0.0037917551259610827
u56,top20 (idea 2),2025,2025-01-01,2025-12-31,-0.12790679643098124,-0.13981827314584994,-0.12501245909897274,-0.12840567934121982,-0.011911476714868696
u56,frac85 (idea 46),2010 EU/flash,2010-04-01,2010-09-30,-0.10328901268911861,-0.10844741624245591,-0.0935547857567246,-0.0948847172047953,-0.0051584035533372985
u56,frac85 (idea 46),2011 EU crisis,2011-05-01,2011-10-31,-0.10216435327760265,-0.1008570059798638,-0.10962291702188343,-0.11218147048388138,0.0013073472977388478
u56,frac85 (idea 46),2015-16 China,2015-08-01,2016-02-29,-0.10306009258409199,-0.10607166054581119,-0.10352421347802787,-0.09746227974163335,-0.003011567961719197
u56,frac85 (idea 46),2018Q4,2018-10-01,2018-12-31,-0.1325003154095341,-0.12012668688359873,-0.10150431988714037,-0.13637964630275046,0.012373628525935376
u56,frac85 (idea 46),2020 COVID,2020-02-01,2020-04-30,-0.16669620846391053,-0.18840088082608775,-0.1631730868874255,-0.16528644995212716,-0.021704672362177213
u56,frac85 (idea 46),2022 bear,2022-01-01,2022-10-31,-0.13938512303702955,-0.11792069422166696,-0.10116243617555087,-0.13034576560925126,0.02146442881536259
u56,frac85 (idea 46),2025,2025-01-01,2025-12-31,-0.11474251326330942,-0.11826533044181575,-0.10820398927642694,-0.11161158150449857,-0.0035228171785063322
u56,ew-all,2010 EU/flash,2010-04-01,2010-09-30,-0.09169201147837092,-0.09315460377336171,-0.0790496530628827,-0.08089610505135159,-0.0014625922949907944
u56,ew-all,2011 EU crisis,2011-05-01,2011-10-31,-0.10185005051715046,-0.09677727329576802,-0.100550589766227,-0.105060320243343,0.005072777221382441
u56,ew-all,2015-16 China,2015-08-01,2016-02-29,-0.08598937800255668,-0.09899220333198733,-0.09641077230519213,-0.08785340401651343,-0.013002825329430645
u56,ew-all,2018Q4,2018-10-01,2018-12-31,-0.127128595479703,-0.10924118180240017,-0.08923966134201744,-0.12045949519919597,0.017887413677302844
u56,ew-all,2020 COVID,2020-02-01,2020-04-30,-0.1587470484779453,-0.17012382586042163,-0.14500126096135224,-0.1546521198613512,-0.011376777382476333
u56,ew-all,2022 bear,2022-01-01,2022-10-31,-0.15203693430931553,-0.13025041823640315,-0.0974181916330934,-0.13852198488649348,0.021786516072912376
u56,ew-all,2025,2025-01-01,2025-12-31,-0.1014073563975616,-0.10922947592220389,-0.10004610595888919,-0.10562125037577053,-0.00782211952464229
u56,ew-band3 (idea 57 / RULES v2 shape),2010 EU/flash,2010-04-01,2010-09-30,-0.08280636280893505,-0.09331564444758944,-0.08106764395976396,-0.08225385487777315,-0.010509281638654389
u56,ew-band3 (idea 57 / RULES v2 shape),2011 EU crisis,2011-05-01,2011-10-31,-0.08747673182877147,-0.10063312207804831,-0.10103729507338832,-0.09960587570463053,-0.01315639024927684
u56,ew-band3 (idea 57 / RULES v2 shape),2015-16 China,2015-08-01,2016-02-29,-0.08937374871632031,-0.08645506913659318,-0.08999613965231712,-0.0888131283841822,0.0029186795797271348
u56,ew-band3 (idea 57 / RULES v2 shape),2018Q4,2018-10-01,2018-12-31,-0.12426504927086268,-0.12741966757244894,-0.10942486045872513,-0.1237416775096487,-0.003154618301586254
u56,ew-band3 (idea 57 / RULES v2 shape),2020 COVID,2020-02-01,2020-04-30,-0.17714790237343891,-0.1910962992120503,-0.15419535278146612,-0.1768325463418451,-0.013948396838611377
u56,ew-band3 (idea 57 / RULES v2 shape),2022 bear,2022-01-01,2022-10-31,-0.12846739227518156,-0.11233228528420047,-0.11130308881242879,-0.12348708489272864,0.016135106990981085
u56,ew-band3 (idea 57 / RULES v2 shape),2025,2025-01-01,2025-12-31,-0.11127514837531738,-0.11935033378899251,-0.11190014575853446,-0.11656063186980015,-0.008075185413675134
