a,b,pool,metric,n,n_nonzero,mean,t,wins,losses,ties,win_rate,sign_p
K_CAGR,K_Sharpe,P_ALL,OOS_CAGR,72,30,0.008232402954494658,5.2385329372449165,29,1,42,0.9666666666666667,5.774199962615967e-08
K_CAGR,K_Sharpe,P_ALL,OOS_MaxDD,72,28,-0.012377465781700795,-3.597687803880191,5,23,44,0.17857142857142858,0.0009122341871261597
K_Calmar,K_Sharpe,P_ALL,OOS_Sharpe,72,32,0.0025751596029260073,0.6212608562643452,17,15,40,0.53125,0.860050065908581
K_Calmar,K_Sharpe,P_ALL,OOS_CAGR,72,32,-0.0036141139386457774,-2.557506352679429,7,25,40,0.21875,0.0021024015732109547
K_Calmar,K_Sharpe,P_ALL,OOS_MaxDD,72,28,0.00653872990761571,1.553363185973575,17,11,44,0.6071428571428571,0.34492845088243484
K_MaxDD,K_Sharpe,P_ALL,OOS_Sharpe,72,64,-0.03882132942355248,-3.5346098285031875,20,44,8,0.3125,0.0036899642765400487
K_MaxDD,K_Sharpe,P_ALL,OOS_CAGR,72,64,-0.035286328441641195,-11.053377040600525,2,62,8,0.03125,2.2562247209423347e-16
K_MaxDD,K_Sharpe,P_ALL,OOS_MaxDD,72,64,0.07869274418640705,8.949886867538511,61,3,8,0.953125,4.742842403537839e-15
K_Random,K_Sharpe,P_ALL,OOS_Sharpe,72,69,-0.05047552279296244,-4.3442653646944525,18,51,3,0.2608695652173913,8.768662462846019e-05
K_Random,K_Sharpe,P_ALL,OOS_CAGR,72,69,-0.01840042144323432,-4.533395908220654,18,51,3,0.2608695652173913,8.768662462846019e-05
K_Random,K_Sharpe,P_ALL,OOS_MaxDD,72,68,0.021135649538956764,2.2094614790804115,39,29,4,0.5735294117647058,0.2749903961710005
