arm,family,prop,note,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_OOS_Sharpe,v2_OOS_Sharpe,pass4a,pass4b,fail4a,fail4b
gross:g=0.50,gross,-,fixed dial,0.057318688266432716,1.2021756620970414,-0.0811756817275272,1.2301991849376146,1.1804279092305687,0.06287235086848719,1.2793935223452508,-0.08117568172752743,0.8757783801289708,1.278836537597142,0,0,H1,CAGR
gross:g=0.75,gross,-,fixed dial,0.08631725018912006,1.202140097248246,-0.12054946142590728,1.2308642154162701,1.1798211368254472,0.09481988847882761,1.278836537597142,-0.12054946142590717,0.8757783801289708,1.278836537597142,0,0,"H1,H2",CAGR
gross:g=1.00,gross,-,IS-argmax constant,0.11549306649149793,1.201962646517694,-0.15910992176170924,1.2313933323690813,1.1790707777932452,0.12705574482766524,1.2781300700732343,-0.15910992176170924,0.8757783801289708,1.278836537597142,0,1,"H2,DD",
gross<-BREADTH,gross,BREADTH,collapsed to g=1.00,0.11549306649149793,1.201962646517694,-0.15910992176170924,1.2313933323690813,1.1790707777932452,0.12705574482766524,1.2781300700732343,-0.15910992176170924,0.8757783801289708,1.278836537597142,0,1,"H2,DD",
gross<-DISP,gross,DISP,LOW=g=0.50 HIGH=g=1.00,0.0742844815777659,0.9543821735496422,-0.15910992176170902,0.9753144650595,0.9468695399523699,0.08547690888489501,1.0301029032649056,-0.15910992176170968,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",CAGR
gross<-SPYVOL,gross,SPYVOL,LOW=g=1.00 HIGH=g=0.50,0.07981255145912702,1.0803506090891883,-0.08391147778902763,1.0915361759029305,1.0710268305632862,0.09254481484957844,1.2140276272049573,-0.08391147778902763,0.8757783801289708,1.278836537597142,0,0,"H1,H2",CAGR
gross<-SPYTREND,gross,SPYTREND,collapsed to g=1.00,0.11549306649149793,1.201962646517694,-0.15910992176170924,1.2313933323690813,1.1790707777932452,0.12705574482766524,1.2781300700732343,-0.15910992176170924,0.8757783801289708,1.278836537597142,0,1,"H2,DD",
band:b=0.01,band,-,fixed dial,0.08370844841104996,1.1860460525569505,-0.12025473006356113,1.2055413982104226,1.171081750713549,0.09226828066731052,1.2709630081546681,-0.12025473006356091,0.8757783801289708,1.278836537597142,0,0,"H1,H2",CAGR
band:b=0.03,band,-,IS-argmax constant,0.08631725018912006,1.202140097248246,-0.12054946142590728,1.2308642154162701,1.1798211368254472,0.09481988847882761,1.278836537597142,-0.12054946142590717,0.8757783801289708,1.278836537597142,0,0,"H1,H2",CAGR
band:b=0.06,band,-,fixed dial,0.0831534649583987,1.1395666075985391,-0.13472540930022425,1.1880412707823993,1.1008279180480858,0.09122290170658798,1.2051569916901357,-0.13472540930022447,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",CAGR
band<-BREADTH,band,BREADTH,LOW=b=0.06 HIGH=b=0.03,0.0834808920226695,1.1356226438370007,-0.13343160545545785,1.2041339203987198,1.0794513977574143,0.09020030770809284,1.18358612259369,-0.13343160545545774,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",CAGR
band<-DISP,band,DISP,collapsed to b=0.03,0.08631725018912006,1.202140097248246,-0.12054946142590728,1.2308642154162701,1.1798211368254472,0.09481988847882761,1.278836537597142,-0.12054946142590717,0.8757783801289708,1.278836537597142,0,0,"H1,H2",CAGR
band<-SPYVOL,band,SPYVOL,LOW=b=0.01 HIGH=b=0.03,0.08721319675543238,1.219101962277749,-0.12054946142590695,1.2368043903991044,1.2065120199929658,0.09614847198372534,1.3022558581412105,-0.12054946142590739,0.8757783801289708,1.278836537597142,1,0,,CAGR
band<-SPYTREND,band,SPYTREND,LOW=b=0.06 HIGH=b=0.03,0.08399802806828327,1.1455092250974963,-0.13343160545545807,1.2088551017665314,1.0934900450096214,0.09079743156470155,1.1956770042697729,-0.13343160545545807,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",CAGR
volcap:v=0.4,volcap,-,fixed dial,0.1559895528940125,1.1169305715312075,-0.21047604986400126,1.1233683245979889,1.1143844397910136,0.17728369179276515,1.2128408544795235,-0.21047604986400126,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",DD
volcap:v=0.6,volcap,-,fixed dial,0.1688925520471234,1.092296106541969,-0.23978875173316117,1.0941187915348647,1.096885180024604,0.19213969902348738,1.1683035561167883,-0.23978875173316117,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",DD
volcap:v=9.9,volcap,-,IS-argmax constant,0.19054529288078537,1.146202929920446,-0.25370980769932805,1.2214973926845512,1.0984296455688778,0.21037296570771757,1.1696800483198222,-0.2537098076993278,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",DD
volcap<-BREADTH,volcap,BREADTH,collapsed to v=9.9,0.19054529288078537,1.146202929920446,-0.25370980769932805,1.2214973926845512,1.0984296455688778,0.21037296570771757,1.1696800483198222,-0.2537098076993278,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",DD
volcap<-DISP,volcap,DISP,LOW=v=0.4 HIGH=v=9.9,0.1746377155974428,1.0971969015026857,-0.25370980769932805,1.1882081284290893,1.0402839671304374,0.19571930945653393,1.1296206096578116,-0.25370980769932794,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",DD
volcap<-SPYVOL,volcap,SPYVOL,collapsed to v=9.9,0.19054529288078537,1.146202929920446,-0.25370980769932805,1.2214973926845512,1.0984296455688778,0.21037296570771757,1.1696800483198222,-0.2537098076993278,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",DD
volcap<-SPYTREND,volcap,SPYTREND,collapsed to v=9.9,0.19054529288078537,1.146202929920446,-0.25370980769932805,1.2214973926845512,1.0984296455688778,0.21037296570771757,1.1696800483198222,-0.2537098076993278,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",DD
