panel,dial,label,cost_bps,book_A,book_B,book_gain,null_gain_median,null_gain_p95,null_gain_sd,book_pctl_in_null,pctl_half,excess,beats_null,dTurn,turn_ratio,book_dCAGR,n_draws
B136,D4_ELIG,max_vol 0.60->0.35,0.0,1.0454260955081687,1.0240115969133448,-0.021414498594823916,0.014430066989465029,0.1528708461684875,0.09166441841116751,36.0,35.199999999999996,-0.035844565584288945,False,2.1991566367015825,0.8606833986851082,-0.024127402274930043,250
B136,D4_ELIG,max_vol 0.60->0.35,10.0,0.9431869804604214,0.8847552444128917,-0.058431736047529714,-0.027080300485712444,0.11225010793927667,0.09131734901988592,36.0,35.199999999999996,-0.03135143556181727,False,2.1991566367015825,0.8606833986851082,-0.026365586195417068,250
B136,D4_ELIG,max_vol 0.60->0.35,25.0,0.7895518917643998,0.6754052576255168,-0.11414663413888293,-0.07941159473238851,0.055078080137775834,0.09041488167676233,34.8,32.800000000000004,-0.03473503940649442,False,2.1991566367015825,0.8606833986851082,-0.029587078917840737,250
B136,D4_ELIG,max_vol 0.60->0.35,50.0,0.5332625006904443,0.3265210895154053,-0.20674141117503902,-0.14804495120508576,-0.025515275659890185,0.08790260899428663,27.200000000000003,26.400000000000002,-0.05869645996995326,False,2.1991566367015825,0.8606833986851082,-0.03460766259174841,250
B136,D5_BAND,band 0.00->0.06,0.0,1.1346198994916237,1.1045022621434353,-0.030117637348188397,-0.03022400817110238,0.023010463086456805,0.029538174048574527,50.4,47.199999999999996,0.00010637082291398148,True,-1.7913406058850188,2.308338615791771,0.0016323715902755165,250
B136,D5_BAND,band 0.00->0.06,10.0,1.0876948270726907,1.0850288055814992,-0.0026660214911915503,-0.02473811349216487,0.029215982010100665,0.029460722882924492,79.60000000000001,75.2,0.02207209200097332,True,-1.7913406058850188,2.308338615791771,0.003655758607261861,250
B136,D5_BAND,band 0.00->0.06,25.0,1.0172127765660897,1.0558000075516811,0.03858723098559147,-0.016613599705512183,0.03752978454620976,0.029369484402040905,95.19999999999999,96.0,0.05520083069110365,True,-1.7913406058850188,2.308338615791771,0.006673211862619599,250
B136,D5_BAND,band 0.00->0.06,50.0,0.8995474219300817,1.0070411335914093,0.1074937116613276,-0.002368586564881689,0.05208117380052218,0.029286410708648153,100.0,100.0,0.10986229822620928,True,-1.7913406058850188,2.308338615791771,0.011655573383214435,250
SMALL,D1_CADENCE,freq W->M,0.0,0.6341536873915894,0.6053206835772954,-0.02883300381429399,0.053065175650738095,0.30221981819571125,0.1412034241572495,24.0,25.6,-0.08189817946503208,False,-10.607716693238894,2.1058190249109403,-0.0029145114040203257,250
SMALL,D1_CADENCE,freq W->M,10.0,0.5040654455644011,0.5452659480766194,0.041200502512218296,0.46433610594682206,0.7143991976415823,0.1407503119396094,0.0,0.0,-0.42313560343460377,False,-10.607716693238894,2.1058190249109403,0.009259915735950308,250
