panel,conv,band,cad,CAGR,Sharpe,MaxDD,H1,H2,OOS,Turnover,path4a,path4b,failing
U56,dg,none,W,0.13302241347407873,1.128380320819475,-0.2245669050549508,1.1945040285745303,1.0763148070726318,1.1403609047423904,0.8394534940096922,False,False,DD
U56,dg,none,M,0.1331978067693682,1.1385064105801395,-0.22208497310866748,1.193309652030621,1.0954140680676585,1.159197226822536,0.41108866374490327,False,False,DD
U56,dg,0.00,W,0.08219770789780578,1.1764410016610078,-0.12062092525474677,1.1879125574437814,1.1688297482033332,1.2664376858197746,3.148911584806322,False,False,CAGR
U56,dg,0.00,M,0.08941936652132476,1.217228656540814,-0.11871482153159418,1.250734477235564,1.1870654498019606,1.2824710123810177,1.4932557295655569,False,False,CAGR
U56,dg,0.02,W,0.08527891504961005,1.2043914151760395,-0.11689373533012781,1.2062361475733627,1.205715270933161,1.2964180807217598,2.16650930331143,False,False,CAGR
U56,dg,0.02,M,0.09064147715868054,1.2150896526993409,-0.13038393522566882,1.2423657347246717,1.1927479794673397,1.282472723928695,1.3448874178368555,False,False,CAGR
U56,dg,0.03,W,0.08680871586108085,1.212667958982562,-0.11896565752845978,1.2309983597844687,1.199577267535934,1.293742502269834,1.7875647105105263,True,False,CAGR
U56,dg,0.03,M,0.08944638474898459,1.1845993213552302,-0.1418911680075552,1.2182908178283745,1.1581687694524454,1.2415413025227704,1.2415682865316164,False,False,CAGR
U56,dg,0.05,W,0.08362087998483059,1.157069115791897,-0.12418820283488219,1.1920718790232558,1.1298374153979747,1.2271724704809674,1.4263966837533923,False,False,CAGR
U56,dg,0.05,M,0.0887189021782635,1.152718625116353,-0.15882735580797336,1.21415512129973,1.106176723395386,1.1928815064581315,1.0631803630649193,False,False,CAGR
U56,dg,0.08,W,0.08592527480778389,1.1589132136870248,-0.14354794541622962,1.2416379354403997,1.0914318743370366,1.184697126099475,1.133381963409135,False,False,CAGR
U56,dg,0.08,M,0.0879681219453623,1.1086918919468343,-0.1842156752566848,1.218813697598901,1.0265105868153312,1.1156298518070717,0.8418928567194417,False,False,CAGR
B136,rw,none,W,0.14178077774478903,1.1237184720356246,-0.2536484248157904,1.233318891739456,1.02540523555152,1.1038155359718698,0.8706782939699557,False,False,DD
B136,rw,none,M,0.140511433897329,1.124085126647221,-0.24989934048374218,1.226384831775997,1.0310143579281126,1.110887141578747,0.426915610795965,False,False,DD
B136,rw,0.00,W,0.11659263483239424,1.0584987574446802,-0.20116704846935773,1.1603438392888512,0.9706241244948078,1.0658892600654093,7.840203859290729,False,True,-
B136,rw,0.00,M,0.12452107215452846,1.0965065982009379,-0.21784582165082422,1.1981615187456383,1.0122230895745763,1.1021577111383531,3.4673957128836794,False,False,DD
B136,rw,0.02,W,0.11861702167276711,1.0773616171634866,-0.18912674361454906,1.1798246196845057,0.9876994431562306,1.083104020009226,5.655103463144466,False,True,-
B136,rw,0.02,M,0.12376055929426366,1.0895126106617217,-0.2236659407080025,1.188204406811778,1.0093528324901457,1.099109312847462,3.2563742281141206,False,False,DD
B136,rw,0.03,W,0.11758378875261188,1.0712284076952403,-0.18494986152901216,1.174428079975505,0.9813177100092048,1.0784117446532762,4.808998511124372,False,True,-
B136,rw,0.03,M,0.12319739612445568,1.0892750326059213,-0.22430787168985733,1.1825047396297366,1.0152864089710143,1.1007999490746474,3.064237629500205,False,False,DD
B136,rw,0.05,W,0.1202674369036929,1.0733125122365996,-0.19462462975460015,1.1573673123702488,1.001041607257792,1.0970529276303638,3.7315551635907935,False,True,-
