filing_date,transaction_date,owner,relationship,security,table,code,acquired_disposed,shares,price,shares_owned_after,accession
2026-02-03,2026-02-01,LEVINSON ARTHUR D,Director,Common Stock,non-derivative,M,A,1113,,4070689,0001214128-26-000002
2026-02-03,2026-02-01,LEVINSON ARTHUR D,Director,Restricted Stock Unit,derivative,M,D,1113,,0,0001214128-26-000002
2026-02-03,2026-02-01,LOZANO MONICA C,Director,Common Stock,non-derivative,M,A,1255,,9862,0001179864-26-000002
2026-02-03,2026-02-01,LOZANO MONICA C,Director,Restricted Stock Unit,derivative,M,D,1255,,0,0001179864-26-000002
2026-02-03,2026-02-01,SUGAR RONALD D,Director,Common Stock,non-derivative,M,A,1255,,110566,0001216519-26-000002
2026-02-03,2026-02-01,SUGAR RONALD D,Director,Restricted Stock Unit,derivative,M,D,1255,,0,0001216519-26-000002
2026-02-03,2026-02-01,WAGNER SUSAN,Director,Common Stock,non-derivative,M,A,1255,,63746,0001059235-26-000002
2026-02-03,2026-02-01,WAGNER SUSAN,Director,Restricted Stock Unit,derivative,M,D,1255,,0,0001059235-26-000002
2026-02-26,2026-02-24,Austin Wanda M,Director,Restricted Stock Unit,derivative,A,A,1139,0,1139,0001690882-26-000004
2026-02-26,2026-02-24,Gorsky Alex,Director,Restricted Stock Unit,derivative,A,A,1139,0,1139,0001453149-26-000005
2026-02-26,2026-02-24,JUNG ANDREA,Director,Restricted Stock Unit,derivative,A,A,1139,0,1139,0001051401-26-000004
2026-02-26,2026-02-24,LEVINSON ARTHUR D,Director,Restricted Stock Unit,derivative,A,A,1011,0,1011,0001214128-26-000004
2026-02-26,2026-02-24,LOZANO MONICA C,Director,Restricted Stock Unit,derivative,A,A,1139,0,1139,0001179864-26-000004
2026-02-26,2026-02-24,SUGAR RONALD D,Director,Restricted Stock Unit,derivative,A,A,1139,0,1139,0001216519-26-000004
2026-02-26,2026-02-24,WAGNER SUSAN,Director,Restricted Stock Unit,derivative,A,A,1139,0,1139,0001059235-26-000004
2026-02-26,2026-02-26,LEVINSON ARTHUR D,Director,Common Stock,non-derivative,G,D,1113,0,4069576,0001214128-26-000004
2026-03-17,2026-03-15,Newstead Jennifer,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,M,A,60208,,60208,0001780525-26-000005
2026-03-17,2026-03-15,Newstead Jennifer,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,F,D,32528,250.12,27680,0001780525-26-000005
2026-03-17,2026-03-15,Newstead Jennifer,"Officer; SVP, GC and Secretary",Restricted Stock Unit,derivative,M,D,60208,,240832,0001780525-26-000005
2026-04-03,2026-04-01,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,M,A,131576,,3411994,0001140361-26-013190
2026-04-03,2026-04-01,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,F,D,66627,255.63,3345367,0001140361-26-013190
2026-04-03,2026-04-01,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Restricted Stock Unit,derivative,M,D,85080,,0,0001140361-26-013190
2026-04-03,2026-04-01,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Restricted Stock Unit,derivative,M,D,22159,,22159,0001140361-26-013190
2026-04-03,2026-04-01,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Restricted Stock Unit,derivative,M,D,24337,,48673,0001140361-26-013190
2026-04-03,2026-04-01,Khan Sabih,Officer; COO,Common Stock,non-derivative,M,A,64317,,1107212,0001140361-26-013191
2026-04-03,2026-04-01,Khan Sabih,Officer; COO,Common Stock,non-derivative,F,D,33317,255.63,1073895,0001140361-26-013191
2026-04-03,2026-04-01,Khan Sabih,Officer; COO,Restricted Stock Unit,derivative,M,D,22688,,0,0001140361-26-013191
2026-04-03,2026-04-01,Khan Sabih,Officer; COO,Restricted Stock Unit,derivative,M,D,22159,,22159,0001140361-26-013191
2026-04-03,2026-04-01,Khan Sabih,Officer; COO,Restricted Stock Unit,derivative,M,D,19470,,38938,0001140361-26-013191
2026-04-03,2026-04-01,O'BRIEN DEIRDRE,Officer; Senior Vice President,Common Stock,non-derivative,M,A,64317,,201127,0001140361-26-013192
2026-04-03,2026-04-01,O'BRIEN DEIRDRE,Officer; Senior Vice President,Common Stock,non-derivative,F,D,34315,255.63,166812,0001140361-26-013192
2026-04-03,2026-04-01,O'BRIEN DEIRDRE,Officer; Senior Vice President,Restricted Stock Unit,derivative,M,D,22688,,0,0001140361-26-013192
2026-04-03,2026-04-01,O'BRIEN DEIRDRE,Officer; Senior Vice President,Restricted Stock Unit,derivative,M,D,22159,,22159,0001140361-26-013192
2026-04-03,2026-04-01,O'BRIEN DEIRDRE,Officer; Senior Vice President,Restricted Stock Unit,derivative,M,D,19470,,38938,0001140361-26-013192
2026-04-03,2026-04-02,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,S,D,5087,251.25,3340280,0001140361-26-013190
2026-04-03,2026-04-02,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,S,D,9147,252.11,3331133,0001140361-26-013190
2026-04-03,2026-04-02,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,S,D,1878,253.13,3329255,0001140361-26-013190
2026-04-03,2026-04-02,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,S,D,16083,254.37,3313172,0001140361-26-013190
2026-04-03,2026-04-02,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,S,D,28188,255.17,3284984,0001140361-26-013190
2026-04-03,2026-04-02,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,S,D,4566,256,3280418,0001140361-26-013190
2026-04-03,2026-04-02,O'BRIEN DEIRDRE,Officer; Senior Vice President,Common Stock,non-derivative,S,D,20338,255.12,146474,0001140361-26-013192
2026-04-03,2026-04-02,O'BRIEN DEIRDRE,Officer; Senior Vice President,Common Stock,non-derivative,S,D,9664,255.82,136810,0001140361-26-013192
2026-04-17,2026-04-15,Borders Ben,Officer; Principal Accounting Officer,Common Stock,non-derivative,M,A,1717,,40879,0001140361-26-015421
2026-04-17,2026-04-15,Borders Ben,Officer; Principal Accounting Officer,Common Stock,non-derivative,F,D,892,266.43,39987,0001140361-26-015421
2026-04-17,2026-04-15,Borders Ben,Officer; Principal Accounting Officer,Restricted Stock Unit,derivative,M,D,540,,540,0001140361-26-015421
2026-04-17,2026-04-15,Borders Ben,Officer; Principal Accounting Officer,Restricted Stock Unit,derivative,M,D,475,,1423,0001140361-26-015421
2026-04-17,2026-04-15,Borders Ben,Officer; Principal Accounting Officer,Restricted Stock Unit,derivative,M,D,371,,1852,0001140361-26-015421
2026-04-17,2026-04-15,Borders Ben,Officer; Principal Accounting Officer,Restricted Stock Unit,derivative,M,D,331,,2312,0001140361-26-015421
2026-04-17,2026-04-15,Parekh Kevan,"Officer; Senior Vice President, CFO",Common Stock,non-derivative,M,A,10928,,19693,0001140361-26-015420
2026-04-17,2026-04-15,Parekh Kevan,"Officer; Senior Vice President, CFO",Common Stock,non-derivative,F,D,4793,266.43,14900,0001140361-26-015420
2026-04-17,2026-04-15,Parekh Kevan,"Officer; Senior Vice President, CFO",Restricted Stock Unit,derivative,M,D,5817,,5816,0001140361-26-015420
2026-04-17,2026-04-15,Parekh Kevan,"Officer; Senior Vice President, CFO",Restricted Stock Unit,derivative,M,D,5111,,15331,0001140361-26-015420
2026-04-27,2026-04-23,Parekh Kevan,"Officer; Senior Vice President, CFO",Common Stock,non-derivative,S,D,1534,275,13366,0001140361-26-017175
2026-05-08,2026-05-06,LEVINSON ARTHUR D,Director,Common Stock,non-derivative,S,D,149527,284.57,3920049,0001140361-26-020298
2026-05-08,2026-05-06,LEVINSON ARTHUR D,Director,Common Stock,non-derivative,S,D,100473,285.04,3819576,0001140361-26-020298
2026-05-08,2026-05-06,LEVINSON ARTHUR D,Director,Common Stock,non-derivative,G,D,5000,0,3814576,0001140361-26-020298
2026-05-12,2026-05-08,Borders Ben,Officer; Principal Accounting Officer,Common Stock,non-derivative,S,D,1274,290,38713,0001140361-26-020871
2026-05-29,2026-05-27,LEVINSON ARTHUR D,Director,Common Stock,non-derivative,S,D,50000,311.02,3764576,0001140361-26-023363
2026-05-29,2026-05-27,LEVINSON ARTHUR D,Director,Common Stock,non-derivative,G,D,65000,0,3699576,0001140361-26-023363
2026-06-17,2026-06-15,Borders Ben,Officer; Principal Accounting Officer,Common Stock,non-derivative,M,A,240,,38953,0001140361-26-025620
2026-06-17,2026-06-15,Borders Ben,Officer; Principal Accounting Officer,Common Stock,non-derivative,F,D,124,296.42,38829,0001140361-26-025620
2026-06-17,2026-06-15,Borders Ben,Officer; Principal Accounting Officer,Restricted Stock Unit,derivative,M,D,240,,1676,0001140361-26-025620
2026-06-17,2026-06-15,Newstead Jennifer,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,M,A,30104,,57784,0001140361-26-025622
2026-06-17,2026-06-15,Newstead Jennifer,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,F,D,16238,296.42,41546,0001140361-26-025622
2026-06-17,2026-06-15,Newstead Jennifer,"Officer; SVP, GC and Secretary",Restricted Stock Unit,derivative,M,D,30104,,210728,0001140361-26-025622
2026-06-17,2026-06-16,Borders Ben,Officer; Principal Accounting Officer,Common Stock,non-derivative,S,D,116,295.14,38713,0001140361-26-025620
2026-08-13,2026-08-11,Newstead Jennifer,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,S,D,1439,307.75,40107,0001140361-26-032884
2026-08-20,2026-08-18,Newstead Jennifer,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,S,D,1439,307.49,38668,0001140361-26-033928
2026-08-27,2026-08-25,Newstead Jennifer,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,S,D,1439,310.95,37229,0001140361-26-034741
2026-09-03,2026-09-01,Newstead Jennifer,"Officer; SVP, GC and Government Affairs",Common Stock,non-derivative,S,D,1439,317.01,35790,0001140361-26-035636
2026-09-01,2026-09-01,Ternus John,Director; Officer; CEO,Restricted Stock Unit,derivative,A,A,7690,0,7690,0001140361-26-035362
